open,high,low,close,volume,datetime,symbol
31.59,31.59,31.59,31.59,546,2021-12-01 14:30:00,DAX
31.585,31.585,31.585,31.585,500,2021-12-01 15:05:00,DAX
31.57,31.57,31.57,31.57,100,2021-12-01 15:27:00,DAX
31.57,31.57,31.57,31.57,140,2021-12-01 15:28:00,DAX
31.64,31.64,31.64,31.64,200,2021-12-01 16:00:00,DAX
31.645,31.645,31.645,31.645,300,2021-12-01 16:45:00,DAX
31.64,31.64,31.64,31.64,100,2021-12-01 16:47:00,DAX
31.63,31.63,31.63,31.63,200,2021-12-01 16:48:00,DAX
31.5726,31.5726,31.5726,31.5726,100,2021-12-01 17:11:00,DAX
31.58,31.58,31.58,31.58,1000,2021-12-01 17:15:00,DAX
31.6086,31.6086,31.6086,31.6086,300,2021-12-01 17:20:00,DAX
31.51,31.51,31.51,31.51,100,2021-12-01 17:55:00,DAX
31.45,31.45,31.45,31.45,967,2021-12-01 18:01:00,DAX
31.465,31.465,31.465,31.465,100,2021-12-01 18:03:00,DAX
31.385,31.385,31.38,31.38,300,2021-12-01 18:08:00,DAX
31.36,31.36,31.36,31.36,1000,2021-12-01 18:14:00,DAX
31.37,31.37,31.37,31.37,1000,2021-12-01 18:22:00,DAX
31.4,31.43,31.4,31.43,300,2021-12-01 18:27:00,DAX
31.29,31.29,31.29,31.29,100,2021-12-01 19:18:00,DAX
31.25,31.265,31.25,31.265,900,2021-12-01 20:08:00,DAX
31.25,31.25,31.25,31.25,1000,2021-12-01 20:09:00,DAX
31.21,31.215,31.21,31.215,200,2021-12-01 20:40:00,DAX
31.1633,31.1633,31.1633,31.1633,640,2021-12-01 20:49:00,DAX
31.25,31.25,31.25,31.25,100,2021-12-01 20:50:00,DAX
31.1,31.1,31.1,31.1,300,2021-12-01 20:54:00,DAX
31.05,31.05,31.04,31.04,200,2021-12-01 20:59:00,DAX
31.17,31.17,31.17,31.17,448,2021-12-02 14:30:00,DAX
31.256,31.256,31.256,31.256,200,2021-12-02 14:38:00,DAX
31.315,31.318,31.315,31.318,500,2021-12-02 14:49:00,DAX
31.33,31.33,31.33,31.33,500,2021-12-02 14:50:00,DAX
31.33,31.35,31.33,31.33,1100,2021-12-02 14:53:00,DAX
31.32,31.32,31.32,31.32,299,2021-12-02 15:00:00,DAX
31.265,31.265,31.26,31.26,200,2021-12-02 15:16:00,DAX
31.3,31.3,31.3,31.3,2722,2021-12-02 15:17:00,DAX
31.23,31.23,31.23,31.23,100,2021-12-02 15:52:00,DAX
31.22,31.22,31.22,31.22,100,2021-12-02 15:56:00,DAX
31.321,31.321,31.321,31.321,994,2021-12-02 17:35:00,DAX
31.34,31.34,31.34,31.34,100,2021-12-02 17:41:00,DAX
31.3,31.3,31.3,31.3,100,2021-12-02 18:00:00,DAX
31.35,31.35,31.35,31.35,138,2021-12-02 18:56:00,DAX
31.355,31.355,31.355,31.355,173,2021-12-02 19:23:00,DAX
31.3,31.3,31.3,31.3,100,2021-12-02 19:52:00,DAX
31.34,31.34,31.34,31.34,100,2021-12-02 20:45:00,DAX
31.33,31.33,31.33,31.33,100,2021-12-02 20:49:00,DAX
31.36,31.36,31.36,31.36,139,2021-12-03 14:30:00,DAX
31.34,31.34,31.34,31.34,300,2021-12-03 14:34:00,DAX
31.03,31.03,31.03,31.03,600,2021-12-03 15:00:00,DAX
30.93,30.93,30.93,30.93,323,2021-12-03 15:54:00,DAX
30.8244,30.8244,30.8244,30.8244,840,2021-12-03 16:16:00,DAX
30.8229,30.8229,30.8229,30.8229,100,2021-12-03 16:19:00,DAX
30.89,30.89,30.85,30.85,260,2021-12-03 16:29:00,DAX
30.9,30.9,30.9,30.9,1000,2021-12-03 16:55:00,DAX
30.87,30.87,30.87,30.87,1000,2021-12-03 17:00:00,DAX
30.87,30.87,30.87,30.87,6405,2021-12-03 17:02:00,DAX
30.99,30.99,30.99,30.99,1000,2021-12-03 17:44:00,DAX
30.96,30.96,30.96,30.96,100,2021-12-03 18:17:00,DAX
30.992,30.995,30.992,30.995,250,2021-12-03 18:20:00,DAX
31.01,31.01,31.01,31.01,1000,2021-12-03 18:25:00,DAX
30.99,30.99,30.9692,30.99,1036,2021-12-03 18:29:00,DAX
30.92,30.92,30.92,30.92,100,2021-12-03 19:38:00,DAX
30.9101,30.9101,30.9101,30.9101,250,2021-12-03 19:45:00,DAX
30.93,30.93,30.93,30.93,1617,2021-12-03 19:47:00,DAX
30.979,30.979,30.979,30.979,150,2021-12-03 19:49:00,DAX
31.0,31.0,31.0,31.0,322,2021-12-03 20:33:00,DAX
30.96,30.96,30.96,30.96,1200,2021-12-03 20:51:00,DAX
30.99,30.99,30.99,30.99,125,2021-12-03 21:00:00,DAX
31.29,31.29,31.29,31.29,113,2021-12-06 14:30:00,DAX
31.2016,31.2016,31.2016,31.2016,325,2021-12-06 14:34:00,DAX
31.28,31.28,31.28,31.28,200,2021-12-06 14:50:00,DAX
31.28,31.28,31.2732,31.2732,1100,2021-12-06 14:51:00,DAX
31.35,31.35,31.35,31.35,100,2021-12-06 15:10:00,DAX
31.41,31.41,31.41,31.41,100,2021-12-06 15:22:00,DAX
31.38,31.38,31.38,31.38,100,2021-12-06 15:35:00,DAX
31.35,31.35,31.35,31.35,100,2021-12-06 15:48:00,DAX
31.38,31.38,31.38,31.38,400,2021-12-06 15:56:00,DAX
31.39,31.39,31.39,31.39,200,2021-12-06 15:57:00,DAX
31.39,31.3999,31.3832,31.3832,3300,2021-12-06 15:58:00,DAX
31.44,31.44,31.44,31.44,706,2021-12-06 16:25:00,DAX
31.34,31.34,31.34,31.34,300,2021-12-06 16:51:00,DAX
31.42,31.42,31.42,31.42,100,2021-12-06 17:55:00,DAX
31.41,31.41,31.41,31.41,100,2021-12-06 18:15:00,DAX
31.41,31.41,31.41,31.41,100,2021-12-06 18:19:00,DAX
31.43,31.43,31.43,31.43,100,2021-12-06 18:33:00,DAX
31.44,31.44,31.44,31.44,200,2021-12-06 18:57:00,DAX
31.46,31.46,31.46,31.46,100,2021-12-06 19:01:00,DAX
31.43,31.43,31.43,31.43,100,2021-12-06 19:05:00,DAX
31.395,31.395,31.381,31.381,559,2021-12-06 19:46:00,DAX
31.4,31.4,31.4,31.4,200,2021-12-06 20:08:00,DAX
31.4,31.4,31.4,31.4,200,2021-12-06 20:34:00,DAX
31.42,31.42,31.42,31.42,100,2021-12-06 20:44:00,DAX
31.395,31.395,31.39,31.395,1000,2021-12-06 20:48:00,DAX
31.42,31.42,31.42,31.42,100,2021-12-06 20:58:00,DAX
31.43,31.43,31.43,31.43,200,2021-12-06 20:59:00,DAX
31.91,31.91,31.91,31.91,720,2021-12-07 14:30:00,DAX
31.91,31.91,31.91,31.91,100,2021-12-07 14:33:00,DAX
31.91,31.91,31.91,31.91,300,2021-12-07 14:43:00,DAX
32.08,32.08,32.08,32.08,1558,2021-12-07 15:14:00,DAX
32.0719,32.0719,32.0719,32.0719,200,2021-12-07 15:16:00,DAX
32.04,32.04,32.04,32.04,187,2021-12-07 15:33:00,DAX
32.15,32.15,32.15,32.15,163,2021-12-07 17:23:00,DAX
32.14,32.14,32.14,32.14,125,2021-12-07 17:33:00,DAX
32.17,32.17,32.17,32.17,370,2021-12-07 17:54:00,DAX
32.17,32.17,32.17,32.17,129,2021-12-07 18:03:00,DAX
32.18,32.18,32.18,32.18,2441,2021-12-07 18:07:00,DAX
32.17,32.17,32.17,32.17,100,2021-12-07 18:14:00,DAX
32.17,32.17,32.17,32.17,100,2021-12-07 18:38:00,DAX
32.17,32.17,32.17,32.17,100,2021-12-07 18:58:00,DAX
32.14,32.14,32.14,32.14,16731,2021-12-07 19:17:00,DAX
32.17,32.17,32.17,32.17,100,2021-12-07 20:14:00,DAX
32.175,32.175,32.175,32.175,100,2021-12-07 20:22:00,DAX
32.11,32.11,32.11,32.11,405,2021-12-08 14:30:00,DAX
32.1,32.1,32.1,32.1,100,2021-12-08 14:35:00,DAX
32.06,32.06,32.06,32.06,100,2021-12-08 14:37:00,DAX
32.05,32.05,32.05,32.05,194,2021-12-08 14:39:00,DAX
32.06,32.06,32.06,32.06,100,2021-12-08 14:40:00,DAX
32.115,32.115,32.115,32.115,100,2021-12-08 14:49:00,DAX
32.11,32.11,32.11,32.11,200,2021-12-08 14:59:00,DAX
32.05,32.11,32.05,32.11,900,2021-12-08 15:00:00,DAX
32.11,32.11,32.11,32.11,150,2021-12-08 15:03:00,DAX
32.12,32.12,32.12,32.12,100,2021-12-08 15:13:00,DAX
32.13,32.13,32.13,32.13,100,2021-12-08 15:29:00,DAX
32.17,32.17,32.17,32.17,445,2021-12-08 15:34:00,DAX
32.14,32.14,32.14,32.14,200,2021-12-08 15:53:00,DAX
32.16,32.16,32.16,32.16,200,2021-12-08 16:12:00,DAX
32.13,32.13,32.13,32.13,100,2021-12-08 16:57:00,DAX
32.13,32.13,32.13,32.13,300,2021-12-08 17:09:00,DAX
32.16,32.16,32.16,32.16,169,2021-12-08 17:14:00,DAX
32.16,32.16,32.151,32.16,897,2021-12-08 17:29:00,DAX
32.185,32.185,32.185,32.185,143,2021-12-08 17:55:00,DAX
32.18,32.18,32.18,32.18,100,2021-12-08 18:20:00,DAX
32.17,32.17,32.17,32.17,100,2021-12-08 18:34:00,DAX
32.18,32.18,32.18,32.18,100,2021-12-08 18:36:00,DAX
32.19,32.19,32.19,32.19,400,2021-12-08 18:38:00,DAX
32.2,32.2,32.2,32.2,169,2021-12-08 18:44:00,DAX
32.215,32.215,32.215,32.215,100,2021-12-08 19:13:00,DAX
32.215,32.215,32.215,32.215,100,2021-12-08 19:15:00,DAX
32.205,32.205,32.205,32.205,108,2021-12-08 19:17:00,DAX
32.1915,32.1915,32.1915,32.1915,100,2021-12-08 19:35:00,DAX
32.2,32.2,32.2,32.2,100,2021-12-08 19:53:00,DAX
32.21,32.21,32.21,32.21,300,2021-12-08 20:05:00,DAX
32.23,32.23,32.23,32.23,100,2021-12-08 20:19:00,DAX
32.255,32.2575,32.255,32.2575,200,2021-12-08 20:24:00,DAX
32.26,32.26,32.26,32.26,100,2021-12-08 20:36:00,DAX
32.23,32.23,32.23,32.23,200,2021-12-08 20:50:00,DAX
32.22,32.23,32.22,32.23,300,2021-12-08 20:59:00,DAX
31.97,31.97,31.9501,31.9501,343,2021-12-09 14:30:00,DAX
31.975,31.975,31.975,31.975,225,2021-12-09 14:31:00,DAX
