open,high,low,close,volume,datetime,symbol
3.98,3.98,3.98,3.98,100,2021-12-01 12:30:00,SYRS
4.05,4.055,4.01,4.055,4699,2021-12-01 14:30:00,SYRS
4.0,4.0,4.0,4.0,500,2021-12-01 14:31:00,SYRS
4.01,4.025,4.01,4.025,200,2021-12-01 14:33:00,SYRS
4.02,4.025,4.02,4.02,5400,2021-12-01 14:37:00,SYRS
4.02,4.02,4.0,4.0,953,2021-12-01 14:39:00,SYRS
3.99,3.99,3.98,3.98,1200,2021-12-01 14:41:00,SYRS
3.96,3.97,3.96,3.97,1036,2021-12-01 14:43:00,SYRS
3.95,3.95,3.95,3.95,100,2021-12-01 14:45:00,SYRS
3.945,3.945,3.945,3.945,100,2021-12-01 14:46:00,SYRS
3.945,3.945,3.94,3.94,600,2021-12-01 14:47:00,SYRS
3.95,3.95,3.95,3.95,1299,2021-12-01 14:48:00,SYRS
3.96,3.96,3.96,3.96,100,2021-12-01 14:51:00,SYRS
3.965,3.965,3.965,3.965,100,2021-12-01 14:52:00,SYRS
3.9601,3.98,3.9601,3.98,2300,2021-12-01 14:53:00,SYRS
3.96,3.96,3.96,3.96,200,2021-12-01 14:54:00,SYRS
3.966,3.966,3.966,3.966,1100,2021-12-01 14:55:00,SYRS
3.965,3.965,3.965,3.965,100,2021-12-01 14:56:00,SYRS
3.97,3.97,3.97,3.97,400,2021-12-01 14:57:00,SYRS
3.9601,3.9601,3.9601,3.9601,105,2021-12-01 14:59:00,SYRS
3.96,3.975,3.96,3.975,1575,2021-12-01 15:01:00,SYRS
3.9764,3.9764,3.9764,3.9764,225,2021-12-01 15:03:00,SYRS
3.98,3.98,3.98,3.98,100,2021-12-01 15:06:00,SYRS
3.98,3.98,3.98,3.98,100,2021-12-01 15:07:00,SYRS
4.0,4.0,4.0,4.0,400,2021-12-01 15:10:00,SYRS
3.97,3.985,3.97,3.98,1146,2021-12-01 15:11:00,SYRS
3.97,3.97,3.96,3.96,303,2021-12-01 15:12:00,SYRS
3.97,3.97,3.97,3.97,600,2021-12-01 15:14:00,SYRS
3.99,3.99,3.975,3.975,300,2021-12-01 15:16:00,SYRS
3.985,3.985,3.985,3.985,100,2021-12-01 15:18:00,SYRS
3.98,3.98,3.97,3.97,1000,2021-12-01 15:19:00,SYRS
3.9696,3.9696,3.9696,3.9696,100,2021-12-01 15:24:00,SYRS
3.96,3.96,3.96,3.96,700,2021-12-01 15:27:00,SYRS
3.955,3.955,3.955,3.955,180,2021-12-01 15:28:00,SYRS
3.955,3.96,3.94,3.94,1183,2021-12-01 15:29:00,SYRS
3.94,3.94,3.94,3.94,100,2021-12-01 15:31:00,SYRS
3.94,3.94,3.94,3.94,200,2021-12-01 15:33:00,SYRS
3.94,3.94,3.94,3.94,200,2021-12-01 15:34:00,SYRS
3.93,3.93,3.93,3.93,100,2021-12-01 15:35:00,SYRS
3.95,3.95,3.95,3.95,151,2021-12-01 15:36:00,SYRS
3.93,3.93,3.9,3.91,3733,2021-12-01 15:40:00,SYRS
3.91,3.91,3.91,3.91,100,2021-12-01 15:42:00,SYRS
3.9,3.91,3.9,3.91,600,2021-12-01 15:45:00,SYRS
3.905,3.91,3.905,3.91,700,2021-12-01 15:46:00,SYRS
3.92,3.92,3.92,3.92,200,2021-12-01 15:47:00,SYRS
3.93,3.93,3.93,3.93,200,2021-12-01 15:48:00,SYRS
3.925,3.925,3.925,3.925,115,2021-12-01 15:49:00,SYRS
3.94,3.94,3.94,3.94,100,2021-12-01 15:50:00,SYRS
3.9499,3.9499,3.9499,3.9499,500,2021-12-01 15:52:00,SYRS
3.9495,3.95,3.9495,3.95,800,2021-12-01 15:53:00,SYRS
3.9427,3.9427,3.9427,3.9427,400,2021-12-01 15:54:00,SYRS
3.96,3.96,3.96,3.96,100,2021-12-01 15:55:00,SYRS
3.9401,3.96,3.94,3.95,3541,2021-12-01 15:56:00,SYRS
3.96,3.96,3.96,3.96,200,2021-12-01 15:58:00,SYRS
3.9422,3.96,3.94,3.95,2600,2021-12-01 15:59:00,SYRS
3.96,3.96,3.94,3.94,2500,2021-12-01 16:00:00,SYRS
3.94,3.95,3.94,3.95,3079,2021-12-01 16:01:00,SYRS
3.9426,3.95,3.9426,3.95,758,2021-12-01 16:02:00,SYRS
3.96,3.96,3.96,3.96,100,2021-12-01 16:03:00,SYRS
3.95,3.95,3.95,3.95,100,2021-12-01 16:07:00,SYRS
3.95,3.95,3.94,3.94,1800,2021-12-01 16:08:00,SYRS
3.945,3.945,3.945,3.945,100,2021-12-01 16:21:00,SYRS
3.945,3.945,3.945,3.945,200,2021-12-01 16:22:00,SYRS
3.945,3.95,3.945,3.95,500,2021-12-01 16:25:00,SYRS
3.94,3.94,3.92,3.93,2900,2021-12-01 16:26:00,SYRS
3.92,3.92,3.92,3.92,216,2021-12-01 16:27:00,SYRS
3.9163,3.9277,3.9163,3.9277,361,2021-12-01 16:28:00,SYRS
3.9047,3.9047,3.88,3.88,2000,2021-12-01 16:29:00,SYRS
3.89,3.89,3.89,3.89,800,2021-12-01 16:31:00,SYRS
3.89,3.89,3.89,3.89,300,2021-12-01 16:32:00,SYRS
3.88,3.88,3.87,3.87,2449,2021-12-01 16:33:00,SYRS
3.89,3.89,3.89,3.89,921,2021-12-01 16:40:00,SYRS
3.88,3.88,3.88,3.88,700,2021-12-01 16:41:00,SYRS
3.88,3.88,3.87,3.875,2000,2021-12-01 16:42:00,SYRS
3.875,3.875,3.875,3.875,100,2021-12-01 16:44:00,SYRS
3.87,3.87,3.87,3.87,100,2021-12-01 16:45:00,SYRS
3.88,3.88,3.86,3.87,2400,2021-12-01 16:46:00,SYRS
3.86,3.86,3.86,3.86,700,2021-12-01 16:49:00,SYRS
3.86,3.86,3.86,3.86,100,2021-12-01 16:50:00,SYRS
3.8699,3.8699,3.83,3.84,3148,2021-12-01 16:52:00,SYRS
3.85,3.85,3.85,3.85,245,2021-12-01 16:53:00,SYRS
3.84,3.84,3.82,3.82,300,2021-12-01 16:55:00,SYRS
3.835,3.835,3.835,3.835,100,2021-12-01 17:00:00,SYRS
3.835,3.835,3.835,3.835,100,2021-12-01 17:02:00,SYRS
3.835,3.835,3.835,3.835,100,2021-12-01 17:04:00,SYRS
3.83,3.83,3.83,3.83,222,2021-12-01 17:06:00,SYRS
3.835,3.835,3.835,3.835,100,2021-12-01 17:07:00,SYRS
3.8201,3.8201,3.82,3.82,5000,2021-12-01 17:08:00,SYRS
