open,high,low,close,volume,datetime,symbol
18.77,20.1194,18.28,19.26,3415154,2021-09-16 05:00:00,ACT
19.06,19.71,18.77,18.77,664033,2021-09-17 05:00:00,ACT
18.25,19.19,18.02,18.62,1069152,2021-09-20 05:00:00,ACT
19.01,19.5043,18.705,18.78,261108,2021-09-21 05:00:00,ACT
18.82,20.35,18.67,20.11,332526,2021-09-22 05:00:00,ACT
20.12,20.89,20.12,20.55,370751,2021-09-23 05:00:00,ACT
20.44,20.825,19.566,20.62,159571,2021-09-24 05:00:00,ACT
20.99,20.99,20.4,20.56,262693,2021-09-27 05:00:00,ACT
20.56,20.7102,20.32,20.62,169406,2021-09-28 05:00:00,ACT
20.63,20.83,20.3801,20.75,92763,2021-09-29 05:00:00,ACT
20.58,20.9045,20.46,20.7,76535,2021-09-30 05:00:00,ACT
20.82,20.98,20.425,20.54,92849,2021-10-01 05:00:00,ACT
20.44,20.61,19.7,20.03,126505,2021-10-04 05:00:00,ACT
20.16,20.19,18.92,19.61,113217,2021-10-05 05:00:00,ACT
19.58,19.94,19.33,19.77,52177,2021-10-06 05:00:00,ACT
19.87,19.97,19.28,19.68,94973,2021-10-07 05:00:00,ACT
19.82,20.21,19.59,19.68,67464,2021-10-08 05:00:00,ACT
19.5,20.26,19.13,19.22,357360,2021-10-11 05:00:00,ACT
19.54,19.7,19.21,19.27,398558,2021-10-12 05:00:00,ACT
19.17,19.8,18.98,19.52,644761,2021-10-13 05:00:00,ACT
19.76,20.37,19.62,20.09,573558,2021-10-14 05:00:00,ACT
20.27,20.46,19.66,20.33,149185,2021-10-15 05:00:00,ACT
20.48,20.68,20.34,20.56,127604,2021-10-18 05:00:00,ACT
20.72,21.54,20.295,21.28,209721,2021-10-19 05:00:00,ACT
21.82,22.1,21.29,21.92,267332,2021-10-20 05:00:00,ACT
21.81,22.02,21.32,21.76,132295,2021-10-21 05:00:00,ACT
21.75,22.0428,21.55,21.75,147700,2021-10-22 05:00:00,ACT
21.77,21.92,21.34,21.48,72380,2021-10-25 05:00:00,ACT
21.35,21.53,21.12,21.27,73336,2021-10-26 05:00:00,ACT
21.27,22.0047,21.27,21.76,72489,2021-10-27 05:00:00,ACT
21.81,22.02,21.68,21.83,104367,2021-10-28 05:00:00,ACT
21.26,22.03,21.26,21.75,93391,2021-10-29 05:00:00,ACT
21.58,21.99,21.485,21.87,140117,2021-11-01 05:00:00,ACT
22.04,22.04,21.33,21.41,129013,2021-11-02 05:00:00,ACT
21.41,22.77,21.1442,22.13,232493,2021-11-03 05:00:00,ACT
21.97,22.77,21.91,22.29,245237,2021-11-04 05:00:00,ACT
22.46,22.6841,21.88,22.0,164886,2021-11-05 05:00:00,ACT
22.04,22.52,21.84,21.94,69133,2021-11-08 06:00:00,ACT
21.77,21.8,21.13,21.22,171137,2021-11-09 06:00:00,ACT
21.2,21.315,20.89,21.08,91477,2021-11-10 06:00:00,ACT
21.14,21.8682,20.645,20.73,332718,2021-11-11 06:00:00,ACT
20.79,21.05,20.65,20.77,144185,2021-11-12 06:00:00,ACT
21.25,21.58,21.1766,21.57,233723,2021-11-15 06:00:00,ACT
21.76,22.07,21.52,22.01,154256,2021-11-16 06:00:00,ACT
21.83,21.87,21.12,21.72,158354,2021-11-17 06:00:00,ACT
21.83,22.07,21.34,21.93,93830,2021-11-18 06:00:00,ACT
22.02,22.3,21.61,21.79,198432,2021-11-19 06:00:00,ACT
21.98,22.4102,21.87,21.91,170784,2021-11-22 06:00:00,ACT
22.05,22.15,20.98,21.66,237810,2021-11-23 06:00:00,ACT
21.39,21.99,21.25,21.64,158529,2021-11-24 06:00:00,ACT
21.5,21.53,20.82,21.4,137550,2021-11-26 06:00:00,ACT
21.78,21.78,20.81,20.93,370329,2021-11-29 06:00:00,ACT
20.8,21.13,20.69,20.76,140107,2021-11-30 06:00:00,ACT
21.02,21.51,20.75,20.89,118452,2021-12-01 06:00:00,ACT
21.0,21.64,20.725,21.36,230106,2021-12-02 06:00:00,ACT
21.51,21.6,20.8,21.17,197821,2021-12-03 06:00:00,ACT
21.11,21.595,21.01,21.33,143507,2021-12-06 06:00:00,ACT
21.5,21.55,20.94,21.4,177750,2021-12-07 06:00:00,ACT
21.35,21.355,20.79,20.97,107406,2021-12-08 06:00:00,ACT
20.82,20.93,20.43,20.76,112486,2021-12-09 06:00:00,ACT
20.72,21.34,20.71,20.81,64426,2021-12-10 06:00:00,ACT
20.84,20.84,20.5,20.7,105973,2021-12-13 06:00:00,ACT
20.8,21.27,20.62,20.82,154075,2021-12-14 06:00:00,ACT
20.64,21.55,20.59,21.25,204945,2021-12-15 06:00:00,ACT
21.29,21.9,20.4105,20.61,266418,2021-12-16 06:00:00,ACT
20.46,21.15,18.76,19.3,2419995,2021-12-17 06:00:00,ACT
19.52,19.72,19.05,19.35,305726,2021-12-20 06:00:00,ACT
19.55,19.85,19.335,19.6,146735,2021-12-21 06:00:00,ACT
19.61,19.92,19.565,19.78,101835,2021-12-22 06:00:00,ACT
19.88,20.2075,19.88,20.01,67373,2021-12-23 06:00:00,ACT
20.07,20.25,19.8,20.22,65916,2021-12-27 06:00:00,ACT
20.24,20.4,19.99,20.2,212633,2021-12-28 06:00:00,ACT
20.12,20.5,20.12,20.38,67259,2021-12-29 06:00:00,ACT
20.47,20.93,20.34,20.55,76987,2021-12-30 06:00:00,ACT
20.45,20.8,20.405,20.67,67176,2021-12-31 06:00:00,ACT
20.73,21.42,20.73,21.23,108468,2022-01-03 06:00:00,ACT
21.27,21.8,21.23,21.68,116964,2022-01-04 06:00:00,ACT
21.68,22.07,21.56,21.71,141633,2022-01-05 06:00:00,ACT
21.85,22.01,21.38,21.97,103383,2022-01-06 06:00:00,ACT
21.83,22.3575,21.83,22.24,132694,2022-01-07 06:00:00,ACT
22.14,22.28,21.665,22.14,163516,2022-01-10 06:00:00,ACT
22.43,22.59,21.745,21.92,148546,2022-01-11 06:00:00,ACT
21.91,22.46,21.86,22.36,199940,2022-01-12 06:00:00,ACT
22.57,22.69,22.075,22.28,148165,2022-01-13 06:00:00,ACT
22.07,22.45,21.85,22.34,84447,2022-01-14 06:00:00,ACT
22.28,22.38,21.64,21.76,93467,2022-01-18 06:00:00,ACT
21.91,22.54,21.58,21.67,154312,2022-01-19 06:00:00,ACT
21.76,21.94,21.02,21.19,204391,2022-01-20 06:00:00,ACT
20.98,21.62,20.94,21.08,141124,2022-01-21 06:00:00,ACT
20.82,21.3,20.4,20.98,150859,2022-01-24 06:00:00,ACT
20.93,21.73,20.48,21.19,133879,2022-01-25 06:00:00,ACT
21.45,21.9,20.63,21.03,200902,2022-01-26 06:00:00,ACT
21.22,21.76,20.73,20.86,132331,2022-01-27 06:00:00,ACT
20.84,21.395,20.53,21.14,147275,2022-01-28 06:00:00,ACT
21.08,21.94,21.06,21.88,141661,2022-01-31 06:00:00,ACT
21.83,22.215,21.615,22.14,119699,2022-02-01 06:00:00,ACT
21.53,22.11,21.4,21.64,200852,2022-02-02 06:00:00,ACT
21.7,21.7,21.19,21.25,173898,2022-02-03 06:00:00,ACT
21.25,21.38,20.86,21.04,97435,2022-02-04 06:00:00,ACT
21.01,21.46,20.93,21.41,136288,2022-02-07 06:00:00,ACT
21.56,22.05,21.5,21.87,128582,2022-02-08 06:00:00,ACT
22.52,22.7,22.2,22.33,162765,2022-02-09 06:00:00,ACT
22.05,23.09,22.05,22.66,345570,2022-02-10 06:00:00,ACT
22.82,22.9,21.99,22.15,194150,2022-02-11 06:00:00,ACT
22.22,22.7,21.9,22.15,124595,2022-02-14 06:00:00,ACT
22.41,22.97,22.11,22.31,102286,2022-02-15 06:00:00,ACT
22.16,23.09,22.1,22.63,140543,2022-02-16 06:00:00,ACT
22.51,22.64,21.91,22.11,84611,2022-02-17 06:00:00,ACT
21.99,22.29,21.5,21.58,236771,2022-02-18 06:00:00,ACT
21.48,21.615,20.87,21.1,120742,2022-02-22 06:00:00,ACT
21.23,21.39,20.76,20.9,149934,2022-02-23 06:00:00,ACT
20.44,20.865,20.145,20.7,126911,2022-02-24 06:00:00,ACT
20.76,21.25,20.23,21.18,83364,2022-02-25 06:00:00,ACT
20.83,21.09,20.59,20.8,128143,2022-02-28 06:00:00,ACT
20.59,20.78,19.97,20.09,97153,2022-03-01 06:00:00,ACT
20.04,20.89,20.04,20.75,125652,2022-03-02 06:00:00,ACT
20.75,21.28,20.09,20.65,143046,2022-03-03 06:00:00,ACT
20.28,20.775,19.764,20.19,103284,2022-03-04 06:00:00,ACT
20.19,20.19,19.46,19.5,99672,2022-03-07 06:00:00,ACT
19.56,20.1,19.21,19.77,81271,2022-03-08 06:00:00,ACT
20.16,20.52,20.09,20.36,82037,2022-03-09 06:00:00,ACT
20.01,20.41,20.0,20.32,129482,2022-03-10 06:00:00,ACT
20.56,20.98,20.4,20.89,107560,2022-03-11 06:00:00,ACT
21.11,21.77,20.97,21.24,201967,2022-03-14 05:00:00,ACT
21.28,21.56,20.98,21.25,90686,2022-03-15 05:00:00,ACT
21.55,22.12,21.35,22.04,139855,2022-03-16 05:00:00,ACT
22.08,22.39,21.75,21.88,95888,2022-03-17 05:00:00,ACT
21.87,22.14,21.49,21.95,121596,2022-03-18 05:00:00,ACT
22.18,22.63,21.58,22.36,103448,2022-03-21 05:00:00,ACT
22.47,23.12,22.33,22.5,106500,2022-03-22 05:00:00,ACT
22.4,22.63,22.05,22.13,75066,2022-03-23 05:00:00,ACT
22.05,22.51,22.04,22.45,31947,2022-03-24 05:00:00,ACT
22.58,22.95,22.27,22.87,71602,2022-03-25 05:00:00,ACT
22.92,22.99,22.25,22.59,74321,2022-03-28 05:00:00,ACT
22.79,23.23,22.6,23.11,95921,2022-03-29 05:00:00,ACT
23.05,23.19,22.18,22.48,62626,2022-03-30 05:00:00,ACT
22.3,23.14,22.15,22.25,106130,2022-03-31 05:00:00,ACT
22.42,22.68,22.05,22.29,60004,2022-04-01 05:00:00,ACT
22.34,23.03,21.83,21.97,49927,2022-04-04 05:00:00,ACT
21.98,22.11,21.65,21.85,72777,2022-04-05 05:00:00,ACT
21.81,22.21,21.25,21.31,111970,2022-04-06 05:00:00,ACT
21.25,21.985,20.76,21.03,93038,2022-04-07 05:00:00,ACT
21.17,21.69,20.65,21.14,87278,2022-04-08 05:00:00,ACT
21.04,21.655,20.77,21.21,73474,2022-04-11 05:00:00,ACT
21.33,22.1,21.1,21.37,89211,2022-04-12 05:00:00,ACT
21.31,21.92,21.31,21.74,73389,2022-04-13 05:00:00,ACT
