open,high,low,close,volume,datetime,symbol
6.17,6.23,5.95,6.14,3225902,2021-04-13 05:00:00,CLVS
6.14,6.42,6.07,6.25,3715211,2021-04-14 05:00:00,CLVS
6.25,6.4,6.01,6.1,3613594,2021-04-15 05:00:00,CLVS
6.06,6.13,5.9,5.98,3312052,2021-04-16 05:00:00,CLVS
5.875,6.14,5.76,5.78,3730469,2021-04-19 05:00:00,CLVS
5.75,5.8002,5.48,5.67,4858611,2021-04-20 05:00:00,CLVS
5.67,6.03,5.56,6.0,3516716,2021-04-21 05:00:00,CLVS
6.0379,6.32,5.845,6.09,4176556,2021-04-22 05:00:00,CLVS
6.08,6.205,5.95,6.09,2591356,2021-04-23 05:00:00,CLVS
6.13,6.4284,6.05,6.29,3162044,2021-04-26 05:00:00,CLVS
6.35,6.43,6.1,6.15,2114569,2021-04-27 05:00:00,CLVS
6.12,6.24,6.07,6.15,1956360,2021-04-28 05:00:00,CLVS
6.23,6.24,5.95,6.02,2355934,2021-04-29 05:00:00,CLVS
5.95,6.1612,5.9,5.94,2447985,2021-04-30 05:00:00,CLVS
5.97,5.99,5.67,5.77,2763266,2021-05-03 05:00:00,CLVS
5.75,5.75,5.45,5.51,4741186,2021-05-04 05:00:00,CLVS
5.28,6.36,5.27,5.86,12758584,2021-05-05 05:00:00,CLVS
5.84,5.89,5.39,5.67,4918697,2021-05-06 05:00:00,CLVS
5.73,5.92,5.6,5.64,4531340,2021-05-07 05:00:00,CLVS
5.62,5.6402,5.25,5.29,5625153,2021-05-10 05:00:00,CLVS
5.065,5.67,5.03,5.61,3199191,2021-05-11 05:00:00,CLVS
5.4456,6.069,5.4456,5.71,3842748,2021-05-12 05:00:00,CLVS
5.8,5.89,5.44,5.62,3231163,2021-05-13 05:00:00,CLVS
5.7,6.0,5.68,5.87,3224544,2021-05-14 05:00:00,CLVS
5.8,6.05,5.75,5.87,2297758,2021-05-17 05:00:00,CLVS
5.79,5.7927,5.49,5.49,4610571,2021-05-18 05:00:00,CLVS
5.47,5.515,5.24,5.27,3912093,2021-05-19 05:00:00,CLVS
5.35,5.5,5.21,5.28,3606084,2021-05-20 05:00:00,CLVS
5.33,5.4,5.18,5.18,3463972,2021-05-21 05:00:00,CLVS
5.21,5.22,4.99,5.065,6262850,2021-05-24 05:00:00,CLVS
5.05,5.18,5.02,5.02,4191325,2021-05-25 05:00:00,CLVS
5.05,5.13,5.01,5.06,3068095,2021-05-26 05:00:00,CLVS
5.12,5.33,5.0345,5.22,4999294,2021-05-27 05:00:00,CLVS
5.22,5.29,5.11,5.13,3444167,2021-05-28 05:00:00,CLVS
5.2,5.22,5.1,5.13,2686427,2021-06-01 05:00:00,CLVS
5.19,5.53,5.13,5.51,10673907,2021-06-02 05:00:00,CLVS
5.6,5.82,5.36,5.37,9367682,2021-06-03 05:00:00,CLVS
