open,high,low,close,volume,datetime,symbol
7.8595,8.14,7.77,8.03,349572,2021-07-08 05:00:00,CODX
8.03,8.26,7.98,8.14,250713,2021-07-09 05:00:00,CODX
8.11,8.1814,7.96,8.11,236885,2021-07-12 05:00:00,CODX
8.06,8.2902,8.06,8.1,316525,2021-07-13 05:00:00,CODX
8.12,8.16,7.48,7.48,575619,2021-07-14 05:00:00,CODX
7.46,7.72,7.3492,7.62,349376,2021-07-15 05:00:00,CODX
7.7,7.98,7.62,7.86,334542,2021-07-16 05:00:00,CODX
7.82,9.15,7.69,8.62,4404963,2021-07-19 05:00:00,CODX
8.47,8.6799,7.79,8.08,1435554,2021-07-20 05:00:00,CODX
8.14,8.78,7.88,8.7,850405,2021-07-21 05:00:00,CODX
8.87,11.2,8.61,10.54,13588451,2021-07-22 05:00:00,CODX
9.8575,9.9,8.92,9.12,2256912,2021-07-23 05:00:00,CODX
9.2,9.619,9.0,9.26,936079,2021-07-26 05:00:00,CODX
9.35,10.11,8.95,9.58,1645744,2021-07-27 05:00:00,CODX
9.65,10.36,9.52,9.86,999440,2021-07-28 05:00:00,CODX
9.97,10.15,9.63,9.83,647559,2021-07-29 05:00:00,CODX
9.83,10.98,9.83,10.11,2569644,2021-07-30 05:00:00,CODX
10.13,10.1999,9.54,9.96,1176869,2021-08-02 05:00:00,CODX
9.96,10.85,9.9101,10.31,1345907,2021-08-03 05:00:00,CODX
10.35,11.0399,10.13,10.17,1985922,2021-08-04 05:00:00,CODX
10.17,10.35,9.82,10.28,729612,2021-08-05 05:00:00,CODX
10.11,10.176,9.56,9.9,874578,2021-08-06 05:00:00,CODX
9.92,10.17,9.32,9.5,1812085,2021-08-09 05:00:00,CODX
9.55,10.47,9.48,9.78,1757402,2021-08-10 05:00:00,CODX
9.94,9.9699,9.12,9.55,927056,2021-08-11 05:00:00,CODX
9.48,9.76,9.22,9.67,1587713,2021-08-12 05:00:00,CODX
10.45,11.55,10.03,10.6,6661917,2021-08-13 05:00:00,CODX
10.7,11.6,10.31,11.38,2865268,2021-08-16 05:00:00,CODX
11.38,11.82,10.85,11.04,2251376,2021-08-17 05:00:00,CODX
10.93,10.9438,9.93,9.98,1757978,2021-08-18 05:00:00,CODX
9.86,10.23,9.77,9.95,704025,2021-08-19 05:00:00,CODX
9.94,10.69,9.89,10.49,1227347,2021-08-20 05:00:00,CODX
10.57,10.95,10.36,10.78,854626,2021-08-23 05:00:00,CODX
10.9,10.92,10.6,10.82,411344,2021-08-24 05:00:00,CODX
10.77,11.44,10.7,10.93,746268,2021-08-25 05:00:00,CODX
10.98,11.16,10.81,10.98,411367,2021-08-26 05:00:00,CODX
10.96,11.17,10.84,10.86,348425,2021-08-27 05:00:00,CODX
10.86,10.989,10.7273,10.82,450523,2021-08-30 05:00:00,CODX
10.85,11.07,10.6,10.75,473800,2021-08-31 05:00:00,CODX
10.71,10.94,10.48,10.87,540272,2021-09-01 05:00:00,CODX
10.88,11.36,10.85,11.13,640710,2021-09-02 05:00:00,CODX
11.1,11.12,10.67,10.74,542350,2021-09-03 05:00:00,CODX
10.68,11.2,10.37,10.44,1131757,2021-09-07 05:00:00,CODX
10.5,10.6786,10.19,10.35,479519,2021-09-08 05:00:00,CODX
10.3,10.84,10.21,10.68,570377,2021-09-09 05:00:00,CODX
10.78,10.9732,10.57,10.58,518438,2021-09-10 05:00:00,CODX
10.51,10.51,9.9,10.02,807408,2021-09-13 05:00:00,CODX
10.02,10.15,9.65,9.69,591492,2021-09-14 05:00:00,CODX
9.72,9.8932,9.52,9.67,475612,2021-09-15 05:00:00,CODX
9.5379,9.95,9.5379,9.85,485302,2021-09-16 05:00:00,CODX
9.92,10.1,9.7484,10.02,416582,2021-09-17 05:00:00,CODX
9.72,9.88,9.45,9.53,605616,2021-09-20 05:00:00,CODX
9.54,9.86,9.52,9.77,327127,2021-09-21 05:00:00,CODX
9.84,10.1799,9.64,9.98,376496,2021-09-22 05:00:00,CODX
9.95,10.0,9.55,9.84,545034,2021-09-23 05:00:00,CODX
9.8,9.84,9.55,9.76,383868,2021-09-24 05:00:00,CODX
9.76,10.07,9.57,10.04,456801,2021-09-27 05:00:00,CODX
10.0,10.06,9.78,9.83,356065,2021-09-28 05:00:00,CODX
9.85,9.88,9.71,9.74,255473,2021-09-29 05:00:00,CODX
9.72,9.98,9.71,9.73,255393,2021-09-30 05:00:00,CODX
9.7,9.73,9.1291,9.39,585363,2021-10-01 05:00:00,CODX
9.31,9.31,8.54,8.65,796474,2021-10-04 05:00:00,CODX
8.6,8.93,8.6,8.72,276942,2021-10-05 05:00:00,CODX
8.63,9.1899,8.37,8.49,749024,2021-10-06 05:00:00,CODX
8.47,8.72,8.26,8.55,416196,2021-10-07 05:00:00,CODX
8.64,8.83,8.51,8.52,221432,2021-10-08 05:00:00,CODX
8.45,8.67,8.45,8.5,281441,2021-10-11 05:00:00,CODX
8.55,8.7249,8.43,8.6,233223,2021-10-12 05:00:00,CODX
8.62,8.81,8.56,8.68,209382,2021-10-13 05:00:00,CODX
8.77,8.931,8.61,8.63,306831,2021-10-14 05:00:00,CODX
8.67,8.8099,8.38,8.38,347141,2021-10-15 05:00:00,CODX
8.5,8.501,8.2377,8.32,219949,2021-10-18 05:00:00,CODX
8.32,8.58,8.32,8.54,250255,2021-10-19 05:00:00,CODX
8.58,8.76,8.5343,8.62,219959,2021-10-20 05:00:00,CODX
8.58,8.7,8.4,8.51,329857,2021-10-21 05:00:00,CODX
8.41,8.58,8.28,8.35,332139,2021-10-22 05:00:00,CODX
8.31,8.45,8.25,8.41,284287,2021-10-25 05:00:00,CODX
8.4,8.4,8.06,8.3,441047,2021-10-26 05:00:00,CODX
8.26,8.33,8.12,8.13,154328,2021-10-27 05:00:00,CODX
8.12,8.28,8.1,8.13,263290,2021-10-28 05:00:00,CODX
8.07,8.32,8.0,8.21,434519,2021-10-29 05:00:00,CODX
8.222,8.62,8.17,8.46,336612,2021-11-01 05:00:00,CODX
8.49,8.5,8.3,8.5,182266,2021-11-02 05:00:00,CODX
8.49,8.6489,8.46,8.57,323690,2021-11-03 05:00:00,CODX
8.6,8.92,8.455,8.52,583767,2021-11-04 05:00:00,CODX
