open,high,low,close,volume,datetime,symbol
10.61,11.25,10.57,11.07,34306,2021-04-13 05:00:00,OPNT
11.27,11.7892,10.6,10.76,22643,2021-04-14 05:00:00,OPNT
10.68,10.94,10.64,10.8,22066,2021-04-15 05:00:00,OPNT
10.78,10.92,10.6984,10.84,7218,2021-04-16 05:00:00,OPNT
10.5624,10.9145,10.5624,10.725,7218,2021-04-19 05:00:00,OPNT
10.5093,10.78,10.5093,10.55,5362,2021-04-20 05:00:00,OPNT
10.8871,10.99,10.56,10.61,7145,2021-04-21 05:00:00,OPNT
10.78,10.8535,10.5,10.75,7302,2021-04-22 05:00:00,OPNT
10.82,11.63,10.78,11.63,27563,2021-04-23 05:00:00,OPNT
11.46,12.4093,11.15,12.2467,21748,2021-04-26 05:00:00,OPNT
12.055,12.38,11.9,12.17,30493,2021-04-27 05:00:00,OPNT
12.0874,12.9,12.0874,12.56,13058,2021-04-28 05:00:00,OPNT
12.71,12.89,12.33,12.33,16455,2021-04-29 05:00:00,OPNT
12.15,12.35,12.11,12.11,9631,2021-04-30 05:00:00,OPNT
12.29,12.38,12.0,12.18,10324,2021-05-03 05:00:00,OPNT
12.18,12.7351,11.83,12.25,24785,2021-05-04 05:00:00,OPNT
12.43,12.45,12.14,12.27,15844,2021-05-05 05:00:00,OPNT
11.7814,12.23,11.5477,11.64,33061,2021-05-06 05:00:00,OPNT
11.58,12.87,11.58,12.5,69000,2021-05-07 05:00:00,OPNT
12.48,12.6,12.2201,12.6,15220,2021-05-10 05:00:00,OPNT
12.0801,12.9,12.0801,12.9,9733,2021-05-11 05:00:00,OPNT
12.5,12.54,12.22,12.51,13124,2021-05-12 05:00:00,OPNT
12.1278,12.665,12.1278,12.4,10884,2021-05-13 05:00:00,OPNT
12.4,12.5,12.1446,12.1492,5395,2021-05-14 05:00:00,OPNT
12.01,12.73,12.0,12.52,5690,2021-05-17 05:00:00,OPNT
12.435,12.6,12.3701,12.43,8718,2021-05-18 05:00:00,OPNT
12.24,12.53,12.1,12.23,5177,2021-05-19 05:00:00,OPNT
12.45,12.9,12.25,12.795,27594,2021-05-20 05:00:00,OPNT
12.9,13.77,12.825,13.75,38410,2021-05-21 05:00:00,OPNT
13.8,13.8495,12.91,13.1,16808,2021-05-24 05:00:00,OPNT
12.93,13.3799,12.5525,12.5525,10670,2021-05-25 05:00:00,OPNT
12.56,12.99,12.56,12.6,9004,2021-05-26 05:00:00,OPNT
13.1899,13.1899,12.4,12.76,17389,2021-05-27 05:00:00,OPNT
12.75,12.75,12.5024,12.65,5355,2021-05-28 05:00:00,OPNT
12.74,12.74,12.38,12.44,7324,2021-06-01 05:00:00,OPNT
12.5,12.6,12.5,12.57,8884,2021-06-02 05:00:00,OPNT
12.57,12.61,12.45,12.6,6298,2021-06-03 05:00:00,OPNT
12.55,12.61,12.4615,12.55,4220,2021-06-04 05:00:00,OPNT
12.63,13.45,12.5495,13.1119,28250,2021-06-07 05:00:00,OPNT
13.25,13.25,12.69,12.8,10108,2021-06-08 05:00:00,OPNT
12.79,13.2293,12.79,12.86,6002,2021-06-09 05:00:00,OPNT
12.89,13.25,12.89,13.24,8289,2021-06-10 05:00:00,OPNT
13.25,13.91,13.25,13.5,50570,2021-06-11 05:00:00,OPNT
13.68,13.74,13.5,13.61,5058,2021-06-14 05:00:00,OPNT
13.435,13.49,12.8885,13.3,17314,2021-06-15 05:00:00,OPNT
13.4717,13.82,12.74,13.55,14210,2021-06-16 05:00:00,OPNT
13.29,13.88,13.219,13.82,25911,2021-06-17 05:00:00,OPNT
13.72,13.9,13.2301,13.9,11537,2021-06-18 05:00:00,OPNT
13.69,13.9,13.605,13.87,13501,2021-06-21 05:00:00,OPNT
13.95,14.3199,13.5,14.19,49762,2021-06-22 05:00:00,OPNT
13.93,14.1,13.8,13.8831,9212,2021-06-23 05:00:00,OPNT
14.2,14.2,13.41,13.72,30621,2021-06-24 05:00:00,OPNT
13.6,14.1,13.02,13.02,32825,2021-06-25 05:00:00,OPNT
13.1,13.6799,13.05,13.41,13540,2021-06-28 05:00:00,OPNT
13.84,13.8629,13.35,13.74,6891,2021-06-29 05:00:00,OPNT
13.93,13.96,13.27,13.37,32610,2021-06-30 05:00:00,OPNT
13.62,14.25,13.1201,14.02,13490,2021-07-01 05:00:00,OPNT
14.21,14.21,13.1,13.69,35578,2021-07-02 05:00:00,OPNT
13.6,13.76,13.218,13.2833,1211902,2021-07-06 05:00:00,OPNT
18.0,19.9,16.0,16.12,5648357,2021-07-07 05:00:00,OPNT
15.38,16.79,14.8401,16.55,421209,2021-07-08 05:00:00,OPNT
16.56,17.34,15.3238,17.21,233458,2021-07-09 05:00:00,OPNT
17.1,18.1,16.5001,18.03,113104,2021-07-12 05:00:00,OPNT
17.99,18.98,16.5,16.51,90016,2021-07-13 05:00:00,OPNT
16.78,17.0,16.52,16.52,43138,2021-07-14 05:00:00,OPNT
16.48,16.7625,15.47,15.94,32486,2021-07-15 05:00:00,OPNT
15.98,16.5376,15.98,16.03,28521,2021-07-16 05:00:00,OPNT
15.65,16.51,15.41,16.41,41970,2021-07-19 05:00:00,OPNT
16.52,17.11,16.26,17.11,58061,2021-07-20 05:00:00,OPNT
17.06,17.4,16.4615,17.19,21423,2021-07-21 05:00:00,OPNT
17.23,17.49,16.79,16.79,23049,2021-07-22 05:00:00,OPNT
17.07,17.87,16.65,17.41,45352,2021-07-23 05:00:00,OPNT
17.67,17.67,16.66,16.83,34374,2021-07-26 05:00:00,OPNT
16.89,16.89,16.0353,16.27,35177,2021-07-27 05:00:00,OPNT
16.48,16.5499,15.02,15.13,70203,2021-07-28 05:00:00,OPNT
15.09,15.8899,15.09,15.6,29754,2021-07-29 05:00:00,OPNT
15.6,16.39,15.6,16.12,13649,2021-07-30 05:00:00,OPNT
16.1,16.9999,15.59,16.19,35339,2021-08-02 05:00:00,OPNT
16.39,16.6,15.715,16.08,42021,2021-08-03 05:00:00,OPNT
16.19,16.19,15.06,15.27,40931,2021-08-04 05:00:00,OPNT
15.33,15.8,15.33,15.78,12180,2021-08-05 05:00:00,OPNT
16.02,16.65,15.71,16.15,45027,2021-08-06 05:00:00,OPNT
16.11,16.48,15.8,15.8,43837,2021-08-09 05:00:00,OPNT
15.99,16.38,15.868,16.08,30192,2021-08-10 05:00:00,OPNT
16.11,16.11,15.52,15.61,12807,2021-08-11 05:00:00,OPNT
15.67,16.175,15.4001,16.02,16199,2021-08-12 05:00:00,OPNT
16.09,16.22,15.3504,15.48,30548,2021-08-13 05:00:00,OPNT
