open,high,low,close,volume,datetime,symbol
6.22,6.26,6.1627,6.22,913771,2021-03-25 05:00:00,OXLC
6.2,6.28,6.17,6.21,825372,2021-03-26 05:00:00,OXLC
6.23,6.3,6.185,6.25,1096597,2021-03-29 05:00:00,OXLC
6.25,6.321,6.22,6.27,762809,2021-03-30 05:00:00,OXLC
6.31,6.34,6.28,6.3,709037,2021-03-31 05:00:00,OXLC
6.31,6.335,6.22,6.29,917212,2021-04-01 05:00:00,OXLC
6.3,6.44,6.2986,6.42,722791,2021-04-05 05:00:00,OXLC
6.46,6.59,6.45,6.57,959175,2021-04-06 05:00:00,OXLC
6.57,6.645,6.57,6.64,1058894,2021-04-07 05:00:00,OXLC
6.62,6.65,6.56,6.65,777544,2021-04-08 05:00:00,OXLC
6.62,6.7,6.611,6.69,1225160,2021-04-09 05:00:00,OXLC
6.69,6.7,6.585,6.65,896857,2021-04-12 05:00:00,OXLC
6.68,6.76,6.65,6.76,1298467,2021-04-13 05:00:00,OXLC
6.74,6.76,6.62,6.62,1182149,2021-04-14 05:00:00,OXLC
6.57,6.59,6.41,6.46,896655,2021-04-15 05:00:00,OXLC
6.43,6.5752,6.42,6.51,507597,2021-04-16 05:00:00,OXLC
6.55,6.63,6.5025,6.55,984551,2021-04-19 05:00:00,OXLC
6.55,6.5863,6.4,6.44,714129,2021-04-20 05:00:00,OXLC
6.44,6.63,6.43,6.63,660819,2021-04-21 05:00:00,OXLC
6.59,6.63,6.55,6.61,498104,2021-04-22 05:00:00,OXLC
6.6063,6.63,6.58,6.61,345600,2021-04-23 05:00:00,OXLC
6.62,6.6731,6.6001,6.66,560297,2021-04-26 05:00:00,OXLC
6.65,6.72,6.65,6.66,593029,2021-04-27 05:00:00,OXLC
6.66,6.74,6.654,6.74,622670,2021-04-28 05:00:00,OXLC
6.75,6.75,6.66,6.7,590350,2021-04-29 05:00:00,OXLC
6.73,6.79,6.691,6.74,588489,2021-04-30 05:00:00,OXLC
6.78,6.795,6.71,6.74,720384,2021-05-03 05:00:00,OXLC
6.75,6.81,6.74,6.8,609014,2021-05-04 05:00:00,OXLC
6.82,6.95,6.79,6.94,702004,2021-05-05 05:00:00,OXLC
6.94,7.15,6.9001,7.1,881618,2021-05-06 05:00:00,OXLC
7.13,7.25,7.0501,7.16,846781,2021-05-07 05:00:00,OXLC
7.21,7.23,7.11,7.12,1257972,2021-05-10 05:00:00,OXLC
7.08,7.08,6.9,7.07,1191744,2021-05-11 05:00:00,OXLC
7.12,7.14,6.49,6.74,2419005,2021-05-12 05:00:00,OXLC
6.7291,7.1,6.7291,7.1,1039693,2021-05-13 05:00:00,OXLC
7.1176,7.1176,6.76,6.86,1939120,2021-05-14 05:00:00,OXLC
6.89,6.91,6.77,6.84,877618,2021-05-17 05:00:00,OXLC
6.87,6.93,6.79,6.84,901900,2021-05-18 05:00:00,OXLC
6.82,6.86,6.72,6.81,946951,2021-05-19 05:00:00,OXLC
6.83,6.86,6.78,6.83,621991,2021-05-20 05:00:00,OXLC
6.88,6.9,6.75,6.79,703907,2021-05-21 05:00:00,OXLC
6.83,6.8699,6.75,6.81,789907,2021-05-24 05:00:00,OXLC
6.83,6.85,6.77,6.78,687875,2021-05-25 05:00:00,OXLC
6.8382,6.92,6.81,6.89,961398,2021-05-26 05:00:00,OXLC
6.92,7.0106,6.9,6.95,1655570,2021-05-27 05:00:00,OXLC
6.97,7.0,6.94,6.95,1036027,2021-05-28 05:00:00,OXLC
6.95,7.12,6.94,7.09,1225003,2021-06-01 05:00:00,OXLC
7.15,7.38,7.12,7.35,2043917,2021-06-02 05:00:00,OXLC
7.32,7.8,7.32,7.79,2865666,2021-06-03 05:00:00,OXLC
7.865,7.88,7.65,7.82,1244061,2021-06-04 05:00:00,OXLC
7.82,7.85,7.63,7.7,1499498,2021-06-07 05:00:00,OXLC
7.705,7.73,7.5159,7.57,1273764,2021-06-08 05:00:00,OXLC
7.62,7.63,7.54,7.56,854252,2021-06-09 05:00:00,OXLC
7.61,7.63,7.49,7.54,1160468,2021-06-10 05:00:00,OXLC
7.56,7.58,7.4,7.43,1441248,2021-06-11 05:00:00,OXLC
7.5,7.56,7.43,7.52,1412062,2021-06-14 05:00:00,OXLC
7.45,7.52,7.31,7.35,1312257,2021-06-15 05:00:00,OXLC
7.38,7.409,7.35,7.38,688219,2021-06-16 05:00:00,OXLC
7.38,7.41,7.3,7.34,974347,2021-06-17 05:00:00,OXLC
7.35,7.5399,7.3,7.5,891227,2021-06-18 05:00:00,OXLC
7.5,7.54,7.39,7.4,917724,2021-06-21 05:00:00,OXLC
7.455,7.455,7.36,7.38,603467,2021-06-22 05:00:00,OXLC
7.39,7.45,7.34,7.34,675097,2021-06-23 05:00:00,OXLC
7.385,7.43,7.34,7.4,899075,2021-06-24 05:00:00,OXLC
7.43,7.48,7.35,7.36,778641,2021-06-25 05:00:00,OXLC
7.4,7.4,7.32,7.38,790580,2021-06-28 05:00:00,OXLC
7.39,7.4,7.34,7.37,616407,2021-06-29 05:00:00,OXLC
7.42,7.49,7.34,7.41,1382848,2021-06-30 05:00:00,OXLC
7.45,7.53,7.42,7.46,1457749,2021-07-01 05:00:00,OXLC
7.5,7.63,7.49,7.56,2909322,2021-07-02 05:00:00,OXLC
7.61,7.65,7.38,7.42,1882589,2021-07-06 05:00:00,OXLC
7.45,7.49,7.32,7.39,897267,2021-07-07 05:00:00,OXLC
7.18,7.44,7.09,7.42,1041512,2021-07-08 05:00:00,OXLC
7.44,7.4623,7.375,7.41,753902,2021-07-09 05:00:00,OXLC
7.44,7.61,7.4,7.57,1641175,2021-07-12 05:00:00,OXLC
7.59,7.63,7.47,7.6,1301299,2021-07-13 05:00:00,OXLC
7.61,7.63,7.49,7.53,1324698,2021-07-14 05:00:00,OXLC
7.46,7.5,7.39,7.45,899594,2021-07-15 05:00:00,OXLC
7.45,7.58,7.43,7.48,3079697,2021-07-16 05:00:00,OXLC
7.37,7.44,7.12,7.15,2626096,2021-07-19 05:00:00,OXLC
7.2168,7.3,7.16,7.18,1446945,2021-07-20 05:00:00,OXLC
7.23,7.5,7.205,7.49,1172923,2021-07-21 05:00:00,OXLC
7.41,7.44,7.31,7.37,570428,2021-07-22 05:00:00,OXLC
7.39,7.4,7.29,7.31,515331,2021-07-23 05:00:00,OXLC
7.29,7.33,7.2,7.22,1077266,2021-07-26 05:00:00,OXLC
7.26,7.26,6.86,6.97,1738093,2021-07-27 05:00:00,OXLC
7.0,7.15,6.96,7.09,772288,2021-07-28 05:00:00,OXLC
7.14,7.2,7.09,7.1,548261,2021-07-29 05:00:00,OXLC
7.15,7.17,7.07,7.14,570910,2021-07-30 05:00:00,OXLC
7.15,7.35,7.13,7.31,1146942,2021-08-02 05:00:00,OXLC
7.32,7.34,7.205,7.32,732233,2021-08-03 05:00:00,OXLC
7.3,7.4,7.245,7.3,962392,2021-08-04 05:00:00,OXLC
7.38,7.45,7.32,7.45,1165291,2021-08-05 05:00:00,OXLC
7.4746,7.5,7.41,7.42,750557,2021-08-06 05:00:00,OXLC
7.45,7.577,7.42,7.57,1367479,2021-08-09 05:00:00,OXLC
7.58,7.59,7.405,7.41,942761,2021-08-10 05:00:00,OXLC
7.42,7.43,7.31,7.33,963774,2021-08-11 05:00:00,OXLC
7.34,7.37,7.295,7.34,720298,2021-08-12 05:00:00,OXLC
7.36,7.38,7.28,7.28,1114078,2021-08-13 05:00:00,OXLC
7.1876,7.26,7.125,7.2,945554,2021-08-16 05:00:00,OXLC
7.19,7.26,7.14,7.24,670895,2021-08-17 05:00:00,OXLC
7.24,7.24,7.14,7.15,688194,2021-08-18 05:00:00,OXLC
7.12,7.125,7.03,7.06,1569194,2021-08-19 05:00:00,OXLC
7.08,7.1275,7.04,7.05,593357,2021-08-20 05:00:00,OXLC
7.08,7.141,7.055,7.07,1094516,2021-08-23 05:00:00,OXLC
7.1,7.19,7.05,7.11,925746,2021-08-24 05:00:00,OXLC
7.1616,7.1616,7.11,7.14,731256,2021-08-25 05:00:00,OXLC
7.16,7.18,7.12,7.14,1279254,2021-08-26 05:00:00,OXLC
7.16,7.21,7.15,7.17,1331613,2021-08-27 05:00:00,OXLC
7.19,7.201,7.09,7.09,1020773,2021-08-30 05:00:00,OXLC
7.13,7.14,7.08,7.08,884455,2021-08-31 05:00:00,OXLC
7.11,7.26,7.11,7.22,855773,2021-09-01 05:00:00,OXLC
7.26,7.35,7.25,7.31,1145502,2021-09-02 05:00:00,OXLC
7.35,7.39,7.25,7.39,675710,2021-09-03 05:00:00,OXLC
7.4,7.43,7.35,7.38,969196,2021-09-07 05:00:00,OXLC
7.38,7.38,7.14,7.2,2081470,2021-09-08 05:00:00,OXLC
7.25,7.34,7.17,7.18,981980,2021-09-09 05:00:00,OXLC
7.2,7.25,7.13,7.14,945267,2021-09-10 05:00:00,OXLC
7.17,7.205,7.08,7.18,1108105,2021-09-13 05:00:00,OXLC
7.18,7.25,7.13,7.19,1295493,2021-09-14 05:00:00,OXLC
7.1432,7.18,7.07,7.16,667635,2021-09-15 05:00:00,OXLC
7.1762,7.19,7.09,7.11,507366,2021-09-16 05:00:00,OXLC
7.14,7.18,7.13,7.15,471940,2021-09-17 05:00:00,OXLC
7.07,7.14,7.01,7.12,1570087,2021-09-20 05:00:00,OXLC
7.12,7.21,7.12,7.21,647397,2021-09-21 05:00:00,OXLC
7.2,7.27,7.135,7.14,780695,2021-09-22 05:00:00,OXLC
7.18,7.2,7.12,7.12,925428,2021-09-23 05:00:00,OXLC
7.15,7.16,7.08,7.09,566401,2021-09-24 05:00:00,OXLC
7.12,7.16,7.1,7.11,846577,2021-09-27 05:00:00,OXLC
7.15,7.15,7.05,7.11,1046012,2021-09-28 05:00:00,OXLC
7.14,7.14,7.09,7.11,559092,2021-09-29 05:00:00,OXLC
7.12,7.25,7.1,7.21,964376,2021-09-30 05:00:00,OXLC
7.23,7.33,7.21,7.33,1423867,2021-10-01 05:00:00,OXLC
7.36,7.5,7.341,7.46,1907150,2021-10-04 05:00:00,OXLC
7.46,7.5,7.33,7.35,976429,2021-10-05 05:00:00,OXLC
7.35,7.4301,7.285,7.42,636052,2021-10-06 05:00:00,OXLC
7.44,7.565,7.41,7.47,946213,2021-10-07 05:00:00,OXLC
7.53,7.55,7.45,7.53,757831,2021-10-08 05:00:00,OXLC
7.56,7.58,7.46,7.56,821256,2021-10-11 05:00:00,OXLC
7.56,7.7,7.5,7.65,1087219,2021-10-12 05:00:00,OXLC
7.64,7.74,7.61,7.71,1504631,2021-10-13 05:00:00,OXLC
7.65,7.66,7.55,7.64,720950,2021-10-14 05:00:00,OXLC
7.64,7.71,7.61,7.65,577446,2021-10-15 05:00:00,OXLC
7.64,7.72,7.63,7.65,590897,2021-10-18 05:00:00,OXLC
7.64,7.72,7.57,7.72,575336,2021-10-19 05:00:00,OXLC
7.65,7.81,7.65,7.8,698713,2021-10-20 05:00:00,OXLC
7.78,7.9,7.78,7.82,846936,2021-10-21 05:00:00,OXLC
7.85,7.85,7.73,7.76,612265,2021-10-22 05:00:00,OXLC
7.8,7.87,7.71,7.85,702696,2021-10-25 05:00:00,OXLC
7.89,7.92,7.793,7.87,933592,2021-10-26 05:00:00,OXLC
7.83,7.845,7.7,7.79,878026,2021-10-27 05:00:00,OXLC
7.77,7.94,7.77,7.94,634626,2021-10-28 05:00:00,OXLC
8.105,8.17,8.0,8.0,1480592,2021-10-29 05:00:00,OXLC
8.03,8.3,8.01,8.23,1438561,2021-11-01 05:00:00,OXLC
8.2737,8.4898,8.2737,8.42,1125855,2021-11-02 05:00:00,OXLC
8.41,8.53,8.32,8.41,1060355,2021-11-03 05:00:00,OXLC
8.41,8.42,8.1816,8.2,1231260,2021-11-04 05:00:00,OXLC
8.25,8.27,8.19,8.21,965002,2021-11-05 05:00:00,OXLC
8.26,8.27,8.19,8.2,1230254,2021-11-08 06:00:00,OXLC
8.21,8.21,8.08,8.11,1185453,2021-11-09 06:00:00,OXLC
8.15,8.2,8.09,8.14,1154800,2021-11-10 06:00:00,OXLC
8.17,8.19,8.03,8.07,828715,2021-11-11 06:00:00,OXLC
8.13,8.13,8.042,8.08,1122149,2021-11-12 06:00:00,OXLC
8.08,8.13,8.04,8.05,1732802,2021-11-15 06:00:00,OXLC
8.06,8.1,7.96,7.99,1169469,2021-11-16 06:00:00,OXLC
8.02,8.03,7.88,7.94,1037993,2021-11-17 06:00:00,OXLC
7.9,7.96,7.82,7.87,1364314,2021-11-18 06:00:00,OXLC
7.88,7.93,7.8,7.85,815903,2021-11-19 06:00:00,OXLC
7.87,7.97,7.845,7.89,1469596,2021-11-22 06:00:00,OXLC
7.92,7.96,7.88,7.94,965626,2021-11-23 06:00:00,OXLC
7.97,8.03,7.89,8.02,719267,2021-11-24 06:00:00,OXLC
7.85,7.87,7.685,7.82,1926051,2021-11-26 06:00:00,OXLC
7.9,7.94,7.81,7.84,1539457,2021-11-29 06:00:00,OXLC
7.84,7.84,7.62,7.75,2008103,2021-11-30 06:00:00,OXLC
7.86,8.2,7.8,8.02,2724648,2021-12-01 06:00:00,OXLC
8.12,8.19,8.07,8.14,1174043,2021-12-02 06:00:00,OXLC
8.14,8.14,8.01,8.04,1133652,2021-12-03 06:00:00,OXLC
8.03,8.04,7.8,7.82,1764980,2021-12-06 06:00:00,OXLC
7.86,7.921,7.78,7.81,1218288,2021-12-07 06:00:00,OXLC
7.81,7.81,7.7,7.71,1033291,2021-12-08 06:00:00,OXLC
7.72,7.755,7.67,7.71,1042973,2021-12-09 06:00:00,OXLC
7.74,7.8253,7.69,7.7,1263577,2021-12-10 06:00:00,OXLC
7.74,7.76,7.54,7.57,1256250,2021-12-13 06:00:00,OXLC
7.6,7.631,7.485,7.51,1280990,2021-12-14 06:00:00,OXLC
7.56,7.56,7.39,7.42,1528413,2021-12-15 06:00:00,OXLC
7.4898,7.4898,7.2639,7.28,1294101,2021-12-16 06:00:00,OXLC
7.29,7.51,7.29,7.45,2150505,2021-12-17 06:00:00,OXLC
7.43,7.48,7.325,7.35,2648659,2021-12-20 06:00:00,OXLC
7.4,7.56,7.4,7.45,2042197,2021-12-21 06:00:00,OXLC
