open,high,low,close,volume,datetime,symbol
5.0,5.08,4.93,5.06,290039,2021-04-13 05:00:00,OXSQ
5.07,5.1,5.009,5.06,345948,2021-04-14 05:00:00,OXSQ
5.02,5.05,4.9,4.9,303178,2021-04-15 05:00:00,OXSQ
4.9,4.95,4.86,4.95,203695,2021-04-16 05:00:00,OXSQ
4.97,4.99,4.77,4.8,308611,2021-04-19 05:00:00,OXSQ
4.82,4.91,4.8,4.88,239823,2021-04-20 05:00:00,OXSQ
4.88,4.98,4.85,4.96,231381,2021-04-21 05:00:00,OXSQ
4.99,4.99,4.88,4.95,207008,2021-04-22 05:00:00,OXSQ
4.96,4.99,4.91,4.99,175607,2021-04-23 05:00:00,OXSQ
4.98,5.01,4.91,4.915,226856,2021-04-26 05:00:00,OXSQ
4.91,4.98,4.9,4.94,163555,2021-04-27 05:00:00,OXSQ
4.97,5.0,4.92,4.98,174740,2021-04-28 05:00:00,OXSQ
4.95,5.0,4.95,5.0,104817,2021-04-29 05:00:00,OXSQ
5.0,5.08,4.95,4.95,275212,2021-04-30 05:00:00,OXSQ
4.95,5.03,4.92,4.96,203610,2021-05-03 05:00:00,OXSQ
4.97,4.98,4.899,4.96,215813,2021-05-04 05:00:00,OXSQ
4.93,5.05,4.9,5.03,246158,2021-05-05 05:00:00,OXSQ
5.02,5.02,4.91,4.95,143541,2021-05-06 05:00:00,OXSQ
4.97,5.03,4.9139,5.0,250342,2021-05-07 05:00:00,OXSQ
5.05,5.22,5.0,5.09,543599,2021-05-10 05:00:00,OXSQ
5.05,5.05,4.59,4.95,815026,2021-05-11 05:00:00,OXSQ
4.94,4.95,4.74,4.77,440236,2021-05-12 05:00:00,OXSQ
4.79,4.88,4.76,4.83,233055,2021-05-13 05:00:00,OXSQ
4.83,4.9,4.8197,4.85,141952,2021-05-14 05:00:00,OXSQ
4.85,4.9,4.83,4.88,216052,2021-05-17 05:00:00,OXSQ
4.89,4.91,4.85,4.88,184734,2021-05-18 05:00:00,OXSQ
