open,high,low,close,volume,datetime,symbol
18.21,19.2,18.002,19.2,20858,2021-07-08 05:00:00,PULM
18.8,18.96,18.416,18.958,9992,2021-07-09 05:00:00,PULM
19.0,19.198,18.422,18.784,10535,2021-07-12 05:00:00,PULM
18.6,18.784,17.314,17.99,50452,2021-07-13 05:00:00,PULM
18.0,18.002,17.2,17.342,12555,2021-07-14 05:00:00,PULM
17.2,17.584,16.624,17.346,12958,2021-07-15 05:00:00,PULM
17.02,17.4,16.6,16.7,13561,2021-07-16 05:00:00,PULM
16.6,18.798,16.416,17.8,43977,2021-07-19 05:00:00,PULM
18.0,18.4,17.64,17.72,16929,2021-07-20 05:00:00,PULM
18.0,18.78,18.0,18.4,13169,2021-07-21 05:00:00,PULM
18.66,18.66,17.602,17.958,9647,2021-07-22 05:00:00,PULM
17.802,18.4,16.6,17.8,34233,2021-07-23 05:00:00,PULM
17.8,17.8,16.86,17.344,15240,2021-07-26 05:00:00,PULM
17.0,17.254,16.702,16.82,11385,2021-07-27 05:00:00,PULM
17.0,17.197,16.6,16.832,16840,2021-07-28 05:00:00,PULM
17.04,17.4,16.8,17.082,19389,2021-07-29 05:00:00,PULM
16.858,17.082,16.604,16.896,12067,2021-07-30 05:00:00,PULM
17.0,17.196,16.42,16.796,17480,2021-08-02 05:00:00,PULM
16.8,16.88,16.24,16.396,12469,2021-08-03 05:00:00,PULM
16.6,16.632,15.82,16.094,16947,2021-08-04 05:00:00,PULM
15.884,16.6,15.884,16.55,18454,2021-08-05 05:00:00,PULM
16.6,16.8,16.026,16.756,15585,2021-08-06 05:00:00,PULM
16.034,16.8,15.6,16.348,45222,2021-08-09 05:00:00,PULM
16.208,16.58,16.0,16.242,13403,2021-08-10 05:00:00,PULM
16.2,16.6,16.02402,16.578,9525,2021-08-11 05:00:00,PULM
16.512,17.278,16.042,16.34,12812,2021-08-12 05:00:00,PULM
16.634,16.8,15.418,15.6,27026,2021-08-13 05:00:00,PULM
15.546,16.15798,15.044,15.148,27010,2021-08-16 05:00:00,PULM
15.1,15.524,14.6,15.158,28901,2021-08-17 05:00:00,PULM
15.208,15.46,15.134,15.398,9737,2021-08-18 05:00:00,PULM
15.5,15.752,15.0,15.042,10262,2021-08-19 05:00:00,PULM
15.4,16.0,15.0,15.754,15094,2021-08-20 05:00:00,PULM
16.4,16.4,15.4,15.954,14706,2021-08-23 05:00:00,PULM
15.954,16.4,15.954,16.208,11105,2021-08-24 05:00:00,PULM
16.106,16.8,16.106,16.6,14282,2021-08-25 05:00:00,PULM
16.8,16.8,16.2,16.2,6512,2021-08-26 05:00:00,PULM
16.194,16.444,15.82,16.362,7792,2021-08-27 05:00:00,PULM
16.596,16.6,15.93,16.106,8887,2021-08-30 05:00:00,PULM
16.04,16.518,16.04,16.398,6014,2021-08-31 05:00:00,PULM
16.3,16.568,16.102,16.518,11532,2021-09-01 05:00:00,PULM
16.6,16.6,16.31,16.53,10031,2021-09-02 05:00:00,PULM
16.53,16.798,16.2,16.712,8920,2021-09-03 05:00:00,PULM
16.6,16.8,16.4,16.696,11777,2021-09-07 05:00:00,PULM
16.402,17.0,16.402,16.522,7013,2021-09-08 05:00:00,PULM
16.502,16.638,16.1,16.13,8192,2021-09-09 05:00:00,PULM
16.0,16.352,16.0,16.298,10180,2021-09-10 05:00:00,PULM
16.444,16.598,16.0,16.246,11003,2021-09-13 05:00:00,PULM
16.2,16.256,15.8,15.98,13749,2021-09-14 05:00:00,PULM
15.804,15.978,15.2,15.46,21956,2021-09-15 05:00:00,PULM
15.44,15.6,15.022,15.452,13445,2021-09-16 05:00:00,PULM
