open,high,low,close,volume,datetime,symbol
25.37,25.76,25.32,25.58,19109,2021-07-08 05:00:00,RGCO
25.7,25.75,25.32,25.33,22480,2021-07-09 05:00:00,RGCO
25.37,25.6,25.25,25.6,29750,2021-07-12 05:00:00,RGCO
25.49,25.65,25.39,25.6,16756,2021-07-13 05:00:00,RGCO
25.57,25.79,25.29,25.58,21851,2021-07-14 05:00:00,RGCO
25.696,25.96,25.51,25.96,21619,2021-07-15 05:00:00,RGCO
25.96,26.02,25.79,25.88,27364,2021-07-16 05:00:00,RGCO
25.7,25.7,24.8392,25.16,15339,2021-07-19 05:00:00,RGCO
25.0284,25.64,25.0284,25.47,11292,2021-07-20 05:00:00,RGCO
25.49,25.8,25.49,25.75,11832,2021-07-21 05:00:00,RGCO
25.73,25.73,25.07,25.22,13129,2021-07-22 05:00:00,RGCO
25.24,25.51,25.01,25.51,12749,2021-07-23 05:00:00,RGCO
25.52,25.63,25.3523,25.5,3509,2021-07-26 05:00:00,RGCO
25.1608,25.58,25.1608,25.45,8245,2021-07-27 05:00:00,RGCO
25.58,25.58,25.37,25.375,3961,2021-07-28 05:00:00,RGCO
25.58,25.58,25.395,25.56,4194,2021-07-29 05:00:00,RGCO
25.58,25.58,25.36,25.36,2793,2021-07-30 05:00:00,RGCO
25.58,25.58,25.3,25.5,6431,2021-08-02 05:00:00,RGCO
25.5,25.63,25.4,25.62,11755,2021-08-03 05:00:00,RGCO
25.61,25.61,25.02,25.25,7624,2021-08-04 05:00:00,RGCO
25.0156,25.24,24.76,25.24,11916,2021-08-05 05:00:00,RGCO
25.24,25.24,23.4035,24.4,11533,2021-08-06 05:00:00,RGCO
24.69,25.03,24.54,25.03,6736,2021-08-09 05:00:00,RGCO
24.86,25.1723,24.355,24.45,6136,2021-08-10 05:00:00,RGCO
24.35,24.75,24.04,24.1,1566,2021-08-11 05:00:00,RGCO
24.47,24.97,24.3262,24.64,11690,2021-08-12 05:00:00,RGCO
24.72,24.95,24.64,24.89,5611,2021-08-13 05:00:00,RGCO
24.95,24.97,24.61,24.97,2257,2021-08-16 05:00:00,RGCO
24.63,24.78,24.6,24.76,2142,2021-08-17 05:00:00,RGCO
24.67,24.67,24.41,24.41,934,2021-08-18 05:00:00,RGCO
24.43,24.49,24.09,24.29,1131,2021-08-19 05:00:00,RGCO
24.38,24.56,24.0752,24.56,4386,2021-08-20 05:00:00,RGCO
24.57,24.6288,24.05,24.22,5318,2021-08-23 05:00:00,RGCO
24.34,24.37,23.85,24.07,10996,2021-08-24 05:00:00,RGCO
24.4101,24.4101,24.0542,24.07,5524,2021-08-25 05:00:00,RGCO
24.0,24.2,24.0,24.19,8228,2021-08-26 05:00:00,RGCO
24.1,24.1,23.85,24.08,5352,2021-08-27 05:00:00,RGCO
23.95,23.95,23.95,23.95,775,2021-08-30 05:00:00,RGCO
23.99,24.43,23.85,24.08,4980,2021-08-31 05:00:00,RGCO
24.2,24.2,23.87,23.97,2952,2021-09-01 05:00:00,RGCO
24.5682,24.59,23.9079,24.4,2956,2021-09-02 05:00:00,RGCO
24.465,24.73,24.27,24.7,6286,2021-09-03 05:00:00,RGCO
24.6,24.67,24.18,24.45,8109,2021-09-07 05:00:00,RGCO
24.56,24.56,24.27,24.44,2999,2021-09-08 05:00:00,RGCO
24.47,24.47,24.1,24.16,3989,2021-09-09 05:00:00,RGCO
24.16,24.18,23.43,23.6,8404,2021-09-10 05:00:00,RGCO
23.2113,23.84,23.166,23.44,8217,2021-09-13 05:00:00,RGCO
23.4844,23.4844,22.69,22.81,14471,2021-09-14 05:00:00,RGCO
22.83,22.83,22.5,22.59,3986,2021-09-15 05:00:00,RGCO
22.56,22.75,22.46,22.51,5161,2021-09-16 05:00:00,RGCO
22.45,22.95,22.45,22.95,12947,2021-09-17 05:00:00,RGCO
22.64,22.81,22.5006,22.6,9515,2021-09-20 05:00:00,RGCO
22.6525,22.9146,22.63,22.74,4570,2021-09-21 05:00:00,RGCO
23.09,23.09,22.74,22.74,6893,2021-09-22 05:00:00,RGCO
23.1699,23.1699,22.74,22.76,5578,2021-09-23 05:00:00,RGCO
22.76,22.855,22.5001,22.65,8841,2021-09-24 05:00:00,RGCO
22.9,22.9015,22.7501,22.89,22316,2021-09-27 05:00:00,RGCO
22.7674,22.79,22.3301,22.72,9790,2021-09-28 05:00:00,RGCO
22.8802,22.8802,22.44,22.71,2245,2021-09-29 05:00:00,RGCO
22.685,22.76,22.5,22.5,2473,2021-09-30 05:00:00,RGCO
22.73,22.7399,22.435,22.55,4858,2021-10-01 05:00:00,RGCO
22.48,22.49,22.46,22.49,4923,2021-10-04 05:00:00,RGCO
22.46,22.6,22.2301,22.6,6166,2021-10-05 05:00:00,RGCO
22.35,22.44,22.32,22.32,1902,2021-10-06 05:00:00,RGCO
22.35,22.5908,22.35,22.42,3646,2021-10-07 05:00:00,RGCO
22.35,22.78,22.35,22.73,19957,2021-10-08 05:00:00,RGCO
22.5,22.5099,22.43,22.43,3748,2021-10-11 05:00:00,RGCO
22.28,22.395,22.24,22.2645,12537,2021-10-12 05:00:00,RGCO
22.44,22.44,22.23,22.23,1940,2021-10-13 05:00:00,RGCO
22.2,22.23,22.04,22.2,3986,2021-10-14 05:00:00,RGCO
22.0702,22.12,21.95,22.08,8828,2021-10-15 05:00:00,RGCO
22.0,22.1881,21.8906,21.9,7748,2021-10-18 05:00:00,RGCO
21.9763,22.2,21.9763,22.0942,4031,2021-10-19 05:00:00,RGCO
21.97,22.24,21.97,22.17,3033,2021-10-20 05:00:00,RGCO
22.25,22.37,22.154,22.35,2975,2021-10-21 05:00:00,RGCO
22.185,22.275,22.15,22.25,3862,2021-10-22 05:00:00,RGCO
22.4,22.47,22.11,22.15,6763,2021-10-25 05:00:00,RGCO
22.1,22.3861,22.01,22.24,10171,2021-10-26 05:00:00,RGCO
22.075,22.245,21.87,22.22,9822,2021-10-27 05:00:00,RGCO
22.24,22.39,21.9486,22.17,5227,2021-10-28 05:00:00,RGCO
22.07,22.25,21.95,22.12,6591,2021-10-29 05:00:00,RGCO
22.01,22.44,22.0,22.26,7454,2021-11-01 05:00:00,RGCO
22.4399,22.4399,22.25,22.26,3720,2021-11-02 05:00:00,RGCO
22.28,22.43,22.06,22.27,4323,2021-11-03 05:00:00,RGCO
22.25,22.41,22.06,22.2,8002,2021-11-04 05:00:00,RGCO
22.4,22.4299,22.1,22.24,13705,2021-11-05 05:00:00,RGCO
22.235,22.235,22.01,22.1,21131,2021-11-08 06:00:00,RGCO
22.14,22.34,22.0,22.16,5916,2021-11-09 06:00:00,RGCO
22.05,22.245,22.05,22.21,3997,2021-11-10 06:00:00,RGCO
22.15,22.409,22.15,22.38,3656,2021-11-11 06:00:00,RGCO
22.28,22.44,22.145,22.22,4949,2021-11-12 06:00:00,RGCO
22.14,22.6,22.0011,22.6,7269,2021-11-15 06:00:00,RGCO
22.2501,22.59,22.2501,22.36,6856,2021-11-16 06:00:00,RGCO
22.58,22.58,22.41,22.48,3936,2021-11-17 06:00:00,RGCO
22.34,22.34,22.165,22.19,2904,2021-11-18 06:00:00,RGCO
22.25,22.25,21.91,22.1,3452,2021-11-19 06:00:00,RGCO
22.15,22.3556,21.9783,22.1598,2130,2021-11-22 06:00:00,RGCO
22.0,22.207,21.8,21.81,17254,2021-11-23 06:00:00,RGCO
21.79,21.925,21.47,21.53,12930,2021-11-24 06:00:00,RGCO
21.34,21.58,21.32,21.58,6515,2021-11-26 06:00:00,RGCO
21.92,21.97,21.35,21.7,6996,2021-11-29 06:00:00,RGCO
21.57,22.2128,21.3859,21.42,5765,2021-11-30 06:00:00,RGCO
21.45,22.2,21.45,21.86,14814,2021-12-01 06:00:00,RGCO
21.8,25.0,21.585,24.4,31382,2021-12-02 06:00:00,RGCO
24.05,24.24,23.0524,23.7,13073,2021-12-03 06:00:00,RGCO
23.92,23.92,22.27,23.5,11415,2021-12-06 06:00:00,RGCO
23.5,23.5,22.76,23.0505,5626,2021-12-07 06:00:00,RGCO
22.89,23.27,22.275,22.81,6014,2021-12-08 06:00:00,RGCO
23.09,23.09,22.28,22.31,9439,2021-12-09 06:00:00,RGCO
