open,high,low,close,volume,datetime,symbol
29.41,32.31,28.33,32.07,507080,2021-07-08 05:00:00,SEER
32.07,32.38,31.41,32.19,267471,2021-07-09 05:00:00,SEER
32.51,32.92,31.38,32.82,258357,2021-07-12 05:00:00,SEER
32.78,33.12,31.06,31.39,640185,2021-07-13 05:00:00,SEER
31.48,31.4845,28.4,28.73,446910,2021-07-14 05:00:00,SEER
28.47,28.78,27.31,27.67,373578,2021-07-15 05:00:00,SEER
28.0,31.5599,27.8409,31.01,730679,2021-07-16 05:00:00,SEER
30.03,31.82,29.25,31.53,393668,2021-07-19 05:00:00,SEER
31.66,32.86,30.39,32.81,322023,2021-07-20 05:00:00,SEER
33.5276,34.61,32.64,33.88,525544,2021-07-21 05:00:00,SEER
33.93,34.75,33.2501,34.44,249460,2021-07-22 05:00:00,SEER
34.47,34.685,31.66,33.13,321060,2021-07-23 05:00:00,SEER
33.09,33.72,32.01,32.31,245931,2021-07-26 05:00:00,SEER
32.27,32.62,30.04,31.15,415362,2021-07-27 05:00:00,SEER
31.15,33.58,31.15,33.16,190870,2021-07-28 05:00:00,SEER
33.3,33.525,32.0,32.66,222415,2021-07-29 05:00:00,SEER
32.47,32.76,31.39,31.94,284657,2021-07-30 05:00:00,SEER
32.29,32.29,30.5,31.14,235349,2021-08-02 05:00:00,SEER
31.22,31.38,30.4,31.01,264389,2021-08-03 05:00:00,SEER
30.69,31.63,30.55,31.45,315286,2021-08-04 05:00:00,SEER
31.34,33.1899,31.14,32.99,339200,2021-08-05 05:00:00,SEER
32.8,32.8,30.7,31.01,223949,2021-08-06 05:00:00,SEER
31.04,32.18,30.1709,31.66,612783,2021-08-09 05:00:00,SEER
31.96,31.96,30.46,30.86,387702,2021-08-10 05:00:00,SEER
30.9,30.95,28.67,30.03,298783,2021-08-11 05:00:00,SEER
29.96,30.52,28.96,29.85,566072,2021-08-12 05:00:00,SEER
29.32,33.3994,29.0,32.47,911713,2021-08-13 05:00:00,SEER
32.02,32.24,30.18,30.43,392540,2021-08-16 05:00:00,SEER
29.86,30.5,29.51,29.775,339337,2021-08-17 05:00:00,SEER
30.07,30.19,28.36,29.51,375178,2021-08-18 05:00:00,SEER
29.16,30.1679,29.16,30.01,423924,2021-08-19 05:00:00,SEER
30.12,33.42,29.9501,32.38,519668,2021-08-20 05:00:00,SEER
32.88,34.98,32.74,34.36,518386,2021-08-23 05:00:00,SEER
34.47,35.55,34.1414,35.39,528105,2021-08-24 05:00:00,SEER
35.6,36.5,34.5,36.28,507763,2021-08-25 05:00:00,SEER
36.08,38.55,35.82,36.8,547584,2021-08-26 05:00:00,SEER
36.17,38.1,35.55,37.02,366454,2021-08-27 05:00:00,SEER
36.96,38.86,36.54,38.28,364775,2021-08-30 05:00:00,SEER
38.35,40.08,37.88,39.98,1089353,2021-08-31 05:00:00,SEER
40.12,40.2,38.75,39.49,339587,2021-09-01 05:00:00,SEER
39.73,43.39,39.61,43.0,806433,2021-09-02 05:00:00,SEER
42.79,45.47,42.79,43.77,853868,2021-09-03 05:00:00,SEER
44.2,45.85,43.78,45.04,878937,2021-09-07 05:00:00,SEER
44.88,44.92,41.08,42.75,680660,2021-09-08 05:00:00,SEER
43.3,43.4702,41.58,42.2,634864,2021-09-09 05:00:00,SEER
42.26,44.42,41.2,43.4,563596,2021-09-10 05:00:00,SEER
44.11,44.12,37.42,38.25,870547,2021-09-13 05:00:00,SEER
38.2,41.9,38.18,41.03,787301,2021-09-14 05:00:00,SEER
40.99,42.21,39.28,40.57,972207,2021-09-15 05:00:00,SEER
40.57,40.88,35.1,36.13,1452312,2021-09-16 05:00:00,SEER
36.23,40.45,35.67,37.23,5215786,2021-09-17 05:00:00,SEER
37.0,38.0,35.24,35.8,1013193,2021-09-20 05:00:00,SEER
36.03,37.92,36.03,36.68,972826,2021-09-21 05:00:00,SEER
36.79,36.98,34.89,36.56,289608,2021-09-22 05:00:00,SEER
36.64,38.13,36.45,38.12,251129,2021-09-23 05:00:00,SEER
