open,high,low,close,volume,datetime,symbol
111.88,114.27,102.69,110.46,3733059,2021-04-13 05:00:00,UPST
110.23,115.5599,104.3,104.51,2062503,2021-04-14 05:00:00,UPST
109.29,116.96,105.69,110.4,2347314,2021-04-15 05:00:00,UPST
111.08,111.2299,103.0001,104.65,1584794,2021-04-16 05:00:00,UPST
104.42,104.42,93.6224,97.55,2723645,2021-04-19 05:00:00,UPST
96.33,101.0,90.3753,91.79,1626178,2021-04-20 05:00:00,UPST
91.4,101.34,89.33,100.61,1713111,2021-04-21 05:00:00,UPST
102.5,108.3,99.23,101.44,2104563,2021-04-22 05:00:00,UPST
102.98,111.95,102.46,107.38,2120344,2021-04-23 05:00:00,UPST
108.8093,114.8,108.01,111.24,1936438,2021-04-26 05:00:00,UPST
114.94,123.0879,112.3,116.33,2629879,2021-04-27 05:00:00,UPST
116.93,120.46,111.239,113.75,1648323,2021-04-28 05:00:00,UPST
115.7,116.0,103.0,108.56,2145302,2021-04-29 05:00:00,UPST
103.9,112.5,103.68,109.02,1199530,2021-04-30 05:00:00,UPST
111.12,117.99,105.73,114.2,1773481,2021-05-03 05:00:00,UPST
115.0,115.0,101.1,107.36,2081743,2021-05-04 05:00:00,UPST
109.1478,109.1478,97.5,98.19,1387381,2021-05-05 05:00:00,UPST
97.26,98.0,88.38,92.04,2312447,2021-05-06 05:00:00,UPST
96.4687,100.8599,94.2,95.97,1648158,2021-05-07 05:00:00,UPST
93.05,94.5699,86.21,88.21,2291282,2021-05-10 05:00:00,UPST
83.43,89.49,81.2,89.44,3806655,2021-05-11 05:00:00,UPST
115.28,115.4765,88.88,91.82,12764673,2021-05-12 05:00:00,UPST
96.25,97.87,80.8501,84.05,5638182,2021-05-13 05:00:00,UPST
87.76,103.95,86.2501,103.36,4400689,2021-05-14 05:00:00,UPST
100.01,115.8999,96.01,115.0,4924951,2021-05-17 05:00:00,UPST
111.69,124.9,111.41,119.49,5006076,2021-05-18 05:00:00,UPST
110.75,136.7445,108.41,132.91,6595343,2021-05-19 05:00:00,UPST
135.0,145.4,129.26,139.08,4889219,2021-05-20 05:00:00,UPST
140.6,156.24,137.3846,153.85,4072529,2021-05-21 05:00:00,UPST
152.07,164.64,138.0,139.77,4718622,2021-05-24 05:00:00,UPST
141.76,146.7206,132.56,133.7,2304354,2021-05-25 05:00:00,UPST
135.18,149.5899,133.0,146.58,3491440,2021-05-26 05:00:00,UPST
145.16,171.87,138.62,166.83,5054138,2021-05-27 05:00:00,UPST
164.0,164.49,143.71,148.22,5253135,2021-05-28 05:00:00,UPST
150.0,155.2132,136.0,144.49,3523095,2021-06-01 05:00:00,UPST
145.49,159.8,138.08,157.14,2793497,2021-06-02 05:00:00,UPST
150.5,172.2499,145.15,164.83,6058748,2021-06-03 05:00:00,UPST
167.221,191.89,160.11,164.04,6401361,2021-06-04 05:00:00,UPST
169.7217,178.0,164.2,170.0,3840486,2021-06-07 05:00:00,UPST
171.0,182.0,161.92,162.01,3756258,2021-06-08 05:00:00,UPST
164.07,167.4999,150.28,152.43,4171125,2021-06-09 05:00:00,UPST
