open,high,low,close,volume,datetime,symbol
1.2,1.2,1.2,1.2,1300,2022-01-03 11:45:00,GSAT
1.19,1.2,1.19,1.2,999,2022-01-03 12:30:00,GSAT
1.18,1.18,1.18,1.18,400,2022-01-03 12:35:00,GSAT
1.18,1.18,1.18,1.18,500,2022-01-03 13:05:00,GSAT
1.2,1.2,1.18,1.18,8500,2022-01-03 13:15:00,GSAT
1.2,1.2,1.2,1.2,100,2022-01-03 13:20:00,GSAT
1.1999,1.1999,1.1999,1.1999,1300,2022-01-03 13:25:00,GSAT
1.19,1.19,1.19,1.19,900,2022-01-03 13:35:00,GSAT
1.2,1.2,1.2,1.2,2000,2022-01-03 13:45:00,GSAT
1.2,1.2,1.19,1.19,500,2022-01-03 13:50:00,GSAT
1.2,1.2,1.19,1.19,1500,2022-01-03 13:55:00,GSAT
1.2,1.2,1.2,1.2,400,2022-01-03 14:00:00,GSAT
1.2,1.2,1.2,1.2,350,2022-01-03 14:05:00,GSAT
1.2,1.2,1.2,1.2,539,2022-01-03 14:10:00,GSAT
1.19,1.19,1.19,1.19,1500,2022-01-03 14:15:00,GSAT
1.19,1.1901,1.19,1.1901,1458,2022-01-03 14:20:00,GSAT
1.2,1.2,1.19,1.19,3000,2022-01-03 14:25:00,GSAT
1.2,1.2,1.17,1.18,123066,2022-01-03 14:30:00,GSAT
1.1801,1.19,1.16,1.1699,129898,2022-01-03 14:35:00,GSAT
1.165,1.18,1.16,1.17,71350,2022-01-03 14:40:00,GSAT
1.1701,1.175,1.15,1.155,269064,2022-01-03 14:45:00,GSAT
1.155,1.17,1.15,1.1601,158128,2022-01-03 14:50:00,GSAT
1.16,1.17,1.15,1.16,189787,2022-01-03 14:55:00,GSAT
1.16,1.19,1.16,1.185,237534,2022-01-03 15:00:00,GSAT
1.18,1.189,1.17,1.17,37897,2022-01-03 15:05:00,GSAT
1.1781,1.1874,1.17,1.178,174022,2022-01-03 15:10:00,GSAT
1.175,1.19,1.17,1.17,73785,2022-01-03 15:15:00,GSAT
1.17,1.1812,1.17,1.175,117633,2022-01-03 15:20:00,GSAT
1.175,1.19,1.175,1.185,27674,2022-01-03 15:25:00,GSAT
1.185,1.19,1.18,1.1876,262070,2022-01-03 15:30:00,GSAT
1.1899,1.19,1.18,1.185,59194,2022-01-03 15:35:00,GSAT
1.1886,1.1886,1.18,1.1876,14219,2022-01-03 15:40:00,GSAT
1.185,1.19,1.175,1.178,94372,2022-01-03 15:45:00,GSAT
1.175,1.185,1.17,1.185,166483,2022-01-03 15:50:00,GSAT
1.1899,1.19,1.175,1.1874,286214,2022-01-03 15:55:00,GSAT
1.185,1.1896,1.18,1.185,20809,2022-01-03 16:00:00,GSAT
1.18,1.2,1.18,1.19,81861,2022-01-03 16:05:00,GSAT
1.19,1.2,1.1808,1.185,49128,2022-01-03 16:10:00,GSAT
1.1891,1.1899,1.18,1.1838,16466,2022-01-03 16:15:00,GSAT
1.18,1.1899,1.18,1.1823,9770,2022-01-03 16:20:00,GSAT
1.18,1.19,1.18,1.185,40368,2022-01-03 16:25:00,GSAT
1.1836,1.19,1.18,1.18,42988,2022-01-03 16:30:00,GSAT
1.185,1.19,1.18,1.1818,5769,2022-01-03 16:35:00,GSAT
1.1835,1.1899,1.18,1.1808,15000,2022-01-03 16:40:00,GSAT
1.18,1.19,1.18,1.18,28600,2022-01-03 16:45:00,GSAT
1.18,1.1899,1.18,1.185,4486,2022-01-03 16:50:00,GSAT
1.185,1.19,1.18,1.18,33103,2022-01-03 16:55:00,GSAT
1.185,1.19,1.18,1.185,79175,2022-01-03 17:00:00,GSAT
1.185,1.195,1.18,1.19,126931,2022-01-03 17:05:00,GSAT
1.19,1.1975,1.18,1.19,40146,2022-01-03 17:10:00,GSAT
1.1829,1.19,1.1823,1.19,23856,2022-01-03 17:15:00,GSAT
1.1829,1.19,1.18,1.1824,20231,2022-01-03 17:20:00,GSAT
1.181,1.19,1.18,1.1829,4838,2022-01-03 17:25:00,GSAT
1.18,1.1874,1.18,1.1823,3709,2022-01-03 17:30:00,GSAT
1.1878,1.188,1.18,1.1823,17600,2022-01-03 17:35:00,GSAT
1.185,1.1851,1.18,1.18,5039,2022-01-03 17:40:00,GSAT
1.189,1.1893,1.18,1.1891,53122,2022-01-03 17:45:00,GSAT
1.185,1.19,1.18,1.185,46623,2022-01-03 17:50:00,GSAT
1.19,1.19,1.18,1.18,22354,2022-01-03 17:55:00,GSAT
1.1874,1.19,1.18,1.1843,4425,2022-01-03 18:00:00,GSAT
1.185,1.19,1.185,1.185,37600,2022-01-03 18:05:00,GSAT
1.1899,1.19,1.18,1.185,8201,2022-01-03 18:10:00,GSAT
1.19,1.19,1.1835,1.185,3809,2022-01-03 18:15:00,GSAT
1.185,1.19,1.18,1.185,12262,2022-01-03 18:20:00,GSAT
1.1899,1.19,1.18,1.18,19826,2022-01-03 18:25:00,GSAT
1.185,1.19,1.18,1.18,29747,2022-01-03 18:30:00,GSAT
1.185,1.19,1.18,1.18,6608,2022-01-03 18:35:00,GSAT
1.185,1.19,1.18,1.18,8313,2022-01-03 18:40:00,GSAT
1.18,1.19,1.18,1.18,8460,2022-01-03 18:45:00,GSAT
1.185,1.1871,1.18,1.18,26718,2022-01-03 18:50:00,GSAT
1.18,1.19,1.18,1.185,51991,2022-01-03 18:55:00,GSAT
1.18,1.1801,1.16,1.165,130584,2022-01-03 19:00:00,GSAT
1.16,1.18,1.16,1.175,191576,2022-01-03 19:05:00,GSAT
1.17,1.18,1.17,1.17,39088,2022-01-03 19:10:00,GSAT
1.17,1.18,1.16,1.175,185503,2022-01-03 19:15:00,GSAT
1.175,1.18,1.17,1.175,46928,2022-01-03 19:20:00,GSAT
1.17,1.18,1.165,1.17,106713,2022-01-03 19:25:00,GSAT
1.17,1.1733,1.1619,1.165,139711,2022-01-03 19:30:00,GSAT
1.17,1.17,1.16,1.16,83533,2022-01-03 19:35:00,GSAT
1.165,1.17,1.16,1.16,15899,2022-01-03 19:40:00,GSAT
1.16,1.1699,1.16,1.16,13615,2022-01-03 19:45:00,GSAT
1.16,1.17,1.16,1.16,38352,2022-01-03 19:50:00,GSAT
1.1675,1.17,1.16,1.1601,159258,2022-01-03 19:55:00,GSAT
1.16,1.1681,1.16,1.16,72897,2022-01-03 20:00:00,GSAT
1.16,1.17,1.155,1.1673,269852,2022-01-03 20:05:00,GSAT
1.169,1.169,1.15,1.155,276562,2022-01-03 20:10:00,GSAT
1.155,1.17,1.15,1.1634,213986,2022-01-03 20:15:00,GSAT
1.16,1.17,1.16,1.165,94774,2022-01-03 20:20:00,GSAT
1.16,1.17,1.16,1.16,90183,2022-01-03 20:25:00,GSAT
1.16,1.17,1.16,1.16,102426,2022-01-03 20:30:00,GSAT
1.16,1.17,1.16,1.16,115317,2022-01-03 20:35:00,GSAT
1.16,1.16,1.15,1.15,219050,2022-01-03 20:40:00,GSAT
1.15,1.16,1.15,1.158,297275,2022-01-03 20:45:00,GSAT
1.15,1.16,1.145,1.155,351636,2022-01-03 20:50:00,GSAT
1.155,1.16,1.14,1.14,592631,2022-01-03 20:55:00,GSAT
1.14,1.15,1.14,1.15,161526,2022-01-03 21:00:00,GSAT
1.14,1.145,1.14,1.145,2255,2022-01-03 21:05:00,GSAT
1.1499,1.1499,1.14,1.14,600,2022-01-03 21:10:00,GSAT
1.14,1.14,1.14,1.14,1200,2022-01-03 21:15:00,GSAT
1.15,1.15,1.145,1.145,500,2022-01-03 21:20:00,GSAT
1.15,1.15,1.145,1.145,1200,2022-01-03 21:25:00,GSAT
1.15,1.15,1.145,1.145,6175,2022-01-03 21:30:00,GSAT
1.15,1.16,1.15,1.16,1251,2022-01-03 21:35:00,GSAT
1.1501,1.16,1.15,1.15,15083,2022-01-03 21:40:00,GSAT
1.15,1.15,1.15,1.15,11669,2022-01-03 21:45:00,GSAT
1.15,1.15,1.15,1.15,2893,2022-01-03 21:50:00,GSAT
1.155,1.1599,1.155,1.1599,6322,2022-01-03 21:55:00,GSAT
1.15,1.15,1.15,1.15,530,2022-01-03 22:00:00,GSAT
1.155,1.155,1.155,1.155,1000,2022-01-03 22:10:00,GSAT
1.155,1.155,1.155,1.155,1000,2022-01-03 22:20:00,GSAT
1.16,1.16,1.155,1.155,3500,2022-01-03 22:25:00,GSAT
1.15,1.155,1.15,1.155,200,2022-01-03 22:30:00,GSAT
1.155,1.155,1.155,1.155,900,2022-01-03 22:35:00,GSAT
1.16,1.16,1.16,1.16,1000,2022-01-03 22:45:00,GSAT
1.16,1.16,1.16,1.16,100,2022-01-03 22:50:00,GSAT
1.16,1.16,1.16,1.16,3183,2022-01-03 22:55:00,GSAT
1.16,1.16,1.16,1.16,200,2022-01-03 23:10:00,GSAT
1.16,1.16,1.16,1.16,1686,2022-01-03 23:40:00,GSAT
1.16,1.16,1.16,1.16,1000,2022-01-03 23:50:00,GSAT
1.16,1.16,1.16,1.16,5000,2022-01-03 23:55:00,GSAT
1.16,1.16,1.16,1.16,100,2022-01-04 00:00:00,GSAT
1.16,1.16,1.16,1.16,400,2022-01-04 00:05:00,GSAT
1.16,1.16,1.16,1.16,100,2022-01-04 00:10:00,GSAT
1.16,1.16,1.16,1.16,245,2022-01-04 00:30:00,GSAT
1.16,1.17,1.16,1.17,6273,2022-01-04 00:40:00,GSAT
1.17,1.17,1.17,1.17,1665,2022-01-04 00:55:00,GSAT
1.17,1.17,1.17,1.17,240,2022-01-04 09:10:00,GSAT
1.17,1.18,1.17,1.18,300,2022-01-04 09:15:00,GSAT
1.18,1.2,1.18,1.2,797,2022-01-04 09:25:00,GSAT
1.19,1.2,1.19,1.2,950,2022-01-04 09:30:00,GSAT
1.19,1.19,1.19,1.19,100,2022-01-04 11:00:00,GSAT
1.19,1.19,1.19,1.19,100,2022-01-04 11:10:00,GSAT
1.18,1.18,1.18,1.18,700,2022-01-04 11:20:00,GSAT
1.18,1.18,1.18,1.18,700,2022-01-04 11:30:00,GSAT
1.18,1.19,1.18,1.19,411,2022-01-04 11:50:00,GSAT
1.18,1.18,1.17,1.17,1800,2022-01-04 12:00:00,GSAT
1.16,1.16,1.15,1.15,1224,2022-01-04 12:45:00,GSAT
1.17,1.17,1.17,1.17,1000,2022-01-04 12:55:00,GSAT
1.16,1.17,1.16,1.17,1117,2022-01-04 13:00:00,GSAT
1.17,1.17,1.17,1.17,500,2022-01-04 13:05:00,GSAT
1.16,1.17,1.16,1.17,1120,2022-01-04 13:10:00,GSAT
1.17,1.17,1.17,1.17,650,2022-01-04 13:15:00,GSAT
1.17,1.17,1.17,1.17,500,2022-01-04 13:25:00,GSAT
1.17,1.17,1.17,1.17,300,2022-01-04 13:35:00,GSAT
1.17,1.17,1.17,1.17,500,2022-01-04 13:45:00,GSAT
1.17,1.17,1.17,1.17,614,2022-01-04 13:50:00,GSAT
1.1699,1.17,1.16,1.16,2720,2022-01-04 13:55:00,GSAT
1.16,1.16,1.16,1.16,7288,2022-01-04 14:00:00,GSAT
1.16,1.16,1.16,1.16,213,2022-01-04 14:05:00,GSAT
1.16,1.16,1.16,1.16,200,2022-01-04 14:10:00,GSAT
1.16,1.16,1.16,1.16,1000,2022-01-04 14:15:00,GSAT
1.17,1.17,1.17,1.17,1500,2022-01-04 14:20:00,GSAT
1.16,1.1601,1.16,1.16,3310,2022-01-04 14:25:00,GSAT
1.16,1.17,1.15,1.1672,152851,2022-01-04 14:30:00,GSAT
1.16,1.16,1.14,1.15,154905,2022-01-04 14:35:00,GSAT
1.15,1.1599,1.15,1.15,14430,2022-01-04 14:40:00,GSAT
1.1521,1.1521,1.14,1.145,176654,2022-01-04 14:45:00,GSAT
1.1483,1.1558,1.13,1.145,406688,2022-01-04 14:50:00,GSAT
1.145,1.15,1.1401,1.145,83755,2022-01-04 14:55:00,GSAT
1.1489,1.15,1.14,1.1422,43433,2022-01-04 15:00:00,GSAT
1.14,1.15,1.13,1.14,92665,2022-01-04 15:05:00,GSAT
1.1499,1.15,1.14,1.145,35862,2022-01-04 15:10:00,GSAT
1.1486,1.15,1.14,1.1403,33246,2022-01-04 15:15:00,GSAT
