open,high,low,close,volume,datetime,symbol
10.05,10.05,10.05,10.05,1200,2022-01-03 17:00:00,GTPBU
10.02,10.02,10.02,10.02,100,2022-01-10 15:40:00,GTPBU
10.01,10.01,10.01,10.01,200,2022-01-11 16:15:00,GTPBU
10.01,10.01,10.01,10.01,100,2022-01-11 20:20:00,GTPBU
9.92,9.92,9.92,9.92,20000,2022-01-21 17:40:00,GTPBU
9.9201,9.93,9.92,9.93,900,2022-01-26 18:25:00,GTPBU
9.92,9.92,9.9,9.9,3000,2022-01-26 18:40:00,GTPBU
9.9,9.9,9.9,9.9,700,2022-01-26 18:45:00,GTPBU
9.9,9.9001,9.9,9.9001,600,2022-01-27 17:35:00,GTPBU
9.8501,9.87,9.85,9.853,2500,2022-01-28 15:50:00,GTPBU
9.8501,9.8501,9.8501,9.8501,1100,2022-01-28 16:00:00,GTPBU
9.88,9.88,9.86,9.86,500,2022-01-28 16:05:00,GTPBU
9.85,9.8501,9.85,9.8501,200,2022-01-28 16:10:00,GTPBU
9.85,9.8501,9.85,9.8501,600,2022-01-28 16:20:00,GTPBU
9.8501,9.8501,9.85,9.8501,3600,2022-01-28 16:30:00,GTPBU
