open,high,low,close,volume,datetime,symbol
9.95,9.95,9.95,9.95,100,2022-01-03 17:25:00,HERAU
10.0,10.0,10.0,10.0,1000,2022-01-03 18:20:00,HERAU
10.0,10.0,10.0,10.0,1000,2022-01-04 18:45:00,HERAU
10.04,10.04,10.04,10.04,150000,2022-01-04 19:05:00,HERAU
10.04,10.04,10.04,10.04,200,2022-01-04 20:35:00,HERAU
9.9867,9.9867,9.9867,9.9867,200,2022-01-10 15:15:00,HERAU
9.97,9.97,9.97,9.97,100,2022-01-10 20:20:00,HERAU
9.95,9.967,9.95,9.967,1005,2022-01-11 17:25:00,HERAU
9.97,9.97,9.97,9.97,500,2022-01-11 19:25:00,HERAU
9.97,9.97,9.97,9.97,700,2022-01-11 19:30:00,HERAU
9.97,9.97,9.97,9.97,173,2022-01-11 19:40:00,HERAU
9.97,9.97,9.97,9.97,1000,2022-01-11 19:55:00,HERAU
9.9506,9.9506,9.9506,9.9506,300,2022-01-14 14:50:00,HERAU
9.95,9.95,9.95,9.95,200,2022-01-14 18:40:00,HERAU
9.95,9.95,9.95,9.95,3600,2022-01-14 19:00:00,HERAU
9.95,9.95,9.95,9.95,200,2022-01-14 19:25:00,HERAU
9.95,9.95,9.95,9.95,100,2022-01-14 20:45:00,HERAU
9.95,9.95,9.95,9.95,200,2022-01-14 20:55:00,HERAU
9.95,9.95,9.95,9.95,200,2022-01-18 13:35:00,HERAU
9.95,9.95,9.95,9.95,1000,2022-01-18 14:30:00,HERAU
9.95,9.95,9.95,9.95,10600,2022-01-18 16:00:00,HERAU
9.95,9.95,9.93,9.93,164400,2022-01-18 16:10:00,HERAU
9.95,9.95,9.95,9.95,4237,2022-01-18 16:15:00,HERAU
9.95,9.95,9.95,9.95,550,2022-01-18 16:20:00,HERAU
9.95,9.95,9.95,9.95,17650,2022-01-18 16:25:00,HERAU
9.95,9.95,9.95,9.95,7062,2022-01-18 16:35:00,HERAU
9.94,9.94,9.94,9.94,100,2022-01-18 17:05:00,HERAU
9.925,9.93,9.925,9.93,1200,2022-01-18 18:40:00,HERAU
9.92,9.92,9.92,9.92,200,2022-01-18 20:55:00,HERAU
9.925,9.925,9.88,9.9112,2660,2022-01-20 20:45:00,HERAU
9.885,9.885,9.885,9.885,115,2022-01-21 14:40:00,HERAU
9.89,9.89,9.89,9.89,1100,2022-01-21 15:45:00,HERAU
9.89,9.89,9.89,9.89,100,2022-01-21 15:50:00,HERAU
9.89,9.89,9.89,9.89,1000,2022-01-21 16:15:00,HERAU
9.87,9.87,9.87,9.87,100,2022-01-24 14:35:00,HERAU
9.85,9.85,9.85,9.85,940,2022-01-24 15:55:00,HERAU
9.79,9.79,9.79,9.79,200,2022-01-24 16:20:00,HERAU
9.8,9.8,9.79,9.79,750,2022-01-24 16:25:00,HERAU
9.79,9.79,9.79,9.79,400,2022-01-24 16:30:00,HERAU
9.8,9.8,9.79,9.79,400,2022-01-24 16:45:00,HERAU
9.79,9.7954,9.79,9.79,617,2022-01-24 16:55:00,HERAU
9.79,9.79,9.79,9.79,600,2022-01-24 17:00:00,HERAU
9.79,9.7941,9.78,9.78,1053,2022-01-24 17:05:00,HERAU
9.79,9.79,9.79,9.79,489,2022-01-24 17:10:00,HERAU
9.79,9.79,9.79,9.79,300,2022-01-24 17:15:00,HERAU
9.8,9.8,9.78,9.78,900,2022-01-24 17:20:00,HERAU
9.82,9.82,9.82,9.82,2480,2022-01-24 17:25:00,HERAU
