open,high,low,close,volume,datetime,symbol
9.83,9.83,9.83,9.83,227,2022-01-03 14:30:00,NAAC
9.82,9.82,9.82,9.82,200,2022-01-03 14:40:00,NAAC
9.815,9.815,9.815,9.815,1679,2022-01-03 14:45:00,NAAC
9.8,9.8,9.8,9.8,405,2022-01-03 18:00:00,NAAC
9.8,9.8,9.8,9.8,200,2022-01-04 14:40:00,NAAC
9.8,9.8,9.8,9.8,335,2022-01-04 14:45:00,NAAC
9.8018,9.8018,9.8018,9.8018,300,2022-01-04 17:10:00,NAAC
9.8,9.81,9.8,9.81,389,2022-01-04 17:35:00,NAAC
9.81,9.81,9.81,9.81,200,2022-01-04 17:40:00,NAAC
9.81,9.81,9.81,9.81,100,2022-01-04 17:45:00,NAAC
9.81,9.81,9.81,9.81,200,2022-01-04 17:50:00,NAAC
9.81,9.81,9.81,9.81,200,2022-01-04 17:55:00,NAAC
9.81,9.81,9.81,9.81,100,2022-01-04 18:00:00,NAAC
9.81,9.81,9.81,9.81,200,2022-01-04 18:05:00,NAAC
9.81,9.81,9.81,9.81,200,2022-01-04 18:10:00,NAAC
9.81,9.81,9.81,9.81,100,2022-01-04 18:15:00,NAAC
9.81,9.81,9.81,9.81,200,2022-01-04 18:20:00,NAAC
9.81,9.81,9.81,9.81,200,2022-01-04 18:25:00,NAAC
9.81,9.81,9.81,9.81,100,2022-01-04 18:30:00,NAAC
9.81,9.81,9.81,9.81,200,2022-01-04 18:35:00,NAAC
9.81,9.81,9.81,9.81,200,2022-01-04 18:40:00,NAAC
9.81,9.81,9.81,9.81,100,2022-01-04 18:45:00,NAAC
9.81,9.81,9.81,9.81,100,2022-01-04 18:50:00,NAAC
9.81,9.81,9.81,9.81,200,2022-01-04 20:50:00,NAAC
9.81,9.82,9.81,9.82,1867,2022-01-04 20:55:00,NAAC
9.8,9.83,9.8,9.83,1300,2022-01-05 16:05:00,NAAC
9.815,9.815,9.8,9.8,600,2022-01-05 16:10:00,NAAC
9.815,9.815,9.8,9.8,600,2022-01-05 16:20:00,NAAC
9.815,9.815,9.8,9.8,600,2022-01-05 16:30:00,NAAC
9.8,9.8,9.8,9.8,600,2022-01-05 16:40:00,NAAC
9.8,9.8,9.8,9.8,600,2022-01-05 16:50:00,NAAC
9.8,9.8,9.8,9.8,600,2022-01-05 17:00:00,NAAC
9.8,9.8,9.8,9.8,600,2022-01-05 17:10:00,NAAC
9.8,9.8,9.8,9.8,600,2022-01-05 17:20:00,NAAC
9.8,9.8,9.8,9.8,600,2022-01-05 17:25:00,NAAC
9.8,9.8,9.8,9.8,600,2022-01-05 17:35:00,NAAC
9.8,9.8,9.795,9.8,18394,2022-01-05 17:40:00,NAAC
9.8,9.8,9.8,9.8,4996,2022-01-05 19:00:00,NAAC
9.8,9.8,9.795,9.8,23528,2022-01-05 20:25:00,NAAC
9.8,9.83,9.8,9.83,24055,2022-01-05 20:30:00,NAAC
9.82,9.82,9.82,9.82,600,2022-01-05 20:45:00,NAAC
9.82,9.82,9.82,9.82,400,2022-01-05 20:50:00,NAAC
9.8,9.83,9.8,9.83,600,2022-01-05 20:55:00,NAAC
9.84,9.84,9.82,9.84,1755,2022-01-06 15:05:00,NAAC
9.81,9.81,9.81,9.81,100,2022-01-06 16:05:00,NAAC
9.81,9.81,9.81,9.81,100,2022-01-06 16:50:00,NAAC
9.82,9.82,9.82,9.82,20100,2022-01-06 16:55:00,NAAC
9.82,9.82,9.82,9.82,100,2022-01-06 17:40:00,NAAC
9.82,9.82,9.82,9.82,100,2022-01-06 18:25:00,NAAC
9.83,9.83,9.83,9.83,100,2022-01-06 19:10:00,NAAC
9.84,9.84,9.84,9.84,534670,2022-01-06 19:15:00,NAAC
9.84,9.84,9.84,9.84,344759,2022-01-06 19:20:00,NAAC
9.85,9.855,9.85,9.85,147134,2022-01-06 19:25:00,NAAC
9.855,9.855,9.855,9.855,150,2022-01-06 19:40:00,NAAC
9.84,9.84,9.84,9.84,100,2022-01-06 20:00:00,NAAC
9.84,9.84,9.84,9.84,25800,2022-01-06 20:20:00,NAAC
9.825,9.84,9.825,9.84,138400,2022-01-06 20:25:00,NAAC
9.82,9.84,9.82,9.82,57690,2022-01-06 20:50:00,NAAC
9.82,9.82,9.82,9.82,1125,2022-01-07 16:45:00,NAAC
9.835,9.85,9.835,9.8425,5318,2022-01-07 17:20:00,NAAC
9.82,9.82,9.82,9.82,1036,2022-01-10 14:30:00,NAAC
9.85,9.85,9.85,9.85,197,2022-01-10 14:50:00,NAAC
9.84,9.84,9.84,9.84,100,2022-01-10 17:30:00,NAAC
9.86,9.86,9.86,9.86,100,2022-01-10 20:50:00,NAAC
9.86,9.86,9.86,9.86,100,2022-01-10 20:55:00,NAAC
9.82,9.82,9.82,9.82,171,2022-01-11 17:20:00,NAAC
9.8,9.8,9.8,9.8,228000,2022-01-11 19:30:00,NAAC
9.82,9.82,9.82,9.82,800,2022-01-12 14:30:00,NAAC
9.82,9.82,9.82,9.82,1000,2022-01-12 14:35:00,NAAC
9.8201,9.8201,9.8201,9.8201,100,2022-01-12 15:40:00,NAAC
9.835,9.835,9.82,9.82,31699,2022-01-12 16:20:00,NAAC
9.85,9.85,9.85,9.85,164,2022-01-12 16:55:00,NAAC
9.82,9.82,9.82,9.82,100,2022-01-12 17:55:00,NAAC
9.82,9.82,9.82,9.82,100,2022-01-12 20:45:00,NAAC
9.82,9.82,9.82,9.82,100,2022-01-12 20:55:00,NAAC
9.82,9.82,9.82,9.82,1433,2022-01-12 21:00:00,NAAC
9.82,9.82,9.82,9.82,200,2022-01-13 17:00:00,NAAC
9.83,9.84,9.83,9.84,400,2022-01-13 17:25:00,NAAC
9.83,9.83,9.83,9.83,100,2022-01-13 17:35:00,NAAC
9.83,9.83,9.83,9.83,100,2022-01-13 17:40:00,NAAC
9.83,9.83,9.83,9.83,1330,2022-01-13 17:55:00,NAAC
9.83,9.83,9.83,9.83,100,2022-01-13 18:05:00,NAAC
9.83,9.83,9.83,9.83,100,2022-01-13 18:10:00,NAAC
9.83,9.83,9.83,9.83,280,2022-01-13 18:30:00,NAAC
9.83,9.83,9.83,9.83,100,2022-01-13 18:40:00,NAAC
9.83,9.83,9.83,9.83,100,2022-01-13 18:45:00,NAAC
9.83,9.83,9.83,9.83,100,2022-01-13 18:50:00,NAAC
9.83,9.83,9.83,9.83,100,2022-01-13 18:55:00,NAAC
9.83,9.83,9.83,9.83,718,2022-01-13 19:00:00,NAAC
9.83,9.83,9.83,9.83,100,2022-01-13 19:10:00,NAAC
9.83,9.83,9.83,9.83,100,2022-01-13 19:15:00,NAAC
9.83,9.83,9.83,9.83,500,2022-01-13 19:20:00,NAAC
9.83,9.83,9.83,9.83,900,2022-01-13 19:25:00,NAAC
9.83,9.83,9.83,9.83,410,2022-01-13 19:30:00,NAAC
9.83,9.83,9.83,9.83,100,2022-01-13 19:35:00,NAAC
9.83,9.83,9.83,9.83,14825,2022-01-13 19:40:00,NAAC
9.83,9.83,9.83,9.83,1010,2022-01-13 19:45:00,NAAC
9.83,9.83,9.83,9.83,1600,2022-01-13 19:50:00,NAAC
9.83,9.83,9.83,9.83,3300,2022-01-13 19:55:00,NAAC
9.83,9.83,9.83,9.83,300,2022-01-13 20:00:00,NAAC
9.83,9.83,9.83,9.83,2200,2022-01-13 20:05:00,NAAC
9.83,9.83,9.83,9.83,500,2022-01-13 20:10:00,NAAC
9.83,9.83,9.83,9.83,200,2022-01-13 20:15:00,NAAC
9.83,9.83,9.83,9.83,100,2022-01-13 20:20:00,NAAC
9.83,9.83,9.83,9.83,300,2022-01-13 20:25:00,NAAC
9.83,9.83,9.83,9.83,300,2022-01-13 20:30:00,NAAC
9.83,9.84,9.83,9.83,400,2022-01-13 20:35:00,NAAC
9.83,9.83,9.83,9.83,300,2022-01-13 20:40:00,NAAC
9.83,9.83,9.83,9.83,400,2022-01-13 20:45:00,NAAC
9.85,9.85,9.85,9.85,180,2022-01-13 20:55:00,NAAC
9.83,9.83,9.83,9.83,125,2022-01-14 16:40:00,NAAC
9.85,9.85,9.85,9.85,100,2022-01-14 20:25:00,NAAC
9.82,9.83,9.82,9.82,300,2022-01-18 14:15:00,NAAC
9.82,9.82,9.82,9.82,1200,2022-01-18 14:30:00,NAAC
9.83,9.83,9.83,9.83,100,2022-01-18 16:20:00,NAAC
9.83,9.83,9.83,9.83,100,2022-01-18 16:25:00,NAAC
9.83,9.83,9.83,9.83,400,2022-01-18 17:15:00,NAAC
9.83,9.8302,9.83,9.83,1750,2022-01-18 17:20:00,NAAC
9.8301,9.8301,9.8301,9.8301,100,2022-01-18 17:25:00,NAAC
9.8355,9.8355,9.8355,9.8355,2500,2022-01-18 17:30:00,NAAC
9.83,9.8301,9.83,9.83,1520,2022-01-18 17:35:00,NAAC
9.83,9.83,9.83,9.83,900,2022-01-18 17:40:00,NAAC
9.83,9.83,9.83,9.83,700,2022-01-18 17:45:00,NAAC
9.83,9.8311,9.83,9.83,500,2022-01-18 17:50:00,NAAC
9.83,9.83,9.83,9.83,400,2022-01-18 17:55:00,NAAC
9.83,9.83,9.83,9.83,100,2022-01-18 18:00:00,NAAC
9.83,9.83,9.83,9.83,100,2022-01-18 18:05:00,NAAC
9.83,9.83,9.83,9.83,200,2022-01-18 18:10:00,NAAC
