open,high,low,close,volume,datetime,symbol
1.02,1.02,1.02,1.02,683,2022-01-03 09:05:00,TTNP
1.09,1.09,1.08,1.08,450,2022-01-03 10:45:00,TTNP
1.02,1.02,1.02,1.02,100,2022-01-03 11:45:00,TTNP
1.02,1.02,1.02,1.02,350,2022-01-03 14:10:00,TTNP
1.02,1.02,1.0,1.0,28471,2022-01-03 14:25:00,TTNP
1.01,1.0209,1.01,1.02,4433,2022-01-03 14:30:00,TTNP
1.03,1.03,1.02,1.0299,6841,2022-01-03 14:35:00,TTNP
1.0292,1.04,1.0292,1.04,2493,2022-01-03 14:40:00,TTNP
1.0375,1.04,1.03,1.04,844,2022-01-03 14:45:00,TTNP
1.04,1.04,1.0325,1.04,1000,2022-01-03 14:50:00,TTNP
1.05,1.05,1.05,1.05,100,2022-01-03 14:55:00,TTNP
1.05,1.08,1.05,1.08,19201,2022-01-03 15:00:00,TTNP
1.08,1.1,1.07,1.08,8677,2022-01-03 15:05:00,TTNP
1.08,1.08,1.0782,1.0782,2580,2022-01-03 15:10:00,TTNP
1.0805,1.09,1.0805,1.09,1100,2022-01-03 15:15:00,TTNP
1.085,1.085,1.0713,1.08,3101,2022-01-03 15:20:00,TTNP
1.0807,1.0891,1.08,1.08,5456,2022-01-03 15:25:00,TTNP
1.0808,1.09,1.0801,1.0801,2200,2022-01-03 15:35:00,TTNP
1.0801,1.09,1.08,1.09,1300,2022-01-03 15:40:00,TTNP
1.09,1.09,1.09,1.09,200,2022-01-03 15:45:00,TTNP
1.09,1.09,1.0899,1.09,3000,2022-01-03 15:50:00,TTNP
1.095,1.1199,1.0909,1.1199,1500,2022-01-03 15:55:00,TTNP
1.12,1.12,1.11,1.12,2005,2022-01-03 16:00:00,TTNP
1.12,1.13,1.1197,1.13,1020,2022-01-03 16:05:00,TTNP
1.13,1.13,1.1201,1.13,2656,2022-01-03 16:10:00,TTNP
1.125,1.13,1.125,1.13,400,2022-01-03 16:15:00,TTNP
1.125,1.125,1.11,1.11,9553,2022-01-03 16:20:00,TTNP
1.08,1.08,1.08,1.08,100,2022-01-03 16:25:00,TTNP
1.1,1.1,1.0901,1.0901,395,2022-01-03 16:30:00,TTNP
1.1,1.1,1.0908,1.1,1045,2022-01-03 16:35:00,TTNP
1.1,1.1,1.1,1.1,400,2022-01-03 16:40:00,TTNP
1.1,1.1,1.09,1.09,700,2022-01-03 16:45:00,TTNP
1.1,1.11,1.1,1.11,500,2022-01-03 16:50:00,TTNP
1.11,1.11,1.11,1.11,300,2022-01-03 16:55:00,TTNP
1.1099,1.11,1.1099,1.11,500,2022-01-03 17:00:00,TTNP
1.11,1.11,1.11,1.11,300,2022-01-03 17:05:00,TTNP
1.11,1.11,1.11,1.11,400,2022-01-03 17:10:00,TTNP
1.11,1.11,1.11,1.11,200,2022-01-03 17:15:00,TTNP
1.11,1.11,1.1089,1.11,622,2022-01-03 17:20:00,TTNP
1.11,1.11,1.11,1.11,300,2022-01-03 17:25:00,TTNP
1.11,1.11,1.101,1.11,629,2022-01-03 17:30:00,TTNP
1.11,1.11,1.105,1.11,799,2022-01-03 17:35:00,TTNP
1.11,1.11,1.11,1.11,300,2022-01-03 17:40:00,TTNP
1.11,1.11,1.11,1.11,500,2022-01-03 17:45:00,TTNP
1.11,1.11,1.11,1.11,200,2022-01-03 17:50:00,TTNP
1.11,1.11,1.1073,1.11,1300,2022-01-03 17:55:00,TTNP
1.1008,1.11,1.1,1.11,1462,2022-01-03 18:00:00,TTNP
1.1009,1.11,1.1001,1.11,1379,2022-01-03 18:05:00,TTNP
1.11,1.11,1.11,1.11,597,2022-01-03 18:10:00,TTNP
1.11,1.11,1.11,1.11,100,2022-01-03 18:15:00,TTNP
1.11,1.11,1.1038,1.11,600,2022-01-03 18:20:00,TTNP
1.11,1.11,1.11,1.11,400,2022-01-03 18:25:00,TTNP
1.1092,1.12,1.1092,1.12,4001,2022-01-03 18:30:00,TTNP
1.12,1.12,1.115,1.12,400,2022-01-03 18:35:00,TTNP
1.12,1.12,1.12,1.12,400,2022-01-03 18:40:00,TTNP
1.12,1.12,1.12,1.12,1500,2022-01-03 18:45:00,TTNP
1.12,1.12,1.11,1.12,1500,2022-01-03 18:50:00,TTNP
1.12,1.12,1.12,1.12,1016,2022-01-03 18:55:00,TTNP
1.1139,1.1139,1.1139,1.1139,135,2022-01-03 19:00:00,TTNP
1.13,1.13,1.13,1.13,200,2022-01-03 19:05:00,TTNP
1.13,1.13,1.13,1.13,300,2022-01-03 19:10:00,TTNP
1.1207,1.13,1.1207,1.13,1020,2022-01-03 19:15:00,TTNP
1.13,1.13,1.1207,1.13,700,2022-01-03 19:20:00,TTNP
1.13,1.13,1.12,1.13,400,2022-01-03 19:25:00,TTNP
1.12,1.13,1.12,1.13,1400,2022-01-03 19:30:00,TTNP
1.13,1.13,1.13,1.13,400,2022-01-03 19:35:00,TTNP
1.12,1.125,1.12,1.12,4455,2022-01-03 19:40:00,TTNP
1.1201,1.125,1.12,1.12,5463,2022-01-03 19:45:00,TTNP
1.12,1.1299,1.12,1.1206,2800,2022-01-03 19:50:00,TTNP
1.1299,1.1299,1.1,1.1199,39049,2022-01-03 19:55:00,TTNP
1.115,1.115,1.115,1.115,1400,2022-01-03 20:00:00,TTNP
1.115,1.115,1.115,1.115,100,2022-01-03 20:05:00,TTNP
1.12,1.13,1.12,1.13,500,2022-01-03 20:10:00,TTNP
1.13,1.13,1.13,1.13,100,2022-01-03 20:15:00,TTNP
1.13,1.13,1.125,1.125,793,2022-01-03 20:20:00,TTNP
1.13,1.13,1.13,1.13,400,2022-01-03 20:25:00,TTNP
1.13,1.13,1.12,1.13,600,2022-01-03 20:30:00,TTNP
1.1205,1.13,1.1205,1.13,1636,2022-01-03 20:35:00,TTNP
1.13,1.13,1.125,1.125,1400,2022-01-03 20:40:00,TTNP
1.13,1.13,1.115,1.12,7721,2022-01-03 20:45:00,TTNP
1.12,1.12,1.11,1.11,1700,2022-01-03 20:50:00,TTNP
1.12,1.12,1.11,1.12,5811,2022-01-03 20:55:00,TTNP
1.12,1.12,1.12,1.12,1938,2022-01-03 21:00:00,TTNP
1.1199,1.12,1.11,1.1199,12904,2022-01-04 14:25:00,TTNP
1.14,1.16,1.1192,1.16,64854,2022-01-04 14:30:00,TTNP
