open,high,low,close,volume,datetime,symbol
22.61,22.89,22.55,22.89,300,2022-02-01 17:35:00,FXNC
22.62,22.62,22.62,22.62,100,2022-02-02 17:55:00,FXNC
22.99,22.99,22.99,22.99,100,2022-02-02 19:35:00,FXNC
22.505,22.505,22.505,22.505,615,2022-02-04 15:00:00,FXNC
22.99,22.99,22.99,22.99,100,2022-02-04 15:05:00,FXNC
22.61,22.99,22.5,22.87,1568,2022-02-07 14:30:00,FXNC
22.0,22.55,22.0,22.53,1500,2022-02-07 14:35:00,FXNC
22.065,22.51,22.065,22.49,2880,2022-02-07 14:50:00,FXNC
21.4907,22.48,21.4907,22.48,1328,2022-02-07 15:00:00,FXNC
22.25,22.25,22.24,22.24,200,2022-02-07 15:05:00,FXNC
22.25,22.25,22.0,22.22,900,2022-02-07 15:10:00,FXNC
21.63,21.8171,21.63,21.8171,200,2022-02-07 15:15:00,FXNC
22.2,22.2,22.2,22.2,100,2022-02-07 15:20:00,FXNC
22.146,22.146,22.146,22.146,100,2022-02-07 15:25:00,FXNC
22.0045,22.15,22.0045,22.15,300,2022-02-07 15:30:00,FXNC
21.95,21.9595,21.751,21.751,400,2022-02-07 15:35:00,FXNC
22.1,22.1,22.08,22.08,200,2022-02-07 15:40:00,FXNC
21.8,22.0,21.8,22.0,400,2022-02-07 17:25:00,FXNC
22.12,22.15,21.99,22.15,693,2022-02-07 18:05:00,FXNC
21.9975,22.09,21.95,22.09,900,2022-02-07 18:10:00,FXNC
21.9595,22.08,21.95,22.08,300,2022-02-07 18:15:00,FXNC
21.7501,21.7501,21.7501,21.7501,100,2022-02-07 18:30:00,FXNC
21.95,22.24,21.95,22.12,1989,2022-02-07 18:35:00,FXNC
21.95,22.06,21.95,21.96,800,2022-02-07 18:40:00,FXNC
21.76,22.0,21.76,22.0,200,2022-02-07 18:45:00,FXNC
22.2,22.2,22.2,22.2,100,2022-02-07 18:50:00,FXNC
21.84,22.25,21.81,22.23,3758,2022-02-07 20:10:00,FXNC
22.25,22.25,22.25,22.25,100,2022-02-07 20:20:00,FXNC
22.0,22.19,22.0,22.19,586,2022-02-08 14:30:00,FXNC
22.1199,22.1199,22.1199,22.1199,300,2022-02-11 15:15:00,FXNC
22.1097,22.1097,22.1097,22.1097,1150,2022-02-11 18:20:00,FXNC
21.75,21.75,21.75,21.75,271,2022-02-14 21:00:00,FXNC
21.51,21.51,21.41,21.41,400,2022-02-15 14:25:00,FXNC
21.09,21.95,21.09,21.95,8531,2022-02-15 14:30:00,FXNC
21.87,21.87,21.87,21.87,108,2022-02-15 14:50:00,FXNC
22.0867,22.0867,22.0867,22.0867,100,2022-02-15 16:10:00,FXNC
21.6,21.6,21.6,21.6,131,2022-02-15 19:00:00,FXNC
21.9,21.9,21.9,21.9,100,2022-02-15 19:05:00,FXNC
21.89,21.98,21.75,21.78,1873,2022-02-16 16:15:00,FXNC
21.815,22.0,21.815,22.0,1400,2022-02-16 16:20:00,FXNC
21.78,21.78,21.78,21.78,3018,2022-02-16 18:05:00,FXNC
21.78,21.78,21.67,21.75,1462,2022-02-16 19:10:00,FXNC
21.5,21.5,21.42,21.5,400,2022-02-16 19:15:00,FXNC
21.26,21.49,21.24,21.49,801,2022-02-16 19:20:00,FXNC
21.85,21.85,21.85,21.85,100,2022-02-16 19:35:00,FXNC
21.82,21.82,21.82,21.82,100,2022-02-16 19:50:00,FXNC
21.385,21.385,21.385,21.385,100,2022-02-16 20:05:00,FXNC
21.67,22.0,21.66,21.99,6833,2022-02-16 20:10:00,FXNC
21.99,22.0,21.9,22.0,5944,2022-02-16 20:15:00,FXNC
21.99,21.99,21.99,21.99,200,2022-02-16 20:20:00,FXNC
21.55,21.55,21.55,21.55,100,2022-02-16 20:40:00,FXNC
21.79,21.79,21.79,21.79,100,2022-02-16 20:45:00,FXNC
21.5,21.5,21.5,21.5,100,2022-02-16 20:50:00,FXNC
21.78,21.78,21.78,21.78,100,2022-02-16 20:55:00,FXNC
21.54,21.88,21.54,21.88,300,2022-02-17 14:50:00,FXNC
21.54,21.88,21.54,21.54,1600,2022-02-17 14:55:00,FXNC
21.77,21.77,21.77,21.77,100,2022-02-17 15:00:00,FXNC
21.55,21.55,21.55,21.55,200,2022-02-17 17:50:00,FXNC
21.94,21.94,21.94,21.94,100,2022-02-17 17:55:00,FXNC
21.6,21.6,21.31,21.31,900,2022-02-17 18:05:00,FXNC
21.4,21.49,21.4,21.48,329,2022-02-17 18:10:00,FXNC
21.4,21.4,21.4,21.4,4503,2022-02-17 18:25:00,FXNC
21.71,21.71,21.71,21.71,100,2022-02-17 19:45:00,FXNC
21.6,21.6,21.6,21.6,100,2022-02-17 20:35:00,FXNC
21.68,21.68,21.68,21.68,100,2022-02-17 20:55:00,FXNC
21.75,21.75,21.68,21.75,400,2022-02-18 15:45:00,FXNC
21.67,21.67,21.66,21.66,700,2022-02-18 15:50:00,FXNC
21.79,21.79,21.79,21.79,100,2022-02-18 15:55:00,FXNC
21.79,21.79,21.79,21.79,100,2022-02-18 16:00:00,FXNC
21.795,21.795,21.79,21.795,500,2022-02-18 16:20:00,FXNC
21.37,21.37,21.37,21.37,100,2022-02-22 13:25:00,FXNC
21.65,21.65,21.65,21.65,100,2022-02-22 16:25:00,FXNC
21.78,21.78,21.78,21.78,100,2022-02-22 16:40:00,FXNC
21.56,21.56,21.54,21.54,550,2022-02-22 18:45:00,FXNC
21.54,21.54,21.5,21.5,19400,2022-02-22 18:50:00,FXNC
21.76,21.76,21.76,21.76,100,2022-02-22 19:00:00,FXNC
21.7263,21.7263,21.7263,21.7263,200,2022-02-22 20:55:00,FXNC
21.56,21.6,21.56,21.59,1200,2022-02-23 15:40:00,FXNC
21.59,21.59,21.59,21.59,300,2022-02-23 15:45:00,FXNC
21.51,21.51,21.51,21.51,300,2022-02-23 16:15:00,FXNC
21.6,21.6,21.6,21.6,100,2022-02-23 16:20:00,FXNC
21.46,21.46,21.46,21.46,200,2022-02-23 16:50:00,FXNC
21.6,21.61,21.6,21.61,200,2022-02-23 16:55:00,FXNC
21.7,21.7,21.69,21.69,200,2022-02-23 17:00:00,FXNC
21.35,21.35,21.35,21.35,100,2022-02-24 15:35:00,FXNC
21.59,21.59,21.59,21.59,100,2022-02-24 15:50:00,FXNC
21.44,21.44,21.44,21.44,100,2022-02-24 17:55:00,FXNC
21.21,21.38,21.21,21.38,300,2022-02-24 18:05:00,FXNC
21.3,21.3,21.3,21.3,200,2022-02-25 14:40:00,FXNC
21.23,21.49,21.23,21.49,886,2022-02-25 17:30:00,FXNC
21.4138,21.49,21.4138,21.49,600,2022-02-25 18:45:00,FXNC
21.49,21.49,21.49,21.49,100,2022-02-25 18:50:00,FXNC
