open,high,low,close,volume,datetime,symbol
15.01,15.01,15.01,15.01,133,2022-02-01 12:00:00,HBAN
15.01,15.01,15.01,15.01,700,2022-02-01 12:40:00,HBAN
15.01,15.01,15.01,15.01,500,2022-02-01 12:45:00,HBAN
15.03,15.03,15.03,15.03,600,2022-02-01 13:05:00,HBAN
15.03,15.03,15.03,15.03,500,2022-02-01 13:35:00,HBAN
15.03,15.03,15.03,15.03,399,2022-02-01 13:45:00,HBAN
15.03,15.03,15.03,15.03,5000,2022-02-01 13:55:00,HBAN
15.03,15.03,15.03,15.03,6719,2022-02-01 14:15:00,HBAN
15.05,15.18,15.05,15.06,4546,2022-02-01 14:25:00,HBAN
15.07,15.14,15.045,15.12,562421,2022-02-01 14:30:00,HBAN
15.12,15.25,15.115,15.19,306175,2022-02-01 14:35:00,HBAN
15.19,15.235,15.13,15.13,220577,2022-02-01 14:40:00,HBAN
15.135,15.1379,15.07,15.095,212228,2022-02-01 14:45:00,HBAN
15.1,15.15,15.1,15.14,177537,2022-02-01 14:50:00,HBAN
15.135,15.165,15.095,15.105,123895,2022-02-01 14:55:00,HBAN
15.11,15.125,15.025,15.03,300333,2022-02-01 15:00:00,HBAN
15.03,15.055,14.99,15.025,172615,2022-02-01 15:05:00,HBAN
15.03,15.09,15.02,15.08,177983,2022-02-01 15:10:00,HBAN
15.08,15.09,15.045,15.07,169808,2022-02-01 15:15:00,HBAN
15.065,15.19,15.065,15.175,240675,2022-02-01 15:20:00,HBAN
15.17,15.2,15.16,15.175,94478,2022-02-01 15:25:00,HBAN
15.18,15.24,15.18,15.21,156116,2022-02-01 15:30:00,HBAN
15.22,15.25,15.21,15.25,139428,2022-02-01 15:35:00,HBAN
15.2413,15.28,15.2413,15.275,260875,2022-02-01 15:40:00,HBAN
15.2713,15.3,15.225,15.23,136981,2022-02-01 15:45:00,HBAN
15.23,15.27,15.23,15.245,236837,2022-02-01 15:50:00,HBAN
15.25,15.29,15.245,15.28,90715,2022-02-01 15:55:00,HBAN
15.29,15.31,15.26,15.265,116686,2022-02-01 16:00:00,HBAN
15.27,15.275,15.245,15.275,70779,2022-02-01 16:05:00,HBAN
15.275,15.296,15.26,15.285,109001,2022-02-01 16:10:00,HBAN
15.285,15.29,15.265,15.28,107894,2022-02-01 16:15:00,HBAN
15.28,15.3,15.26,15.265,166250,2022-02-01 16:20:00,HBAN
15.265,15.275,15.24,15.24,89788,2022-02-01 16:25:00,HBAN
15.24,15.26,15.21,15.25,124728,2022-02-01 16:30:00,HBAN
15.255,15.28,15.25,15.2707,97482,2022-02-01 16:35:00,HBAN
