open,high,low,close,volume,datetime,symbol
27.59,27.59,27.59,27.59,125,2022-02-01 14:30:00,PNFPP
27.5,27.5,27.21,27.21,1200,2022-02-01 16:05:00,PNFPP
26.8763,26.8763,26.8763,26.8763,250,2022-02-01 16:15:00,PNFPP
27.33,27.39,27.33,27.39,500,2022-02-01 16:35:00,PNFPP
27.39,27.39,27.125,27.14,596,2022-02-01 17:20:00,PNFPP
27.3998,27.3998,27.3998,27.3998,121,2022-02-01 18:30:00,PNFPP
27.5,27.5,27.5,27.5,469,2022-02-01 19:55:00,PNFPP
27.545,27.545,27.5,27.5,3029,2022-02-01 20:30:00,PNFPP
27.5899,27.5899,27.545,27.545,702,2022-02-01 20:35:00,PNFPP
27.55,27.55,27.55,27.55,600,2022-02-01 20:55:00,PNFPP
27.5,27.5,27.5,27.5,887,2022-02-01 21:00:00,PNFPP
27.51,27.51,27.51,27.51,137,2022-02-02 16:15:00,PNFPP
27.88,27.89,27.88,27.88,3993,2022-02-02 16:20:00,PNFPP
28.14,28.14,28.14,28.14,100,2022-02-02 17:10:00,PNFPP
27.5,27.72,27.5,27.72,269,2022-02-02 17:40:00,PNFPP
27.7,27.7,27.7,27.7,100,2022-02-02 18:40:00,PNFPP
27.5269,27.6,27.5269,27.6,308,2022-02-02 18:50:00,PNFPP
27.7,27.7,27.7,27.7,100,2022-02-02 19:05:00,PNFPP
27.5834,27.5834,27.5834,27.5834,500,2022-02-02 19:20:00,PNFPP
27.5709,27.5709,27.5709,27.5709,250,2022-02-02 19:30:00,PNFPP
27.54,27.54,27.54,27.54,100,2022-02-02 19:40:00,PNFPP
27.51,27.51,27.5,27.5,500,2022-02-02 20:05:00,PNFPP
27.52,27.52,27.52,27.52,281,2022-02-02 20:20:00,PNFPP
27.67,27.67,27.67,27.67,100,2022-02-02 20:30:00,PNFPP
27.59,27.6,27.59,27.6,300,2022-02-02 20:45:00,PNFPP
27.5,27.5,27.5,27.5,400,2022-02-02 20:50:00,PNFPP
27.43,27.65,27.43,27.65,333,2022-02-02 20:55:00,PNFPP
26.4446,26.4446,26.4446,26.4446,218,2022-02-03 16:00:00,PNFPP
27.32,27.32,27.32,27.32,200,2022-02-03 16:20:00,PNFPP
26.91,26.91,26.91,26.91,100,2022-02-03 17:50:00,PNFPP
27.3,27.3,26.87,26.87,470,2022-02-03 18:20:00,PNFPP
27.2305,27.2305,27.2305,27.2305,139,2022-02-03 18:35:00,PNFPP
27.32,27.32,27.32,27.32,161,2022-02-03 18:50:00,PNFPP
26.775,26.8,26.775,26.8,335,2022-02-03 19:45:00,PNFPP
26.81,26.81,26.81,26.81,200,2022-02-03 20:30:00,PNFPP
26.74,26.74,26.74,26.74,600,2022-02-03 20:55:00,PNFPP
26.57,26.57,26.57,26.57,157,2022-02-04 14:30:00,PNFPP
26.55,26.55,26.55,26.55,100,2022-02-04 15:10:00,PNFPP
26.58,26.58,26.58,26.58,100,2022-02-04 15:35:00,PNFPP
26.54,26.68,26.5,26.68,4286,2022-02-04 15:55:00,PNFPP
26.54,26.54,26.54,26.54,100,2022-02-04 16:05:00,PNFPP
26.53,26.53,26.53,26.53,100,2022-02-04 16:25:00,PNFPP
26.5442,26.5442,26.5442,26.5442,152,2022-02-04 16:50:00,PNFPP
26.7,26.7,26.7,26.7,620,2022-02-04 17:00:00,PNFPP
26.6076,26.6076,26.6076,26.6076,265,2022-02-04 17:05:00,PNFPP
26.8173,26.8173,26.8173,26.8173,164,2022-02-04 17:10:00,PNFPP
26.79,26.79,26.79,26.79,1000,2022-02-04 18:10:00,PNFPP
26.8706,26.8706,26.8706,26.8706,387,2022-02-04 19:05:00,PNFPP
26.75,26.75,26.75,26.75,100,2022-02-04 19:20:00,PNFPP
26.67,26.805,26.67,26.805,400,2022-02-04 20:20:00,PNFPP
26.79,26.79,26.6,26.6,800,2022-02-04 20:45:00,PNFPP
26.62,26.62,26.6,26.6,2588,2022-02-04 20:50:00,PNFPP
26.6,26.61,26.6,26.61,352,2022-02-04 20:55:00,PNFPP
26.69,26.69,26.6,26.6,217,2022-02-07 14:30:00,PNFPP
26.9227,26.9227,26.9227,26.9227,479,2022-02-07 14:50:00,PNFPP
26.8625,26.8625,26.8625,26.8625,340,2022-02-07 16:40:00,PNFPP
26.78,26.82,26.78,26.82,1760,2022-02-07 16:45:00,PNFPP
26.73,26.89,26.73,26.87,1983,2022-02-07 19:05:00,PNFPP
26.92,26.92,26.92,26.92,207,2022-02-07 19:20:00,PNFPP
26.524,26.524,26.524,26.524,227,2022-02-07 19:35:00,PNFPP
26.5659,26.5659,26.5659,26.5659,155,2022-02-07 20:50:00,PNFPP
26.505,26.8814,26.505,26.8814,324,2022-02-08 14:35:00,PNFPP
26.72,26.72,26.72,26.72,300,2022-02-08 15:15:00,PNFPP
26.75,26.75,26.75,26.75,164,2022-02-08 15:55:00,PNFPP
26.695,26.695,26.695,26.695,184,2022-02-08 16:35:00,PNFPP
26.8699,26.8699,26.7,26.71,1986,2022-02-08 17:00:00,PNFPP
26.7,26.7,26.7,26.7,209,2022-02-08 18:00:00,PNFPP
26.86,27.0,26.86,26.9332,1905,2022-02-08 18:05:00,PNFPP
