open,high,low,close,volume,datetime,symbol
19.83,20.09,19.645,19.68,3362,2022-02-01 14:30:00,SIBN
19.82,20.07,19.65,20.005,1100,2022-02-01 14:35:00,SIBN
19.93,20.09,19.72,19.72,3700,2022-02-01 14:40:00,SIBN
19.94,19.94,19.94,19.94,100,2022-02-01 14:45:00,SIBN
19.99,20.01,19.83,19.94,7446,2022-02-01 14:50:00,SIBN
19.86,19.98,19.85,19.98,6573,2022-02-01 14:55:00,SIBN
19.88,19.88,19.58,19.61,2200,2022-02-01 15:00:00,SIBN
19.51,19.6,19.43,19.6,873,2022-02-01 15:05:00,SIBN
19.8,19.84,19.7114,19.78,900,2022-02-01 15:10:00,SIBN
19.795,19.795,19.71,19.71,400,2022-02-01 15:15:00,SIBN
19.765,19.765,19.765,19.765,100,2022-02-01 15:20:00,SIBN
19.75,19.75,19.705,19.705,700,2022-02-01 15:25:00,SIBN
19.695,19.78,19.695,19.74,1450,2022-02-01 15:30:00,SIBN
19.74,19.79,19.74,19.77,500,2022-02-01 15:35:00,SIBN
19.77,19.79,19.7,19.78,1300,2022-02-01 15:40:00,SIBN
19.82,19.89,19.795,19.865,700,2022-02-01 15:45:00,SIBN
19.94,19.94,19.89,19.9,900,2022-02-01 15:50:00,SIBN
19.97,19.97,19.91,19.95,1341,2022-02-01 15:55:00,SIBN
19.96,19.96,19.9,19.9,400,2022-02-01 16:00:00,SIBN
19.89,19.94,19.88,19.94,600,2022-02-01 16:05:00,SIBN
20.04,20.055,20.04,20.055,900,2022-02-01 16:10:00,SIBN
20.055,20.055,20.0,20.035,576,2022-02-01 16:15:00,SIBN
20.0,20.0,19.91,19.92,932,2022-02-01 16:20:00,SIBN
19.93,19.965,19.93,19.965,300,2022-02-01 16:25:00,SIBN
19.96,19.97,19.96,19.97,600,2022-02-01 16:30:00,SIBN
19.97,20.32,19.97,20.13,26089,2022-02-01 16:35:00,SIBN
20.2,20.2,20.12,20.12,960,2022-02-01 16:40:00,SIBN
20.27,20.27,20.15,20.21,1400,2022-02-01 16:45:00,SIBN
20.16,20.16,20.1,20.1,808,2022-02-01 16:50:00,SIBN
20.18,20.2,20.15,20.15,900,2022-02-01 16:55:00,SIBN
20.13,20.175,20.13,20.175,1100,2022-02-01 17:00:00,SIBN
20.08,20.08,20.06,20.06,727,2022-02-01 17:05:00,SIBN
20.03,20.03,19.98,19.98,1501,2022-02-01 17:10:00,SIBN
20.03,20.03,19.99,20.0,300,2022-02-01 17:15:00,SIBN
20.05,20.05,20.0,20.015,1910,2022-02-01 17:20:00,SIBN
19.99,19.99,19.89,19.89,1400,2022-02-01 17:25:00,SIBN
19.89,19.91,19.68,19.68,4984,2022-02-01 17:30:00,SIBN
19.74,19.76,19.72,19.72,1600,2022-02-01 17:35:00,SIBN
19.72,19.755,19.71,19.755,1753,2022-02-01 17:40:00,SIBN
19.77,19.77,19.77,19.77,200,2022-02-01 17:45:00,SIBN
19.77,19.77,19.71,19.72,1400,2022-02-01 17:50:00,SIBN
19.79,19.815,19.755,19.815,900,2022-02-01 17:55:00,SIBN
19.82,19.85,19.82,19.84,500,2022-02-01 18:00:00,SIBN
19.84,19.84,19.81,19.82,400,2022-02-01 18:05:00,SIBN
19.8,19.8,19.8,19.8,100,2022-02-01 18:10:00,SIBN
19.76,19.83,19.76,19.79,400,2022-02-01 18:15:00,SIBN
19.84,19.84,19.83,19.83,200,2022-02-01 18:20:00,SIBN
19.84,19.88,19.8,19.88,2100,2022-02-01 18:25:00,SIBN
19.82,19.82,19.75,19.75,1529,2022-02-01 18:30:00,SIBN
