open,high,low,close,volume,datetime,symbol
9.86,9.86,9.86,9.86,154,2022-03-11 15:30:00,ARRWU
9.82,9.82,9.82,9.82,100,2022-03-11 16:40:00,ARRWU
9.82,9.82,9.82,9.82,100,2022-03-11 17:30:00,ARRWU
9.82,9.82,9.82,9.82,100,2022-03-11 18:35:00,ARRWU
9.82,9.82,9.82,9.82,100,2022-03-11 19:40:00,ARRWU
9.82,9.82,9.82,9.82,4970,2022-03-14 15:20:00,ARRWU
9.82,9.82,9.82,9.82,950,2022-03-15 13:35:00,ARRWU
9.81,9.81,9.81,9.81,900,2022-03-15 15:30:00,ARRWU
9.82,9.8201,9.81,9.81,9840,2022-03-15 17:20:00,ARRWU
9.82,9.82,9.82,9.82,950,2022-03-15 17:45:00,ARRWU
9.82,9.82,9.82,9.82,950,2022-03-15 19:45:00,ARRWU
9.81,9.82,9.8,9.8,150000,2022-03-16 14:00:00,ARRWU
9.81,9.81,9.81,9.81,4500,2022-03-17 13:55:00,ARRWU
9.86,9.86,9.86,9.86,400,2022-03-18 15:55:00,ARRWU
9.87,9.87,9.87,9.87,270,2022-03-18 16:00:00,ARRWU
9.87,9.87,9.87,9.87,271,2022-03-18 16:05:00,ARRWU
9.87,9.87,9.87,9.87,516,2022-03-18 16:10:00,ARRWU
9.86,9.86,9.86,9.86,200,2022-03-18 16:20:00,ARRWU
9.87,9.88,9.87,9.88,200,2022-03-18 16:25:00,ARRWU
9.88,9.88,9.88,9.88,100,2022-03-18 16:30:00,ARRWU
9.88,9.88,9.88,9.88,100,2022-03-18 16:35:00,ARRWU
9.8209,9.8209,9.81,9.81,2110,2022-03-24 14:05:00,ARRWU
9.83,9.83,9.81,9.82,12355,2022-03-24 19:25:00,ARRWU
9.85,9.87,9.83,9.86,8200,2022-03-28 15:00:00,ARRWU
9.86,9.86,9.86,9.86,840,2022-03-28 20:00:00,ARRWU
9.835,9.835,9.835,9.835,840,2022-03-29 20:00:00,ARRWU
9.85,9.87,9.85,9.855,3668,2022-03-30 14:05:00,ARRWU
9.85,9.85,9.85,9.85,4400,2022-03-30 14:10:00,ARRWU
9.85,9.85,9.84,9.85,900,2022-03-30 14:15:00,ARRWU
9.87,9.87,9.83,9.83,10310,2022-03-30 16:40:00,ARRWU
9.87,9.87,9.845,9.85,1300,2022-03-30 16:45:00,ARRWU
9.85,9.85,9.83,9.83,1700,2022-03-30 17:05:00,ARRWU
9.83,9.83,9.82,9.82,200,2022-03-30 19:45:00,ARRWU
9.82,9.82,9.82,9.82,113,2022-03-30 20:00:00,ARRWU
