open,high,low,close,volume,datetime,symbol
33.52,33.52,33.52,33.52,100,2022-03-01 14:25:00,ATNI
33.53,33.53,33.16,33.16,1199,2022-03-01 14:30:00,ATNI
33.22,33.22,33.22,33.22,100,2022-03-01 14:35:00,ATNI
32.69,32.69,32.69,32.69,100,2022-03-01 14:55:00,ATNI
32.82,32.98,32.82,32.98,300,2022-03-01 15:00:00,ATNI
32.86,32.865,32.73,32.73,400,2022-03-01 15:20:00,ATNI
32.675,32.675,32.675,32.675,100,2022-03-01 15:30:00,ATNI
32.54,32.54,32.48,32.48,340,2022-03-01 15:40:00,ATNI
32.43,32.49,32.43,32.49,400,2022-03-01 15:45:00,ATNI
32.63,32.73,32.63,32.73,200,2022-03-01 15:50:00,ATNI
32.875,32.875,32.87,32.87,296,2022-03-01 16:00:00,ATNI
33.0,33.0,33.0,33.0,100,2022-03-01 16:15:00,ATNI
32.97,32.97,32.97,32.97,100,2022-03-01 16:20:00,ATNI
32.4,32.4,32.4,32.4,100,2022-03-01 16:35:00,ATNI
32.9,32.9,32.9,32.9,100,2022-03-01 16:40:00,ATNI
32.64,32.64,32.64,32.64,100,2022-03-01 16:50:00,ATNI
32.45,32.45,32.34,32.34,200,2022-03-01 16:55:00,ATNI
32.38,32.41,32.34,32.35,700,2022-03-01 17:05:00,ATNI
32.47,32.47,32.47,32.47,128,2022-03-01 17:10:00,ATNI
32.54,32.54,32.54,32.54,191,2022-03-01 17:20:00,ATNI
32.57,32.57,32.57,32.57,100,2022-03-01 17:40:00,ATNI
32.54,32.54,32.54,32.54,100,2022-03-01 17:45:00,ATNI
32.54,32.59,32.54,32.59,200,2022-03-01 17:50:00,ATNI
32.64,32.64,32.64,32.64,100,2022-03-01 18:05:00,ATNI
32.4,32.4,32.4,32.4,100,2022-03-01 18:10:00,ATNI
32.424,32.424,32.41,32.41,210,2022-03-01 18:20:00,ATNI
32.58,32.58,32.58,32.58,100,2022-03-01 18:25:00,ATNI
32.4,32.4,32.4,32.4,100,2022-03-01 18:30:00,ATNI
32.455,32.455,32.455,32.455,100,2022-03-01 18:35:00,ATNI
32.46,32.54,32.46,32.46,700,2022-03-01 18:40:00,ATNI
32.43,32.43,32.42,32.42,200,2022-03-01 18:45:00,ATNI
32.36,32.38,32.33,32.38,400,2022-03-01 18:50:00,ATNI
32.27,32.36,32.27,32.36,200,2022-03-01 19:10:00,ATNI
32.295,32.295,32.295,32.295,100,2022-03-01 19:15:00,ATNI
32.6,32.62,32.6,32.62,200,2022-03-01 19:25:00,ATNI
32.56,32.665,32.56,32.65,600,2022-03-01 19:30:00,ATNI
32.65,32.65,32.65,32.65,100,2022-03-01 19:35:00,ATNI
32.72,32.845,32.72,32.845,400,2022-03-01 19:40:00,ATNI
32.8,32.8,32.73,32.78,1000,2022-03-01 19:45:00,ATNI
32.69,32.69,32.69,32.69,100,2022-03-01 19:50:00,ATNI
32.8,32.8,32.725,32.725,200,2022-03-01 19:55:00,ATNI
32.94,33.0,32.86,32.86,300,2022-03-01 20:00:00,ATNI
32.95,33.09,32.95,33.01,500,2022-03-01 20:05:00,ATNI
33.02,33.02,32.93,32.93,300,2022-03-01 20:10:00,ATNI
32.88,32.93,32.83,32.93,1311,2022-03-01 20:15:00,ATNI
32.79,32.955,32.79,32.93,911,2022-03-01 20:20:00,ATNI
33.06,33.09,32.95,33.02,700,2022-03-01 20:25:00,ATNI
32.94,33.12,32.94,33.11,400,2022-03-01 20:30:00,ATNI
33.07,33.11,32.99,33.1,700,2022-03-01 20:35:00,ATNI
32.94,33.03,32.77,32.77,900,2022-03-01 20:40:00,ATNI
32.78,32.78,32.77,32.78,300,2022-03-01 20:45:00,ATNI
32.88,32.99,32.76,32.99,1100,2022-03-01 20:50:00,ATNI
33.03,33.03,32.92,32.95,878,2022-03-01 20:55:00,ATNI
32.82,32.82,32.82,32.82,13694,2022-03-01 21:00:00,ATNI
33.05,33.05,33.05,33.05,174,2022-03-02 14:30:00,ATNI
33.51,33.51,33.33,33.33,200,2022-03-02 15:00:00,ATNI
33.38,33.38,33.38,33.38,100,2022-03-02 15:05:00,ATNI
33.79,33.79,33.79,33.79,100,2022-03-02 15:55:00,ATNI
33.59,33.67,33.4941,33.67,600,2022-03-02 17:10:00,ATNI
33.54,33.54,33.54,33.54,200,2022-03-02 17:25:00,ATNI
33.7377,33.7377,33.7377,33.7377,118,2022-03-02 17:30:00,ATNI
33.7,33.71,33.7,33.71,437,2022-03-02 17:55:00,ATNI
33.55,33.64,33.3115,33.47,2039,2022-03-02 18:10:00,ATNI
33.55,33.55,33.53,33.55,500,2022-03-02 18:35:00,ATNI
33.51,33.51,33.51,33.51,100,2022-03-02 18:50:00,ATNI
33.6,33.61,33.6,33.61,200,2022-03-02 19:00:00,ATNI
33.64,33.78,33.62,33.62,500,2022-03-02 19:20:00,ATNI
33.69,33.69,33.69,33.69,100,2022-03-02 19:25:00,ATNI
33.69,33.69,33.69,33.69,200,2022-03-02 19:35:00,ATNI
33.78,34.0,33.75,34.0,602,2022-03-02 19:50:00,ATNI
34.0,34.0,33.7,33.94,300,2022-03-02 19:55:00,ATNI
34.01,34.01,34.01,34.01,100,2022-03-02 20:00:00,ATNI
33.91,33.91,33.91,33.91,100,2022-03-02 20:05:00,ATNI
34.015,34.015,34.015,34.015,100,2022-03-02 20:10:00,ATNI
33.94,33.94,33.94,33.94,100,2022-03-02 20:15:00,ATNI
34.02,34.02,34.02,34.02,100,2022-03-02 20:20:00,ATNI
33.92,33.92,33.92,33.92,100,2022-03-02 20:25:00,ATNI
33.92,33.98,33.91,33.98,600,2022-03-02 20:30:00,ATNI
33.86,33.97,33.84,33.93,500,2022-03-02 20:35:00,ATNI
33.88,34.11,33.84,33.84,901,2022-03-02 20:40:00,ATNI
33.92,33.98,33.92,33.98,200,2022-03-02 20:45:00,ATNI
33.86,34.0,33.86,33.93,400,2022-03-02 20:50:00,ATNI
33.96,33.99,33.82,33.82,1985,2022-03-02 20:55:00,ATNI
33.87,33.87,33.87,33.87,9277,2022-03-02 21:00:00,ATNI
33.72,33.73,33.61,33.73,1763,2022-03-03 14:30:00,ATNI
33.69,33.69,33.69,33.69,100,2022-03-03 15:40:00,ATNI
33.5032,33.5032,33.5032,33.5032,132,2022-03-03 16:15:00,ATNI
33.5,33.5,33.5,33.5,751,2022-03-03 16:25:00,ATNI
33.4201,33.4201,33.4201,33.4201,1635,2022-03-03 16:45:00,ATNI
33.43,33.43,33.43,33.43,260,2022-03-03 16:55:00,ATNI
33.72,33.73,33.7,33.7,600,2022-03-03 17:15:00,ATNI
33.81,33.81,33.81,33.81,100,2022-03-03 17:30:00,ATNI
33.71,33.71,33.71,33.71,100,2022-03-03 17:35:00,ATNI
33.71,33.71,33.71,33.71,114,2022-03-03 17:55:00,ATNI
33.72,33.72,33.72,33.72,121,2022-03-03 18:15:00,ATNI
33.66,33.68,33.65,33.68,300,2022-03-03 18:20:00,ATNI
33.61,33.61,33.535,33.535,300,2022-03-03 18:50:00,ATNI
33.66,33.66,33.66,33.66,100,2022-03-03 18:55:00,ATNI
33.47,33.55,33.47,33.55,200,2022-03-03 19:00:00,ATNI
33.56,33.56,33.56,33.56,100,2022-03-03 19:05:00,ATNI
33.47,33.47,33.47,33.47,100,2022-03-03 19:10:00,ATNI
33.49,33.49,33.49,33.49,100,2022-03-03 19:15:00,ATNI
33.6,33.6,33.6,33.6,100,2022-03-03 19:20:00,ATNI
33.3426,33.3426,33.3426,33.3426,500,2022-03-03 19:25:00,ATNI
33.4,33.4,33.4,33.4,100,2022-03-03 19:30:00,ATNI
33.39,33.4,33.39,33.4,200,2022-03-03 19:35:00,ATNI
33.38,33.38,33.38,33.38,100,2022-03-03 19:45:00,ATNI
33.37,33.37,33.37,33.37,100,2022-03-03 19:50:00,ATNI
33.2,33.27,33.2,33.27,910,2022-03-03 19:55:00,ATNI
33.06,33.06,33.06,33.06,100,2022-03-03 20:00:00,ATNI
33.24,33.24,33.16,33.18,300,2022-03-03 20:05:00,ATNI
33.18,33.2,33.09,33.09,300,2022-03-03 20:10:00,ATNI
33.21,33.21,33.21,33.21,500,2022-03-03 20:20:00,ATNI
33.135,33.25,33.135,33.25,404,2022-03-03 20:25:00,ATNI
33.28,33.28,33.22,33.22,500,2022-03-03 20:30:00,ATNI
33.1,33.11,33.1,33.11,200,2022-03-03 20:35:00,ATNI
33.12,33.12,33.11,33.12,689,2022-03-03 20:45:00,ATNI
33.15,33.27,33.15,33.22,644,2022-03-03 20:50:00,ATNI
33.195,33.24,33.05,33.07,1759,2022-03-03 20:55:00,ATNI
33.19,33.19,33.19,33.19,12144,2022-03-03 21:00:00,ATNI
33.18,33.18,32.3,32.3,1307,2022-03-04 14:30:00,ATNI
32.93,32.93,32.93,32.93,100,2022-03-04 14:55:00,ATNI
32.91,32.91,32.91,32.91,100,2022-03-04 16:00:00,ATNI
32.74,32.74,32.74,32.74,100,2022-03-04 16:05:00,ATNI
32.7,32.7,32.7,32.7,107,2022-03-04 16:15:00,ATNI
32.8099,32.8099,32.8099,32.8099,120,2022-03-04 17:10:00,ATNI
32.59,32.59,32.59,32.59,100,2022-03-04 17:15:00,ATNI
32.59,32.595,32.59,32.595,324,2022-03-04 17:20:00,ATNI
32.69,32.69,32.69,32.69,144,2022-03-04 18:05:00,ATNI
32.69,32.69,32.69,32.69,100,2022-03-04 18:10:00,ATNI
32.67,32.75,32.53,32.535,983,2022-03-04 18:25:00,ATNI
32.64,32.64,32.64,32.64,100,2022-03-04 18:30:00,ATNI
32.67,32.69,32.6,32.6,400,2022-03-04 18:35:00,ATNI
32.7256,32.7256,32.7256,32.7256,107,2022-03-04 18:40:00,ATNI
32.81,32.81,32.53,32.53,629,2022-03-04 19:10:00,ATNI
32.545,32.545,32.545,32.545,100,2022-03-04 19:55:00,ATNI
32.48,32.48,32.48,32.48,100,2022-03-04 20:35:00,ATNI
32.65,32.74,32.52,32.74,837,2022-03-04 20:50:00,ATNI
32.73,32.81,32.655,32.655,1209,2022-03-04 20:55:00,ATNI
32.66,32.66,32.66,32.66,5502,2022-03-04 21:00:00,ATNI
32.52,32.52,32.07,32.07,1872,2022-03-07 14:30:00,ATNI
32.32,32.32,32.32,32.32,100,2022-03-07 14:35:00,ATNI
32.23,32.23,32.23,32.23,100,2022-03-07 15:05:00,ATNI
32.34,32.34,32.34,32.34,100,2022-03-07 15:15:00,ATNI
32.44,32.47,32.44,32.47,300,2022-03-07 15:35:00,ATNI
32.45,32.45,32.45,32.45,107,2022-03-07 15:50:00,ATNI
32.8533,32.8533,32.8533,32.8533,115,2022-03-07 16:30:00,ATNI
32.53,32.53,32.49,32.5,698,2022-03-07 16:35:00,ATNI
32.485,32.485,32.36,32.36,3588,2022-03-07 16:50:00,ATNI
32.285,32.4,32.22,32.22,460,2022-03-07 16:55:00,ATNI
32.41,32.51,32.41,32.51,200,2022-03-07 17:00:00,ATNI
32.53,32.56,32.53,32.56,300,2022-03-07 17:10:00,ATNI
32.64,32.66,32.62,32.66,400,2022-03-07 17:30:00,ATNI
32.7,32.7,32.6311,32.6311,319,2022-03-07 17:35:00,ATNI
32.88,32.88,32.88,32.88,176,2022-03-07 17:45:00,ATNI
32.9504,32.9504,32.9504,32.9504,135,2022-03-07 18:25:00,ATNI
32.86,32.86,32.86,32.86,100,2022-03-07 18:30:00,ATNI
32.95,33.07,32.93,33.07,602,2022-03-07 18:40:00,ATNI
32.972,33.46,32.972,33.38,1900,2022-03-07 18:45:00,ATNI
33.13,33.215,33.1,33.215,742,2022-03-07 18:50:00,ATNI
33.35,33.35,33.35,33.35,100,2022-03-07 19:05:00,ATNI
33.36,33.36,33.36,33.36,100,2022-03-07 19:10:00,ATNI
33.31,33.31,33.12,33.12,200,2022-03-07 19:20:00,ATNI
33.32,33.32,33.32,33.32,100,2022-03-07 19:25:00,ATNI
33.3375,33.3375,33.3375,33.3375,122,2022-03-07 19:35:00,ATNI
33.41,33.41,33.41,33.41,100,2022-03-07 19:50:00,ATNI
33.42,33.45,33.42,33.45,280,2022-03-07 19:55:00,ATNI
33.22,33.22,33.22,33.22,100,2022-03-07 20:05:00,ATNI
33.33,33.33,33.32,33.32,200,2022-03-07 20:10:00,ATNI
33.21,33.21,33.21,33.21,100,2022-03-07 20:20:00,ATNI
33.32,33.43,33.32,33.4,400,2022-03-07 20:25:00,ATNI
33.41,33.41,33.3,33.39,600,2022-03-07 20:30:00,ATNI
33.375,33.375,33.36,33.36,200,2022-03-07 20:35:00,ATNI
33.385,33.385,33.385,33.385,100,2022-03-07 20:40:00,ATNI
33.43,33.43,33.3,33.35,500,2022-03-07 20:45:00,ATNI
33.425,33.54,33.385,33.515,1100,2022-03-07 20:50:00,ATNI
33.44,33.59,33.44,33.52,1100,2022-03-07 20:55:00,ATNI
33.45,33.45,33.45,33.45,6256,2022-03-07 21:00:00,ATNI
33.55,33.55,33.55,33.55,251,2022-03-08 14:30:00,ATNI
33.91,33.91,33.46,33.46,200,2022-03-08 14:45:00,ATNI
33.3819,34.6303,33.3819,34.2463,4909,2022-03-08 14:50:00,ATNI
33.99,33.99,33.99,33.99,100,2022-03-08 15:20:00,ATNI
34.11,34.11,34.11,34.11,100,2022-03-08 15:25:00,ATNI
34.08,34.08,34.08,34.08,200,2022-03-08 15:50:00,ATNI
34.16,34.21,33.96,34.19,1838,2022-03-08 16:00:00,ATNI
34.2,34.22,34.13,34.13,300,2022-03-08 16:05:00,ATNI
34.13,34.15,34.13,34.15,300,2022-03-08 16:40:00,ATNI
34.34,34.34,34.23,34.23,500,2022-03-08 17:00:00,ATNI
34.49,34.49,34.49,34.49,313,2022-03-08 17:05:00,ATNI
34.57,34.66,34.57,34.66,200,2022-03-08 17:30:00,ATNI
34.68,34.68,34.68,34.68,100,2022-03-08 17:50:00,ATNI
34.68,34.765,34.63,34.745,700,2022-03-08 18:15:00,ATNI
34.245,34.32,34.245,34.32,201,2022-03-08 18:40:00,ATNI
34.2242,34.25,34.2242,34.25,337,2022-03-08 18:45:00,ATNI
