open,high,low,close,volume,datetime,symbol
12.78,12.8,12.78,12.79,5100,2022-03-01 12:00:00,GOGL
12.78,12.78,12.76,12.78,5479,2022-03-01 12:05:00,GOGL
12.78,12.78,12.78,12.78,4312,2022-03-01 12:10:00,GOGL
12.79,12.79,12.73,12.73,8478,2022-03-01 12:15:00,GOGL
12.8,12.8,12.8,12.8,1750,2022-03-01 12:30:00,GOGL
12.8,12.81,12.79,12.79,5741,2022-03-01 12:35:00,GOGL
12.8,12.81,12.79,12.8,1900,2022-03-01 12:40:00,GOGL
12.79,12.79,12.79,12.79,100,2022-03-01 12:45:00,GOGL
12.76,12.76,12.76,12.76,100,2022-03-01 12:50:00,GOGL
12.73,12.73,12.73,12.73,255,2022-03-01 12:55:00,GOGL
12.71,12.72,12.62,12.69,10150,2022-03-01 13:00:00,GOGL
12.7,12.72,12.7,12.71,3600,2022-03-01 13:05:00,GOGL
12.72,12.72,12.72,12.72,1350,2022-03-01 13:15:00,GOGL
12.73,12.74,12.71,12.72,5145,2022-03-01 13:20:00,GOGL
12.74,12.75,12.72,12.75,2800,2022-03-01 13:25:00,GOGL
12.77,12.81,12.77,12.81,6712,2022-03-01 13:30:00,GOGL
12.81,12.81,12.81,12.81,1100,2022-03-01 13:35:00,GOGL
12.81,12.81,12.81,12.81,2100,2022-03-01 13:40:00,GOGL
12.8,12.82,12.8,12.8099,1700,2022-03-01 13:45:00,GOGL
12.81,12.81,12.8,12.81,5648,2022-03-01 13:55:00,GOGL
12.8,12.8,12.8,12.8,1900,2022-03-01 14:00:00,GOGL
12.8,12.8,12.77,12.77,2007,2022-03-01 14:05:00,GOGL
12.78,12.78,12.76,12.76,6699,2022-03-01 14:10:00,GOGL
12.77,12.77,12.7699,12.77,6200,2022-03-01 14:15:00,GOGL
12.77,12.77,12.75,12.75,4000,2022-03-01 14:20:00,GOGL
12.78,12.83,12.75,12.8,16182,2022-03-01 14:25:00,GOGL
12.78,12.84,12.72,12.82,242053,2022-03-01 14:30:00,GOGL
12.815,12.825,12.74,12.745,152479,2022-03-01 14:35:00,GOGL
12.74,12.78,12.7,12.75,141348,2022-03-01 14:40:00,GOGL
12.76,12.77,12.67,12.682,75564,2022-03-01 14:45:00,GOGL
12.688,12.688,12.61,12.685,98755,2022-03-01 14:50:00,GOGL
12.69,12.695,12.63,12.67,76300,2022-03-01 14:55:00,GOGL
12.67,12.685,12.602,12.615,80692,2022-03-01 15:00:00,GOGL
12.615,12.665,12.605,12.625,47100,2022-03-01 15:05:00,GOGL
12.62,12.625,12.55,12.55,73903,2022-03-01 15:10:00,GOGL
12.54,12.62,12.5301,12.59,61549,2022-03-01 15:15:00,GOGL
12.585,12.645,12.57,12.645,99961,2022-03-01 15:20:00,GOGL
12.65,12.67,12.62,12.635,58017,2022-03-01 15:25:00,GOGL
12.635,12.68,12.62,12.62,58428,2022-03-01 15:30:00,GOGL
12.63,12.635,12.565,12.5682,56130,2022-03-01 15:35:00,GOGL
12.565,12.57,12.52,12.5491,83910,2022-03-01 15:40:00,GOGL
12.545,12.58,12.545,12.57,74088,2022-03-01 15:45:00,GOGL
12.575,12.6,12.535,12.545,39115,2022-03-01 15:50:00,GOGL
12.545,12.545,12.5,12.5101,36497,2022-03-01 15:55:00,GOGL
12.515,12.5491,12.495,12.5491,69603,2022-03-01 16:00:00,GOGL
12.55,12.6,12.545,12.5693,47365,2022-03-01 16:05:00,GOGL
12.5699,12.585,12.545,12.5608,36267,2022-03-01 16:10:00,GOGL
12.565,12.58,12.565,12.565,27037,2022-03-01 16:15:00,GOGL
12.565,12.6,12.5611,12.5846,39307,2022-03-01 16:20:00,GOGL
12.58,12.585,12.5101,12.5193,31260,2022-03-01 16:25:00,GOGL
12.51,12.51,12.42,12.42,44388,2022-03-01 16:30:00,GOGL
12.43,12.435,12.385,12.395,61816,2022-03-01 16:35:00,GOGL
12.4,12.435,12.39,12.435,35372,2022-03-01 16:40:00,GOGL
12.4399,12.44,12.3711,12.38,37276,2022-03-01 16:45:00,GOGL
12.39,12.435,12.39,12.415,48459,2022-03-01 16:50:00,GOGL
12.41,12.43,12.38,12.42,53583,2022-03-01 16:55:00,GOGL
12.41,12.4195,12.365,12.3783,46232,2022-03-01 17:00:00,GOGL
12.38,12.395,12.31,12.315,46375,2022-03-01 17:05:00,GOGL
12.3186,12.35,12.3186,12.345,36869,2022-03-01 17:10:00,GOGL
12.36,12.4493,12.36,12.4456,52430,2022-03-01 17:15:00,GOGL
12.45,12.46,12.36,12.3798,48296,2022-03-01 17:20:00,GOGL
