open,high,low,close,volume,datetime,symbol
10.8,10.8,10.8,10.8,400,2022-03-01 13:05:00,SABR
10.8012,10.8012,10.8012,10.8012,380,2022-03-01 13:15:00,SABR
10.81,10.81,10.81,10.81,100,2022-03-01 13:40:00,SABR
10.85,10.87,10.83,10.83,1508,2022-03-01 13:50:00,SABR
10.85,10.86,10.85,10.86,200,2022-03-01 13:55:00,SABR
10.83,10.83,10.83,10.83,100,2022-03-01 14:10:00,SABR
10.8,10.8,10.72,10.73,11582,2022-03-01 14:25:00,SABR
10.73,10.92,10.67,10.76,184041,2022-03-01 14:30:00,SABR
10.765,10.77,10.57,10.585,155542,2022-03-01 14:35:00,SABR
10.585,10.6,10.52,10.59,249137,2022-03-01 14:40:00,SABR
10.6,10.61,10.475,10.4905,193641,2022-03-01 14:45:00,SABR
10.495,10.53,10.43,10.464,106404,2022-03-01 14:50:00,SABR
10.465,10.49,10.445,10.465,67464,2022-03-01 14:55:00,SABR
10.47,10.54,10.41,10.415,97015,2022-03-01 15:00:00,SABR
10.41,10.46,10.4,10.42,162497,2022-03-01 15:05:00,SABR
10.42,10.42,10.34,10.365,272793,2022-03-01 15:10:00,SABR
10.365,10.415,10.365,10.385,90617,2022-03-01 15:15:00,SABR
10.39,10.42,10.365,10.4,70001,2022-03-01 15:20:00,SABR
10.3957,10.425,10.38,10.4,65736,2022-03-01 15:25:00,SABR
10.41,10.44,10.373,10.375,113492,2022-03-01 15:30:00,SABR
10.375,10.405,10.345,10.39,87427,2022-03-01 15:35:00,SABR
10.38,10.38,10.285,10.285,54427,2022-03-01 15:40:00,SABR
10.29,10.305,10.27,10.29,117448,2022-03-01 15:45:00,SABR
10.29,10.33,10.27,10.31,101049,2022-03-01 15:50:00,SABR
10.315,10.315,10.26,10.285,80838,2022-03-01 15:55:00,SABR
10.28,10.3,10.25,10.275,113215,2022-03-01 16:00:00,SABR
10.275,10.285,10.255,10.265,56008,2022-03-01 16:05:00,SABR
10.26,10.26,10.225,10.25,82758,2022-03-01 16:10:00,SABR
10.26,10.26,10.225,10.23,34655,2022-03-01 16:15:00,SABR
10.235,10.245,10.205,10.205,67122,2022-03-01 16:20:00,SABR
10.205,10.21,10.16,10.16,71083,2022-03-01 16:25:00,SABR
10.16,10.16,10.1,10.105,120513,2022-03-01 16:30:00,SABR
10.11,10.115,10.07,10.08,161314,2022-03-01 16:35:00,SABR
10.085,10.11,10.08,10.0999,143750,2022-03-01 16:40:00,SABR
10.095,10.1,10.05,10.095,160059,2022-03-01 16:45:00,SABR
10.1,10.105,10.065,10.065,72389,2022-03-01 16:50:00,SABR
10.06,10.075,10.03,10.035,161811,2022-03-01 16:55:00,SABR
10.03,10.035,10.01,10.035,122790,2022-03-01 17:00:00,SABR
10.035,10.055,10.01,10.02,112213,2022-03-01 17:05:00,SABR
10.02,10.09,10.02,10.09,78183,2022-03-01 17:10:00,SABR
10.095,10.13,10.06,10.12,48305,2022-03-01 17:15:00,SABR
10.13,10.13,10.08,10.09,32517,2022-03-01 17:20:00,SABR
10.08,10.1,10.05,10.08,66695,2022-03-01 17:25:00,SABR
10.07,10.07,10.03,10.04,117191,2022-03-01 17:30:00,SABR
10.035,10.055,10.02,10.0441,69368,2022-03-01 17:35:00,SABR
10.045,10.09,10.04,10.085,40191,2022-03-01 17:40:00,SABR
10.08,10.1,10.07,10.095,88937,2022-03-01 17:45:00,SABR
10.09,10.1,10.085,10.1,36425,2022-03-01 17:50:00,SABR
10.095,10.1,10.07,10.1,88673,2022-03-01 17:55:00,SABR
10.09,10.1071,10.065,10.07,52814,2022-03-01 18:00:00,SABR
10.06,10.085,10.04,10.065,34859,2022-03-01 18:05:00,SABR
10.065,10.065,10.02,10.02,60543,2022-03-01 18:10:00,SABR
10.02,10.02,9.99,10.005,164265,2022-03-01 18:15:00,SABR
10.01,10.04,10.01,10.0265,84147,2022-03-01 18:20:00,SABR
10.02,10.0425,10.0,10.005,91455,2022-03-01 18:25:00,SABR
10.0014,10.0476,10.0,10.025,94926,2022-03-01 18:30:00,SABR
10.02,10.045,10.01,10.015,44617,2022-03-01 18:35:00,SABR
10.02,10.02,10.0,10.005,56271,2022-03-01 18:40:00,SABR
10.0,10.0276,9.98,9.99,106364,2022-03-01 18:45:00,SABR
9.985,10.005,9.96,9.985,73624,2022-03-01 18:50:00,SABR
9.99,10.01,9.975,10.01,57303,2022-03-01 18:55:00,SABR
10.005,10.02,9.97,10.015,76999,2022-03-01 19:00:00,SABR
10.01,10.025,9.99,10.005,65001,2022-03-01 19:05:00,SABR
10.01,10.02,9.99,9.995,99306,2022-03-01 19:10:00,SABR
