open,high,low,close,volume,datetime,symbol
19.57,19.83,19.245,19.83,1151,2022-03-01 14:30:00,STOK
19.7,19.75,19.41,19.75,459,2022-03-01 14:40:00,STOK
19.485,19.485,19.485,19.485,100,2022-03-01 14:45:00,STOK
19.55,19.785,19.55,19.785,826,2022-03-01 14:50:00,STOK
19.79,19.835,19.75,19.75,2600,2022-03-01 14:55:00,STOK
20.015,20.015,20.015,20.015,100,2022-03-01 15:00:00,STOK
19.885,20.16,19.88,20.115,885,2022-03-01 15:10:00,STOK
20.11,20.18,19.9,20.18,800,2022-03-01 15:15:00,STOK
20.1373,20.1373,20.1373,20.1373,200,2022-03-01 15:20:00,STOK
20.14,20.29,20.14,20.29,362,2022-03-01 15:30:00,STOK
20.12,20.13,20.12,20.13,200,2022-03-01 15:35:00,STOK
20.13,20.15,20.11,20.15,800,2022-03-01 15:40:00,STOK
19.98,20.0,19.8,19.855,1168,2022-03-01 15:45:00,STOK
19.87,19.87,19.86,19.86,200,2022-03-01 15:55:00,STOK
19.86,19.86,19.73,19.85,3940,2022-03-01 16:00:00,STOK
19.865,19.865,19.865,19.865,400,2022-03-01 16:05:00,STOK
19.8,19.86,19.765,19.765,4745,2022-03-01 16:10:00,STOK
19.79,19.8,19.74,19.74,400,2022-03-01 16:15:00,STOK
19.865,19.87,19.8,19.8,400,2022-03-01 16:25:00,STOK
19.73,19.73,19.72,19.72,300,2022-03-01 16:30:00,STOK
19.6,19.6,19.58,19.59,600,2022-03-01 16:35:00,STOK
19.57,19.75,19.555,19.555,600,2022-03-01 16:40:00,STOK
19.49,19.6,19.49,19.6,300,2022-03-01 16:45:00,STOK
19.5,19.5,19.48,19.5,577,2022-03-01 16:50:00,STOK
19.49,19.73,19.48,19.51,1689,2022-03-01 16:55:00,STOK
19.67,19.67,19.65,19.65,200,2022-03-01 17:00:00,STOK
19.625,19.82,19.625,19.82,900,2022-03-01 17:05:00,STOK
19.8,19.8,19.65,19.65,200,2022-03-01 17:10:00,STOK
19.815,19.89,19.815,19.87,400,2022-03-01 17:15:00,STOK
19.82,19.82,19.82,19.82,100,2022-03-01 17:20:00,STOK
19.69,19.69,19.69,19.69,200,2022-03-01 17:25:00,STOK
19.66,19.67,19.66,19.67,200,2022-03-01 17:30:00,STOK
19.92,19.92,19.92,19.92,300,2022-03-01 17:35:00,STOK
19.75,19.955,19.72,19.955,500,2022-03-01 17:40:00,STOK
19.96,19.96,19.83,19.95,400,2022-03-01 17:45:00,STOK
19.95,20.01,19.83,20.01,600,2022-03-01 17:50:00,STOK
20.15,20.15,20.1,20.15,940,2022-03-01 18:00:00,STOK
20.05,20.05,20.05,20.05,100,2022-03-01 18:05:00,STOK
19.95,20.13,19.95,20.13,500,2022-03-01 18:10:00,STOK
