open,high,low,close,volume,datetime,symbol
1.3,1.3,1.3,1.3,800,2022-03-01 16:00:00,UPC
1.34,1.34,1.34,1.34,1000,2022-03-01 16:45:00,UPC
1.3,1.3,1.3,1.3,100,2022-03-01 16:55:00,UPC
1.25,1.25,1.24,1.25,1112,2022-03-01 17:40:00,UPC
1.24,1.24,1.24,1.24,100,2022-03-01 17:45:00,UPC
1.27,1.27,1.27,1.27,100,2022-03-01 20:35:00,UPC
1.245,1.25,1.245,1.25,200,2022-03-01 20:40:00,UPC
1.3,1.3,1.2502,1.3,1899,2022-03-01 20:55:00,UPC
1.3,1.3,1.3,1.3,730,2022-03-02 14:30:00,UPC
1.3,1.3,1.3,1.3,100,2022-03-02 14:35:00,UPC
1.3027,1.3027,1.3,1.3,6899,2022-03-02 16:05:00,UPC
1.27,1.285,1.27,1.285,810,2022-03-02 16:10:00,UPC
1.31,1.318,1.31,1.318,200,2022-03-02 19:00:00,UPC
1.33,1.33,1.2973,1.3065,2200,2022-03-02 19:05:00,UPC
1.3,1.3,1.3,1.3,100,2022-03-02 19:15:00,UPC
1.3,1.3,1.3,1.3,100,2022-03-02 19:20:00,UPC
1.305,1.305,1.305,1.305,100,2022-03-02 19:40:00,UPC
1.31,1.315,1.31,1.315,390,2022-03-02 19:45:00,UPC
1.33,1.33,1.33,1.33,100,2022-03-02 19:50:00,UPC
1.32,1.32,1.32,1.32,100,2022-03-02 20:05:00,UPC
1.31,1.31,1.3073,1.31,500,2022-03-02 20:20:00,UPC
1.3099,1.31,1.305,1.31,5900,2022-03-02 20:45:00,UPC
1.32,1.32,1.32,1.32,200,2022-03-02 20:55:00,UPC
1.3,1.41,1.3,1.41,1700,2022-03-03 09:15:00,UPC
1.41,1.41,1.39,1.39,500,2022-03-03 09:20:00,UPC
1.32,1.32,1.32,1.32,100,2022-03-03 12:15:00,UPC
1.32,1.32,1.32,1.32,400,2022-03-03 12:20:00,UPC
1.31,1.3127,1.29,1.29,10130,2022-03-03 14:40:00,UPC
1.31,1.31,1.31,1.31,100,2022-03-03 14:45:00,UPC
1.33,1.33,1.33,1.33,100,2022-03-03 14:55:00,UPC
1.3,1.3,1.29,1.29,200,2022-03-03 15:35:00,UPC
1.2973,1.3,1.2973,1.3,1500,2022-03-03 16:10:00,UPC
1.3,1.3,1.3,1.3,139,2022-03-03 18:20:00,UPC
1.2973,1.2973,1.2973,1.2973,200,2022-03-03 18:25:00,UPC
1.28,1.28,1.28,1.28,1200,2022-03-03 19:10:00,UPC
1.28,1.28,1.2799,1.28,2338,2022-03-03 19:15:00,UPC
1.32,1.33,1.32,1.33,357,2022-03-03 20:55:00,UPC
1.3,1.3,1.3,1.3,200,2022-03-04 13:15:00,UPC
1.29,1.29,1.29,1.29,104,2022-03-04 14:35:00,UPC
1.29,1.29,1.29,1.29,107,2022-03-04 14:50:00,UPC
1.32,1.32,1.3173,1.3173,200,2022-03-04 15:00:00,UPC
1.29,1.29,1.29,1.29,300,2022-03-04 15:50:00,UPC
1.2901,1.2901,1.2901,1.2901,700,2022-03-04 16:05:00,UPC
1.32,1.32,1.32,1.32,100,2022-03-04 16:20:00,UPC
1.3063,1.3063,1.3063,1.3063,100,2022-03-04 16:30:00,UPC
1.29,1.29,1.29,1.29,100,2022-03-04 17:35:00,UPC
1.29,1.29,1.29,1.29,100,2022-03-04 17:45:00,UPC
1.3199,1.3199,1.3199,1.3199,1944,2022-03-04 18:00:00,UPC
1.3072,1.3072,1.3064,1.3064,200,2022-03-04 18:35:00,UPC
1.31,1.31,1.31,1.31,100,2022-03-04 18:45:00,UPC
1.29,1.29,1.28,1.29,400,2022-03-04 19:15:00,UPC
1.31,1.32,1.31,1.31,400,2022-03-04 20:55:00,UPC
1.28,1.28,1.28,1.28,200,2022-03-07 14:40:00,UPC
1.28,1.28,1.28,1.28,298,2022-03-07 14:45:00,UPC
1.27,1.27,1.2157,1.2157,1917,2022-03-07 15:10:00,UPC
1.23,1.23,1.1724,1.1724,1200,2022-03-07 15:15:00,UPC
1.23,1.23,1.23,1.23,100,2022-03-07 15:25:00,UPC
1.28,1.28,1.28,1.28,200,2022-03-07 15:40:00,UPC
1.28,1.28,1.28,1.28,100,2022-03-07 16:05:00,UPC
1.27,1.27,1.27,1.27,100,2022-03-07 17:15:00,UPC
1.28,1.2873,1.28,1.2852,400,2022-03-07 19:45:00,UPC
1.27,1.27,1.27,1.27,200,2022-03-07 20:30:00,UPC
1.26,1.2673,1.26,1.26,600,2022-03-07 20:35:00,UPC
1.2864,1.2864,1.2864,1.2864,100,2022-03-07 20:50:00,UPC
1.3,1.3,1.3,1.3,100,2022-03-08 09:00:00,UPC
1.3,1.3,1.3,1.3,100,2022-03-08 09:40:00,UPC
1.23,1.23,1.23,1.23,960,2022-03-08 14:30:00,UPC
1.25,1.25,1.25,1.25,200,2022-03-08 15:10:00,UPC
1.26,1.26,1.26,1.26,100,2022-03-08 15:15:00,UPC
1.2373,1.2373,1.2373,1.2373,200,2022-03-08 17:50:00,UPC
1.26,1.26,1.26,1.26,100,2022-03-08 18:10:00,UPC
1.215,1.22,1.2101,1.2199,1390,2022-03-08 19:10:00,UPC
1.27,1.27,1.27,1.27,100,2022-03-08 20:50:00,UPC
1.2773,1.2773,1.2773,1.2773,200,2022-03-08 20:55:00,UPC
1.3,1.3,1.3,1.3,380,2022-03-09 14:35:00,UPC
1.29,1.29,1.29,1.29,387,2022-03-09 14:40:00,UPC
1.2962,1.2962,1.2962,1.2962,300,2022-03-09 14:45:00,UPC
1.22,1.22,1.16,1.17,4600,2022-03-09 15:25:00,UPC
1.17,1.18,1.17,1.17,7191,2022-03-09 15:30:00,UPC
1.17,1.18,1.17,1.18,5694,2022-03-09 15:35:00,UPC
1.17,1.18,1.17,1.18,12014,2022-03-09 15:40:00,UPC
1.29,1.29,1.29,1.29,100,2022-03-09 15:45:00,UPC
1.245,1.245,1.245,1.245,900,2022-03-09 15:50:00,UPC
1.21,1.21,1.2,1.2,700,2022-03-09 17:50:00,UPC
1.2027,1.2027,1.2,1.2,3347,2022-03-09 17:55:00,UPC
1.215,1.215,1.215,1.215,100,2022-03-09 18:05:00,UPC
1.24,1.24,1.24,1.24,100,2022-03-09 18:30:00,UPC
1.28,1.28,1.28,1.28,300,2022-03-09 20:55:00,UPC
1.28,1.28,1.28,1.28,180,2022-03-10 14:35:00,UPC
1.245,1.245,1.245,1.245,100,2022-03-10 15:05:00,UPC
1.265,1.265,1.265,1.265,150,2022-03-10 15:10:00,UPC
1.21,1.21,1.21,1.21,100,2022-03-10 15:45:00,UPC
1.19,1.19,1.19,1.19,800,2022-03-10 15:50:00,UPC
1.19,1.19,1.1434,1.1499,4195,2022-03-10 15:55:00,UPC
1.149,1.149,1.149,1.149,6862,2022-03-10 16:00:00,UPC
1.145,1.2,1.145,1.2,3750,2022-03-10 16:05:00,UPC
1.1626,1.1626,1.1626,1.1626,6879,2022-03-10 18:20:00,UPC
1.26,1.26,1.26,1.26,100,2022-03-10 19:00:00,UPC
1.21,1.21,1.21,1.21,200,2022-03-10 19:35:00,UPC
1.2147,1.2147,1.2147,1.2147,192,2022-03-10 20:35:00,UPC
1.21,1.21,1.21,1.21,100,2022-03-10 20:40:00,UPC
1.24,1.2436,1.24,1.2436,900,2022-03-10 20:55:00,UPC
1.21,1.21,1.15,1.15,2926,2022-03-10 22:30:00,UPC
1.16,1.16,1.16,1.16,915,2022-03-11 14:30:00,UPC
1.16,1.16,1.16,1.16,1200,2022-03-11 14:35:00,UPC
1.2,1.24,1.2,1.2399,4900,2022-03-11 14:45:00,UPC
1.24,1.3,1.24,1.3,15422,2022-03-11 14:50:00,UPC
1.1706,1.171,1.17,1.17,7700,2022-03-11 15:20:00,UPC
1.16,1.16,1.15,1.15,7882,2022-03-11 15:25:00,UPC
1.13,1.13,1.13,1.13,800,2022-03-11 15:30:00,UPC
1.145,1.15,1.145,1.15,1000,2022-03-11 16:00:00,UPC
1.145,1.145,1.145,1.145,100,2022-03-11 16:05:00,UPC
1.14,1.14,1.14,1.14,8062,2022-03-11 16:15:00,UPC
1.14,1.14,1.14,1.14,240,2022-03-11 17:35:00,UPC
1.1299,1.1299,1.1299,1.1299,500,2022-03-11 18:00:00,UPC
1.11,1.11,1.03,1.05,10887,2022-03-11 18:15:00,UPC
1.07,1.07,0.99,0.9998,7014,2022-03-11 18:20:00,UPC
1.02,1.02,1.02,1.02,873,2022-03-11 18:25:00,UPC
1.03,1.12,1.03,1.12,200,2022-03-11 18:35:00,UPC
1.1,1.1,1.1,1.1,100,2022-03-11 18:40:00,UPC
1.1,1.1,1.1,1.1,600,2022-03-11 18:50:00,UPC
1.03,1.07,1.03,1.07,500,2022-03-11 18:55:00,UPC
1.0673,1.0673,1.0527,1.0527,300,2022-03-11 19:00:00,UPC
1.0699,1.07,1.0655,1.0655,1700,2022-03-11 19:05:00,UPC
1.0827,1.0827,1.0827,1.0827,100,2022-03-11 19:10:00,UPC
1.09,1.09,1.09,1.09,100,2022-03-11 19:20:00,UPC
1.09,1.09,1.09,1.09,100,2022-03-11 19:25:00,UPC
1.09,1.09,1.09,1.09,100,2022-03-11 19:35:00,UPC
1.08,1.08,1.08,1.08,100,2022-03-11 19:40:00,UPC
1.07,1.07,1.07,1.07,100,2022-03-11 19:45:00,UPC
1.07,1.07,1.07,1.07,100,2022-03-11 19:50:00,UPC
1.07,1.07,1.07,1.07,100,2022-03-11 20:00:00,UPC
1.09,1.09,1.09,1.09,100,2022-03-11 20:05:00,UPC
1.07,1.07,1.07,1.07,100,2022-03-11 20:10:00,UPC
1.07,1.07,1.07,1.07,100,2022-03-11 20:15:00,UPC
1.07,1.07,1.07,1.07,100,2022-03-11 20:25:00,UPC
1.07,1.07,1.07,1.07,100,2022-03-11 20:30:00,UPC
1.07,1.07,1.0444,1.07,678,2022-03-11 20:35:00,UPC
1.06,1.1073,1.05,1.07,4062,2022-03-11 20:40:00,UPC
1.0464,1.05,1.0464,1.05,200,2022-03-11 20:50:00,UPC
1.0548,1.0873,1.0548,1.0873,665,2022-03-11 20:55:00,UPC
1.1,1.1,1.1,1.1,100,2022-03-14 13:00:00,UPC
1.11,1.11,1.11,1.11,1258,2022-03-14 13:30:00,UPC
