open,high,low,close,volume,datetime,symbol
21.8,22.18,21.8,22.18,5299,2022-04-01 13:30:00,CCRN
22.21,22.33,22.12,22.21,4122,2022-04-01 13:35:00,CCRN
22.12,22.25,22.12,22.16,3165,2022-04-01 13:40:00,CCRN
22.2,22.21,22.157,22.157,1295,2022-04-01 13:45:00,CCRN
22.17,22.21,22.155,22.21,2094,2022-04-01 13:50:00,CCRN
22.11,22.13,22.06,22.06,1469,2022-04-01 13:55:00,CCRN
22.15,22.22,22.04,22.04,2284,2022-04-01 14:00:00,CCRN
22.04,22.04,21.96,21.97,2677,2022-04-01 14:05:00,CCRN
22.05,22.09,22.0,22.0,800,2022-04-01 14:10:00,CCRN
22.04,22.04,21.89,21.9,1440,2022-04-01 14:15:00,CCRN
21.885,21.885,21.85,21.87,1901,2022-04-01 14:20:00,CCRN
21.85,21.97,21.85,21.905,2489,2022-04-01 14:25:00,CCRN
21.93,22.01,21.93,21.9701,1110,2022-04-01 14:30:00,CCRN
21.97,22.08,21.95,22.07,7392,2022-04-01 14:35:00,CCRN
22.1,22.1,21.97,21.989,5480,2022-04-01 14:40:00,CCRN
21.99,21.99,21.9,21.92,8356,2022-04-01 14:45:00,CCRN
21.91,22.02,21.82,22.02,12732,2022-04-01 14:50:00,CCRN
22.09,22.16,22.09,22.135,1200,2022-04-01 14:55:00,CCRN
22.185,22.22,22.16,22.185,2527,2022-04-01 15:00:00,CCRN
22.24,22.31,22.221,22.31,2184,2022-04-01 15:05:00,CCRN
22.295,22.3,22.235,22.3,3214,2022-04-01 15:10:00,CCRN
22.25,22.25,22.23,22.245,2322,2022-04-01 15:15:00,CCRN
22.28,22.28,22.21,22.21,1136,2022-04-01 15:20:00,CCRN
22.2164,22.34,22.2164,22.33,2214,2022-04-01 15:25:00,CCRN
22.33,22.33,22.16,22.22,3560,2022-04-01 15:30:00,CCRN
22.16,22.16,22.0797,22.085,1115,2022-04-01 15:35:00,CCRN
22.07,22.07,22.0,22.06,1095,2022-04-01 15:40:00,CCRN
22.0,22.03,22.0,22.03,300,2022-04-01 15:45:00,CCRN
22.03,22.05,22.03,22.03,834,2022-04-01 15:50:00,CCRN
22.03,22.03,22.0,22.01,1085,2022-04-01 15:55:00,CCRN
22.0,22.0,21.96,21.96,1418,2022-04-01 16:00:00,CCRN
21.94,22.01,21.94,22.01,2719,2022-04-01 16:05:00,CCRN
22.02,22.16,22.02,22.16,3796,2022-04-01 16:10:00,CCRN
22.16,22.16,22.12,22.16,1400,2022-04-01 16:15:00,CCRN
22.185,22.1999,22.15,22.15,1442,2022-04-01 16:20:00,CCRN
22.16,22.16,22.16,22.16,100,2022-04-01 16:25:00,CCRN
22.13,22.13,22.11,22.11,500,2022-04-01 16:30:00,CCRN
22.11,22.15,22.105,22.14,2364,2022-04-01 16:35:00,CCRN
22.15,22.29,22.15,22.29,4992,2022-04-01 16:40:00,CCRN
22.3,22.3,22.25,22.3,4374,2022-04-01 16:45:00,CCRN
22.32,22.37,22.31,22.31,1635,2022-04-01 16:50:00,CCRN
22.3,22.34,22.28,22.34,1000,2022-04-01 16:55:00,CCRN
22.33,22.3415,22.32,22.33,2462,2022-04-01 17:00:00,CCRN
22.305,22.305,22.26,22.2799,1000,2022-04-01 17:05:00,CCRN
22.2599,22.33,22.24,22.33,2636,2022-04-01 17:10:00,CCRN
22.315,22.33,22.29,22.29,1300,2022-04-01 17:15:00,CCRN
22.32,22.34,22.32,22.335,946,2022-04-01 17:20:00,CCRN
22.35,22.37,22.32,22.37,5130,2022-04-01 17:25:00,CCRN
22.38,22.38,22.34,22.34,1200,2022-04-01 17:30:00,CCRN
22.33,22.38,22.3224,22.38,1928,2022-04-01 17:35:00,CCRN
22.385,22.4,22.35,22.35,1000,2022-04-01 17:40:00,CCRN
22.37,22.37,22.35,22.35,500,2022-04-01 17:45:00,CCRN
22.36,22.39,22.36,22.39,650,2022-04-01 17:50:00,CCRN
22.39,22.42,22.39,22.395,1400,2022-04-01 17:55:00,CCRN
22.42,22.42,22.37,22.41,2243,2022-04-01 18:00:00,CCRN
22.42,22.45,22.42,22.45,1363,2022-04-01 18:05:00,CCRN
22.45,22.45,22.45,22.45,300,2022-04-01 18:10:00,CCRN
22.45,22.49,22.45,22.45,1709,2022-04-01 18:15:00,CCRN
22.468,22.5,22.42,22.43,5495,2022-04-01 18:20:00,CCRN
22.43,22.48,22.421,22.48,500,2022-04-01 18:25:00,CCRN
22.5,22.5,22.46,22.49,2035,2022-04-01 18:30:00,CCRN
22.5,22.5,22.4558,22.47,1100,2022-04-01 18:35:00,CCRN
22.49,22.5,22.44,22.4661,1922,2022-04-01 18:40:00,CCRN
22.468,22.48,22.43,22.45,2201,2022-04-01 18:45:00,CCRN
22.44,22.45,22.44,22.44,1236,2022-04-01 18:50:00,CCRN
22.42,22.45,22.31,22.38,2800,2022-04-01 18:55:00,CCRN
22.35,22.42,22.35,22.38,4400,2022-04-01 19:00:00,CCRN
22.38,22.4,22.3606,22.361,1550,2022-04-01 19:05:00,CCRN
22.39,22.39,22.34,22.34,1910,2022-04-01 19:10:00,CCRN
22.33,22.35,22.33,22.34,800,2022-04-01 19:15:00,CCRN
22.34,22.34,22.3,22.31,1300,2022-04-01 19:20:00,CCRN
22.32,22.32,22.31,22.315,1100,2022-04-01 19:25:00,CCRN
22.31,22.32,22.27,22.295,4260,2022-04-01 19:30:00,CCRN
22.28,22.36,22.265,22.345,6130,2022-04-01 19:35:00,CCRN
22.375,22.4,22.375,22.38,3867,2022-04-01 19:40:00,CCRN
22.37,22.41,22.36,22.39,4125,2022-04-01 19:45:00,CCRN
22.41,22.53,22.41,22.51,47980,2022-04-01 19:50:00,CCRN
22.5,22.57,22.48,22.52,23791,2022-04-01 19:55:00,CCRN
22.52,22.52,22.52,22.52,106167,2022-04-01 20:00:00,CCRN
22.71,23.96,22.71,23.185,24385,2022-04-04 13:30:00,CCRN
23.235,23.275,22.55,22.55,9806,2022-04-04 13:35:00,CCRN
22.6281,22.65,22.3,22.335,9848,2022-04-04 13:40:00,CCRN
22.3,22.3,21.99,22.08,15431,2022-04-04 13:45:00,CCRN
22.0491,22.0491,21.85,21.97,14294,2022-04-04 13:50:00,CCRN
22.0268,22.11,22.01,22.085,5585,2022-04-04 13:55:00,CCRN
22.06,22.08,21.9,21.9,4850,2022-04-04 14:00:00,CCRN
21.955,21.98,21.85,21.98,2113,2022-04-04 14:05:00,CCRN
21.98,22.02,21.85,21.85,2809,2022-04-04 14:10:00,CCRN
21.9203,21.94,21.62,21.69,9708,2022-04-04 14:15:00,CCRN
21.695,21.73,21.63,21.63,5552,2022-04-04 14:20:00,CCRN
21.63,21.63,21.49,21.59,10939,2022-04-04 14:25:00,CCRN
21.615,21.8,21.58,21.79,4434,2022-04-04 14:30:00,CCRN
21.79,21.8188,21.76,21.78,1999,2022-04-04 14:35:00,CCRN
21.795,21.85,21.7,21.7,2304,2022-04-04 14:40:00,CCRN
21.66,21.66,21.575,21.575,3033,2022-04-04 14:45:00,CCRN
21.55,21.55,21.391,21.4192,12611,2022-04-04 14:50:00,CCRN
21.39,21.39,21.325,21.35,1077,2022-04-04 14:55:00,CCRN
21.365,21.445,21.35,21.37,3456,2022-04-04 15:00:00,CCRN
21.4,21.61,21.4,21.575,12790,2022-04-04 15:05:00,CCRN
21.61,21.61,21.495,21.585,1720,2022-04-04 15:10:00,CCRN
21.58,21.62,21.55,21.55,3646,2022-04-04 15:15:00,CCRN
21.52,21.54,21.51,21.54,3506,2022-04-04 15:20:00,CCRN
21.545,21.61,21.52,21.52,2013,2022-04-04 15:25:00,CCRN
21.54,21.5465,21.51,21.51,1600,2022-04-04 15:30:00,CCRN
21.505,21.59,21.5,21.575,2700,2022-04-04 15:35:00,CCRN
21.52,21.56,21.48,21.56,1474,2022-04-04 15:40:00,CCRN
21.57,21.635,21.57,21.62,1878,2022-04-04 15:45:00,CCRN
