open,high,low,close,volume,datetime,symbol
13.87,14.14,13.295,14.14,806,2022-04-01 13:30:00,NUVL
14.09,14.09,14.0,14.0,400,2022-04-01 13:35:00,NUVL
14.18,14.18,14.18,14.18,100,2022-04-01 13:40:00,NUVL
14.18,14.18,14.18,14.18,100,2022-04-01 13:45:00,NUVL
14.36,14.36,14.22,14.22,200,2022-04-01 13:50:00,NUVL
14.36,14.36,14.36,14.36,100,2022-04-01 13:55:00,NUVL
14.4,14.4,14.36,14.36,400,2022-04-01 14:00:00,NUVL
14.515,14.515,14.515,14.515,200,2022-04-01 14:05:00,NUVL
14.45,14.53,14.45,14.53,300,2022-04-01 14:10:00,NUVL
14.51,14.78,14.51,14.6,1839,2022-04-01 14:15:00,NUVL
14.47,14.51,14.47,14.5,400,2022-04-01 14:20:00,NUVL
14.55,14.74,14.55,14.73,759,2022-04-01 14:30:00,NUVL
14.83,14.83,14.83,14.83,100,2022-04-01 14:35:00,NUVL
14.75,14.75,14.75,14.75,100,2022-04-01 14:40:00,NUVL
14.875,14.97,14.87,14.97,800,2022-04-01 14:45:00,NUVL
15.03,15.07,15.03,15.07,200,2022-04-01 14:50:00,NUVL
15.08,15.08,14.98,14.98,300,2022-04-01 14:55:00,NUVL
15.0,15.0,14.89,14.89,500,2022-04-01 15:00:00,NUVL
14.965,14.965,14.965,14.965,100,2022-04-01 15:10:00,NUVL
15.04,15.06,14.99,15.0,1247,2022-04-01 15:15:00,NUVL
14.95,14.95,14.89,14.9,872,2022-04-01 15:20:00,NUVL
14.85,14.85,14.85,14.85,400,2022-04-01 15:25:00,NUVL
14.9,14.9,14.73,14.73,587,2022-04-01 15:30:00,NUVL
14.88,14.88,14.86,14.86,200,2022-04-01 15:35:00,NUVL
14.745,14.79,14.745,14.79,900,2022-04-01 15:40:00,NUVL
14.97,14.97,14.97,14.97,100,2022-04-01 15:45:00,NUVL
14.76,14.76,14.73,14.73,415,2022-04-01 15:50:00,NUVL
14.74,14.74,14.66,14.66,501,2022-04-01 15:55:00,NUVL
14.59,14.59,14.59,14.59,102,2022-04-01 16:05:00,NUVL
14.67,14.67,14.67,14.67,100,2022-04-01 16:10:00,NUVL
14.6,14.61,14.6,14.61,200,2022-04-01 16:40:00,NUVL
14.7,14.7,14.7,14.7,100,2022-04-01 16:45:00,NUVL
14.71,14.79,14.66,14.705,831,2022-04-01 16:50:00,NUVL
14.63,14.63,14.63,14.63,100,2022-04-01 16:55:00,NUVL
14.47,14.48,14.47,14.47,305,2022-04-01 17:10:00,NUVL
14.43,14.5,14.34,14.34,1656,2022-04-01 17:15:00,NUVL
14.445,14.445,14.355,14.355,200,2022-04-01 17:20:00,NUVL
14.355,14.36,14.27,14.27,700,2022-04-01 17:25:00,NUVL
14.3,14.3,14.17,14.3,400,2022-04-01 17:30:00,NUVL
14.25,14.3,14.2,14.2,1024,2022-04-01 17:35:00,NUVL
14.245,14.3,14.12,14.21,1500,2022-04-01 17:40:00,NUVL
14.14,14.14,14.0,14.03,7130,2022-04-01 17:45:00,NUVL
14.01,14.01,13.93,14.01,1800,2022-04-01 17:50:00,NUVL
14.02,14.1196,14.02,14.1196,1100,2022-04-01 17:55:00,NUVL
14.12,14.29,14.12,14.29,700,2022-04-01 18:00:00,NUVL
14.26,14.26,14.22,14.24,600,2022-04-01 18:05:00,NUVL
14.305,14.305,14.22,14.22,601,2022-04-01 18:10:00,NUVL
14.275,14.275,14.26,14.26,200,2022-04-01 18:15:00,NUVL
14.26,14.35,14.125,14.1298,3500,2022-04-01 18:20:00,NUVL
14.14,14.2,14.11,14.19,3402,2022-04-01 18:25:00,NUVL
14.21,14.32,14.21,14.265,1200,2022-04-01 18:30:00,NUVL
14.23,14.23,14.2,14.205,600,2022-04-01 18:35:00,NUVL
14.225,14.25,14.19,14.25,400,2022-04-01 18:50:00,NUVL
14.26,14.26,14.26,14.26,200,2022-04-01 18:55:00,NUVL
14.32,14.32,14.32,14.32,100,2022-04-01 19:00:00,NUVL
14.38,14.395,14.32,14.34,1021,2022-04-01 19:05:00,NUVL
14.41,14.41,14.41,14.41,100,2022-04-01 19:10:00,NUVL
14.36,14.36,14.36,14.36,100,2022-04-01 19:15:00,NUVL
14.41,14.41,14.41,14.41,100,2022-04-01 19:20:00,NUVL
14.35,14.36,14.26,14.36,500,2022-04-01 19:25:00,NUVL
14.37,14.44,14.37,14.44,700,2022-04-01 19:30:00,NUVL
14.38,14.45,14.38,14.42,983,2022-04-01 19:35:00,NUVL
14.42,14.53,14.42,14.53,700,2022-04-01 19:40:00,NUVL
14.58,14.67,14.58,14.67,1003,2022-04-01 19:45:00,NUVL
14.67,14.75,14.67,14.75,3114,2022-04-01 19:50:00,NUVL
14.76,14.83,14.72,14.74,8822,2022-04-01 19:55:00,NUVL
14.77,14.77,14.77,14.77,26777,2022-04-01 20:00:00,NUVL
14.77,14.77,14.77,14.77,701,2022-04-01 21:10:00,NUVL
14.83,14.83,14.83,14.83,504,2022-04-04 13:30:00,NUVL
15.0,15.0,14.86,14.92,3839,2022-04-04 13:40:00,NUVL
14.855,14.899,14.85,14.85,1200,2022-04-04 13:45:00,NUVL
14.59,14.59,14.59,14.59,100,2022-04-04 13:50:00,NUVL
14.58,14.58,14.58,14.58,100,2022-04-04 13:55:00,NUVL
14.445,14.445,14.445,14.445,117,2022-04-04 14:00:00,NUVL
