open,high,low,close,volume,datetime,symbol
5.08,5.08,5.08,5.08,255,2022-04-01 11:00:00,WKHS
5.08,5.08,5.08,5.08,100,2022-04-01 11:45:00,WKHS
5.05,5.05,5.05,5.05,200,2022-04-01 11:50:00,WKHS
5.04,5.04,5.04,5.04,400,2022-04-01 12:20:00,WKHS
5.0499,5.0499,5.0499,5.0499,150,2022-04-01 12:25:00,WKHS
5.0499,5.0499,5.0499,5.0499,1198,2022-04-01 12:30:00,WKHS
5.0499,5.0499,5.0499,5.0499,500,2022-04-01 12:35:00,WKHS
5.03,5.03,5.03,5.03,100,2022-04-01 12:40:00,WKHS
5.02,5.02,5.02,5.02,306,2022-04-01 12:45:00,WKHS
5.04,5.04,5.04,5.04,100,2022-04-01 12:50:00,WKHS
5.04,5.04,5.04,5.04,290,2022-04-01 13:00:00,WKHS
5.04,5.04,5.03,5.03,1060,2022-04-01 13:05:00,WKHS
5.03,5.03,5.03,5.03,603,2022-04-01 13:10:00,WKHS
5.04,5.04,5.03,5.04,6099,2022-04-01 13:15:00,WKHS
5.04,5.05,5.0,5.0,4711,2022-04-01 13:25:00,WKHS
5.0,5.07,4.96,5.055,217473,2022-04-01 13:30:00,WKHS
5.06,5.075,5.01,5.05,125775,2022-04-01 13:35:00,WKHS
5.035,5.06,4.985,4.985,82268,2022-04-01 13:40:00,WKHS
4.9806,5.0,4.87,4.8801,174576,2022-04-01 13:45:00,WKHS
4.88,4.9,4.82,4.89,122258,2022-04-01 13:50:00,WKHS
4.88,4.92,4.87,4.88,98524,2022-04-01 13:55:00,WKHS
4.8899,4.9,4.855,4.89,114509,2022-04-01 14:00:00,WKHS
4.881,4.89,4.81,4.83,129890,2022-04-01 14:05:00,WKHS
4.835,4.84,4.78,4.785,171686,2022-04-01 14:10:00,WKHS
4.7879,4.79,4.72,4.725,134293,2022-04-01 14:15:00,WKHS
4.7215,4.7299,4.69,4.6901,178806,2022-04-01 14:20:00,WKHS
4.699,4.73,4.6901,4.73,129144,2022-04-01 14:25:00,WKHS
4.73,4.78,4.72,4.78,102080,2022-04-01 14:30:00,WKHS
4.78,4.81,4.76,4.77,111669,2022-04-01 14:35:00,WKHS
4.77,4.81,4.7612,4.8,54466,2022-04-01 14:40:00,WKHS
4.807,4.8192,4.78,4.798,51032,2022-04-01 14:45:00,WKHS
4.8,4.8197,4.79,4.7979,49264,2022-04-01 14:50:00,WKHS
4.8,4.83,4.7915,4.82,38482,2022-04-01 14:55:00,WKHS
4.815,4.8399,4.7913,4.81,51419,2022-04-01 15:00:00,WKHS
4.805,4.85,4.78,4.845,73068,2022-04-01 15:05:00,WKHS
4.84,4.865,4.8104,4.8196,73482,2022-04-01 15:10:00,WKHS
4.8185,4.8185,4.79,4.7979,13776,2022-04-01 15:15:00,WKHS
4.795,4.82,4.78,4.8,69740,2022-04-01 15:20:00,WKHS
4.7996,4.81,4.77,4.775,37307,2022-04-01 15:25:00,WKHS
4.775,4.775,4.735,4.7467,54477,2022-04-01 15:30:00,WKHS
4.745,4.755,4.735,4.745,23641,2022-04-01 15:35:00,WKHS
4.74,4.775,4.74,4.7501,40810,2022-04-01 15:40:00,WKHS
4.7586,4.7699,4.75,4.75,28801,2022-04-01 15:45:00,WKHS
4.75,4.7513,4.72,4.7293,72165,2022-04-01 15:50:00,WKHS
4.72,4.72,4.7,4.705,41564,2022-04-01 15:55:00,WKHS
4.705,4.72,4.67,4.675,332540,2022-04-01 16:00:00,WKHS
4.67,4.685,4.665,4.685,37342,2022-04-01 16:05:00,WKHS
4.6897,4.6983,4.645,4.651,64861,2022-04-01 16:10:00,WKHS
4.6506,4.66,4.63,4.6401,74104,2022-04-01 16:15:00,WKHS
4.64,4.6599,4.6303,4.659,52128,2022-04-01 16:20:00,WKHS
4.66,4.6656,4.65,4.6656,19919,2022-04-01 16:25:00,WKHS
4.6693,4.67,4.61,4.6113,44330,2022-04-01 16:30:00,WKHS
4.62,4.64,4.61,4.635,30587,2022-04-01 16:35:00,WKHS
4.63,4.66,4.63,4.659,46685,2022-04-01 16:40:00,WKHS
4.655,4.66,4.63,4.6497,32814,2022-04-01 16:45:00,WKHS
4.6495,4.65,4.625,4.6293,16378,2022-04-01 16:50:00,WKHS
4.6275,4.63,4.61,4.6218,38142,2022-04-01 16:55:00,WKHS
