open,high,low,close,volume,datetime,symbol
13.4721,13.4721,13.4721,13.4721,310,2022-05-02 14:45:00,ALOT
13.3801,13.3801,13.3801,13.3801,121,2022-05-02 15:00:00,ALOT
13.7,13.7,13.64,13.64,400,2022-05-02 15:35:00,ALOT
13.67,13.7,13.67,13.7,200,2022-05-02 15:40:00,ALOT
13.6,13.6,13.6,13.6,195,2022-05-02 15:45:00,ALOT
13.82,13.94,13.82,13.94,300,2022-05-02 15:50:00,ALOT
13.96,13.96,13.8,13.89,942,2022-05-02 15:55:00,ALOT
13.95,13.95,13.84,13.84,600,2022-05-02 16:00:00,ALOT
13.95,13.95,13.86,13.86,200,2022-05-02 16:05:00,ALOT
13.94,13.94,13.94,13.94,100,2022-05-02 16:10:00,ALOT
13.93,13.94,13.93,13.94,200,2022-05-02 16:15:00,ALOT
13.7891,13.7891,13.7891,13.7891,116,2022-05-02 16:20:00,ALOT
13.93,13.97,13.93,13.97,200,2022-05-02 16:25:00,ALOT
13.94,13.94,13.94,13.94,100,2022-05-02 16:30:00,ALOT
13.94,14.0,13.9,13.99,6348,2022-05-02 16:35:00,ALOT
13.98,13.98,13.98,13.98,700,2022-05-02 16:40:00,ALOT
13.98,13.99,13.98,13.98,446,2022-05-02 16:45:00,ALOT
13.98,13.99,13.98,13.98,400,2022-05-02 16:50:00,ALOT
13.98,13.98,13.98,13.98,350,2022-05-02 16:55:00,ALOT
13.99,13.99,13.99,13.99,106,2022-05-02 17:00:00,ALOT
13.71,13.71,13.71,13.71,100,2022-05-02 17:10:00,ALOT
13.76,13.76,13.575,13.575,200,2022-05-02 17:15:00,ALOT
13.41,13.41,13.41,13.41,200,2022-05-02 17:20:00,ALOT
13.34,13.34,13.34,13.34,100,2022-05-02 17:25:00,ALOT
13.46,13.46,13.34,13.34,300,2022-05-02 17:30:00,ALOT
13.53,13.64,13.53,13.64,200,2022-05-02 17:40:00,ALOT
13.56,13.56,13.56,13.56,100,2022-05-02 17:45:00,ALOT
13.56,13.56,13.56,13.56,100,2022-05-02 17:50:00,ALOT
13.61,13.61,13.61,13.61,199,2022-05-02 18:05:00,ALOT
13.74,13.74,13.74,13.74,100,2022-05-02 18:10:00,ALOT
13.82,13.82,13.82,13.82,200,2022-05-02 18:25:00,ALOT
13.7,13.7,13.7,13.7,167,2022-05-02 18:40:00,ALOT
13.74,13.74,13.74,13.74,100,2022-05-02 18:50:00,ALOT
13.71,13.71,13.71,13.71,193,2022-05-02 19:00:00,ALOT
13.83,13.83,13.56,13.56,400,2022-05-02 19:05:00,ALOT
13.66,13.66,13.66,13.66,200,2022-05-02 19:15:00,ALOT
13.57,13.57,13.57,13.57,100,2022-05-02 19:20:00,ALOT
13.5125,13.5125,13.5125,13.5125,540,2022-05-02 19:25:00,ALOT
13.65,13.65,13.65,13.65,100,2022-05-02 19:35:00,ALOT
13.63,13.63,13.63,13.63,100,2022-05-02 19:40:00,ALOT
13.44,13.44,13.44,13.44,100,2022-05-02 19:45:00,ALOT
13.23,13.3,13.2,13.3,2061,2022-05-02 19:50:00,ALOT
13.3,13.3,13.3,13.3,455,2022-05-02 20:00:00,ALOT
13.7312,13.7312,13.7312,13.7312,121,2022-05-03 14:15:00,ALOT
13.505,13.505,13.505,13.505,1092,2022-05-03 15:10:00,ALOT
13.36,13.36,12.93,13.0,2041,2022-05-03 15:15:00,ALOT
13.01,13.6,13.0,13.6,2291,2022-05-03 15:20:00,ALOT
13.4344,13.4344,13.4344,13.4344,332,2022-05-03 15:30:00,ALOT
13.4,13.4,13.4,13.4,200,2022-05-03 15:50:00,ALOT
13.09,13.09,13.09,13.09,100,2022-05-03 16:20:00,ALOT
13.3,13.3,13.3,13.3,100,2022-05-03 16:30:00,ALOT
13.2,13.2,13.2,13.2,200,2022-05-03 16:40:00,ALOT
13.24,13.2994,13.05,13.25,997,2022-05-03 16:45:00,ALOT
13.3565,13.3565,13.3565,13.3565,500,2022-05-03 17:05:00,ALOT
13.39,13.39,13.39,13.39,100,2022-05-03 17:35:00,ALOT
13.21,13.21,13.21,13.21,100,2022-05-03 18:05:00,ALOT
13.29,13.29,13.25,13.25,400,2022-05-03 18:10:00,ALOT
13.3,13.3,13.3,13.3,100,2022-05-03 18:15:00,ALOT
13.01,13.01,13.01,13.01,161,2022-05-03 20:00:00,ALOT
13.01,13.01,13.01,13.01,126,2022-05-04 13:30:00,ALOT
12.95,12.95,12.95,12.95,121,2022-05-04 14:30:00,ALOT
12.85,12.85,12.85,12.85,798,2022-05-04 15:25:00,ALOT
12.66,12.66,12.66,12.66,100,2022-05-04 15:30:00,ALOT
12.8,12.93,12.8,12.93,413,2022-05-04 16:50:00,ALOT
12.94,13.11,12.94,13.11,1564,2022-05-04 16:55:00,ALOT
13.0,13.0,13.0,13.0,100,2022-05-04 17:10:00,ALOT
12.99,12.99,12.99,12.99,100,2022-05-04 17:55:00,ALOT
12.99,12.99,12.99,12.99,198,2022-05-04 18:15:00,ALOT
12.99,12.99,12.99,12.99,400,2022-05-04 18:20:00,ALOT
12.99,12.99,12.9,12.9,500,2022-05-04 18:30:00,ALOT
12.99,12.99,12.99,12.99,480,2022-05-04 18:35:00,ALOT
12.99,12.99,12.99,12.99,100,2022-05-04 18:55:00,ALOT
12.99,12.99,12.99,12.99,100,2022-05-04 19:50:00,ALOT
13.0,13.0,13.0,13.0,382,2022-05-04 20:00:00,ALOT
12.86,12.86,12.86,12.86,103,2022-05-05 13:30:00,ALOT
12.84,12.84,12.84,12.84,100,2022-05-05 15:35:00,ALOT
12.856,12.856,12.856,12.856,100,2022-05-05 16:15:00,ALOT
12.81,12.81,12.81,12.81,100,2022-05-05 16:35:00,ALOT
12.81,12.81,12.81,12.81,100,2022-05-05 17:30:00,ALOT
12.81,12.81,12.81,12.81,200,2022-05-05 18:30:00,ALOT
12.81,12.81,12.81,12.81,100,2022-05-05 19:25:00,ALOT
12.81,12.81,12.81,12.81,300,2022-05-05 19:45:00,ALOT
12.8,12.8,12.8,12.8,538,2022-05-05 19:55:00,ALOT
12.67,12.67,12.67,12.67,162,2022-05-05 20:00:00,ALOT
12.7266,12.7266,12.7266,12.7266,242,2022-05-06 14:25:00,ALOT
12.7,12.7,12.7,12.7,200,2022-05-06 15:25:00,ALOT
12.7,12.7,12.4,12.5895,1714,2022-05-06 15:40:00,ALOT
12.15,12.15,12.15,12.15,100,2022-05-06 16:00:00,ALOT
12.32,12.32,12.32,12.32,600,2022-05-06 16:05:00,ALOT
12.45,12.59,12.23,12.59,1600,2022-05-06 16:10:00,ALOT
12.7773,12.7773,12.71,12.71,500,2022-05-06 16:25:00,ALOT
12.4,12.4,12.4,12.4,100,2022-05-06 16:45:00,ALOT
12.42,12.42,12.42,12.42,100,2022-05-06 17:45:00,ALOT
12.7573,12.7573,12.655,12.655,1809,2022-05-06 18:05:00,ALOT
12.405,12.405,12.405,12.405,2500,2022-05-06 18:45:00,ALOT
12.6775,12.6775,12.6775,12.6775,100,2022-05-06 19:05:00,ALOT
12.655,12.655,12.655,12.655,200,2022-05-06 19:30:00,ALOT
12.9,12.9,12.9,12.9,151,2022-05-06 19:55:00,ALOT
12.8,12.8,12.65,12.65,1300,2022-05-09 18:35:00,ALOT
12.8,12.97,12.8,12.97,200,2022-05-09 18:50:00,ALOT
12.97,12.97,12.97,12.97,100,2022-05-09 19:00:00,ALOT
12.95,12.99,12.89,12.99,1101,2022-05-09 19:05:00,ALOT
13.085,13.085,13.085,13.085,500,2022-05-09 19:35:00,ALOT
13.01,13.049,13.01,13.01,641,2022-05-09 19:40:00,ALOT
12.99,13.04,12.99,12.99,600,2022-05-09 19:45:00,ALOT
13.09,13.09,13.09,13.09,100,2022-05-09 19:55:00,ALOT
13.01,13.01,13.01,13.01,182,2022-05-09 20:00:00,ALOT
13.1,13.1,13.1,13.1,100,2022-05-10 13:45:00,ALOT
13.1,13.1,13.1,13.1,420,2022-05-10 13:50:00,ALOT
13.1,13.15,13.1,13.15,500,2022-05-10 13:55:00,ALOT
13.28,13.58,13.25,13.57,1559,2022-05-10 14:10:00,ALOT
13.5,13.51,13.4,13.4,400,2022-05-10 14:15:00,ALOT
13.28,13.28,12.945,13.0494,300,2022-05-10 14:25:00,ALOT
13.01,13.05,13.0,13.02,1100,2022-05-10 14:45:00,ALOT
12.7,12.7,12.7,12.7,100,2022-05-10 16:35:00,ALOT
12.75,12.75,12.75,12.75,1782,2022-05-10 17:55:00,ALOT
12.7,12.7,12.61,12.61,800,2022-05-10 18:30:00,ALOT
12.61,12.7,12.61,12.7,503,2022-05-10 18:50:00,ALOT
12.7146,12.7146,12.7146,12.7146,200,2022-05-10 19:40:00,ALOT
12.65,12.65,12.65,12.65,105,2022-05-11 13:30:00,ALOT
12.65,12.65,12.65,12.65,900,2022-05-11 13:50:00,ALOT
12.98,12.98,12.98,12.98,100,2022-05-11 14:00:00,ALOT
12.7456,12.7456,12.7456,12.7456,152,2022-05-11 14:20:00,ALOT
12.935,12.935,12.935,12.935,200,2022-05-11 14:50:00,ALOT
12.72,12.72,12.7,12.7,242,2022-05-11 15:15:00,ALOT
12.68,12.68,12.65,12.65,801,2022-05-11 17:25:00,ALOT
12.55,12.55,12.55,12.55,100,2022-05-11 18:05:00,ALOT
12.55,12.55,12.47,12.47,1593,2022-05-11 18:30:00,ALOT
12.46,12.46,12.46,12.46,100,2022-05-11 19:00:00,ALOT
12.5,12.5,12.5,12.5,100,2022-05-11 19:10:00,ALOT
12.6292,12.66,12.55,12.66,1000,2022-05-12 13:55:00,ALOT
12.28,12.28,12.28,12.28,196,2022-05-12 14:15:00,ALOT
12.41,12.41,12.4005,12.41,600,2022-05-12 15:10:00,ALOT
12.52,12.54,12.52,12.53,900,2022-05-12 15:45:00,ALOT
12.5,12.55,12.5,12.55,2101,2022-05-12 17:10:00,ALOT
12.5,12.5,12.5,12.5,149,2022-05-12 17:35:00,ALOT
12.5,12.5,12.29,12.29,6232,2022-05-12 18:15:00,ALOT
12.39,12.4,12.39,12.4,218,2022-05-12 18:25:00,ALOT
12.5,12.5,12.5,12.5,300,2022-05-12 18:30:00,ALOT
12.5,12.5,12.36,12.36,300,2022-05-12 19:05:00,ALOT
12.35,12.35,12.35,12.35,100,2022-05-12 19:40:00,ALOT
11.875,12.25,11.875,12.25,2898,2022-05-13 13:35:00,ALOT
12.25,12.25,12.25,12.25,664,2022-05-13 13:40:00,ALOT
12.5,12.5,12.25,12.445,635,2022-05-13 13:55:00,ALOT
12.73,12.76,12.73,12.76,300,2022-05-13 16:35:00,ALOT
12.5,12.5,12.5,12.5,200,2022-05-13 16:40:00,ALOT
12.5,12.5,12.5,12.5,100,2022-05-13 18:00:00,ALOT
12.65,12.65,12.6,12.6,300,2022-05-13 18:50:00,ALOT
12.5147,12.5147,12.5147,12.5147,422,2022-05-13 19:15:00,ALOT
12.69,12.69,12.69,12.69,100,2022-05-13 19:55:00,ALOT
12.43,12.43,12.29,12.29,235,2022-05-16 13:30:00,ALOT
12.35,12.35,12.35,12.35,100,2022-05-16 13:40:00,ALOT
12.35,12.35,12.35,12.35,394,2022-05-16 13:45:00,ALOT
12.1734,12.41,12.13,12.33,3673,2022-05-16 14:00:00,ALOT
