open,high,low,close,volume,datetime,symbol
0.155,0.157,0.155,0.157,200,2022-05-02 08:00:00,CSCW
0.157,0.157,0.155,0.155,2961,2022-05-02 08:05:00,CSCW
0.1569,0.1569,0.155,0.155,250,2022-05-02 08:10:00,CSCW
0.1555,0.16,0.1555,0.16,640,2022-05-02 08:20:00,CSCW
0.1575,0.1575,0.1565,0.1565,644,2022-05-02 08:30:00,CSCW
0.1585,0.1585,0.1555,0.1555,4914,2022-05-02 08:40:00,CSCW
0.1555,0.1555,0.1555,0.1555,1200,2022-05-02 08:50:00,CSCW
0.1555,0.1555,0.1555,0.1555,100,2022-05-02 09:00:00,CSCW
0.1555,0.1555,0.15,0.15,6460,2022-05-02 09:10:00,CSCW
0.1518,0.1518,0.1518,0.1518,327,2022-05-02 09:15:00,CSCW
0.1518,0.1518,0.15,0.15,7373,2022-05-02 09:30:00,CSCW
0.1486,0.1486,0.1484,0.1484,12340,2022-05-02 09:35:00,CSCW
0.1486,0.1486,0.1486,0.1486,172,2022-05-02 09:50:00,CSCW
0.1487,0.15,0.1486,0.15,3537,2022-05-02 10:05:00,CSCW
0.1487,0.1487,0.1487,0.1487,100,2022-05-02 10:10:00,CSCW
0.1486,0.1486,0.1486,0.1486,105,2022-05-02 10:35:00,CSCW
0.1486,0.1486,0.1485,0.1485,1136,2022-05-02 10:45:00,CSCW
0.1546,0.16,0.1546,0.1555,22277,2022-05-02 11:00:00,CSCW
0.152,0.152,0.152,0.152,2440,2022-05-02 11:30:00,CSCW
0.1503,0.1503,0.1503,0.1503,945,2022-05-02 11:35:00,CSCW
0.1521,0.1521,0.152,0.152,350,2022-05-02 11:40:00,CSCW
0.152,0.152,0.152,0.152,100,2022-05-02 11:50:00,CSCW
0.1547,0.1555,0.1547,0.1555,547,2022-05-02 11:55:00,CSCW
0.152,0.1555,0.152,0.152,10037,2022-05-02 12:00:00,CSCW
0.1522,0.1525,0.152,0.1525,2573,2022-05-02 12:05:00,CSCW
0.152,0.1593,0.152,0.1522,6427,2022-05-02 12:10:00,CSCW
0.154,0.1546,0.154,0.154,6320,2022-05-02 12:15:00,CSCW
0.155,0.159,0.154,0.1586,11011,2022-05-02 12:20:00,CSCW
0.1555,0.156,0.1555,0.156,3629,2022-05-02 12:25:00,CSCW
0.1586,0.1596,0.1586,0.1596,33652,2022-05-02 12:30:00,CSCW
0.1589,0.159,0.1523,0.1523,10820,2022-05-02 12:35:00,CSCW
0.1523,0.159,0.152,0.152,12602,2022-05-02 12:40:00,CSCW
0.1521,0.159,0.15,0.1578,17778,2022-05-02 12:45:00,CSCW
0.159,0.159,0.1558,0.1577,7500,2022-05-02 12:50:00,CSCW
0.1571,0.1572,0.157,0.1572,5100,2022-05-02 12:55:00,CSCW
0.1503,0.155,0.1501,0.1506,7450,2022-05-02 13:00:00,CSCW
0.1506,0.157,0.1506,0.1515,7123,2022-05-02 13:05:00,CSCW
0.1555,0.1555,0.152,0.152,4923,2022-05-02 13:10:00,CSCW
0.152,0.152,0.1507,0.1512,16500,2022-05-02 13:15:00,CSCW
0.1512,0.1555,0.1512,0.15335,1860,2022-05-02 13:20:00,CSCW
0.15275,0.1545,0.15275,0.1545,3000,2022-05-02 13:25:00,CSCW
0.1545,0.1545,0.1514,0.1515,146145,2022-05-02 13:30:00,CSCW
0.1533,0.1543,0.1514,0.1518,121975,2022-05-02 13:35:00,CSCW
0.151601,0.151601,0.149,0.1496,412970,2022-05-02 13:40:00,CSCW
0.1495,0.1496,0.1495,0.1496,165838,2022-05-02 13:45:00,CSCW
0.1496,0.1496,0.149,0.149,225229,2022-05-02 13:50:00,CSCW
0.149,0.1491,0.149,0.1491,64712,2022-05-02 13:55:00,CSCW
0.149,0.149,0.146,0.14601,153405,2022-05-02 14:00:00,CSCW
0.1461,0.1461,0.1451,0.1453,99679,2022-05-02 14:05:00,CSCW
0.145149,0.1453,0.1435,0.144,202041,2022-05-02 14:10:00,CSCW
0.1441,0.1441,0.1435,0.144,156721,2022-05-02 14:15:00,CSCW
0.143624,0.1442,0.1416,0.144,483983,2022-05-02 14:20:00,CSCW
0.1439,0.1455,0.1435,0.1455,1013767,2022-05-02 14:25:00,CSCW
0.1454,0.1491,0.145,0.149,173912,2022-05-02 14:30:00,CSCW
0.149,0.1509,0.149,0.1496,171038,2022-05-02 14:35:00,CSCW
0.1496,0.1529,0.1474,0.1512,71219,2022-05-02 14:40:00,CSCW
0.1512,0.1518,0.1498,0.1501,54516,2022-05-02 14:45:00,CSCW
0.1502,0.1508,0.1482,0.1486,441541,2022-05-02 14:50:00,CSCW
0.1495,0.1495,0.1474,0.1474,80621,2022-05-02 14:55:00,CSCW
0.1475,0.1475,0.1474,0.1475,35711,2022-05-02 15:00:00,CSCW
0.1475,0.1475,0.1474,0.1475,48220,2022-05-02 15:05:00,CSCW
0.1475,0.1475,0.1474,0.1475,10905,2022-05-02 15:10:00,CSCW
0.1475,0.1475,0.1474,0.1474,27020,2022-05-02 15:15:00,CSCW
0.1475,0.1475,0.1474,0.1475,4376,2022-05-02 15:20:00,CSCW
0.1475,0.1475,0.1461,0.1474,59893,2022-05-02 15:25:00,CSCW
0.1475,0.1475,0.146,0.146601,111669,2022-05-02 15:30:00,CSCW
0.146,0.146,0.1447,0.1447,126996,2022-05-02 15:35:00,CSCW
0.1447,0.1447,0.1446,0.1446,53359,2022-05-02 15:40:00,CSCW
0.1446,0.1446,0.1431,0.1433,96368,2022-05-02 15:45:00,CSCW
0.1432,0.1432,0.143,0.1431,94988,2022-05-02 15:50:00,CSCW
0.14305,0.1431,0.143,0.1431,45072,2022-05-02 15:55:00,CSCW
0.143,0.1431,0.143,0.143,68736,2022-05-02 16:00:00,CSCW
0.1431,0.1431,0.142,0.1424,296526,2022-05-02 16:05:00,CSCW
0.1425,0.1426,0.1419,0.1425,236989,2022-05-02 16:10:00,CSCW
0.14245,0.1439,0.1422,0.1424,233535,2022-05-02 16:15:00,CSCW
0.1424,0.1438,0.1422,0.143011,178692,2022-05-02 16:20:00,CSCW
0.1431,0.1435,0.1431,0.1432,72153,2022-05-02 16:25:00,CSCW
