open,high,low,close,volume,datetime,symbol
28.06,28.17,27.9,28.04,7478,2022-05-02 13:30:00,DRVN
27.71,27.86,27.63,27.76,2600,2022-05-02 13:35:00,DRVN
27.99,28.19,27.88,28.18,2020,2022-05-02 13:40:00,DRVN
28.18,28.24,28.04,28.23,3686,2022-05-02 13:45:00,DRVN
28.2,28.46,28.1,28.395,27155,2022-05-02 13:50:00,DRVN
28.43,28.5,28.3,28.33,5309,2022-05-02 13:55:00,DRVN
28.23,28.23,28.23,28.23,200,2022-05-02 14:00:00,DRVN
28.01,28.01,27.9,27.9,430,2022-05-02 14:05:00,DRVN
27.82,27.82,27.8,27.8,1485,2022-05-02 14:10:00,DRVN
27.78,27.915,27.75,27.905,2600,2022-05-02 14:15:00,DRVN
27.9,27.9,27.87,27.89,1458,2022-05-02 14:20:00,DRVN
27.915,28.03,27.915,28.03,600,2022-05-02 14:25:00,DRVN
28.03,28.12,28.03,28.09,610,2022-05-02 14:30:00,DRVN
28.16,28.21,28.085,28.145,6265,2022-05-02 14:35:00,DRVN
28.15,28.3,28.15,28.27,1426,2022-05-02 14:40:00,DRVN
28.25,28.25,28.14,28.16,827,2022-05-02 14:45:00,DRVN
28.14,28.17,28.125,28.14,1159,2022-05-02 14:50:00,DRVN
28.15,28.17,28.05,28.07,2299,2022-05-02 14:55:00,DRVN
28.03,28.03,27.84,27.84,2934,2022-05-02 15:00:00,DRVN
27.87,27.9,27.77,27.77,1407,2022-05-02 15:05:00,DRVN
27.77,27.79,27.71,27.79,621,2022-05-02 15:10:00,DRVN
27.81,27.85,27.74,27.775,5112,2022-05-02 15:15:00,DRVN
27.795,27.89,27.79,27.89,1374,2022-05-02 15:20:00,DRVN
27.86,27.9301,27.78,27.805,1759,2022-05-02 15:25:00,DRVN
27.85,28.04,27.82,28.04,1976,2022-05-02 15:30:00,DRVN
27.98,27.985,27.93,27.93,1000,2022-05-02 15:35:00,DRVN
27.9052,27.93,27.87,27.89,2166,2022-05-02 15:40:00,DRVN
27.89,27.91,27.83,27.91,1481,2022-05-02 15:45:00,DRVN
27.95,27.985,27.92,27.97,1007,2022-05-02 15:50:00,DRVN
28.0,28.05,27.97,28.05,300,2022-05-02 15:55:00,DRVN
28.0015,28.07,27.92,27.92,1800,2022-05-02 16:00:00,DRVN
27.82,27.85,27.82,27.83,800,2022-05-02 16:05:00,DRVN
27.8562,27.91,27.855,27.91,900,2022-05-02 16:10:00,DRVN
27.87,27.9,27.87,27.89,700,2022-05-02 16:15:00,DRVN
27.9,27.925,27.88,27.9,700,2022-05-02 16:20:00,DRVN
27.89,27.9,27.85,27.9,400,2022-05-02 16:25:00,DRVN
27.88,27.94,27.88,27.94,300,2022-05-02 16:30:00,DRVN
27.935,27.95,27.85,27.85,1200,2022-05-02 16:35:00,DRVN
27.88,27.88,27.77,27.795,650,2022-05-02 16:40:00,DRVN
27.82,27.82,27.76,27.77,1514,2022-05-02 16:45:00,DRVN
27.75,27.76,27.69,27.71,1200,2022-05-02 16:50:00,DRVN
27.66,27.7,27.66,27.685,601,2022-05-02 16:55:00,DRVN
