open,high,low,close,volume,datetime,symbol
2.74,2.74,2.74,2.74,100,2022-05-02 09:05:00,OPK
2.75,2.75,2.75,2.75,800,2022-05-02 09:20:00,OPK
2.75,2.75,2.75,2.75,160,2022-05-02 09:25:00,OPK
2.74,2.77,2.74,2.77,1819,2022-05-02 11:45:00,OPK
2.74,2.74,2.74,2.74,2000,2022-05-02 11:55:00,OPK
2.73,2.73,2.73,2.73,480,2022-05-02 12:00:00,OPK
2.74,2.74,2.74,2.74,900,2022-05-02 12:05:00,OPK
2.74,2.74,2.74,2.74,4974,2022-05-02 12:10:00,OPK
2.73,2.74,2.73,2.74,2276,2022-05-02 12:20:00,OPK
2.73,2.73,2.73,2.73,1460,2022-05-02 12:35:00,OPK
2.72,2.72,2.72,2.72,140,2022-05-02 12:45:00,OPK
2.72,2.72,2.72,2.72,1118,2022-05-02 12:50:00,OPK
2.7,2.7,2.7,2.7,1200,2022-05-02 12:55:00,OPK
2.71,2.71,2.71,2.71,300,2022-05-02 13:05:00,OPK
2.71,2.71,2.71,2.71,1021,2022-05-02 13:10:00,OPK
2.72,2.72,2.72,2.72,1600,2022-05-02 13:20:00,OPK
2.7,2.75,2.7,2.725,87026,2022-05-02 13:30:00,OPK
2.73,2.76,2.72,2.76,83801,2022-05-02 13:35:00,OPK
2.7699,2.78,2.745,2.7792,54010,2022-05-02 13:40:00,OPK
2.77,2.7796,2.75,2.7545,27104,2022-05-02 13:45:00,OPK
2.76,2.765,2.7547,2.76,13467,2022-05-02 13:50:00,OPK
2.755,2.78,2.75,2.77,61013,2022-05-02 13:55:00,OPK
2.77,2.775,2.73,2.73,153550,2022-05-02 14:00:00,OPK
2.72,2.73,2.71,2.71,108659,2022-05-02 14:05:00,OPK
2.71,2.71,2.695,2.705,132978,2022-05-02 14:10:00,OPK
2.715,2.73,2.715,2.72,38210,2022-05-02 14:15:00,OPK
2.725,2.725,2.71,2.71,134270,2022-05-02 14:20:00,OPK
2.7199,2.74,2.71,2.735,179270,2022-05-02 14:25:00,OPK
2.735,2.76,2.73,2.755,225644,2022-05-02 14:30:00,OPK
2.76,2.76,2.74,2.745,76298,2022-05-02 14:35:00,OPK
2.745,2.76,2.745,2.75,48301,2022-05-02 14:40:00,OPK
2.745,2.745,2.73,2.73,32185,2022-05-02 14:45:00,OPK
2.735,2.74,2.73,2.73,8000,2022-05-02 14:50:00,OPK
2.73,2.74,2.72,2.725,50781,2022-05-02 14:55:00,OPK
2.73,2.73,2.7,2.7,58611,2022-05-02 15:00:00,OPK
2.7,2.72,2.7,2.71,122333,2022-05-02 15:05:00,OPK
2.71,2.71,2.7,2.705,45508,2022-05-02 15:10:00,OPK
2.705,2.705,2.69,2.6938,49567,2022-05-02 15:15:00,OPK
2.695,2.71,2.695,2.705,30197,2022-05-02 15:20:00,OPK
2.71,2.715,2.69,2.695,95403,2022-05-02 15:25:00,OPK
2.7,2.71,2.69,2.705,63012,2022-05-02 15:30:00,OPK
2.705,2.71,2.695,2.7042,75666,2022-05-02 15:35:00,OPK
2.7,2.705,2.68,2.695,76732,2022-05-02 15:40:00,OPK
2.6905,2.7,2.69,2.695,34561,2022-05-02 15:45:00,OPK
2.6942,2.7,2.69,2.7,28579,2022-05-02 15:50:00,OPK
2.695,2.72,2.6936,2.7001,83147,2022-05-02 15:55:00,OPK
2.71,2.72,2.705,2.705,22964,2022-05-02 16:00:00,OPK
2.705,2.715,2.7,2.715,14018,2022-05-02 16:05:00,OPK
2.715,2.725,2.7136,2.72,14701,2022-05-02 16:10:00,OPK
2.725,2.735,2.72,2.735,15172,2022-05-02 16:15:00,OPK
2.735,2.74,2.73,2.73,9675,2022-05-02 16:20:00,OPK
