open,high,low,close,volume,datetime,symbol
1.42,1.42,1.42,1.42,100,2022-05-02 08:00:00,SENS
1.43,1.44,1.43,1.44,1700,2022-05-02 09:15:00,SENS
1.43,1.44,1.43,1.43,3600,2022-05-02 09:20:00,SENS
1.43,1.43,1.43,1.43,100,2022-05-02 09:55:00,SENS
1.43,1.43,1.42,1.43,400,2022-05-02 10:00:00,SENS
1.43,1.43,1.41,1.41,1075,2022-05-02 10:20:00,SENS
1.43,1.43,1.43,1.43,100,2022-05-02 10:30:00,SENS
1.43,1.43,1.43,1.43,100,2022-05-02 10:35:00,SENS
1.43,1.43,1.43,1.43,100,2022-05-02 10:40:00,SENS
1.43,1.43,1.43,1.43,200,2022-05-02 11:00:00,SENS
1.43,1.43,1.43,1.43,373,2022-05-02 11:10:00,SENS
1.44,1.44,1.44,1.44,100,2022-05-02 11:20:00,SENS
1.44,1.44,1.44,1.44,2300,2022-05-02 11:25:00,SENS
1.43,1.43,1.41,1.42,5286,2022-05-02 11:30:00,SENS
1.41,1.41,1.41,1.41,200,2022-05-02 11:35:00,SENS
1.4002,1.4002,1.4,1.4,800,2022-05-02 12:00:00,SENS
1.4001,1.4001,1.4001,1.4001,3000,2022-05-02 12:10:00,SENS
1.42,1.42,1.42,1.42,100,2022-05-02 12:15:00,SENS
1.4,1.4,1.4,1.4,402,2022-05-02 12:20:00,SENS
1.42,1.42,1.42,1.42,100,2022-05-02 12:25:00,SENS
1.4,1.4,1.4,1.4,3304,2022-05-02 12:45:00,SENS
1.4,1.41,1.4,1.41,2052,2022-05-02 12:55:00,SENS
1.4,1.4,1.4,1.4,290,2022-05-02 13:00:00,SENS
1.4001,1.41,1.4,1.41,1958,2022-05-02 13:05:00,SENS
1.41,1.41,1.41,1.41,200,2022-05-02 13:10:00,SENS
1.4001,1.41,1.4001,1.41,400,2022-05-02 13:15:00,SENS
1.41,1.42,1.41,1.42,300,2022-05-02 13:20:00,SENS
1.43,1.43,1.43,1.43,13350,2022-05-02 13:25:00,SENS
1.41,1.43,1.405,1.43,211284,2022-05-02 13:30:00,SENS
1.4254,1.44,1.41,1.415,150466,2022-05-02 13:35:00,SENS
1.42,1.42,1.4,1.405,145576,2022-05-02 13:40:00,SENS
1.405,1.42,1.39,1.415,125015,2022-05-02 13:45:00,SENS
1.41,1.42,1.4001,1.42,41323,2022-05-02 13:50:00,SENS
1.42,1.43,1.4126,1.425,93158,2022-05-02 13:55:00,SENS
1.43,1.43,1.41,1.415,61226,2022-05-02 14:00:00,SENS
1.4144,1.42,1.41,1.415,42470,2022-05-02 14:05:00,SENS
1.415,1.415,1.4,1.4097,33665,2022-05-02 14:10:00,SENS
1.41,1.41,1.4,1.4022,10228,2022-05-02 14:15:00,SENS
1.41,1.41,1.4,1.405,53949,2022-05-02 14:20:00,SENS
1.405,1.44,1.405,1.43,150365,2022-05-02 14:25:00,SENS
1.435,1.44,1.43,1.44,16914,2022-05-02 14:30:00,SENS
1.44,1.44,1.43,1.43,22115,2022-05-02 14:35:00,SENS
