open,high,low,close,volume,datetime,symbol
50.84,50.84,50.42,50.55,3112,2022-06-01 13:30:00,SRCL
50.6,50.6,50.24,50.24,1500,2022-06-01 13:35:00,SRCL
50.07,50.18,50.07,50.18,500,2022-06-01 13:40:00,SRCL
50.16,50.16,50.0,50.06,733,2022-06-01 13:45:00,SRCL
50.105,50.2,50.105,50.11,2282,2022-06-01 13:50:00,SRCL
50.05,50.06,49.9875,50.05,14487,2022-06-01 13:55:00,SRCL
50.0,50.07,49.845,49.845,3329,2022-06-01 14:00:00,SRCL
49.85,49.86,49.765,49.765,4160,2022-06-01 14:05:00,SRCL
49.775,49.84,49.74,49.8,2100,2022-06-01 14:10:00,SRCL
49.785,49.85,49.765,49.85,1600,2022-06-01 14:15:00,SRCL
49.78,49.86,49.675,49.675,3600,2022-06-01 14:20:00,SRCL
49.72,49.76,49.72,49.74,800,2022-06-01 14:25:00,SRCL
49.75,49.76,49.7,49.76,2100,2022-06-01 14:30:00,SRCL
49.75,49.78,49.73,49.78,1668,2022-06-01 14:35:00,SRCL
49.75,49.79,49.7475,49.7675,3270,2022-06-01 14:40:00,SRCL
49.79,49.88,49.79,49.88,2070,2022-06-01 14:45:00,SRCL
49.84,49.89,49.84,49.87,3026,2022-06-01 14:50:00,SRCL
49.86,49.89,49.86,49.865,5875,2022-06-01 14:55:00,SRCL
49.85,49.88,49.82,49.86,3046,2022-06-01 15:00:00,SRCL
49.85,49.85,49.73,49.73,632,2022-06-01 15:05:00,SRCL
49.63,49.63,49.52,49.52,800,2022-06-01 15:10:00,SRCL
49.48,49.66,49.47,49.6,3531,2022-06-01 15:15:00,SRCL
49.63,49.63,49.52,49.54,1250,2022-06-01 15:20:00,SRCL
49.525,49.525,49.52,49.52,300,2022-06-01 15:25:00,SRCL
49.48,49.48,49.38,49.44,2151,2022-06-01 15:30:00,SRCL
49.45,49.485,49.42,49.46,1650,2022-06-01 15:35:00,SRCL
