open,high,low,close,volume,datetime,symbol
1.795,1.795,1.795,1.795,184,2022-01-11 14:41:00,REFR
1.76,1.76,1.76,1.76,1000,2022-01-11 15:35:00,REFR
1.78,1.78,1.78,1.78,100,2022-01-11 16:43:00,REFR
1.779,1.78,1.779,1.78,3600,2022-01-11 16:49:00,REFR
1.79,1.79,1.79,1.79,1017,2022-01-11 16:50:00,REFR
1.8,1.8,1.8,1.8,1000,2022-01-11 17:10:00,REFR
1.81,1.81,1.8099,1.8099,1200,2022-01-11 17:11:00,REFR
1.82,1.82,1.82,1.82,100,2022-01-11 17:42:00,REFR
1.815,1.815,1.815,1.815,310,2022-01-11 17:51:00,REFR
1.8002,1.8002,1.8002,1.8002,1000,2022-01-11 18:45:00,REFR
1.8,1.8,1.8,1.8,100,2022-01-11 19:08:00,REFR
1.81,1.81,1.81,1.81,1000,2022-01-11 19:48:00,REFR
1.81,1.81,1.81,1.81,3900,2022-01-11 19:49:00,REFR
1.82,1.82,1.82,1.82,100,2022-01-11 20:13:00,REFR
1.804,1.804,1.8,1.8,1900,2022-01-11 20:42:00,REFR
1.7929,1.7929,1.7929,1.7929,330,2022-01-11 20:50:00,REFR
1.8099,1.8099,1.8,1.8,200,2022-01-11 20:57:00,REFR
1.81,1.81,1.81,1.81,100,2022-01-11 20:59:00,REFR
1.8,1.8,1.8,1.8,600,2022-01-11 21:00:00,REFR
1.78,1.78,1.78,1.78,1062,2022-01-12 14:30:00,REFR
1.7702,1.7702,1.7702,1.7702,500,2022-01-12 16:21:00,REFR
1.7727,1.785,1.76,1.76,5222,2022-01-12 16:22:00,REFR
1.7509,1.7509,1.7509,1.7509,178,2022-01-12 16:23:00,REFR
1.755,1.755,1.755,1.755,100,2022-01-12 16:25:00,REFR
1.755,1.76,1.755,1.76,200,2022-01-12 16:28:00,REFR
1.76,1.76,1.76,1.76,100,2022-01-12 16:29:00,REFR
1.7601,1.7601,1.7601,1.7601,1750,2022-01-12 18:07:00,REFR
1.79,1.79,1.79,1.79,100,2022-01-12 18:16:00,REFR
1.779,1.779,1.77,1.77,3500,2022-01-12 18:55:00,REFR
1.78,1.78,1.78,1.78,200,2022-01-12 19:11:00,REFR
1.78,1.78,1.78,1.78,174,2022-01-12 19:33:00,REFR
1.7801,1.7801,1.7801,1.7801,600,2022-01-12 20:58:00,REFR
1.78,1.78,1.78,1.78,140,2022-01-12 20:59:00,REFR
1.78,1.78,1.78,1.78,924,2022-01-12 21:00:00,REFR
1.77,1.77,1.77,1.77,213,2022-01-13 14:30:00,REFR
1.77,1.77,1.77,1.77,625,2022-01-13 14:50:00,REFR
1.8,1.8,1.7985,1.7985,778,2022-01-13 16:40:00,REFR
1.7801,1.7801,1.7801,1.7801,1900,2022-01-13 16:59:00,REFR
1.78,1.78,1.78,1.78,214,2022-01-13 17:03:00,REFR
1.785,1.785,1.78,1.7833,758,2022-01-13 17:20:00,REFR
1.78,1.78,1.78,1.78,361,2022-01-13 17:22:00,REFR
1.7708,1.7708,1.7708,1.7708,300,2022-01-13 17:30:00,REFR
1.7705,1.7705,1.7705,1.7705,1500,2022-01-13 17:31:00,REFR
1.78,1.78,1.78,1.78,300,2022-01-13 17:44:00,REFR
1.77,1.77,1.77,1.77,100,2022-01-13 18:05:00,REFR
1.775,1.8,1.775,1.8,2676,2022-01-13 20:03:00,REFR
1.7999,1.7999,1.7999,1.7999,250,2022-01-13 20:15:00,REFR
1.8,1.8,1.8,1.8,100,2022-01-13 20:29:00,REFR
1.8,1.8,1.8,1.8,168,2022-01-13 20:59:00,REFR
1.68,1.68,1.68,1.68,400,2022-01-14 13:30:00,REFR
1.79,1.8,1.79,1.8,1622,2022-01-14 14:30:00,REFR
1.8,1.8,1.8,1.8,109,2022-01-14 14:45:00,REFR
1.8,1.8,1.8,1.8,100,2022-01-14 14:47:00,REFR
1.7818,1.7818,1.78,1.78,2000,2022-01-14 14:48:00,REFR
1.789,1.789,1.789,1.789,100,2022-01-14 15:16:00,REFR
1.78,1.78,1.78,1.78,2101,2022-01-14 16:08:00,REFR
