open,high,low,close,volume,datetime,symbol
9.43,9.58,9.42,9.48,13495,2022-01-11 14:30:00,SVC
9.48,9.48,9.42,9.45,6957,2022-01-11 14:32:00,SVC
9.45,9.46,9.45,9.45,1100,2022-01-11 14:33:00,SVC
9.48,9.5,9.43,9.44,4386,2022-01-11 14:34:00,SVC
9.44,9.46,9.44,9.45,2800,2022-01-11 14:35:00,SVC
9.42,9.47,9.41,9.47,2400,2022-01-11 14:36:00,SVC
9.49,9.49,9.44,9.44,1500,2022-01-11 14:37:00,SVC
9.44,9.44,9.4,9.4,4006,2022-01-11 14:38:00,SVC
9.39,9.4,9.38,9.38,2020,2022-01-11 14:39:00,SVC
9.36,9.36,9.34,9.35,1122,2022-01-11 14:40:00,SVC
9.36,9.375,9.34,9.34,2990,2022-01-11 14:41:00,SVC
9.345,9.38,9.34,9.37,1500,2022-01-11 14:42:00,SVC
9.34,9.34,9.31,9.31,5732,2022-01-11 14:43:00,SVC
9.31,9.32,9.3,9.3,500,2022-01-11 14:44:00,SVC
9.29,9.295,9.27,9.29,3061,2022-01-11 14:45:00,SVC
9.3,9.32,9.3,9.32,1800,2022-01-11 14:46:00,SVC
9.31,9.31,9.3,9.3,1300,2022-01-11 14:47:00,SVC
9.28,9.29,9.26,9.27,7228,2022-01-11 14:48:00,SVC
9.295,9.295,9.28,9.28,1000,2022-01-11 14:49:00,SVC
9.28,9.29,9.275,9.29,3075,2022-01-11 14:50:00,SVC
9.29,9.31,9.29,9.31,1236,2022-01-11 14:51:00,SVC
9.31,9.31,9.27,9.28,734,2022-01-11 14:52:00,SVC
9.27,9.27,9.265,9.27,2768,2022-01-11 14:53:00,SVC
9.28,9.29,9.27,9.27,2800,2022-01-11 14:54:00,SVC
9.27,9.29,9.27,9.285,4000,2022-01-11 14:55:00,SVC
9.28,9.28,9.28,9.28,100,2022-01-11 14:56:00,SVC
9.275,9.275,9.26,9.26,400,2022-01-11 14:57:00,SVC
9.26,9.26,9.255,9.26,1262,2022-01-11 14:58:00,SVC
9.26,9.26,9.24,9.24,1900,2022-01-11 14:59:00,SVC
9.24,9.27,9.23,9.27,3357,2022-01-11 15:00:00,SVC
9.27,9.27,9.27,9.27,300,2022-01-11 15:01:00,SVC
9.27,9.27,9.25,9.25,400,2022-01-11 15:02:00,SVC
9.245,9.245,9.23,9.23,300,2022-01-11 15:03:00,SVC
9.22,9.22,9.22,9.22,700,2022-01-11 15:04:00,SVC
9.22,9.25,9.215,9.215,31749,2022-01-11 15:05:00,SVC
9.22,9.24,9.22,9.22,20611,2022-01-11 15:06:00,SVC
9.21,9.21,9.21,9.21,2507,2022-01-11 15:07:00,SVC
9.21,9.21,9.2,9.2,995,2022-01-11 15:08:00,SVC
9.21,9.225,9.21,9.22,2551,2022-01-11 15:09:00,SVC
9.21,9.215,9.21,9.215,200,2022-01-11 15:10:00,SVC
9.22,9.23,9.22,9.23,3839,2022-01-11 15:12:00,SVC
9.22,9.255,9.22,9.255,2837,2022-01-11 15:14:00,SVC
9.25,9.25,9.22,9.22,2116,2022-01-11 15:15:00,SVC
9.22,9.225,9.2173,9.225,19581,2022-01-11 15:16:00,SVC
9.225,9.23,9.21,9.22,9371,2022-01-11 15:17:00,SVC
9.22,9.225,9.22,9.225,4080,2022-01-11 15:18:00,SVC
9.2225,9.225,9.22,9.22,1753,2022-01-11 15:19:00,SVC
9.22,9.24,9.21,9.225,24343,2022-01-11 15:20:00,SVC
9.225,9.255,9.225,9.25,9300,2022-01-11 15:21:00,SVC
9.25,9.26,9.24,9.26,4972,2022-01-11 15:22:00,SVC
9.26,9.26,9.25,9.25,600,2022-01-11 15:23:00,SVC
9.245,9.245,9.235,9.24,1763,2022-01-11 15:24:00,SVC
9.245,9.25,9.245,9.25,1700,2022-01-11 15:25:00,SVC
9.23,9.23,9.22,9.225,900,2022-01-11 15:26:00,SVC
9.23,9.24,9.23,9.24,700,2022-01-11 15:27:00,SVC
9.26,9.26,9.26,9.26,100,2022-01-11 15:28:00,SVC
9.26,9.265,9.26,9.26,1500,2022-01-11 15:29:00,SVC
9.26,9.28,9.26,9.275,600,2022-01-11 15:30:00,SVC
9.27,9.27,9.24,9.24,3483,2022-01-11 15:31:00,SVC
9.24,9.24,9.22,9.22,5080,2022-01-11 15:32:00,SVC
9.23,9.235,9.23,9.23,3746,2022-01-11 15:33:00,SVC
9.23,9.23,9.225,9.225,716,2022-01-11 15:34:00,SVC
9.22,9.23,9.21,9.23,3554,2022-01-11 15:35:00,SVC
9.23,9.24,9.23,9.23,4691,2022-01-11 15:36:00,SVC
9.23,9.23,9.23,9.23,700,2022-01-11 15:37:00,SVC
9.23,9.23,9.23,9.23,3262,2022-01-11 15:38:00,SVC
9.23,9.23,9.23,9.23,2961,2022-01-11 15:39:00,SVC
9.23,9.235,9.23,9.235,2750,2022-01-11 15:40:00,SVC
9.235,9.235,9.22,9.22,1369,2022-01-11 15:41:00,SVC
9.22,9.22,9.215,9.22,1500,2022-01-11 15:42:00,SVC
9.21,9.21,9.205,9.205,792,2022-01-11 15:43:00,SVC
9.205,9.21,9.2,9.21,2391,2022-01-11 15:44:00,SVC
9.205,9.23,9.205,9.23,1275,2022-01-11 15:45:00,SVC
9.23,9.23,9.225,9.225,6286,2022-01-11 15:46:00,SVC
9.22,9.23,9.21,9.23,1772,2022-01-11 15:47:00,SVC
