open,high,low,close,volume,datetime,symbol
28.41,28.81,28.4,28.81,3456,2022-01-11 14:30:00,WFRD
28.7,28.79,28.64,28.64,3182,2022-01-11 14:31:00,WFRD
28.8,29.49,28.75,29.3095,16837,2022-01-11 14:32:00,WFRD
29.3138,29.4187,29.1228,29.27,6440,2022-01-11 14:33:00,WFRD
29.3828,29.4877,29.3828,29.4653,2891,2022-01-11 14:34:00,WFRD
29.47,29.47,29.34,29.4,4141,2022-01-11 14:36:00,WFRD
29.32,29.3272,29.32,29.3272,3400,2022-01-11 14:37:00,WFRD
29.4,29.415,29.34,29.34,600,2022-01-11 14:38:00,WFRD
29.3,29.39,29.29,29.39,500,2022-01-11 14:39:00,WFRD
29.39,29.4,29.26,29.26,700,2022-01-11 14:40:00,WFRD
29.33,29.33,29.26,29.3,2250,2022-01-11 14:41:00,WFRD
29.34,29.46,29.34,29.35,3595,2022-01-11 14:42:00,WFRD
29.35,29.35,29.33,29.34,1117,2022-01-11 14:43:00,WFRD
29.35,29.35,29.33,29.33,200,2022-01-11 14:45:00,WFRD
29.32,29.32,29.32,29.32,500,2022-01-11 14:46:00,WFRD
29.37,29.38,29.28,29.325,2500,2022-01-11 14:49:00,WFRD
29.315,29.315,29.315,29.315,1100,2022-01-11 14:50:00,WFRD
29.35,29.49,29.34,29.35,6399,2022-01-11 14:51:00,WFRD
29.33,29.34,29.33,29.34,400,2022-01-11 14:52:00,WFRD
29.34,29.34,29.3,29.34,1000,2022-01-11 14:53:00,WFRD
29.35,29.4,29.33,29.34,7881,2022-01-11 14:54:00,WFRD
29.32,29.32,29.2,29.255,2339,2022-01-11 14:55:00,WFRD
29.1996,29.1996,29.1996,29.1996,500,2022-01-11 14:56:00,WFRD
29.29,29.31,29.29,29.31,200,2022-01-11 14:58:00,WFRD
29.35,29.35,29.35,29.35,100,2022-01-11 14:59:00,WFRD
29.37,29.38,29.35,29.35,1000,2022-01-11 15:00:00,WFRD
29.35,29.94,29.35,29.84,19015,2022-01-11 15:01:00,WFRD
29.865,29.94,29.86,29.86,1500,2022-01-11 15:02:00,WFRD
29.78,29.78,29.65,29.65,1218,2022-01-11 15:03:00,WFRD
29.7,29.75,29.7,29.7,4893,2022-01-11 15:04:00,WFRD
29.7,29.77,29.5415,29.5415,1817,2022-01-11 15:05:00,WFRD
29.57,29.605,29.2001,29.3054,14578,2022-01-11 15:06:00,WFRD
29.29,29.29,29.29,29.29,100,2022-01-11 15:07:00,WFRD
29.265,29.265,29.265,29.265,100,2022-01-11 15:08:00,WFRD
29.27,29.445,29.27,29.445,2200,2022-01-11 15:09:00,WFRD
29.46,29.46,29.46,29.46,100,2022-01-11 15:11:00,WFRD
29.475,29.475,29.44,29.44,200,2022-01-11 15:14:00,WFRD
29.47,29.47,29.47,29.47,100,2022-01-11 15:15:00,WFRD
29.48,29.61,29.46,29.46,500,2022-01-11 15:16:00,WFRD
29.67,29.77,29.65,29.65,500,2022-01-11 15:20:00,WFRD
29.7083,29.7083,29.7083,29.7083,350,2022-01-11 15:21:00,WFRD
29.7163,29.7163,29.7163,29.7163,500,2022-01-11 15:22:00,WFRD
