open,high,low,close,volume,datetime,symbol
31.15,31.15,31.13,31.13,1000,2022-02-09 12:03:00,ANGL
31.12,31.12,31.12,31.12,400,2022-02-09 13:06:00,ANGL
31.13,31.14,31.13,31.14,23281,2022-02-09 14:30:00,ANGL
31.14,31.15,31.14,31.15,1302,2022-02-09 14:31:00,ANGL
31.15,31.15,31.15,31.15,300,2022-02-09 14:32:00,ANGL
31.1791,31.18,31.17,31.18,12200,2022-02-09 14:33:00,ANGL
31.18,31.18,31.17,31.17,7582,2022-02-09 14:35:00,ANGL
31.17,31.17,31.1601,31.1601,1814,2022-02-09 14:36:00,ANGL
31.165,31.17,31.165,31.165,1713,2022-02-09 14:37:00,ANGL
31.1708,31.1708,31.1708,31.1708,470,2022-02-09 14:38:00,ANGL
31.18,31.18,31.18,31.18,200,2022-02-09 14:39:00,ANGL
31.1755,31.18,31.1755,31.18,399,2022-02-09 14:40:00,ANGL
31.18,31.18,31.18,31.18,700,2022-02-09 14:41:00,ANGL
31.185,31.1857,31.185,31.185,2566,2022-02-09 14:42:00,ANGL
31.19,31.19,31.19,31.19,1018000,2022-02-09 14:43:00,ANGL
31.19,31.19,31.19,31.19,9700,2022-02-09 14:44:00,ANGL
31.19,31.2,31.19,31.2,24300,2022-02-09 14:45:00,ANGL
31.2,31.21,31.2,31.21,3150,2022-02-09 14:46:00,ANGL
31.21,31.21,31.2,31.2,2200,2022-02-09 14:47:00,ANGL
31.2,31.2,31.195,31.2,8185,2022-02-09 14:48:00,ANGL
31.2,31.2,31.2,31.2,200,2022-02-09 14:49:00,ANGL
31.2,31.2,31.2,31.2,300,2022-02-09 14:50:00,ANGL
31.2,31.2,31.2,31.2,200,2022-02-09 14:51:00,ANGL
31.2,31.2,31.1929,31.2,537,2022-02-09 14:52:00,ANGL
31.2,31.2,31.1927,31.1927,600,2022-02-09 14:56:00,ANGL
31.2,31.2,31.1926,31.1926,627,2022-02-09 14:57:00,ANGL
31.1901,31.1901,31.1901,31.1901,300,2022-02-09 14:58:00,ANGL
31.195,31.195,31.195,31.195,1120,2022-02-09 15:00:00,ANGL
31.193,31.1999,31.193,31.1999,250,2022-02-09 15:03:00,ANGL
31.195,31.195,31.195,31.195,1459,2022-02-09 15:05:00,ANGL
31.195,31.21,31.1948,31.21,48488,2022-02-09 15:06:00,ANGL
31.22,31.22,31.22,31.22,400,2022-02-09 15:07:00,ANGL
31.215,31.215,31.215,31.215,1160,2022-02-09 15:08:00,ANGL
31.2124,31.215,31.2124,31.215,5867,2022-02-09 15:10:00,ANGL
31.22,31.22,31.22,31.22,1910,2022-02-09 15:11:00,ANGL
31.2222,31.2222,31.2222,31.2222,1631,2022-02-09 15:12:00,ANGL
31.225,31.225,31.225,31.225,590,2022-02-09 15:13:00,ANGL
31.23,31.23,31.22,31.22,595,2022-02-09 15:14:00,ANGL
31.2237,31.2237,31.22,31.22,1230,2022-02-09 15:15:00,ANGL
31.22,31.22,31.21,31.22,50506,2022-02-09 15:16:00,ANGL
31.215,31.22,31.215,31.22,1861,2022-02-09 15:17:00,ANGL
