open,high,low,close,volume,datetime,symbol
9.75,9.75,9.75,9.75,100,2022-02-09 14:16:00,EAC
9.74,9.74,9.74,9.74,100,2022-02-10 14:25:00,EAC
9.73,9.73,9.73,9.73,100,2022-02-10 14:30:00,EAC
9.745,9.745,9.73,9.745,120100,2022-02-10 16:46:00,EAC
9.745,9.745,9.74,9.74,26091,2022-02-11 18:15:00,EAC
9.74,9.74,9.74,9.74,19100,2022-02-11 18:29:00,EAC
9.74,9.74,9.74,9.74,100,2022-02-14 14:23:00,EAC
9.74,9.74,9.74,9.74,9300,2022-02-14 16:40:00,EAC
9.74,9.74,9.74,9.74,100,2022-02-16 13:40:00,EAC
9.74,9.74,9.74,9.74,100,2022-02-17 13:15:00,EAC
9.74,9.74,9.74,9.74,100,2022-02-18 13:47:00,EAC
9.74,9.74,9.74,9.74,100,2022-02-22 13:34:00,EAC
9.74,9.74,9.74,9.74,6358,2022-02-22 15:08:00,EAC
9.74,9.74,9.74,9.74,1232,2022-02-22 15:09:00,EAC
9.74,9.74,9.74,9.74,9951,2022-02-22 15:19:00,EAC
9.74,9.74,9.74,9.74,5000,2022-02-23 13:58:00,EAC
9.73,9.74,9.73,9.74,2734,2022-02-24 14:25:00,EAC
9.74,9.8,9.74,9.8,1140,2022-02-24 14:27:00,EAC
9.74,9.74,9.74,9.74,4957,2022-02-24 14:30:00,EAC
9.76,9.76,9.76,9.76,427,2022-02-25 14:51:00,EAC
9.76,9.76,9.76,9.76,200,2022-02-25 17:23:00,EAC
9.75,9.75,9.75,9.75,900,2022-02-25 20:13:00,EAC
