open,high,low,close,volume,datetime,symbol
20.49,20.49,20.49,20.49,1094,2022-03-01 14:30:00,ADTN
20.57,20.57,20.55,20.56,500,2022-03-01 14:36:00,ADTN
20.55,20.55,20.55,20.55,100,2022-03-01 14:37:00,ADTN
20.56,20.56,20.55,20.55,308,2022-03-01 14:39:00,ADTN
20.45,20.45,20.45,20.45,100,2022-03-01 14:40:00,ADTN
20.36,20.36,20.36,20.36,100,2022-03-01 14:41:00,ADTN
20.33,20.33,20.32,20.32,200,2022-03-01 14:42:00,ADTN
20.37,20.37,20.37,20.37,100,2022-03-01 14:43:00,ADTN
20.34,20.34,20.32,20.32,400,2022-03-01 14:44:00,ADTN
20.34,20.35,20.24,20.35,9570,2022-03-01 14:45:00,ADTN
20.37,20.37,20.36,20.36,402,2022-03-01 14:46:00,ADTN
20.375,20.375,20.375,20.375,100,2022-03-01 14:50:00,ADTN
20.365,20.365,20.33,20.33,400,2022-03-01 14:51:00,ADTN
20.32,20.32,20.32,20.32,347,2022-03-01 14:54:00,ADTN
20.29,20.3,20.29,20.3,200,2022-03-01 14:56:00,ADTN
20.39,20.42,20.39,20.4,361,2022-03-01 15:00:00,ADTN
20.38,20.38,20.35,20.35,200,2022-03-01 15:01:00,ADTN
20.31,20.31,20.3,20.31,710,2022-03-01 15:06:00,ADTN
20.23,20.23,20.23,20.23,100,2022-03-01 15:10:00,ADTN
20.28,20.28,20.28,20.28,200,2022-03-01 15:11:00,ADTN
20.37,20.37,20.37,20.37,100,2022-03-01 15:17:00,ADTN
20.39,20.39,20.39,20.39,100,2022-03-01 15:20:00,ADTN
20.45,20.45,20.45,20.45,100,2022-03-01 15:21:00,ADTN
20.47,20.5,20.44,20.45,1500,2022-03-01 15:22:00,ADTN
20.45,20.45,20.45,20.45,106,2022-03-01 15:24:00,ADTN
20.48,20.5,20.48,20.5,300,2022-03-01 15:27:00,ADTN
20.49,20.51,20.49,20.51,600,2022-03-01 15:29:00,ADTN
20.53,20.58,20.53,20.58,700,2022-03-01 15:30:00,ADTN
20.56,20.56,20.52,20.52,2389,2022-03-01 15:31:00,ADTN
20.54,20.56,20.54,20.54,500,2022-03-01 15:33:00,ADTN
20.5,20.525,20.5,20.52,900,2022-03-01 15:34:00,ADTN
20.52,20.52,20.48,20.48,300,2022-03-01 15:35:00,ADTN
20.47,20.47,20.47,20.47,200,2022-03-01 15:37:00,ADTN
20.5,20.5,20.5,20.5,100,2022-03-01 15:38:00,ADTN
20.51,20.51,20.5,20.5,700,2022-03-01 15:39:00,ADTN
20.46,20.475,20.46,20.46,700,2022-03-01 15:40:00,ADTN
20.45,20.47,20.45,20.47,800,2022-03-01 15:41:00,ADTN
20.47,20.47,20.45,20.45,700,2022-03-01 15:42:00,ADTN
20.42,20.45,20.42,20.45,300,2022-03-01 15:43:00,ADTN
20.41,20.41,20.41,20.41,100,2022-03-01 15:46:00,ADTN
20.44,20.44,20.44,20.44,100,2022-03-01 15:47:00,ADTN
20.49,20.49,20.47,20.47,600,2022-03-01 15:50:00,ADTN
20.46,20.46,20.44,20.455,500,2022-03-01 15:51:00,ADTN
20.42,20.42,20.415,20.415,400,2022-03-01 15:55:00,ADTN
20.43,20.44,20.35,20.365,1100,2022-03-01 15:56:00,ADTN
20.345,20.345,20.32,20.32,200,2022-03-01 15:59:00,ADTN
20.36,20.36,20.36,20.36,100,2022-03-01 16:00:00,ADTN
20.38,20.38,20.36,20.36,300,2022-03-01 16:01:00,ADTN
20.37,20.39,20.37,20.38,300,2022-03-01 16:03:00,ADTN
20.395,20.395,20.395,20.395,100,2022-03-01 16:04:00,ADTN
20.39,20.39,20.37,20.37,1059,2022-03-01 16:05:00,ADTN
20.39,20.39,20.39,20.39,200,2022-03-01 16:07:00,ADTN
20.4,20.4,20.4,20.4,100,2022-03-01 16:08:00,ADTN
20.37,20.3784,20.37,20.3784,400,2022-03-01 16:10:00,ADTN
20.375,20.375,20.375,20.375,100,2022-03-01 16:13:00,ADTN
20.39,20.39,20.32,20.33,3900,2022-03-01 16:14:00,ADTN
20.32,20.32,20.32,20.32,100,2022-03-01 16:16:00,ADTN
20.35,20.35,20.35,20.35,200,2022-03-01 16:17:00,ADTN
20.32,20.32,20.295,20.3,400,2022-03-01 16:20:00,ADTN
20.33,20.33,20.32,20.32,400,2022-03-01 16:22:00,ADTN
20.32,20.32,20.3,20.32,1064,2022-03-01 16:24:00,ADTN
20.3,20.3,20.29,20.29,242,2022-03-01 16:26:00,ADTN
20.29,20.29,20.28,20.28,200,2022-03-01 16:29:00,ADTN
20.27,20.27,20.27,20.27,100,2022-03-01 16:30:00,ADTN
