open,high,low,close,volume,datetime,symbol
10.04,10.45,10.04,10.37,3850,2022-03-01 14:30:00,FMTX
10.155,10.69,10.155,10.69,6299,2022-03-01 14:31:00,FMTX
10.68,10.79,10.5683,10.5683,7615,2022-03-01 14:32:00,FMTX
10.77,10.77,10.46,10.53,5348,2022-03-01 14:34:00,FMTX
10.57,10.57,10.5,10.5,3040,2022-03-01 14:35:00,FMTX
10.59,10.75,10.5,10.59,2190,2022-03-01 14:36:00,FMTX
10.5,10.5,10.38,10.43,4101,2022-03-01 14:37:00,FMTX
10.48,10.505,10.48,10.5,1320,2022-03-01 14:38:00,FMTX
10.5,10.6,10.445,10.445,800,2022-03-01 14:39:00,FMTX
10.46,10.6,10.46,10.55,500,2022-03-01 14:41:00,FMTX
10.49,10.49,10.42,10.42,200,2022-03-01 14:44:00,FMTX
10.44,10.44,10.34,10.36,400,2022-03-01 14:45:00,FMTX
10.33,10.5,10.33,10.5,200,2022-03-01 14:47:00,FMTX
10.405,10.46,10.405,10.46,200,2022-03-01 14:50:00,FMTX
10.43,10.43,10.32,10.32,200,2022-03-01 14:53:00,FMTX
10.41,10.42,10.41,10.42,200,2022-03-01 14:54:00,FMTX
10.345,10.345,10.345,10.345,100,2022-03-01 14:55:00,FMTX
10.35,10.35,10.29,10.3,2862,2022-03-01 14:58:00,FMTX
10.3,10.43,10.3,10.34,1413,2022-03-01 14:59:00,FMTX
10.33,10.33,10.33,10.33,100,2022-03-01 15:00:00,FMTX
10.33,10.33,10.33,10.33,100,2022-03-01 15:01:00,FMTX
10.25,10.25,10.25,10.25,100,2022-03-01 15:02:00,FMTX
10.25,10.4,10.25,10.4,400,2022-03-01 15:03:00,FMTX
10.4,10.47,10.25,10.45,3200,2022-03-01 15:04:00,FMTX
10.47,10.47,10.36,10.415,5848,2022-03-01 15:05:00,FMTX
10.56,10.56,10.37,10.455,1418,2022-03-01 15:06:00,FMTX
10.505,10.515,10.44,10.47,3283,2022-03-01 15:07:00,FMTX
10.455,10.5,10.45,10.45,1163,2022-03-01 15:08:00,FMTX
10.41,10.41,10.41,10.41,300,2022-03-01 15:10:00,FMTX
10.42,10.43,10.42,10.43,325,2022-03-01 15:11:00,FMTX
10.4,10.4,10.35,10.35,10169,2022-03-01 15:12:00,FMTX
10.4,10.4,10.27,10.39,3161,2022-03-01 15:13:00,FMTX
10.4,10.4,10.31,10.39,3744,2022-03-01 15:16:00,FMTX
10.43,10.47,10.41,10.45,2900,2022-03-01 15:19:00,FMTX
10.5,10.5,10.42,10.5,6602,2022-03-01 15:21:00,FMTX
10.5,10.5,10.42,10.42,9808,2022-03-01 15:22:00,FMTX
10.43,10.43,10.43,10.43,454,2022-03-01 15:23:00,FMTX
10.43,10.53,10.38,10.5,6703,2022-03-01 15:24:00,FMTX
10.465,10.465,10.42,10.42,330,2022-03-01 15:26:00,FMTX
10.48,10.48,10.48,10.48,100,2022-03-01 15:31:00,FMTX
10.48,10.48,10.48,10.48,100,2022-03-01 15:32:00,FMTX
10.435,10.435,10.435,10.435,300,2022-03-01 15:33:00,FMTX
10.41,10.41,10.4,10.4,300,2022-03-01 15:35:00,FMTX
10.41,10.41,10.41,10.41,100,2022-03-01 15:36:00,FMTX
10.27,10.28,10.27,10.28,200,2022-03-01 15:40:00,FMTX
10.22,10.22,10.22,10.22,100,2022-03-01 15:42:00,FMTX
10.35,10.35,10.17,10.28,2292,2022-03-01 15:43:00,FMTX
10.15,10.24,10.15,10.21,500,2022-03-01 15:45:00,FMTX
10.14,10.14,10.14,10.14,700,2022-03-01 15:47:00,FMTX
10.14,10.24,10.14,10.24,200,2022-03-01 15:48:00,FMTX
10.15,10.15,10.15,10.15,1000,2022-03-01 15:50:00,FMTX
10.14,10.15,10.14,10.15,780,2022-03-01 15:53:00,FMTX
10.2,10.2,10.15,10.15,300,2022-03-01 15:54:00,FMTX
10.155,10.155,10.155,10.155,100,2022-03-01 15:59:00,FMTX
10.11,10.11,10.11,10.11,100,2022-03-01 16:00:00,FMTX
10.14,10.14,10.14,10.14,100,2022-03-01 16:02:00,FMTX
10.105,10.105,10.105,10.105,100,2022-03-01 16:07:00,FMTX
10.08,10.08,10.08,10.08,100,2022-03-01 16:08:00,FMTX
10.13,10.13,10.13,10.13,100,2022-03-01 16:09:00,FMTX
10.08,10.08,9.97,9.99,3070,2022-03-01 16:10:00,FMTX
10.02,10.06,9.98,9.98,600,2022-03-01 16:11:00,FMTX
9.99,10.06,9.96,9.96,1600,2022-03-01 16:12:00,FMTX
9.97,9.97,9.97,9.97,200,2022-03-01 16:16:00,FMTX
9.95,9.99,9.95,9.99,1007,2022-03-01 16:17:00,FMTX
10.0,10.0,10.0,10.0,100,2022-03-01 16:19:00,FMTX
9.985,9.985,9.985,9.985,100,2022-03-01 16:20:00,FMTX
9.96,10.0,9.96,10.0,900,2022-03-01 16:22:00,FMTX
9.99,10.03,9.975,9.98,3457,2022-03-01 16:25:00,FMTX
9.96,9.96,9.78,9.8,27873,2022-03-01 16:26:00,FMTX
9.8,9.87,9.79,9.87,8349,2022-03-01 16:27:00,FMTX
9.79,9.79,9.68,9.68,4500,2022-03-01 16:29:00,FMTX
9.725,9.7799,9.725,9.7558,8100,2022-03-01 16:30:00,FMTX
9.73,9.7799,9.62,9.7469,9354,2022-03-01 16:31:00,FMTX
9.7699,9.7699,9.72,9.7357,8355,2022-03-01 16:32:00,FMTX
9.76,9.795,9.72,9.795,2758,2022-03-01 16:33:00,FMTX
9.795,9.795,9.795,9.795,300,2022-03-01 16:34:00,FMTX
9.79,9.79,9.76,9.76,2500,2022-03-01 16:35:00,FMTX
9.76,9.76,9.76,9.76,100,2022-03-01 16:36:00,FMTX
9.76,9.76,9.72,9.72,2600,2022-03-01 16:37:00,FMTX
9.72,9.84,9.72,9.8298,3646,2022-03-01 16:38:00,FMTX
9.83,9.83,9.83,9.83,100,2022-03-01 16:40:00,FMTX
9.81,9.88,9.81,9.88,2850,2022-03-01 16:42:00,FMTX
9.88,9.9299,9.82,9.885,6757,2022-03-01 16:44:00,FMTX
9.91,9.93,9.91,9.92,1000,2022-03-01 16:45:00,FMTX
9.86,9.86,9.86,9.86,475,2022-03-01 16:46:00,FMTX
9.86,9.86,9.86,9.86,675,2022-03-01 16:47:00,FMTX
9.86,9.86,9.86,9.86,160,2022-03-01 16:49:00,FMTX
9.855,9.855,9.855,9.855,100,2022-03-01 16:50:00,FMTX
9.855,9.855,9.855,9.855,555,2022-03-01 16:51:00,FMTX
9.855,9.855,9.855,9.855,100,2022-03-01 16:52:00,FMTX
9.855,9.855,9.855,9.855,100,2022-03-01 16:53:00,FMTX
9.81,9.81,9.81,9.81,800,2022-03-01 16:55:00,FMTX
9.78,9.78,9.77,9.77,200,2022-03-01 16:56:00,FMTX
9.81,9.85,9.81,9.83,2820,2022-03-01 16:57:00,FMTX
9.83,9.83,9.83,9.83,100,2022-03-01 17:00:00,FMTX
9.825,9.825,9.825,9.825,100,2022-03-01 17:01:00,FMTX
9.825,9.825,9.825,9.825,100,2022-03-01 17:02:00,FMTX
9.825,9.825,9.825,9.825,100,2022-03-01 17:04:00,FMTX
9.825,9.825,9.825,9.825,100,2022-03-01 17:05:00,FMTX
9.825,9.825,9.825,9.825,100,2022-03-01 17:06:00,FMTX
9.825,9.825,9.825,9.825,100,2022-03-01 17:07:00,FMTX
9.825,9.825,9.825,9.825,200,2022-03-01 17:10:00,FMTX
9.87,9.87,9.85,9.85,1000,2022-03-01 17:12:00,FMTX
9.89,9.89,9.89,9.89,100,2022-03-01 17:13:00,FMTX
9.85,9.85,9.85,9.85,100,2022-03-01 17:14:00,FMTX
9.85,9.85,9.85,9.85,200,2022-03-01 17:15:00,FMTX
9.85,9.85,9.85,9.85,100,2022-03-01 17:17:00,FMTX
9.9,9.92,9.89,9.91,3453,2022-03-01 17:18:00,FMTX
9.96,9.98,9.96,9.98,402,2022-03-01 17:19:00,FMTX
9.9919,10.07,9.96,9.98,6138,2022-03-01 17:20:00,FMTX
9.9701,9.9881,9.97,9.9881,5100,2022-03-01 17:21:00,FMTX
9.97,9.97,9.97,9.97,2600,2022-03-01 17:22:00,FMTX
9.96,9.96,9.9002,9.935,5872,2022-03-01 17:25:00,FMTX
9.935,9.935,9.935,9.935,100,2022-03-01 17:26:00,FMTX
9.93,9.93,9.93,9.93,200,2022-03-01 17:27:00,FMTX
