open,high,low,close,volume,datetime,symbol
6.74,6.74,6.71,6.71,8846,2022-03-01 14:30:00,IBRX
6.76,6.76,6.7,6.7,1650,2022-03-01 14:32:00,IBRX
6.735,6.74,6.69,6.69,3700,2022-03-01 14:33:00,IBRX
6.73,6.76,6.73,6.73,8256,2022-03-01 14:34:00,IBRX
6.76,6.76,6.76,6.76,108,2022-03-01 14:35:00,IBRX
6.79,6.81,6.77,6.77,2988,2022-03-01 14:36:00,IBRX
6.76,6.78,6.72,6.78,7878,2022-03-01 14:37:00,IBRX
6.8,6.82,6.8,6.82,6327,2022-03-01 14:38:00,IBRX
6.79,6.79,6.79,6.79,200,2022-03-01 14:39:00,IBRX
6.79,6.8,6.785,6.79,2700,2022-03-01 14:40:00,IBRX
6.77,6.77,6.73,6.75,2980,2022-03-01 14:41:00,IBRX
6.72,6.72,6.7,6.7,1400,2022-03-01 14:42:00,IBRX
6.72,6.72,6.72,6.72,200,2022-03-01 14:43:00,IBRX
6.72,6.72,6.65,6.68,12825,2022-03-01 14:44:00,IBRX
6.67,6.7,6.67,6.68,1456,2022-03-01 14:45:00,IBRX
6.65,6.65,6.64,6.64,1100,2022-03-01 14:46:00,IBRX
6.65,6.675,6.63,6.675,1550,2022-03-01 14:47:00,IBRX
6.66,6.66,6.62,6.62,2039,2022-03-01 14:48:00,IBRX
6.61,6.62,6.61,6.62,449,2022-03-01 14:49:00,IBRX
6.61,6.63,6.61,6.625,1336,2022-03-01 14:50:00,IBRX
6.61,6.65,6.61,6.64,4886,2022-03-01 14:52:00,IBRX
6.669,6.669,6.65,6.65,200,2022-03-01 14:53:00,IBRX
6.64,6.65,6.62,6.62,1371,2022-03-01 14:54:00,IBRX
6.61,6.61,6.58,6.59,5730,2022-03-01 14:55:00,IBRX
6.585,6.59,6.57,6.59,1450,2022-03-01 14:56:00,IBRX
6.5913,6.615,6.5913,6.615,2341,2022-03-01 14:57:00,IBRX
6.6264,6.6264,6.6,6.6,2289,2022-03-01 14:58:00,IBRX
6.58,6.58,6.57,6.57,500,2022-03-01 14:59:00,IBRX
6.6,6.6248,6.59,6.6248,1651,2022-03-01 15:00:00,IBRX
6.615,6.615,6.59,6.59,1700,2022-03-01 15:01:00,IBRX
6.595,6.6,6.59,6.59,700,2022-03-01 15:02:00,IBRX
6.5863,6.6071,6.581,6.581,670,2022-03-01 15:03:00,IBRX
6.61,6.61,6.59,6.6,1100,2022-03-01 15:04:00,IBRX
6.65,6.65,6.65,6.65,100,2022-03-01 15:06:00,IBRX
6.67,6.6714,6.67,6.6714,200,2022-03-01 15:07:00,IBRX
6.69,6.69,6.69,6.69,200,2022-03-01 15:08:00,IBRX
6.69,6.69,6.67,6.67,1016,2022-03-01 15:09:00,IBRX
6.67,6.67,6.64,6.64,700,2022-03-01 15:10:00,IBRX
6.65,6.65,6.64,6.64,550,2022-03-01 15:11:00,IBRX
6.678,6.678,6.678,6.678,1000,2022-03-01 15:14:00,IBRX
6.68,6.7,6.68,6.69,2959,2022-03-01 15:15:00,IBRX
6.69,6.69,6.6883,6.6883,250,2022-03-01 15:16:00,IBRX
6.7246,6.7246,6.7246,6.7246,100,2022-03-01 15:17:00,IBRX
6.73,6.73,6.72,6.72,865,2022-03-01 15:18:00,IBRX
6.7,6.7246,6.7,6.7246,400,2022-03-01 15:19:00,IBRX
6.73,6.73,6.73,6.73,400,2022-03-01 15:20:00,IBRX
6.75,6.76,6.75,6.76,11439,2022-03-01 15:22:00,IBRX
6.75,6.75,6.75,6.75,616,2022-03-01 15:23:00,IBRX
6.76,6.77,6.75,6.75,3330,2022-03-01 15:24:00,IBRX
6.755,6.755,6.725,6.725,1239,2022-03-01 15:25:00,IBRX
6.7126,6.7126,6.7126,6.7126,870,2022-03-01 15:27:00,IBRX
6.74,6.74,6.73,6.74,2028,2022-03-01 15:28:00,IBRX
6.74,6.7599,6.74,6.7599,900,2022-03-01 15:29:00,IBRX
6.75,6.76,6.7208,6.73,3916,2022-03-01 15:31:00,IBRX
6.75,6.77,6.75,6.75,3898,2022-03-01 15:32:00,IBRX
6.75,6.75,6.71,6.71,1258,2022-03-01 15:33:00,IBRX
6.7,6.71,6.69,6.7,1400,2022-03-01 15:34:00,IBRX
6.7,6.71,6.7,6.71,1500,2022-03-01 15:35:00,IBRX
6.701,6.701,6.701,6.701,100,2022-03-01 15:36:00,IBRX
6.7,6.71,6.7,6.7,1780,2022-03-01 15:37:00,IBRX
6.71,6.73,6.71,6.72,1652,2022-03-01 15:38:00,IBRX
6.72,6.72,6.71,6.71,600,2022-03-01 15:39:00,IBRX
