open,high,low,close,volume,datetime,symbol
26.85,26.85,26.85,26.85,100,2022-03-01 14:29:00,ROAD
26.9,26.91,26.58,26.845,9080,2022-03-01 14:30:00,ROAD
26.67,26.75,26.66,26.75,300,2022-03-01 14:33:00,ROAD
26.51,26.62,26.51,26.62,400,2022-03-01 14:34:00,ROAD
26.62,26.62,26.62,26.62,100,2022-03-01 14:35:00,ROAD
26.61,26.61,26.61,26.61,100,2022-03-01 14:36:00,ROAD
26.52,26.52,26.52,26.52,100,2022-03-01 14:37:00,ROAD
26.52,26.54,26.36,26.37,2000,2022-03-01 14:38:00,ROAD
26.41,26.45,26.39,26.45,1454,2022-03-01 14:39:00,ROAD
26.4,26.41,26.34,26.34,1275,2022-03-01 14:40:00,ROAD
26.34,26.34,26.22,26.26,841,2022-03-01 14:41:00,ROAD
26.21,26.21,26.21,26.21,100,2022-03-01 14:42:00,ROAD
26.1,26.16,26.07,26.16,1474,2022-03-01 14:43:00,ROAD
26.09,26.14,26.09,26.14,1223,2022-03-01 14:44:00,ROAD
26.07,26.11,26.06,26.06,500,2022-03-01 14:46:00,ROAD
26.06,26.18,26.06,26.16,1653,2022-03-01 14:47:00,ROAD
26.1402,26.15,26.11,26.12,804,2022-03-01 14:48:00,ROAD
26.16,26.18,26.11,26.18,1273,2022-03-01 14:49:00,ROAD
26.18,26.24,26.18,26.24,1118,2022-03-01 14:50:00,ROAD
26.2,26.225,26.15,26.15,550,2022-03-01 14:51:00,ROAD
26.01,26.01,25.83,25.89,2575,2022-03-01 14:52:00,ROAD
25.9,25.98,25.85,25.86,5246,2022-03-01 14:53:00,ROAD
25.85,25.98,25.84,25.895,643,2022-03-01 14:54:00,ROAD
25.93,25.94,25.9,25.93,600,2022-03-01 14:55:00,ROAD
25.82,25.86,25.79,25.86,1155,2022-03-01 14:57:00,ROAD
25.78,25.8,25.75,25.775,937,2022-03-01 14:58:00,ROAD
25.76,25.79,25.69,25.7,2365,2022-03-01 14:59:00,ROAD
25.725,25.86,25.725,25.86,1336,2022-03-01 15:00:00,ROAD
25.79,25.8,25.75,25.7525,1020,2022-03-01 15:02:00,ROAD
25.75,25.8,25.71,25.8,1465,2022-03-01 15:03:00,ROAD
25.86,25.86,25.86,25.86,372,2022-03-01 15:05:00,ROAD
25.865,25.95,25.865,25.95,300,2022-03-01 15:06:00,ROAD
25.95,25.96,25.94,25.94,600,2022-03-01 15:09:00,ROAD
25.94,25.969,25.84,25.86,1000,2022-03-01 15:10:00,ROAD
25.81,25.835,25.76,25.76,1435,2022-03-01 15:11:00,ROAD
25.765,25.765,25.765,25.765,100,2022-03-01 15:12:00,ROAD
25.8,25.86,25.8,25.86,1186,2022-03-01 15:14:00,ROAD
25.885,25.93,25.885,25.91,600,2022-03-01 15:15:00,ROAD
25.89,25.89,25.89,25.89,100,2022-03-01 15:16:00,ROAD
25.94,26.0,25.94,26.0,372,2022-03-01 15:18:00,ROAD
25.97,25.97,25.97,25.97,100,2022-03-01 15:19:00,ROAD
26.08,26.08,26.08,26.08,100,2022-03-01 15:21:00,ROAD
26.04,26.08,26.04,26.08,500,2022-03-01 15:22:00,ROAD
26.09,26.09,25.97,25.975,2308,2022-03-01 15:23:00,ROAD
26.0,26.0,25.9571,25.99,1049,2022-03-01 15:24:00,ROAD
25.98,25.98,25.98,25.98,100,2022-03-01 15:25:00,ROAD
25.98,25.98,25.98,25.98,200,2022-03-01 15:26:00,ROAD
25.96,25.97,25.96,25.97,200,2022-03-01 15:27:00,ROAD
25.95,26.0,25.82,26.0,20409,2022-03-01 15:29:00,ROAD
26.05,26.06,26.05,26.06,244,2022-03-01 15:30:00,ROAD
26.12,26.12,26.115,26.115,200,2022-03-01 15:32:00,ROAD
26.19,26.19,26.19,26.19,100,2022-03-01 15:33:00,ROAD
26.11,26.14,26.1,26.13,1324,2022-03-01 15:34:00,ROAD
26.12,26.12,26.02,26.02,1100,2022-03-01 15:36:00,ROAD
26.05,26.05,26.05,26.05,100,2022-03-01 15:37:00,ROAD
26.02,26.05,25.98,25.98,2412,2022-03-01 15:38:00,ROAD
25.975,25.975,25.94,25.96,1052,2022-03-01 15:39:00,ROAD
25.92,25.95,25.9,25.935,1400,2022-03-01 15:40:00,ROAD
25.98,25.98,25.9297,25.9297,700,2022-03-01 15:41:00,ROAD
