open,high,low,close,volume,datetime,symbol
5.18,5.18,5.16,5.16,2175,2022-03-01 12:00:00,VRM
5.16,5.16,5.16,5.16,344,2022-03-01 12:01:00,VRM
5.16,5.16,5.16,5.16,144,2022-03-01 12:02:00,VRM
5.19,5.2,5.18,5.19,1943,2022-03-01 12:04:00,VRM
5.2,5.2,5.2,5.2,200,2022-03-01 12:05:00,VRM
5.25,5.25,5.2,5.2,413,2022-03-01 12:06:00,VRM
5.2,5.2,5.2,5.2,2850,2022-03-01 12:10:00,VRM
5.19,5.19,5.18,5.18,350,2022-03-01 12:11:00,VRM
5.15,5.15,5.13,5.13,202,2022-03-01 12:13:00,VRM
5.2,5.2,5.2,5.2,100,2022-03-01 12:20:00,VRM
5.2,5.2,5.2,5.2,100,2022-03-01 12:21:00,VRM
5.21,5.21,5.21,5.21,340,2022-03-01 12:22:00,VRM
5.14,5.14,5.1,5.1,4265,2022-03-01 12:27:00,VRM
5.15,5.15,5.15,5.15,100,2022-03-01 12:30:00,VRM
5.18,5.18,5.18,5.18,200,2022-03-01 12:33:00,VRM
5.19,5.19,5.19,5.19,579,2022-03-01 12:36:00,VRM
5.17,5.17,5.17,5.17,100,2022-03-01 12:38:00,VRM
5.18,5.18,5.18,5.18,1000,2022-03-01 12:42:00,VRM
5.16,5.16,5.13,5.13,1599,2022-03-01 12:44:00,VRM
5.16,5.16,5.15,5.15,6053,2022-03-01 12:47:00,VRM
5.12,5.12,5.08,5.1,957,2022-03-01 12:49:00,VRM
5.14,5.14,5.14,5.14,100,2022-03-01 12:51:00,VRM
5.14,5.14,5.14,5.14,100,2022-03-01 12:52:00,VRM
5.11,5.13,5.11,5.13,2579,2022-03-01 12:53:00,VRM
5.15,5.15,5.15,5.15,100,2022-03-01 12:57:00,VRM
5.13,5.13,5.13,5.13,1534,2022-03-01 12:59:00,VRM
5.16,5.16,5.12,5.12,2698,2022-03-01 13:01:00,VRM
5.12,5.12,5.08,5.08,2772,2022-03-01 13:02:00,VRM
5.08,5.11,5.02,5.11,7311,2022-03-01 13:03:00,VRM
5.0999,5.0999,5.0,5.05,12336,2022-03-01 13:04:00,VRM
5.06,5.06,5.06,5.06,1825,2022-03-01 13:05:00,VRM
5.05,5.07,5.04,5.06,2781,2022-03-01 13:06:00,VRM
5.07,5.07,5.04,5.0499,1895,2022-03-01 13:07:00,VRM
5.03,5.0399,4.9,4.95,31458,2022-03-01 13:08:00,VRM
4.92,4.92,4.86,4.87,5181,2022-03-01 13:09:00,VRM
4.9,4.91,4.84,4.91,9433,2022-03-01 13:10:00,VRM
4.91,4.93,4.91,4.92,1664,2022-03-01 13:11:00,VRM
4.93,4.95,4.91,4.94,9331,2022-03-01 13:12:00,VRM
4.92,4.9388,4.86,4.9,8894,2022-03-01 13:13:00,VRM
4.9,4.9,4.87,4.89,20275,2022-03-01 13:14:00,VRM
4.9,4.9,4.83,4.83,13567,2022-03-01 13:15:00,VRM
4.8212,4.83,4.75,4.83,6840,2022-03-01 13:16:00,VRM
4.83,4.9,4.83,4.89,3259,2022-03-01 13:17:00,VRM
4.86,4.88,4.83,4.84,2188,2022-03-01 13:18:00,VRM
4.85,4.85,4.82,4.82,4051,2022-03-01 13:19:00,VRM
4.8688,4.91,4.83,4.83,4200,2022-03-01 13:20:00,VRM
4.85,4.8588,4.84,4.84,2794,2022-03-01 13:21:00,VRM
4.83,4.83,4.8,4.8,2950,2022-03-01 13:22:00,VRM
4.82,4.82,4.81,4.81,1451,2022-03-01 13:23:00,VRM
4.82,4.85,4.82,4.85,3331,2022-03-01 13:24:00,VRM
4.84,4.85,4.84,4.85,881,2022-03-01 13:25:00,VRM
4.84,4.85,4.84,4.85,2718,2022-03-01 13:26:00,VRM
4.85,4.8688,4.85,4.86,657,2022-03-01 13:27:00,VRM
4.87,4.88,4.87,4.88,2400,2022-03-01 13:28:00,VRM
4.88,4.89,4.88,4.88,3269,2022-03-01 13:29:00,VRM
4.87,4.89,4.87,4.89,1664,2022-03-01 13:30:00,VRM
4.89,4.9,4.89,4.9,1400,2022-03-01 13:31:00,VRM
4.88,4.9,4.88,4.9,1613,2022-03-01 13:32:00,VRM
4.91,4.93,4.91,4.92,2790,2022-03-01 13:33:00,VRM
4.91,4.93,4.9,4.93,3144,2022-03-01 13:34:00,VRM
4.92,4.92,4.87,4.91,7981,2022-03-01 13:35:00,VRM
4.9,4.93,4.89,4.93,4397,2022-03-01 13:36:00,VRM
4.93,4.98,4.91,4.93,1159,2022-03-01 13:37:00,VRM
4.95,4.95,4.93,4.93,3529,2022-03-01 13:38:00,VRM
4.93,4.93,4.93,4.93,2100,2022-03-01 13:39:00,VRM
4.91,4.91,4.91,4.91,200,2022-03-01 13:40:00,VRM
4.91,4.91,4.91,4.91,286,2022-03-01 13:41:00,VRM
4.9388,4.9388,4.9388,4.9388,128,2022-03-01 13:42:00,VRM
4.91,4.91,4.9,4.9,1357,2022-03-01 13:43:00,VRM
4.87,4.87,4.86,4.8601,1100,2022-03-01 13:45:00,VRM
4.86,4.86,4.86,4.86,200,2022-03-01 13:46:00,VRM
4.88,4.9,4.8612,4.8988,4295,2022-03-01 13:47:00,VRM
4.86,4.86,4.86,4.86,1990,2022-03-01 13:48:00,VRM
4.899,4.899,4.88,4.88,200,2022-03-01 13:49:00,VRM
4.8612,4.8988,4.8612,4.8988,260,2022-03-01 13:50:00,VRM
4.89,4.9,4.89,4.89,22100,2022-03-01 13:51:00,VRM
4.89,4.9,4.89,4.9,1135,2022-03-01 13:52:00,VRM
4.92,4.92,4.88,4.88,6211,2022-03-01 13:53:00,VRM
4.92,4.92,4.89,4.89,3591,2022-03-01 13:56:00,VRM
4.92,4.92,4.89,4.89,1968,2022-03-01 13:57:00,VRM
4.89,4.93,4.89,4.92,1603,2022-03-01 13:58:00,VRM
4.91,4.91,4.91,4.91,1156,2022-03-01 13:59:00,VRM
4.89,4.97,4.88,4.97,18771,2022-03-01 14:00:00,VRM
4.97,4.98,4.96,4.98,7027,2022-03-01 14:01:00,VRM
4.98,4.98,4.96,4.9601,5557,2022-03-01 14:02:00,VRM
4.9501,4.9501,4.9501,4.9501,100,2022-03-01 14:03:00,VRM
4.95,4.95,4.95,4.95,5000,2022-03-01 14:04:00,VRM
4.96,4.96,4.95,4.95,1610,2022-03-01 14:05:00,VRM
4.93,4.96,4.93,4.96,6000,2022-03-01 14:06:00,VRM
4.95,4.95,4.95,4.95,939,2022-03-01 14:07:00,VRM
4.93,4.96,4.93,4.96,1910,2022-03-01 14:08:00,VRM
4.94,4.94,4.94,4.94,100,2022-03-01 14:09:00,VRM
4.97,4.97,4.935,4.94,5104,2022-03-01 14:10:00,VRM
4.935,4.94,4.935,4.94,6558,2022-03-01 14:11:00,VRM
4.94,4.95,4.92,4.95,20097,2022-03-01 14:12:00,VRM
4.94,4.94,4.94,4.94,128,2022-03-01 14:13:00,VRM
4.95,4.95,4.92,4.95,10719,2022-03-01 14:15:00,VRM
4.93,4.95,4.92,4.92,9746,2022-03-01 14:16:00,VRM
4.92,4.92,4.92,4.92,700,2022-03-01 14:17:00,VRM
4.92,4.92,4.88,4.88,29522,2022-03-01 14:18:00,VRM
4.88,4.92,4.88,4.9,11837,2022-03-01 14:19:00,VRM
4.89,4.92,4.89,4.92,15899,2022-03-01 14:20:00,VRM
4.895,4.92,4.89,4.91,3988,2022-03-01 14:21:00,VRM
