open,high,low,close,volume,datetime,symbol
175.54,175.6,175.4,175.4,14352,2022-04-01 11:00:00,AAPL
175.41,175.41,175.41,175.41,2420,2022-04-01 11:01:00,AAPL
175.39,175.39,175.29,175.29,3791,2022-04-01 11:02:00,AAPL
175.25,175.25,175.16,175.16,6700,2022-04-01 11:03:00,AAPL
175.19,175.19,175.09,175.1,5228,2022-04-01 11:04:00,AAPL
175.09,175.09,175.05,175.09,2568,2022-04-01 11:05:00,AAPL
175.19,175.19,175.19,175.19,200,2022-04-01 11:06:00,AAPL
175.17,175.18,175.16,175.16,1361,2022-04-01 11:07:00,AAPL
175.11,175.15,175.11,175.11,958,2022-04-01 11:08:00,AAPL
175.11,175.11,175.11,175.11,393,2022-04-01 11:10:00,AAPL
175.06,175.09,175.04,175.09,1550,2022-04-01 11:12:00,AAPL
175.1,175.1,175.1,175.1,100,2022-04-01 11:13:00,AAPL
175.09,175.09,175.09,175.09,400,2022-04-01 11:14:00,AAPL
175.09,175.09,175.08,175.09,478,2022-04-01 11:15:00,AAPL
175.08,175.12,175.04,175.11,4088,2022-04-01 11:17:00,AAPL
175.15,175.16,175.15,175.16,2400,2022-04-01 11:18:00,AAPL
175.15,175.15,175.06,175.06,650,2022-04-01 11:19:00,AAPL
175.05,175.1,175.03,175.03,3909,2022-04-01 11:20:00,AAPL
175.02,175.02,175.0,175.0,24430,2022-04-01 11:21:00,AAPL
174.96,174.98,174.95,174.98,6060,2022-04-01 11:22:00,AAPL
174.99,175.04,174.99,175.03,2100,2022-04-01 11:23:00,AAPL
175.02,175.02,174.98,174.98,11587,2022-04-01 11:24:00,AAPL
174.98,174.99,174.98,174.99,300,2022-04-01 11:25:00,AAPL
175.0,175.0,174.99,174.99,3515,2022-04-01 11:26:00,AAPL
174.96,174.96,174.9,174.9,3500,2022-04-01 11:27:00,AAPL
174.9,174.9,174.9,174.9,755,2022-04-01 11:28:00,AAPL
174.88,174.88,174.8,174.8,2614,2022-04-01 11:29:00,AAPL
174.76,174.76,174.72,174.73,2627,2022-04-01 11:30:00,AAPL
174.75,174.82,174.69,174.74,5240,2022-04-01 11:31:00,AAPL
