open,high,low,close,volume,datetime,symbol
49.84,49.84,49.84,49.84,275,2022-04-04 13:30:00,RNEM
49.4,49.4,49.4,49.4,1800,2022-04-05 15:24:00,RNEM
49.295,49.295,49.295,49.295,279,2022-04-05 17:41:00,RNEM
49.29,49.29,49.29,49.29,1000,2022-04-05 19:38:00,RNEM
49.0059,49.0059,49.0059,49.0059,359,2022-04-06 14:44:00,RNEM
48.99,48.99,48.99,48.99,100,2022-04-06 17:27:00,RNEM
48.6601,48.6601,48.6601,48.6601,200,2022-04-07 19:33:00,RNEM
48.928,48.928,48.928,48.928,198,2022-04-08 19:04:00,RNEM
48.85,48.85,48.85,48.85,200,2022-04-11 18:08:00,RNEM
48.88,48.88,48.88,48.88,300,2022-04-11 18:57:00,RNEM
48.89,48.89,48.89,48.89,100,2022-04-11 19:10:00,RNEM
48.8,48.8,48.8,48.8,300,2022-04-11 19:32:00,RNEM
48.75,48.75,48.75,48.75,200,2022-04-11 19:49:00,RNEM
48.76,48.76,48.76,48.76,200,2022-04-11 19:54:00,RNEM
48.75,48.75,48.75,48.75,100,2022-04-11 19:59:00,RNEM
49.65,49.65,49.65,49.65,200,2022-04-12 13:29:00,RNEM
48.83,48.84,48.83,48.84,400,2022-04-12 13:32:00,RNEM
48.81,48.82,48.81,48.82,500,2022-04-12 13:34:00,RNEM
48.82,48.82,48.82,48.82,200,2022-04-12 13:35:00,RNEM
48.305,48.305,48.305,48.305,132,2022-04-12 19:09:00,RNEM
48.48,48.48,48.48,48.48,100,2022-04-13 13:34:00,RNEM
48.48,48.49,48.48,48.48,1300,2022-04-13 13:35:00,RNEM
48.53,48.53,48.53,48.53,700,2022-04-13 13:37:00,RNEM
48.5201,48.5201,48.5201,48.5201,173,2022-04-13 17:32:00,RNEM
48.68,48.68,48.6779,48.6779,207,2022-04-13 17:35:00,RNEM
48.565,48.565,48.565,48.565,115,2022-04-13 17:38:00,RNEM
48.67,48.67,48.67,48.67,115,2022-04-13 17:39:00,RNEM
48.4521,48.4521,48.4521,48.4521,100,2022-04-13 17:57:00,RNEM
48.01,48.01,48.01,48.01,100,2022-04-14 18:54:00,RNEM
47.72,47.72,47.72,47.72,200,2022-04-19 18:07:00,RNEM
47.69,47.7,47.69,47.7,300,2022-04-19 18:37:00,RNEM
47.71,47.72,47.71,47.72,400,2022-04-19 19:07:00,RNEM
47.78,47.94,47.78,47.94,400,2022-04-19 19:31:00,RNEM
47.81,47.94,47.81,47.94,400,2022-04-19 19:44:00,RNEM
47.84,47.84,47.84,47.84,300,2022-04-19 19:52:00,RNEM
47.8,47.8,47.8,47.8,300,2022-04-19 19:55:00,RNEM
47.82,47.82,47.82,47.82,200,2022-04-19 19:58:00,RNEM
47.84,47.84,47.84,47.84,400,2022-04-19 19:59:00,RNEM
48.0,48.0,48.0,48.0,200,2022-04-20 15:38:00,RNEM
48.03,48.03,48.03,48.03,100,2022-04-20 18:15:00,RNEM
47.81,47.81,47.81,47.81,150,2022-04-20 18:18:00,RNEM
47.62,47.63,47.62,47.63,1900,2022-04-21 19:45:00,RNEM
47.5,47.5,47.4,47.4,738,2022-04-22 14:55:00,RNEM
46.8,46.8,46.8,46.8,106,2022-04-25 13:31:00,RNEM
46.46,46.46,46.46,46.46,100,2022-04-26 19:15:00,RNEM
46.42,46.42,46.42,46.42,200,2022-04-26 19:43:00,RNEM
46.24,46.24,46.24,46.24,200,2022-04-26 20:00:00,RNEM
46.51,46.51,46.51,46.51,200,2022-04-27 13:39:00,RNEM
46.51,46.54,46.51,46.54,800,2022-04-27 13:40:00,RNEM
46.53,46.53,46.53,46.53,400,2022-04-27 13:41:00,RNEM
46.54,46.55,46.54,46.55,300,2022-04-27 13:43:00,RNEM
46.61,46.61,46.61,46.61,100,2022-04-27 13:45:00,RNEM
46.59,46.59,46.59,46.59,200,2022-04-27 13:46:00,RNEM
46.5,46.5,46.5,46.5,179,2022-04-27 16:01:00,RNEM
46.455,46.455,46.455,46.455,755,2022-04-27 16:11:00,RNEM
46.53,46.53,46.53,46.53,565,2022-04-27 16:21:00,RNEM
46.4806,46.4806,46.4806,46.4806,200,2022-04-27 16:32:00,RNEM
46.5664,46.5748,46.5664,46.5748,200,2022-04-27 19:10:00,RNEM
46.5948,46.5948,46.56,46.56,411,2022-04-27 19:11:00,RNEM
46.58,46.58,46.58,46.58,100,2022-04-28 15:12:00,RNEM
46.67,46.67,46.67,46.67,100,2022-04-28 16:22:00,RNEM
46.6941,46.6941,46.6941,46.6941,180,2022-04-28 17:25:00,RNEM
46.8382,46.8382,46.8382,46.8382,792,2022-04-28 17:56:00,RNEM
46.88,46.88,46.88,46.88,100,2022-04-28 18:13:00,RNEM
46.81,46.81,46.81,46.81,355,2022-04-28 18:19:00,RNEM
