open,high,low,close,volume,datetime,symbol
25.86,25.86,25.86,25.86,239,2022-05-23 13:04:00,ACIW
26.04,26.11,26.04,26.05,4668,2022-05-23 13:30:00,ACIW
25.91,26.0,25.91,26.0,943,2022-05-23 13:32:00,ACIW
26.02,26.02,26.02,26.02,200,2022-05-23 13:33:00,ACIW
25.95,26.11,25.95,26.11,900,2022-05-23 13:34:00,ACIW
26.12,26.12,26.06,26.09,2557,2022-05-23 13:35:00,ACIW
26.12,26.16,26.05,26.05,1050,2022-05-23 13:36:00,ACIW
26.01,26.01,25.97,25.97,607,2022-05-23 13:37:00,ACIW
25.95,25.95,25.93,25.93,522,2022-05-23 13:38:00,ACIW
25.92,26.0,25.92,26.0,400,2022-05-23 13:39:00,ACIW
25.98,26.065,25.98,26.065,825,2022-05-23 13:40:00,ACIW
26.11,26.11,26.07,26.095,900,2022-05-23 13:41:00,ACIW
25.97,26.0,25.97,26.0,500,2022-05-23 13:43:00,ACIW
26.0,26.05,26.0,26.0,400,2022-05-23 13:44:00,ACIW
26.03,26.04,25.99,26.04,1348,2022-05-23 13:45:00,ACIW
26.03,26.03,26.02,26.02,200,2022-05-23 13:46:00,ACIW
26.01,26.02,26.0,26.0,1214,2022-05-23 13:47:00,ACIW
26.01,26.01,25.96,25.96,600,2022-05-23 13:48:00,ACIW
25.95,25.95,25.95,25.95,100,2022-05-23 13:49:00,ACIW
25.97,25.99,25.97,25.99,405,2022-05-23 13:50:00,ACIW
26.0,26.0,26.0,26.0,1088,2022-05-23 13:52:00,ACIW
25.98,25.98,25.94,25.94,1100,2022-05-23 13:53:00,ACIW
25.91,25.91,25.89,25.89,300,2022-05-23 13:54:00,ACIW
25.88,25.92,25.88,25.92,400,2022-05-23 13:55:00,ACIW
25.932,25.932,25.932,25.932,236,2022-05-23 13:56:00,ACIW
25.9,25.935,25.9,25.935,1437,2022-05-23 13:57:00,ACIW
25.92,25.94,25.92,25.94,300,2022-05-23 13:58:00,ACIW
25.91,25.94,25.91,25.94,808,2022-05-23 13:59:00,ACIW
25.87,25.88,25.86,25.88,600,2022-05-23 14:00:00,ACIW
25.82,25.82,25.82,25.82,100,2022-05-23 14:02:00,ACIW
25.8,25.86,25.8,25.86,800,2022-05-23 14:03:00,ACIW
25.855,25.855,25.855,25.855,148,2022-05-23 14:04:00,ACIW
25.87,25.88,25.86,25.88,500,2022-05-23 14:05:00,ACIW
25.86,25.88,25.86,25.88,200,2022-05-23 14:06:00,ACIW
25.85,25.85,25.85,25.85,100,2022-05-23 14:07:00,ACIW
25.83,25.83,25.82,25.82,200,2022-05-23 14:08:00,ACIW
25.83,25.83,25.83,25.83,300,2022-05-23 14:09:00,ACIW
25.85,25.86,25.85,25.86,400,2022-05-23 14:10:00,ACIW
25.83,25.87,25.83,25.87,500,2022-05-23 14:11:00,ACIW
25.92,25.94,25.92,25.94,500,2022-05-23 14:12:00,ACIW
25.93,25.95,25.93,25.94,531,2022-05-23 14:13:00,ACIW
25.92,25.92,25.92,25.92,200,2022-05-23 14:14:00,ACIW
25.92,25.96,25.92,25.96,211,2022-05-23 14:15:00,ACIW
25.99,26.0,25.98,26.0,1200,2022-05-23 14:17:00,ACIW
25.97,25.97,25.97,25.97,148,2022-05-23 14:18:00,ACIW
25.98,25.99,25.98,25.99,420,2022-05-23 14:19:00,ACIW
25.96,25.96,25.96,25.96,233,2022-05-23 14:20:00,ACIW
25.95,25.98,25.95,25.96,500,2022-05-23 14:22:00,ACIW
25.97,25.97,25.97,25.97,245,2022-05-23 14:23:00,ACIW
25.94,25.94,25.93,25.93,340,2022-05-23 14:25:00,ACIW
25.95,26.01,25.95,26.01,700,2022-05-23 14:26:00,ACIW
25.98,25.98,25.92,25.93,1470,2022-05-23 14:27:00,ACIW
25.93,25.96,25.93,25.93,700,2022-05-23 14:28:00,ACIW
25.96,26.04,25.96,26.04,1550,2022-05-23 14:29:00,ACIW
26.05,26.05,26.02,26.03,700,2022-05-23 14:30:00,ACIW
26.03,26.05,26.0,26.0,1393,2022-05-23 14:31:00,ACIW
26.01,26.02,26.01,26.02,450,2022-05-23 14:32:00,ACIW
26.0158,26.04,26.0158,26.03,500,2022-05-23 14:33:00,ACIW
26.0,26.0,26.0,26.0,300,2022-05-23 14:35:00,ACIW
26.0,26.01,26.0,26.005,1480,2022-05-23 14:36:00,ACIW
25.98,25.99,25.975,25.99,700,2022-05-23 14:37:00,ACIW
26.0,26.04,26.0,26.04,868,2022-05-23 14:38:00,ACIW
26.013,26.1,26.013,26.09,600,2022-05-23 14:40:00,ACIW
26.09,26.09,26.07,26.07,2200,2022-05-23 14:41:00,ACIW
26.08,26.08,26.05,26.07,885,2022-05-23 14:42:00,ACIW
26.07,26.07,26.03,26.05,2188,2022-05-23 14:44:00,ACIW
26.05,26.09,26.05,26.085,1070,2022-05-23 14:45:00,ACIW
26.085,26.085,26.07,26.07,400,2022-05-23 14:46:00,ACIW
26.01,26.07,26.0,26.055,2000,2022-05-23 14:47:00,ACIW
26.08,26.08,26.08,26.08,300,2022-05-23 14:48:00,ACIW
26.075,26.075,26.02,26.02,300,2022-05-23 14:49:00,ACIW
26.01,26.01,26.01,26.01,400,2022-05-23 14:50:00,ACIW
25.99,25.99,25.99,25.99,300,2022-05-23 14:51:00,ACIW
26.0,26.0075,25.98,25.98,600,2022-05-23 14:52:00,ACIW
25.95,26.01,25.95,26.01,500,2022-05-23 14:53:00,ACIW
26.03,26.05,26.03,26.05,700,2022-05-23 14:56:00,ACIW
26.03,26.03,26.02,26.02,200,2022-05-23 14:57:00,ACIW
26.04,26.07,26.04,26.05,900,2022-05-23 14:58:00,ACIW
26.005,26.02,26.005,26.02,300,2022-05-23 14:59:00,ACIW
26.02,26.04,26.02,26.04,609,2022-05-23 15:00:00,ACIW
26.03,26.05,26.03,26.05,500,2022-05-23 15:01:00,ACIW
26.04,26.04,26.04,26.04,100,2022-05-23 15:02:00,ACIW
26.04,26.08,26.04,26.07,600,2022-05-23 15:03:00,ACIW
26.07,26.1,26.07,26.08,300,2022-05-23 15:04:00,ACIW
26.09,26.09,26.09,26.09,100,2022-05-23 15:05:00,ACIW
26.12,26.18,26.12,26.15,3781,2022-05-23 15:06:00,ACIW
26.141,26.141,26.14,26.14,300,2022-05-23 15:07:00,ACIW
26.13,26.13,26.11,26.11,300,2022-05-23 15:08:00,ACIW
26.0959,26.12,26.0959,26.12,447,2022-05-23 15:10:00,ACIW
26.093,26.13,26.093,26.12,1000,2022-05-23 15:11:00,ACIW
26.145,26.145,26.145,26.145,100,2022-05-23 15:12:00,ACIW
26.15,26.18,26.15,26.15,500,2022-05-23 15:13:00,ACIW
26.16,26.21,26.16,26.21,400,2022-05-23 15:14:00,ACIW
26.23,26.26,26.23,26.25,530,2022-05-23 15:16:00,ACIW
26.25,26.27,26.24,26.27,600,2022-05-23 15:17:00,ACIW
26.28,26.28,26.28,26.28,200,2022-05-23 15:18:00,ACIW
26.27,26.27,26.24,26.24,200,2022-05-23 15:19:00,ACIW
26.24,26.24,26.24,26.24,200,2022-05-23 15:20:00,ACIW
26.22,26.22,26.22,26.22,600,2022-05-23 15:21:00,ACIW
26.21,26.22,26.21,26.22,300,2022-05-23 15:22:00,ACIW
26.22,26.22,26.2,26.2,200,2022-05-23 15:23:00,ACIW
26.2,26.2,26.2,26.2,100,2022-05-23 15:24:00,ACIW
