open,high,low,close,volume,datetime,symbol
5.25,5.25,5.25,5.25,600,2022-05-23 13:03:00,AXTI
5.21,5.21,5.2,5.2,2152,2022-05-23 13:30:00,AXTI
5.24,5.26,5.24,5.26,300,2022-05-23 13:33:00,AXTI
5.25,5.27,5.24,5.24,1300,2022-05-23 13:34:00,AXTI
5.25,5.25,5.25,5.25,200,2022-05-23 13:35:00,AXTI
5.26,5.26,5.26,5.26,360,2022-05-23 13:36:00,AXTI
5.2529,5.2529,5.25,5.25,1000,2022-05-23 13:37:00,AXTI
5.25,5.25,5.25,5.25,400,2022-05-23 13:38:00,AXTI
5.25,5.25,5.24,5.24,800,2022-05-23 13:40:00,AXTI
5.25,5.28,5.25,5.27,1097,2022-05-23 13:41:00,AXTI
5.3,5.3,5.28,5.28,500,2022-05-23 13:42:00,AXTI
5.28,5.3,5.28,5.3,300,2022-05-23 13:43:00,AXTI
5.3,5.3,5.29,5.29,9836,2022-05-23 13:44:00,AXTI
5.28,5.28,5.23,5.245,774,2022-05-23 13:45:00,AXTI
5.21,5.21,5.21,5.21,100,2022-05-23 13:46:00,AXTI
5.24,5.24,5.24,5.24,975,2022-05-23 13:48:00,AXTI
5.24,5.2476,5.24,5.24,3440,2022-05-23 13:49:00,AXTI
5.24,5.24,5.24,5.24,1984,2022-05-23 13:50:00,AXTI
5.2311,5.2311,5.23,5.23,1700,2022-05-23 13:51:00,AXTI
5.23,5.23,5.23,5.23,390,2022-05-23 13:53:00,AXTI
5.2203,5.2203,5.2203,5.2203,200,2022-05-23 13:54:00,AXTI
5.2028,5.2028,5.2028,5.2028,2000,2022-05-23 13:55:00,AXTI
5.19,5.19,5.19,5.19,200,2022-05-23 13:57:00,AXTI
5.16,5.16,5.15,5.1501,300,2022-05-23 13:58:00,AXTI
5.15,5.15,5.15,5.15,200,2022-05-23 14:01:00,AXTI
5.14,5.14,5.14,5.14,200,2022-05-23 14:04:00,AXTI
5.16,5.16,5.16,5.16,100,2022-05-23 14:06:00,AXTI
5.16,5.16,5.16,5.16,392,2022-05-23 14:07:00,AXTI
5.13,5.13,5.13,5.13,390,2022-05-23 14:08:00,AXTI
5.1399,5.15,5.1399,5.15,1200,2022-05-23 14:09:00,AXTI
5.16,5.16,5.16,5.16,100,2022-05-23 14:11:00,AXTI
5.1516,5.1516,5.1516,5.1516,300,2022-05-23 14:12:00,AXTI
5.1864,5.1864,5.1864,5.1864,600,2022-05-23 14:14:00,AXTI
5.18,5.18,5.18,5.18,200,2022-05-23 14:15:00,AXTI
5.1701,5.18,5.1701,5.18,4900,2022-05-23 14:16:00,AXTI
5.17,5.17,5.17,5.17,200,2022-05-23 14:17:00,AXTI
5.15,5.15,5.15,5.15,100,2022-05-23 14:19:00,AXTI
5.18,5.18,5.18,5.18,100,2022-05-23 14:22:00,AXTI
5.17,5.17,5.17,5.17,300,2022-05-23 14:23:00,AXTI
5.17,5.18,5.16,5.18,582,2022-05-23 14:26:00,AXTI
5.15,5.15,5.13,5.13,824,2022-05-23 14:27:00,AXTI
5.15,5.16,5.14,5.15,996,2022-05-23 14:29:00,AXTI
5.16,5.16,5.16,5.16,200,2022-05-23 14:30:00,AXTI
5.15,5.18,5.15,5.18,300,2022-05-23 14:32:00,AXTI
5.18,5.18,5.18,5.18,100,2022-05-23 14:34:00,AXTI
5.19,5.19,5.19,5.19,100,2022-05-23 14:37:00,AXTI
5.18,5.18,5.17,5.18,1300,2022-05-23 14:40:00,AXTI
5.16,5.16,5.16,5.16,100,2022-05-23 14:44:00,AXTI
5.17,5.18,5.16,5.16,1000,2022-05-23 14:45:00,AXTI
5.15,5.16,5.15,5.16,657,2022-05-23 14:47:00,AXTI
5.16,5.16,5.15,5.15,200,2022-05-23 14:48:00,AXTI
5.14,5.15,5.14,5.15,2400,2022-05-23 14:52:00,AXTI
5.15,5.15,5.15,5.15,100,2022-05-23 14:53:00,AXTI
5.1615,5.1615,5.1615,5.1615,200,2022-05-23 14:55:00,AXTI
5.17,5.17,5.17,5.17,200,2022-05-23 14:58:00,AXTI
5.17,5.17,5.17,5.17,100,2022-05-23 14:59:00,AXTI
5.18,5.185,5.17,5.185,3335,2022-05-23 15:01:00,AXTI
5.18,5.18,5.18,5.18,100,2022-05-23 15:04:00,AXTI
5.19,5.19,5.19,5.19,100,2022-05-23 15:06:00,AXTI
5.18,5.18,5.18,5.18,300,2022-05-23 15:07:00,AXTI
5.1538,5.1538,5.1538,5.1538,202,2022-05-23 15:11:00,AXTI
5.18,5.18,5.18,5.18,300,2022-05-23 15:15:00,AXTI
5.18,5.18,5.18,5.18,100,2022-05-23 15:16:00,AXTI
5.17,5.17,5.17,5.17,163,2022-05-23 15:19:00,AXTI
5.18,5.18,5.18,5.18,100,2022-05-23 15:21:00,AXTI
5.19,5.19,5.19,5.19,200,2022-05-23 15:28:00,AXTI
