open,high,low,close,volume,datetime,symbol
21.94,21.94,21.94,21.94,600,2022-06-01 13:30:00,BPYPP
22.16,22.16,22.16,22.16,100,2022-06-01 14:00:00,BPYPP
22.12,22.13,22.12,22.13,200,2022-06-01 14:27:00,BPYPP
21.99,21.99,21.99,21.99,101,2022-06-01 15:30:00,BPYPP
21.99,21.99,21.99,21.99,100,2022-06-01 15:34:00,BPYPP
21.9218,21.9218,21.9218,21.9218,150,2022-06-01 15:38:00,BPYPP
22.08,22.1,22.08,22.1,800,2022-06-01 15:43:00,BPYPP
22.11,22.11,22.11,22.11,300,2022-06-01 15:54:00,BPYPP
22.11,22.11,22.11,22.11,500,2022-06-01 15:55:00,BPYPP
22.11,22.11,22.11,22.11,200,2022-06-01 15:56:00,BPYPP
22.0822,22.0822,22.0822,22.0822,100,2022-06-01 15:59:00,BPYPP
22.15,22.15,22.15,22.15,1000,2022-06-01 16:16:00,BPYPP
22.0759,22.0759,22.0759,22.0759,203,2022-06-01 16:20:00,BPYPP
22.055,22.055,22.055,22.055,2000,2022-06-01 16:35:00,BPYPP
22.115,22.115,22.115,22.115,399,2022-06-01 17:00:00,BPYPP
22.1045,22.1045,22.1045,22.1045,3000,2022-06-01 18:07:00,BPYPP
22.135,22.15,22.135,22.15,400,2022-06-01 18:21:00,BPYPP
22.19,22.33,22.19,22.25,667,2022-06-01 18:27:00,BPYPP
22.17,22.17,22.15,22.15,300,2022-06-01 18:44:00,BPYPP
22.1282,22.1282,22.1282,22.1282,1000,2022-06-01 18:48:00,BPYPP
22.21,22.21,22.21,22.21,200,2022-06-01 19:59:00,BPYPP
22.15,22.15,22.15,22.15,354,2022-06-01 20:00:00,BPYPP
22.4464,22.4464,22.22,22.22,600,2022-06-02 14:03:00,BPYPP
22.2,22.2,22.2,22.2,100,2022-06-02 14:30:00,BPYPP
22.22,22.22,22.22,22.22,200,2022-06-02 14:38:00,BPYPP
22.25,22.25,22.25,22.25,400,2022-06-02 14:46:00,BPYPP
22.22,22.22,22.21,22.21,276,2022-06-02 14:48:00,BPYPP
22.2,22.2,22.2,22.2,222,2022-06-02 14:50:00,BPYPP
22.04,22.04,22.04,22.04,100,2022-06-02 14:57:00,BPYPP
22.11,22.2,22.04,22.2,2600,2022-06-02 15:00:00,BPYPP
22.19,22.19,22.19,22.19,100,2022-06-02 15:19:00,BPYPP
22.18,22.18,22.18,22.18,100,2022-06-02 15:20:00,BPYPP
22.15,22.15,22.15,22.15,122,2022-06-02 15:25:00,BPYPP
22.15,22.15,22.15,22.15,300,2022-06-02 15:26:00,BPYPP
22.13,22.15,22.13,22.15,500,2022-06-02 15:45:00,BPYPP
22.21,22.21,22.21,22.21,241,2022-06-02 16:21:00,BPYPP
22.2,22.2,22.2,22.2,1000,2022-06-02 16:58:00,BPYPP
22.2399,22.2399,22.2399,22.2399,300,2022-06-02 17:17:00,BPYPP
22.2399,22.2399,22.2399,22.2399,500,2022-06-02 17:30:00,BPYPP
22.01,22.05,22.01,22.05,450,2022-06-02 17:59:00,BPYPP
22.07,22.07,22.07,22.07,100,2022-06-02 18:27:00,BPYPP
22.04,22.15,22.04,22.15,600,2022-06-02 18:28:00,BPYPP
22.1,22.1,22.1,22.1,200,2022-06-02 18:29:00,BPYPP
22.1,22.1,22.1,22.1,100,2022-06-02 18:30:00,BPYPP
22.1,22.1,22.1,22.1,1300,2022-06-02 18:31:00,BPYPP
22.1,22.1,22.1,22.1,100,2022-06-02 19:18:00,BPYPP
22.1506,22.1506,22.1506,22.1506,178,2022-06-02 19:20:00,BPYPP
22.15,22.15,22.15,22.15,148,2022-06-02 19:41:00,BPYPP
22.035,22.035,22.035,22.035,1000,2022-06-03 14:10:00,BPYPP
21.855,22.0,21.855,22.0,800,2022-06-03 14:13:00,BPYPP
22.07,22.07,22.07,22.07,600,2022-06-03 14:31:00,BPYPP
22.0,22.0,22.0,22.0,200,2022-06-03 14:49:00,BPYPP
22.12,22.12,22.12,22.12,400,2022-06-03 15:33:00,BPYPP
22.14,22.16,22.13,22.16,4081,2022-06-03 15:34:00,BPYPP
22.185,22.185,22.185,22.185,200,2022-06-03 16:32:00,BPYPP
22.185,22.185,22.185,22.185,125,2022-06-03 16:51:00,BPYPP
21.936,21.936,21.88,21.88,300,2022-06-03 17:18:00,BPYPP
22.2,22.2,22.11,22.11,400,2022-06-03 17:20:00,BPYPP
22.16,22.16,22.16,22.16,400,2022-06-03 17:46:00,BPYPP
22.16,22.16,22.02,22.02,800,2022-06-03 18:07:00,BPYPP
22.2187,22.2187,22.2187,22.2187,100,2022-06-03 19:19:00,BPYPP
22.21,22.21,22.16,22.16,1250,2022-06-03 19:34:00,BPYPP
22.13,22.16,22.13,22.16,200,2022-06-03 19:35:00,BPYPP
22.16,22.16,22.11,22.11,1000,2022-06-03 19:36:00,BPYPP
22.1,22.1,22.1,22.1,441,2022-06-03 19:37:00,BPYPP
22.1999,22.1999,22.1999,22.1999,350,2022-06-06 14:06:00,BPYPP
22.065,22.065,22.065,22.065,270,2022-06-06 15:31:00,BPYPP
22.05,22.05,22.05,22.05,232,2022-06-06 19:05:00,BPYPP
21.98,21.98,21.98,21.98,300,2022-06-07 13:45:00,BPYPP
22.03,22.03,22.0,22.0,1370,2022-06-07 13:51:00,BPYPP
22.0,22.0,22.0,22.0,400,2022-06-07 13:52:00,BPYPP
22.01,22.01,22.0,22.0,300,2022-06-07 13:54:00,BPYPP
22.0,22.0,22.0,22.0,100,2022-06-07 13:57:00,BPYPP
21.93,21.93,21.93,21.93,100,2022-06-07 15:19:00,BPYPP
21.87,21.87,21.87,21.87,100,2022-06-07 16:18:00,BPYPP
21.8919,21.8919,21.8919,21.8919,250,2022-06-07 16:51:00,BPYPP
21.95,21.95,21.95,21.95,100,2022-06-07 17:10:00,BPYPP
22.04,22.04,22.03,22.03,600,2022-06-07 18:24:00,BPYPP
22.15,22.15,22.15,22.15,131,2022-06-07 19:28:00,BPYPP
22.06,22.06,22.0,22.0,1570,2022-06-07 19:33:00,BPYPP
22.05,22.05,22.05,22.05,106,2022-06-07 20:00:00,BPYPP
21.94,21.94,21.94,21.94,200,2022-06-08 13:30:00,BPYPP
21.8951,21.8951,21.8951,21.8951,100,2022-06-08 13:35:00,BPYPP
22.0,22.0,21.9999,22.0,704,2022-06-08 14:36:00,BPYPP
21.881,21.881,21.881,21.881,500,2022-06-08 15:46:00,BPYPP
22.0,22.05,21.93,22.05,4891,2022-06-08 16:01:00,BPYPP
22.02,22.02,21.94,21.94,200,2022-06-08 16:02:00,BPYPP
21.92,21.92,21.92,21.92,100,2022-06-08 16:21:00,BPYPP
21.99,21.99,21.91,21.91,200,2022-06-08 16:23:00,BPYPP
21.98,21.99,21.9354,21.9354,4935,2022-06-08 18:11:00,BPYPP
21.91,21.91,21.87,21.87,200,2022-06-08 18:12:00,BPYPP
21.95,21.95,21.95,21.95,100,2022-06-08 19:53:00,BPYPP
21.94,21.98,21.94,21.95,1010,2022-06-08 19:56:00,BPYPP
21.85,21.85,21.85,21.85,107,2022-06-08 20:00:00,BPYPP
21.6801,21.835,21.6801,21.835,800,2022-06-09 15:46:00,BPYPP
21.7,21.7,21.7,21.7,100,2022-06-09 17:15:00,BPYPP
21.69,21.69,21.69,21.69,100,2022-06-09 17:17:00,BPYPP
21.78,21.78,21.7,21.78,600,2022-06-09 17:40:00,BPYPP
21.78,21.78,21.78,21.78,100,2022-06-09 18:00:00,BPYPP
21.78,21.78,21.78,21.78,100,2022-06-09 18:03:00,BPYPP
21.78,21.78,21.69,21.78,500,2022-06-09 18:14:00,BPYPP
21.78,21.78,21.7,21.7,600,2022-06-09 18:26:00,BPYPP
21.78,21.78,21.68,21.78,1678,2022-06-09 19:03:00,BPYPP
21.63,21.63,21.5,21.52,1450,2022-06-09 19:26:00,BPYPP
21.58,21.58,21.44,21.58,942,2022-06-09 19:59:00,BPYPP
21.5,21.5,21.5,21.5,235,2022-06-10 13:30:00,BPYPP
21.44,21.44,21.44,21.44,160,2022-06-10 13:41:00,BPYPP
21.28,21.28,21.28,21.28,246,2022-06-10 14:24:00,BPYPP
21.06,21.06,21.06,21.06,200,2022-06-10 15:47:00,BPYPP
21.06,21.14,21.06,21.1,1392,2022-06-10 15:48:00,BPYPP
21.05,21.05,21.05,21.05,300,2022-06-10 15:55:00,BPYPP
21.115,21.13,21.115,21.13,1600,2022-06-10 16:22:00,BPYPP
21.18,21.18,21.18,21.18,156,2022-06-10 16:23:00,BPYPP
21.1226,21.155,21.1226,21.155,300,2022-06-10 16:47:00,BPYPP
21.0728,21.1289,21.0728,21.1289,500,2022-06-10 16:48:00,BPYPP
21.0769,21.0769,21.0769,21.0769,200,2022-06-10 16:49:00,BPYPP
21.16,21.25,21.16,21.25,2915,2022-06-10 17:30:00,BPYPP
21.25,21.25,21.08,21.25,1968,2022-06-10 17:31:00,BPYPP
21.25,21.25,21.25,21.25,100,2022-06-10 18:32:00,BPYPP
21.23,21.23,21.23,21.23,473,2022-06-10 20:00:00,BPYPP
21.0,21.0,21.0,21.0,305,2022-06-13 13:30:00,BPYPP
20.965,20.965,20.69,20.6901,2078,2022-06-13 13:41:00,BPYPP
20.6477,20.6477,20.6477,20.6477,298,2022-06-13 13:46:00,BPYPP
20.82,20.82,20.82,20.82,100,2022-06-13 14:09:00,BPYPP
20.57,20.57,20.57,20.57,100,2022-06-13 14:29:00,BPYPP
20.8796,20.8796,20.8796,20.8796,200,2022-06-13 14:31:00,BPYPP
20.78,20.78,20.78,20.78,100,2022-06-13 14:35:00,BPYPP
20.7424,20.7424,20.7424,20.7424,235,2022-06-13 15:02:00,BPYPP
20.74,20.74,20.74,20.74,100,2022-06-13 15:25:00,BPYPP
20.85,20.85,20.85,20.85,500,2022-06-13 15:51:00,BPYPP
20.85,20.85,20.85,20.85,200,2022-06-13 15:52:00,BPYPP
20.9,20.9,20.9,20.9,400,2022-06-13 16:14:00,BPYPP
20.9,20.9,20.9,20.9,800,2022-06-13 16:28:00,BPYPP
20.9,20.9,20.9,20.9,300,2022-06-13 16:29:00,BPYPP
20.75,20.75,20.75,20.75,100,2022-06-13 16:49:00,BPYPP
20.9358,20.9358,20.9358,20.9358,100,2022-06-13 17:50:00,BPYPP
20.9,20.9,20.9,20.9,500,2022-06-13 18:05:00,BPYPP
20.9,20.9,20.855,20.855,200,2022-06-13 18:18:00,BPYPP
20.855,20.855,20.855,20.855,292,2022-06-13 18:28:00,BPYPP
20.86,20.86,20.85,20.85,200,2022-06-13 18:34:00,BPYPP
20.7501,20.7501,20.75,20.7501,1550,2022-06-13 18:58:00,BPYPP
20.5921,20.5921,20.5921,20.5921,964,2022-06-13 19:20:00,BPYPP
20.51,20.5101,20.5,20.5101,862,2022-06-13 19:24:00,BPYPP
20.5,20.5,20.5,20.5,203,2022-06-13 19:28:00,BPYPP
20.6,20.6,20.6,20.6,900,2022-06-13 19:38:00,BPYPP
20.63,20.7,20.63,20.7,200,2022-06-13 19:51:00,BPYPP
20.7,20.8,20.6,20.6,1000,2022-06-13 19:52:00,BPYPP
20.81,20.81,20.81,20.81,190,2022-06-13 20:00:00,BPYPP
20.8,20.8,20.8,20.8,200,2022-06-14 13:51:00,BPYPP
20.8,20.8,20.8,20.8,725,2022-06-14 13:52:00,BPYPP
20.81,20.87,20.81,20.87,200,2022-06-14 13:55:00,BPYPP
20.82,20.82,20.82,20.82,200,2022-06-14 13:57:00,BPYPP
20.82,20.82,20.82,20.82,100,2022-06-14 14:39:00,BPYPP
20.855,20.855,20.855,20.855,100,2022-06-14 14:47:00,BPYPP
20.86,20.86,20.86,20.86,100,2022-06-14 15:10:00,BPYPP
20.9,20.9,20.8925,20.895,600,2022-06-14 15:15:00,BPYPP
20.89,20.89,20.89,20.89,100,2022-06-14 15:28:00,BPYPP
20.895,20.895,20.895,20.895,100,2022-06-14 15:32:00,BPYPP
20.9,20.9,20.9,20.9,500,2022-06-14 15:45:00,BPYPP
20.86,20.86,20.86,20.86,100,2022-06-14 15:49:00,BPYPP
20.92,21.14,20.9189,20.96,3090,2022-06-14 16:02:00,BPYPP
20.9,20.9,20.9,20.9,100,2022-06-14 16:09:00,BPYPP
20.885,20.885,20.885,20.885,100,2022-06-14 16:14:00,BPYPP
20.89,20.89,20.89,20.89,100,2022-06-14 16:20:00,BPYPP
20.9,20.9,20.9,20.9,600,2022-06-14 16:23:00,BPYPP
20.9,20.91,20.9,20.91,200,2022-06-14 16:24:00,BPYPP
20.86,20.86,20.86,20.86,100,2022-06-14 16:25:00,BPYPP
20.91,20.91,20.91,20.91,100,2022-06-14 16:36:00,BPYPP
20.91,20.91,20.91,20.91,100,2022-06-14 16:42:00,BPYPP
20.91,20.91,20.91,20.91,100,2022-06-14 16:53:00,BPYPP
20.96,20.96,20.96,20.96,484,2022-06-14 17:03:00,BPYPP
20.94,20.94,20.94,20.94,100,2022-06-14 17:33:00,BPYPP
20.9857,20.9857,20.9857,20.9857,459,2022-06-14 18:03:00,BPYPP
20.87,20.87,20.82,20.83,1400,2022-06-14 18:21:00,BPYPP
20.83,20.83,20.83,20.83,1000,2022-06-14 18:26:00,BPYPP
20.8,20.8,20.8,20.8,100,2022-06-14 18:32:00,BPYPP
20.68,20.68,20.68,20.68,100,2022-06-14 19:14:00,BPYPP
20.7401,20.7401,20.7401,20.7401,300,2022-06-14 19:41:00,BPYPP
21.0,21.0,20.98,20.98,800,2022-06-15 17:21:00,BPYPP
20.94,20.94,20.86,20.86,500,2022-06-15 17:22:00,BPYPP
20.9,20.9,20.9,20.9,1000,2022-06-15 18:14:00,BPYPP
20.97,20.97,20.97,20.97,100,2022-06-15 18:41:00,BPYPP
21.06,21.06,21.06,21.06,222,2022-06-15 19:50:00,BPYPP
21.07,21.07,21.07,21.07,127,2022-06-15 20:00:00,BPYPP
20.05,20.05,20.05,20.05,2100,2022-06-16 13:30:00,BPYPP
20.7101,20.7101,20.7101,20.7101,1000,2022-06-16 13:38:00,BPYPP
20.71,20.71,20.65,20.65,200,2022-06-16 13:46:00,BPYPP
20.725,20.725,20.725,20.725,100,2022-06-16 16:20:00,BPYPP
20.6,20.6,20.6,20.6,276,2022-06-16 16:25:00,BPYPP
20.53,20.53,20.51,20.51,200,2022-06-16 16:26:00,BPYPP
20.8,20.8,20.8,20.8,700,2022-06-16 16:28:00,BPYPP
20.73,20.73,20.73,20.73,800,2022-06-16 18:18:00,BPYPP
20.68,20.68,20.68,20.68,300,2022-06-16 19:15:00,BPYPP
20.6234,20.6234,20.6234,20.6234,679,2022-06-16 19:16:00,BPYPP
20.5679,20.5679,20.5679,20.5679,211,2022-06-16 19:29:00,BPYPP
20.83,20.83,20.83,20.83,100,2022-06-16 19:57:00,BPYPP
20.99,20.99,20.99,20.99,100,2022-06-17 13:50:00,BPYPP
20.99,20.99,20.99,20.99,2199,2022-06-17 13:51:00,BPYPP
20.99,20.99,20.99,20.99,100,2022-06-17 14:42:00,BPYPP
21.0,21.0,20.99,20.99,500,2022-06-17 15:02:00,BPYPP
20.795,20.795,20.795,20.795,200,2022-06-17 15:08:00,BPYPP
20.6175,20.6175,20.6175,20.6175,1000,2022-06-17 15:09:00,BPYPP
20.8906,20.8906,20.8906,20.8906,200,2022-06-17 16:28:00,BPYPP
20.8,20.8,20.8,20.8,100,2022-06-17 16:42:00,BPYPP
20.75,20.8,20.745,20.8,1211,2022-06-17 17:19:00,BPYPP
20.94,20.94,20.94,20.94,179,2022-06-17 19:57:00,BPYPP
20.95,20.95,20.95,20.95,104,2022-06-17 20:00:00,BPYPP
20.8001,20.8001,20.8001,20.8001,2059,2022-06-21 13:55:00,BPYPP
21.0,21.0,21.0,21.0,966,2022-06-21 14:59:00,BPYPP
21.075,21.105,21.075,21.105,1000,2022-06-21 15:43:00,BPYPP
21.25,21.25,21.25,21.25,100,2022-06-21 18:02:00,BPYPP
21.2,21.2,21.09,21.09,2648,2022-06-21 18:14:00,BPYPP
20.86,20.86,20.86,20.86,100,2022-06-21 18:27:00,BPYPP
21.2099,21.2099,21.2099,21.2099,400,2022-06-21 18:35:00,BPYPP
21.03,21.03,21.03,21.03,200,2022-06-21 18:40:00,BPYPP
20.85,20.85,20.85,20.85,764,2022-06-21 18:48:00,BPYPP
20.85,20.85,20.85,20.85,521,2022-06-21 18:51:00,BPYPP
20.85,20.85,20.85,20.85,100,2022-06-21 18:52:00,BPYPP
20.85,20.85,20.85,20.85,615,2022-06-21 18:53:00,BPYPP
20.82,20.82,20.81,20.82,400,2022-06-21 18:54:00,BPYPP
20.79,20.79,20.7,20.7,700,2022-06-21 18:58:00,BPYPP
20.6301,20.6301,20.6301,20.6301,100,2022-06-21 19:22:00,BPYPP
20.53,20.53,20.53,20.53,100,2022-06-21 19:23:00,BPYPP
20.56,20.56,20.53,20.545,400,2022-06-21 19:24:00,BPYPP
20.56,20.56,20.54,20.54,800,2022-06-21 19:26:00,BPYPP
20.42,20.42,20.42,20.42,300,2022-06-21 19:28:00,BPYPP
20.55,20.55,20.45,20.45,201,2022-06-21 19:29:00,BPYPP
20.53,20.53,20.42,20.42,748,2022-06-21 19:33:00,BPYPP
20.42,20.42,20.42,20.42,202,2022-06-21 19:34:00,BPYPP
20.43,20.43,20.43,20.43,400,2022-06-21 19:35:00,BPYPP
20.42,20.42,20.42,20.42,501,2022-06-21 19:36:00,BPYPP
20.42,20.42,20.18,20.18,600,2022-06-21 19:37:00,BPYPP
20.2,20.2,20.2,20.2,300,2022-06-21 19:38:00,BPYPP
20.18,20.18,20.18,20.18,100,2022-06-21 19:39:00,BPYPP
20.18,20.18,20.18,20.18,100,2022-06-21 19:40:00,BPYPP
20.2,20.2,20.2,20.2,200,2022-06-21 19:41:00,BPYPP
20.2,20.2,20.2,20.2,100,2022-06-21 19:43:00,BPYPP
20.21,20.21,20.21,20.21,202,2022-06-22 13:30:00,BPYPP
20.615,20.615,20.615,20.615,175,2022-06-22 13:49:00,BPYPP
20.1299,20.5,20.1299,20.45,1100,2022-06-22 14:04:00,BPYPP
20.4,20.4,20.4,20.4,397,2022-06-22 15:03:00,BPYPP
20.44,20.44,20.3,20.36,4066,2022-06-22 15:27:00,BPYPP
20.06,20.09,20.06,20.09,200,2022-06-22 15:29:00,BPYPP
20.05,20.05,20.05,20.05,100,2022-06-22 15:30:00,BPYPP
20.0,20.06,20.0,20.0,300,2022-06-22 15:31:00,BPYPP
20.01,20.01,20.01,20.01,100,2022-06-22 15:32:00,BPYPP
20.0,20.0,20.0,20.0,100,2022-06-22 15:33:00,BPYPP
20.0,20.18,20.0,20.18,1287,2022-06-22 15:34:00,BPYPP
19.94,19.94,19.94,19.94,100,2022-06-22 15:35:00,BPYPP
19.94,19.94,19.94,19.94,100,2022-06-22 15:36:00,BPYPP
