open,high,low,close,volume,datetime,symbol
5.68,5.68,5.68,5.68,100,2022-06-01 11:33:00,PACB
5.66,5.66,5.66,5.66,100,2022-06-01 11:37:00,PACB
5.68,5.68,5.68,5.68,100,2022-06-01 11:43:00,PACB
5.68,5.68,5.68,5.68,275,2022-06-01 11:59:00,PACB
5.68,5.68,5.68,5.68,100,2022-06-01 12:27:00,PACB
5.68,5.68,5.68,5.68,200,2022-06-01 12:51:00,PACB
5.69,5.69,5.69,5.69,500,2022-06-01 12:57:00,PACB
5.68,5.68,5.68,5.68,300,2022-06-01 13:03:00,PACB
5.68,5.68,5.68,5.68,200,2022-06-01 13:06:00,PACB
5.69,5.69,5.69,5.69,803,2022-06-01 13:16:00,PACB
5.71,5.71,5.71,5.71,395,2022-06-01 13:20:00,PACB
5.72,5.72,5.72,5.72,700,2022-06-01 13:23:00,PACB
5.7,5.7,5.65,5.7,47429,2022-06-01 13:30:00,PACB
5.68,5.78,5.665,5.78,16692,2022-06-01 13:31:00,PACB
5.77,5.77,5.71,5.71,30955,2022-06-01 13:32:00,PACB
5.715,5.755,5.71,5.72,17699,2022-06-01 13:33:00,PACB
5.72,5.77,5.7108,5.75,23735,2022-06-01 13:34:00,PACB
5.755,5.77,5.715,5.715,14179,2022-06-01 13:35:00,PACB
5.71,5.72,5.68,5.71,12999,2022-06-01 13:36:00,PACB
5.7099,5.7099,5.69,5.69,4666,2022-06-01 13:37:00,PACB
5.685,5.71,5.685,5.705,3846,2022-06-01 13:38:00,PACB
5.71,5.715,5.69,5.69,4777,2022-06-01 13:39:00,PACB
5.68,5.6899,5.66,5.66,3581,2022-06-01 13:40:00,PACB
5.655,5.7,5.645,5.7,17794,2022-06-01 13:41:00,PACB
5.71,5.72,5.67,5.67,13590,2022-06-01 13:42:00,PACB
5.65,5.66,5.645,5.65,9483,2022-06-01 13:43:00,PACB
5.65,5.66,5.605,5.615,21015,2022-06-01 13:44:00,PACB
5.61,5.62,5.6,5.605,13294,2022-06-01 13:45:00,PACB
5.6001,5.63,5.59,5.63,16816,2022-06-01 13:46:00,PACB
5.64,5.64,5.62,5.62,7726,2022-06-01 13:47:00,PACB
5.625,5.625,5.585,5.59,20130,2022-06-01 13:48:00,PACB
5.59,5.5999,5.57,5.575,4597,2022-06-01 13:49:00,PACB
5.57,5.58,5.55,5.57,22040,2022-06-01 13:50:00,PACB
5.575,5.5778,5.57,5.57,4996,2022-06-01 13:51:00,PACB
5.57,5.58,5.57,5.575,10680,2022-06-01 13:52:00,PACB
5.57,5.57,5.5401,5.55,23470,2022-06-01 13:53:00,PACB
5.55,5.56,5.535,5.56,15087,2022-06-01 13:54:00,PACB
5.55,5.565,5.535,5.565,11055,2022-06-01 13:55:00,PACB
5.56,5.58,5.555,5.58,7951,2022-06-01 13:56:00,PACB
5.575,5.598,5.56,5.565,11622,2022-06-01 13:57:00,PACB
5.56,5.57,5.555,5.565,6481,2022-06-01 13:58:00,PACB
5.5601,5.58,5.5601,5.58,11601,2022-06-01 13:59:00,PACB
5.58,5.58,5.515,5.525,12105,2022-06-01 14:00:00,PACB
5.52,5.535,5.515,5.535,13766,2022-06-01 14:01:00,PACB
5.54,5.56,5.52,5.535,15662,2022-06-01 14:02:00,PACB
5.53,5.53,5.51,5.51,5423,2022-06-01 14:03:00,PACB
5.5,5.5086,5.48,5.5,30127,2022-06-01 14:04:00,PACB
5.5014,5.5014,5.47,5.475,4293,2022-06-01 14:05:00,PACB
5.47,5.475,5.44,5.445,16528,2022-06-01 14:06:00,PACB
5.44,5.445,5.42,5.435,25799,2022-06-01 14:07:00,PACB
5.43,5.43,5.42,5.42,9866,2022-06-01 14:08:00,PACB
5.42,5.425,5.42,5.42,1500,2022-06-01 14:09:00,PACB
5.42,5.43,5.415,5.415,35234,2022-06-01 14:10:00,PACB
5.415,5.45,5.415,5.43,38109,2022-06-01 14:11:00,PACB
5.42,5.42,5.41,5.415,17400,2022-06-01 14:12:00,PACB
