open,high,low,close,volume,datetime,symbol
9.81,9.81,9.81,9.81,185,2022-06-02 13:35:00,SSAAU
9.88,9.88,9.88,9.88,100,2022-06-02 15:35:00,SSAAU
9.81,9.81,9.81,9.81,400,2022-06-02 19:59:00,SSAAU
9.845,9.845,9.845,9.845,100,2022-06-14 14:13:00,SSAAU
9.82,9.8455,9.82,9.84,320,2022-06-15 16:11:00,SSAAU
9.82,9.82,9.82,9.82,709,2022-06-16 17:46:00,SSAAU
9.82,9.8201,9.82,9.8201,1998,2022-06-17 15:41:00,SSAAU
9.82,9.82,9.82,9.82,475,2022-06-17 17:15:00,SSAAU
9.77,9.77,9.77,9.77,600,2022-06-21 13:43:00,SSAAU
9.77,9.77,9.77,9.77,300,2022-06-21 13:45:00,SSAAU
9.825,9.825,9.77,9.78,600,2022-06-21 16:02:00,SSAAU
9.77,9.77,9.77,9.77,200,2022-06-21 16:06:00,SSAAU
9.81,9.81,9.81,9.81,2500,2022-06-21 16:53:00,SSAAU
9.81,9.81,9.81,9.81,200,2022-06-22 16:51:00,SSAAU
9.81,9.81,9.81,9.81,200,2022-06-22 17:51:00,SSAAU
9.81,9.81,9.81,9.81,200,2022-06-22 18:51:00,SSAAU
9.81,9.8101,9.8,9.81,1851,2022-06-22 19:20:00,SSAAU
9.77,9.77,9.76,9.76,300,2022-06-24 13:59:00,SSAAU
