open,high,low,close,volume,datetime,symbol
9.65,9.65,9.65,9.65,65601,2021-05-18 05:00:00,KSI
9.65,9.7,9.63,9.7,4800,2021-05-19 05:00:00,KSI
9.65,9.66,9.65,9.65,2213,2021-05-20 05:00:00,KSI
9.63,9.63,9.61,9.62,24794,2021-05-21 05:00:00,KSI
9.58,9.62,9.58,9.62,3379,2021-05-25 05:00:00,KSI
9.63,9.63,9.63,9.63,622,2021-05-26 05:00:00,KSI
9.61,9.65,9.6,9.6299,9399,2021-05-28 05:00:00,KSI
9.6,9.65,9.6,9.6299,802,2021-06-01 05:00:00,KSI
9.62,9.68,9.61,9.63,3520,2021-06-02 05:00:00,KSI
9.64,9.65,9.64,9.64,12706,2021-06-03 05:00:00,KSI
9.66,9.67,9.6,9.64,50907,2021-06-04 05:00:00,KSI
