open,high,low,close,volume,datetime,symbol
14.82,15.58,14.81,15.25,803022,2020-06-04 05:00:00,PRPL
15.7,15.83,15.02,15.51,611307,2020-06-05 05:00:00,PRPL
15.5,16.22,15.3301,15.75,819555,2020-06-08 05:00:00,PRPL
16.79,17.0,15.97,16.31,1370164,2020-06-09 05:00:00,PRPL
16.65,16.8,15.83,16.04,887573,2020-06-10 05:00:00,PRPL
15.78,15.78,14.53,15.12,894760,2020-06-11 05:00:00,PRPL
15.72,15.9068,14.36,15.21,795048,2020-06-12 05:00:00,PRPL
14.9,16.68,14.71,16.61,894578,2020-06-15 05:00:00,PRPL
17.0,17.4,16.4075,17.34,2096840,2020-06-16 05:00:00,PRPL
17.5,19.01,17.39,18.64,1919662,2020-06-17 05:00:00,PRPL
18.68,19.05,18.31,18.65,880844,2020-06-18 05:00:00,PRPL
18.82,19.0,17.84,18.24,777542,2020-06-19 05:00:00,PRPL
18.3,18.9,17.92,18.6,752251,2020-06-22 05:00:00,PRPL
18.87,19.06,18.0966,18.2,666841,2020-06-23 05:00:00,PRPL
17.79,18.69,17.4,17.95,1041263,2020-06-24 05:00:00,PRPL
18.09,18.75,17.84,18.25,478763,2020-06-25 05:00:00,PRPL
18.17,18.305,16.82,17.25,1352462,2020-06-26 05:00:00,PRPL
17.45,19.0,16.7,18.13,1946236,2020-06-29 05:00:00,PRPL
18.06,18.14,17.13,18.0,733713,2020-06-30 05:00:00,PRPL
17.96,18.25,17.715,18.13,595837,2020-07-01 05:00:00,PRPL
18.42,18.49,17.4,18.07,448536,2020-07-02 05:00:00,PRPL
18.46,18.91,18.24,18.76,633489,2020-07-06 05:00:00,PRPL
18.61,18.91,18.3,18.42,599937,2020-07-07 05:00:00,PRPL
18.45,19.27,18.37,18.98,889136,2020-07-08 05:00:00,PRPL
19.12,19.12,17.98,18.47,681969,2020-07-09 05:00:00,PRPL
18.56,19.8,18.36,19.73,1032059,2020-07-10 05:00:00,PRPL
19.97,20.0962,18.035,18.05,1311902,2020-07-13 05:00:00,PRPL
18.0,18.36,17.47,18.33,568237,2020-07-14 05:00:00,PRPL
18.63,21.18,18.6,19.33,3799752,2020-07-15 05:00:00,PRPL
18.85,19.53,18.62,19.31,666123,2020-07-16 05:00:00,PRPL
19.35,19.61,18.52,19.03,686690,2020-07-17 05:00:00,PRPL
19.18,19.95,19.0696,19.28,532803,2020-07-20 05:00:00,PRPL
19.7,19.7,18.83,19.11,606962,2020-07-21 05:00:00,PRPL
19.19,19.36,18.67,18.93,501879,2020-07-22 05:00:00,PRPL
