open,high,low,close,volume,datetime,symbol
9.72,9.72,9.72,9.72,967,2021-05-20 05:00:00,TETC
9.72,9.76,9.7,9.7,1825,2021-05-21 05:00:00,TETC
9.76,9.76,9.68,9.7,2588,2021-05-24 05:00:00,TETC
9.671,9.72,9.671,9.7,5481,2021-05-25 05:00:00,TETC
9.6975,9.7375,9.69,9.69,2243,2021-05-26 05:00:00,TETC
9.69,10.0,9.69,9.98,3356,2021-05-27 05:00:00,TETC
9.85,9.85,9.85,9.85,244,2021-05-28 05:00:00,TETC
9.71,9.72,9.7,9.7,3965,2021-06-01 05:00:00,TETC
9.7,9.7001,9.6842,9.7,3829,2021-06-04 05:00:00,TETC
9.7,9.72,9.7,9.7,3989,2021-06-07 05:00:00,TETC
9.7,9.7384,9.7,9.7384,2396,2021-06-08 05:00:00,TETC
9.75,9.76,9.75,9.76,1501,2021-06-09 05:00:00,TETC
9.93,9.95,9.93,9.95,675,2021-06-10 05:00:00,TETC
9.77,9.97,9.71,9.97,22672,2021-06-11 05:00:00,TETC
