open,high,low,close,volume,datetime,symbol
2.3026,2.34,2.29,2.29,1095,2019-12-31 06:00:00,CYAN
2.3849,2.4,2.35,2.35,1896,2020-01-03 06:00:00,CYAN
2.4,2.435,2.3014,2.42,13678,2020-01-06 06:00:00,CYAN
2.45,2.45,2.3573,2.37,913,2020-01-07 06:00:00,CYAN
2.38,2.38,2.368,2.368,634,2020-01-08 06:00:00,CYAN
2.4,2.4,2.4,2.4,347,2020-01-09 06:00:00,CYAN
2.4,2.4,2.4,2.4,957,2020-01-10 06:00:00,CYAN
2.44,2.5,2.43,2.4981,12056,2020-01-13 06:00:00,CYAN
2.4791,2.5,2.4791,2.4912,2540,2020-01-15 06:00:00,CYAN
2.5,2.5807,2.48,2.5323,15903,2020-01-16 06:00:00,CYAN
2.58,2.59,2.5015,2.5312,2014,2020-01-17 06:00:00,CYAN
2.5371,2.56,2.4611,2.56,4995,2020-01-21 06:00:00,CYAN
2.46,2.51,2.46,2.5,1988,2020-01-22 06:00:00,CYAN
2.5,2.5004,2.46,2.5004,4282,2020-01-23 06:00:00,CYAN
2.4944,2.58,2.4105,2.4766,951,2020-01-24 06:00:00,CYAN
2.4128,2.47,2.4,2.4,1802,2020-01-27 06:00:00,CYAN
2.4,2.5058,2.4,2.4289,3688,2020-01-28 06:00:00,CYAN
2.4079,2.42,2.38,2.42,13560,2020-01-29 06:00:00,CYAN
2.38,2.56,2.38,2.45,13846,2020-01-30 06:00:00,CYAN
2.5,2.52,2.43,2.45,21801,2020-01-31 06:00:00,CYAN
2.4623,2.57,2.42,2.42,17067,2020-02-03 06:00:00,CYAN
2.42,2.5,2.42,2.47,16287,2020-02-04 06:00:00,CYAN
2.5,2.5,2.465,2.5,13362,2020-02-05 06:00:00,CYAN
2.495,2.565,2.4809,2.4869,8159,2020-02-06 06:00:00,CYAN
2.42,2.42,2.4,2.4,353,2020-02-07 06:00:00,CYAN
2.3,2.59,2.3,2.4217,4327,2020-02-10 06:00:00,CYAN
2.05,2.15,2.05,2.09,29267,2020-02-11 06:00:00,CYAN
2.09,2.09,2.0602,2.09,6404,2020-02-12 06:00:00,CYAN
2.1,2.15,2.1,2.1283,11176,2020-02-13 06:00:00,CYAN
2.13,2.13,2.1,2.13,1302,2020-02-14 06:00:00,CYAN
2.1,2.13,2.1,2.1147,859,2020-02-18 06:00:00,CYAN
2.1,2.11,2.08,2.09,4130,2020-02-19 06:00:00,CYAN
2.08,2.119,2.08,2.119,4037,2020-02-20 06:00:00,CYAN
2.1165,2.12,2.1165,2.12,3084,2020-02-21 06:00:00,CYAN
2.11,2.12,2.0,2.0676,15782,2020-02-24 06:00:00,CYAN
2.07,2.36,2.07,2.254,1576,2020-02-25 06:00:00,CYAN
2.26,2.76,2.1643,2.25,217333,2020-02-26 06:00:00,CYAN
2.43,3.25,2.3,2.62,256194,2020-02-27 06:00:00,CYAN
2.8,2.8,2.31,2.35,54080,2020-02-28 06:00:00,CYAN
2.35,2.6545,2.31,2.32,7785,2020-03-02 06:00:00,CYAN
2.24,2.285,2.08,2.1074,29738,2020-03-03 06:00:00,CYAN
2.155,2.29,2.12,2.17,3179,2020-03-04 06:00:00,CYAN
2.102,2.19,2.1007,2.135,2105,2020-03-05 06:00:00,CYAN
2.2,2.2,2.06,2.06,3824,2020-03-06 06:00:00,CYAN
2.05,2.205,2.05,2.08,20694,2020-03-09 05:00:00,CYAN
2.06,2.0983,1.9398,1.9764,14570,2020-03-10 05:00:00,CYAN
1.98,2.14,1.98,1.99,4160,2020-03-11 05:00:00,CYAN
1.91,2.32,1.9,2.24,5095,2020-03-12 05:00:00,CYAN
2.1763,2.1763,2.0,2.0,2778,2020-03-13 05:00:00,CYAN
1.9,2.2,1.9,2.05,6969,2020-03-16 05:00:00,CYAN
1.91,1.99,1.85,1.9,17888,2020-03-17 05:00:00,CYAN
2.01,2.38,1.8437,1.9,3879,2020-03-18 05:00:00,CYAN
1.99,2.1,1.85,1.91,3052,2020-03-19 05:00:00,CYAN
1.82,2.06,1.82,2.06,4050,2020-03-20 05:00:00,CYAN
2.37,2.4,2.01,2.01,2514,2020-03-23 05:00:00,CYAN
1.9395,2.2,1.9395,2.076,1755,2020-03-24 05:00:00,CYAN
1.99,2.0699,1.888,2.0558,7598,2020-03-25 05:00:00,CYAN
2.0106,2.0106,1.9467,1.9896,1716,2020-03-26 05:00:00,CYAN
2.06,2.06,1.9698,1.99,2944,2020-03-27 05:00:00,CYAN
1.9601,2.0196,1.9601,1.9955,5774,2020-03-30 05:00:00,CYAN
1.95,2.06,1.95,2.06,1570,2020-03-31 05:00:00,CYAN
1.95,2.03,1.9095,2.03,8046,2020-04-01 05:00:00,CYAN
2.0095,2.325,2.0095,2.32,3088,2020-04-02 05:00:00,CYAN
2.02,2.22,2.01,2.22,670,2020-04-03 05:00:00,CYAN
2.095,2.22,2.07,2.07,10998,2020-04-06 05:00:00,CYAN
2.1073,2.2,2.05,2.17,2201,2020-04-07 05:00:00,CYAN
2.16,2.1999,2.1205,2.1809,2677,2020-04-08 05:00:00,CYAN
2.1965,2.25,2.19,2.21,4885,2020-04-09 05:00:00,CYAN
2.25,2.25,2.12,2.1742,1629,2020-04-13 05:00:00,CYAN
2.1745,2.1807,2.1698,2.1799,6516,2020-04-14 05:00:00,CYAN
2.17,2.19,2.0151,2.0151,9932,2020-04-15 05:00:00,CYAN
2.14,2.19,2.12,2.17,16679,2020-04-16 05:00:00,CYAN
2.1558,2.18,2.15,2.18,482,2020-04-17 05:00:00,CYAN
2.1731,2.19,2.1345,2.1497,2509,2020-04-20 05:00:00,CYAN
2.18,2.1844,2.17,2.17,2882,2020-04-21 05:00:00,CYAN
2.1843,2.2,2.1843,2.2,1785,2020-04-22 05:00:00,CYAN
2.1998,2.25,2.17,2.1884,4423,2020-04-23 05:00:00,CYAN
