open,high,low,close,volume,datetime,symbol
30.02,30.485,29.47,30.27,490268,2020-10-01 05:00:00,RCII
29.46,31.03,29.41,31.0,570697,2020-10-02 05:00:00,RCII
31.28,33.03,31.28,32.83,665902,2020-10-05 05:00:00,RCII
32.83,32.99,31.8,31.92,522909,2020-10-06 05:00:00,RCII
32.21,32.75,32.2,32.53,487330,2020-10-07 05:00:00,RCII
32.78,33.15,32.37,32.83,496986,2020-10-08 05:00:00,RCII
32.99,34.3,32.655,34.25,599588,2020-10-09 05:00:00,RCII
34.53,35.0,33.6394,33.99,552778,2020-10-12 05:00:00,RCII
33.72,34.49,33.51,33.93,426491,2020-10-13 05:00:00,RCII
34.09,34.53,32.75,32.91,530289,2020-10-14 05:00:00,RCII
32.73,33.88,32.42,33.77,378446,2020-10-15 05:00:00,RCII
33.63,34.18,33.3,33.66,361484,2020-10-16 05:00:00,RCII
33.81,34.07,33.02,33.15,266656,2020-10-19 05:00:00,RCII
33.41,33.77,32.86,33.01,305730,2020-10-20 05:00:00,RCII
32.97,33.43,32.06,32.07,668602,2020-10-21 05:00:00,RCII
32.04,32.58,31.63,32.3,328143,2020-10-22 05:00:00,RCII
32.51,32.81,31.79,32.76,413848,2020-10-23 05:00:00,RCII
32.44,32.47,31.25,31.5,614991,2020-10-26 05:00:00,RCII
31.32,32.38,31.32,32.34,594500,2020-10-27 05:00:00,RCII
31.42,32.22,31.13,32.0,714531,2020-10-28 05:00:00,RCII
31.8,33.98,31.75,32.49,790979,2020-10-29 05:00:00,RCII
32.55,32.75,30.42,30.9,591146,2020-10-30 05:00:00,RCII
31.15,31.74,30.48,30.59,456293,2020-11-02 06:00:00,RCII
30.78,31.47,30.74,31.33,353079,2020-11-03 06:00:00,RCII
31.06,31.62,30.74,31.21,348310,2020-11-04 06:00:00,RCII
31.36,32.06,30.52,30.87,489304,2020-11-05 06:00:00,RCII
31.06,31.06,30.22,30.66,362216,2020-11-06 06:00:00,RCII
32.09,32.94,30.48,30.49,706640,2020-11-09 06:00:00,RCII
30.63,31.715,30.35,30.47,804492,2020-11-10 06:00:00,RCII
30.46,31.96,29.95,31.96,510246,2020-11-11 06:00:00,RCII
31.94,32.83,31.5,32.1,680941,2020-11-12 06:00:00,RCII
32.2,33.31,32.2,33.02,472613,2020-11-13 06:00:00,RCII
33.42,34.77,33.325,34.71,690538,2020-11-16 06:00:00,RCII
34.33,34.5499,33.04,34.08,515087,2020-11-17 06:00:00,RCII
34.11,35.5,34.0,34.3,781253,2020-11-18 06:00:00,RCII
34.62,34.8736,33.3,34.27,386856,2020-11-19 06:00:00,RCII
34.04,34.66,33.84,33.95,392115,2020-11-20 06:00:00,RCII
34.44,35.43,33.8,35.38,636010,2020-11-23 06:00:00,RCII
35.52,36.8213,34.75,36.4,542147,2020-11-24 06:00:00,RCII
36.12,36.34,34.94,35.67,373325,2020-11-25 06:00:00,RCII
35.85,35.95,34.86,35.54,216795,2020-11-27 06:00:00,RCII
35.29,35.325,33.64,33.82,639624,2020-11-30 06:00:00,RCII
34.48,34.8192,33.58,34.61,913946,2020-12-01 06:00:00,RCII
34.53,35.0,34.02,34.46,419592,2020-12-02 06:00:00,RCII
34.73,35.24,34.125,34.98,321337,2020-12-03 06:00:00,RCII
35.32,35.77,34.31,35.64,476613,2020-12-04 06:00:00,RCII
35.82,35.89,35.07,35.81,480449,2020-12-07 06:00:00,RCII
35.48,35.59,34.19,34.43,451298,2020-12-08 06:00:00,RCII
34.65,35.41,34.23,34.9,567190,2020-12-09 06:00:00,RCII
34.56,35.13,34.26,34.94,272956,2020-12-10 06:00:00,RCII
34.75,35.0,33.93,34.14,349184,2020-12-11 06:00:00,RCII
34.29,34.325,33.73,33.92,377449,2020-12-14 06:00:00,RCII
34.26,34.53,33.6,34.5,386425,2020-12-15 06:00:00,RCII
34.8,35.0483,34.17,34.85,289688,2020-12-16 06:00:00,RCII
34.96,35.42,34.41,35.4,367941,2020-12-17 06:00:00,RCII
35.58,36.08,35.125,35.22,1491535,2020-12-18 06:00:00,RCII
36.78,40.33,36.39,39.24,1262593,2020-12-21 06:00:00,RCII
41.25,41.42,39.25,39.69,1904493,2020-12-22 06:00:00,RCII
39.92,40.0767,38.235,38.35,524779,2020-12-23 06:00:00,RCII
38.35,38.35,37.3,38.16,229138,2020-12-24 06:00:00,RCII
38.67,38.9499,37.88,38.17,424838,2020-12-28 06:00:00,RCII
38.38,38.38,37.19,37.93,434432,2020-12-29 06:00:00,RCII
38.06,38.7,37.98,38.38,288896,2020-12-30 06:00:00,RCII
38.23,38.71,37.7,38.29,324539,2020-12-31 06:00:00,RCII
38.5,38.85,36.99,38.14,695986,2021-01-04 06:00:00,RCII
37.96,39.76,37.96,39.7,711803,2021-01-05 06:00:00,RCII
40.0,43.53,40.0,43.48,1104696,2021-01-06 06:00:00,RCII
