open,high,low,close,volume,datetime,symbol
12.15,16.71,10.3,16.71,15921710,2020-12-17 06:00:00,VIRI
13.76,14.39,10.4,10.4,5085960,2020-12-18 06:00:00,VIRI
10.3452,10.5999,9.2601,9.8,1436021,2020-12-21 06:00:00,VIRI
9.66,9.75,8.7,8.9,1132028,2020-12-22 06:00:00,VIRI
9.215,10.8,8.93,9.49,1637798,2020-12-23 06:00:00,VIRI
9.57,9.78,8.96,9.14,555752,2020-12-24 06:00:00,VIRI
9.23,9.23,8.1,8.21,866950,2020-12-28 06:00:00,VIRI
8.05,8.42,7.21,8.11,738682,2020-12-29 06:00:00,VIRI
8.16,8.31,7.42,8.15,384013,2020-12-30 06:00:00,VIRI
7.95,8.15,7.4,7.51,386706,2020-12-31 06:00:00,VIRI
7.51,7.62,7.16,7.33,207487,2021-01-04 06:00:00,VIRI
7.33,8.9,7.32,8.44,702113,2021-01-05 06:00:00,VIRI
8.12,8.64,7.82,8.05,351041,2021-01-06 06:00:00,VIRI
8.1,8.6,8.1,8.54,264356,2021-01-07 06:00:00,VIRI
8.6,8.6,7.8901,8.36,489242,2021-01-08 06:00:00,VIRI
8.26,9.1,8.162,8.84,364120,2021-01-11 06:00:00,VIRI
8.89,9.32,8.51,8.6,490686,2021-01-12 06:00:00,VIRI
8.55,8.8,8.19,8.7,346086,2021-01-13 06:00:00,VIRI
8.51,8.68,8.27,8.34,186834,2021-01-14 06:00:00,VIRI
8.2,8.45,7.9,8.16,257031,2021-01-15 06:00:00,VIRI
8.15,8.2,7.65,7.81,230322,2021-01-19 06:00:00,VIRI
7.82,7.924,7.56,7.75,197421,2021-01-20 06:00:00,VIRI
7.54,7.9,7.54,7.74,126847,2021-01-21 06:00:00,VIRI
7.58,7.88,7.58,7.8,120638,2021-01-22 06:00:00,VIRI
7.87,7.9,7.65,7.79,89777,2021-01-25 06:00:00,VIRI
7.74,8.3,7.74,7.97,212750,2021-01-26 06:00:00,VIRI
7.7,7.9,7.24,7.27,269485,2021-01-27 06:00:00,VIRI
7.26,7.55,7.1586,7.17,135147,2021-01-28 06:00:00,VIRI
7.2,7.21,6.67,6.79,355404,2021-01-29 06:00:00,VIRI
6.99,7.105,6.45,6.75,360318,2021-02-01 06:00:00,VIRI
6.98,7.14,6.77,6.85,204678,2021-02-02 06:00:00,VIRI
6.9,8.0,6.86,7.67,666483,2021-02-03 06:00:00,VIRI
7.85,8.18,7.02,8.01,890623,2021-02-04 06:00:00,VIRI
8.0,8.0,7.45,7.55,438589,2021-02-05 06:00:00,VIRI
7.78,8.49,7.65,8.08,849623,2021-02-08 06:00:00,VIRI
7.98,8.79,7.75,8.31,730849,2021-02-09 06:00:00,VIRI
8.31,8.3597,7.75,7.88,547170,2021-02-10 06:00:00,VIRI
7.91,8.03,7.34,7.53,195292,2021-02-11 06:00:00,VIRI
7.52,7.87,7.28,7.61,174640,2021-02-12 06:00:00,VIRI
7.74,7.77,7.485,7.59,116132,2021-02-16 06:00:00,VIRI
7.52,7.72,7.21,7.58,176632,2021-02-17 06:00:00,VIRI
7.5,7.51,7.25,7.44,125499,2021-02-18 06:00:00,VIRI
7.62,7.8,7.4325,7.6,144137,2021-02-19 06:00:00,VIRI
7.59,7.68,7.35,7.5,67630,2021-02-22 06:00:00,VIRI
7.38,7.38,6.63,6.75,139327,2021-02-23 06:00:00,VIRI
6.88,7.1,6.75,6.84,40934,2021-02-24 06:00:00,VIRI
6.85,7.056,6.09,6.34,137764,2021-02-25 06:00:00,VIRI
6.3,6.59,6.11,6.19,76628,2021-02-26 06:00:00,VIRI
6.21,6.56,6.21,6.55,56115,2021-03-01 06:00:00,VIRI
6.45,6.4999,6.27,6.27,42855,2021-03-02 06:00:00,VIRI
6.2688,6.34,5.77,5.86,175298,2021-03-03 06:00:00,VIRI
5.75,5.8099,4.6,5.38,332484,2021-03-04 06:00:00,VIRI
5.36,5.45,4.64,5.01,151108,2021-03-05 06:00:00,VIRI
5.19,5.3799,5.03,5.13,58148,2021-03-08 06:00:00,VIRI
5.26,5.98,5.1801,5.87,230971,2021-03-09 06:00:00,VIRI
5.92,6.3,5.87,6.16,55628,2021-03-10 06:00:00,VIRI
6.04,7.0199,5.926,6.8,194414,2021-03-11 06:00:00,VIRI
6.6,6.78,6.5,6.59,32130,2021-03-12 06:00:00,VIRI
6.65,6.66,6.16,6.3,151615,2021-03-15 05:00:00,VIRI
6.33,6.38,6.11,6.36,32864,2021-03-16 05:00:00,VIRI
6.18,6.46,6.06,6.16,54122,2021-03-17 05:00:00,VIRI
6.03,6.06,5.64,5.64,68760,2021-03-18 05:00:00,VIRI
5.75,6.15,5.607,5.73,118832,2021-03-19 05:00:00,VIRI
5.76,5.88,5.42,5.42,86716,2021-03-22 05:00:00,VIRI
5.54,5.61,5.26,5.3,39918,2021-03-23 05:00:00,VIRI
5.28,5.53,5.0092,5.1,75485,2021-03-24 05:00:00,VIRI
5.0,5.25,4.95,5.23,36249,2021-03-25 05:00:00,VIRI
5.29,5.49,5.1801,5.3,22070,2021-03-26 05:00:00,VIRI
5.33,5.6481,5.3,5.46,77758,2021-03-29 05:00:00,VIRI
5.36,5.72,5.31,5.7,56085,2021-03-30 05:00:00,VIRI
5.798,5.798,5.6217,5.73,44401,2021-03-31 05:00:00,VIRI
5.76,5.8,5.65,5.73,22865,2021-04-01 05:00:00,VIRI
5.77,6.4699,5.7075,6.35,104941,2021-04-05 05:00:00,VIRI
6.25,6.436,5.91,6.11,191040,2021-04-06 05:00:00,VIRI
6.31,6.42,6.1529,6.32,78299,2021-04-07 05:00:00,VIRI
6.24,6.42,6.2,6.31,23055,2021-04-08 05:00:00,VIRI
6.32,6.34,6.12,6.17,23123,2021-04-09 05:00:00,VIRI
6.18,6.2906,5.9,5.99,30489,2021-04-12 05:00:00,VIRI
5.91,6.1999,5.81,5.85,27656,2021-04-13 05:00:00,VIRI
5.93,6.0,5.86,5.9,10906,2021-04-14 05:00:00,VIRI
6.01,6.01,5.51,5.52,24185,2021-04-15 05:00:00,VIRI
5.79,5.8679,5.3701,5.58,54419,2021-04-16 05:00:00,VIRI
5.6,5.86,5.4201,5.59,18185,2021-04-19 05:00:00,VIRI
5.55,5.55,5.1601,5.17,29473,2021-04-20 05:00:00,VIRI
5.16,5.2567,5.05,5.15,33875,2021-04-21 05:00:00,VIRI
5.23,5.6,5.1701,5.49,34409,2021-04-22 05:00:00,VIRI
5.59,5.8612,5.49,5.515,23882,2021-04-23 05:00:00,VIRI
5.61,5.8099,5.38,5.69,25213,2021-04-26 05:00:00,VIRI
5.68,5.8,5.5101,5.57,15519,2021-04-27 05:00:00,VIRI
5.6306,5.85,5.59,5.85,16144,2021-04-28 05:00:00,VIRI
5.86,5.87,5.6005,5.81,17446,2021-04-29 05:00:00,VIRI
5.79,5.79,5.15,5.41,106763,2021-04-30 05:00:00,VIRI
5.36,5.46,5.0,5.0,48216,2021-05-03 05:00:00,VIRI
5.0,5.14,4.85,4.95,29990,2021-05-04 05:00:00,VIRI
5.0,5.08,4.79,4.9,32055,2021-05-05 05:00:00,VIRI
4.83,4.97,4.8,4.9,12528,2021-05-06 05:00:00,VIRI
4.97,5.06,4.9,4.93,8679,2021-05-07 05:00:00,VIRI
4.85,4.97,4.8,4.96,33975,2021-05-10 05:00:00,VIRI
4.8,4.9,4.7616,4.89,22374,2021-05-11 05:00:00,VIRI
4.77,4.88,4.77,4.81,19979,2021-05-12 05:00:00,VIRI
4.85,4.98,4.71,4.71,29333,2021-05-13 05:00:00,VIRI
4.84,4.8499,4.72,4.7901,4464,2021-05-14 05:00:00,VIRI
4.7,4.78,4.7,4.7499,14647,2021-05-17 05:00:00,VIRI
4.7,6.44,4.654,5.67,4249493,2021-05-18 05:00:00,VIRI
5.65,5.69,5.08,5.45,291114,2021-05-19 05:00:00,VIRI
5.46,5.7,5.34,5.59,167935,2021-05-20 05:00:00,VIRI
5.62,5.78,5.4098,5.72,69052,2021-05-21 05:00:00,VIRI
5.75,5.75,5.49,5.57,109033,2021-05-24 05:00:00,VIRI
5.58,5.62,5.31,5.31,47233,2021-05-25 05:00:00,VIRI
5.17,5.25,5.01,5.09,46722,2021-05-26 05:00:00,VIRI
5.13,5.38,5.1,5.29,40528,2021-05-27 05:00:00,VIRI
5.25,5.6358,5.21,5.25,33271,2021-05-28 05:00:00,VIRI
5.31,5.5,5.08,5.46,72976,2021-06-01 05:00:00,VIRI
5.59,5.65,5.3,5.34,93687,2021-06-02 05:00:00,VIRI
5.28,5.5599,5.2619,5.43,26438,2021-06-03 05:00:00,VIRI
5.7,5.77,5.43,5.45,85956,2021-06-04 05:00:00,VIRI
5.48,5.6549,5.4601,5.62,30720,2021-06-07 05:00:00,VIRI
5.57,5.81,5.43,5.62,111255,2021-06-08 05:00:00,VIRI
6.8,6.948,5.81,6.14,350368,2021-06-09 05:00:00,VIRI
6.24,6.4976,5.975,6.24,50838,2021-06-10 05:00:00,VIRI
