open,high,low,close,volume,datetime,symbol
32.5,32.5,32.5,32.5,100,2020-09-14 08:00:00,KC
32.52,32.52,32.51,32.51,200,2020-09-14 09:10:00,KC
32.51,32.51,32.51,32.51,200,2020-09-14 09:40:00,KC
32.85,32.85,32.85,32.85,500,2020-09-14 11:55:00,KC
32.6,32.6,32.6,32.6,400,2020-09-14 12:10:00,KC
32.51,33.0,32.51,33.0,2500,2020-09-14 12:15:00,KC
33.05,33.05,33.0001,33.0001,303,2020-09-14 12:20:00,KC
33.469,33.5,33.469,33.5,752,2020-09-14 12:25:00,KC
33.02,33.02,33.02,33.02,100,2020-09-14 12:55:00,KC
33.1,33.5,33.1,33.5,3019,2020-09-14 13:15:00,KC
33.5,33.5,33.5,33.5,933,2020-09-14 13:20:00,KC
33.69,33.7,33.69,33.7,4692,2020-09-14 13:25:00,KC
33.61,34.5,33.55,34.455,101842,2020-09-14 13:30:00,KC
34.44,35.145,34.29,35.09,121560,2020-09-14 13:35:00,KC
35.08,35.67,34.81,35.515,75339,2020-09-14 13:40:00,KC
35.4771,36.4,35.4771,36.0007,97595,2020-09-14 13:45:00,KC
36.09,36.5,36.07,36.09,54698,2020-09-14 13:50:00,KC
36.09,36.86,36.06,36.78,97463,2020-09-14 13:55:00,KC
36.7623,36.86,36.31,36.645,47040,2020-09-14 14:00:00,KC
36.575,36.635,36.1,36.175,57060,2020-09-14 14:05:00,KC
36.23,36.63,36.14,36.61,61969,2020-09-14 14:10:00,KC
36.6,36.6629,36.21,36.35,46886,2020-09-14 14:15:00,KC
36.48,36.48,36.22,36.415,35728,2020-09-14 14:20:00,KC
36.455,36.58,36.37,36.525,34031,2020-09-14 14:25:00,KC
36.52,36.55,36.3,36.33,21415,2020-09-14 14:30:00,KC
36.32,36.34,36.17,36.2137,27462,2020-09-14 14:35:00,KC
36.18,36.228,35.92,36.005,38799,2020-09-14 14:40:00,KC
36.005,36.02,35.83,35.91,26177,2020-09-14 14:45:00,KC
35.935,36.11,35.76,36.085,80364,2020-09-14 14:50:00,KC
36.085,36.5,36.04,36.48,15137,2020-09-14 14:55:00,KC
36.49,37.24,36.49,37.18,94540,2020-09-14 15:00:00,KC
37.23,37.3925,36.885,37.085,42677,2020-09-14 15:05:00,KC
37.065,37.22,36.865,36.935,33705,2020-09-14 15:10:00,KC
36.935,36.995,36.71,36.8306,23119,2020-09-14 15:15:00,KC
36.91,36.95,36.78,36.935,16548,2020-09-14 15:20:00,KC
36.8213,36.945,36.82,36.93,9219,2020-09-14 15:25:00,KC
36.935,36.99,36.55,36.64,31042,2020-09-14 15:30:00,KC
36.64,36.79,36.64,36.66,13535,2020-09-14 15:35:00,KC
36.725,36.87,36.66,36.825,9570,2020-09-14 15:40:00,KC
36.865,36.945,36.77,36.77,19794,2020-09-14 15:45:00,KC
36.8,36.89,36.77,36.89,19113,2020-09-14 15:50:00,KC
36.86,36.95,36.81,36.89,13464,2020-09-14 15:55:00,KC
36.91,36.98,36.8501,36.92,11576,2020-09-14 16:00:00,KC
36.94,36.98,36.75,36.75,22628,2020-09-14 16:05:00,KC
36.75,36.75,36.21,36.415,22929,2020-09-14 16:10:00,KC
36.405,36.465,36.33,36.41,13399,2020-09-14 16:15:00,KC
36.41,36.445,36.16,36.205,15995,2020-09-14 16:20:00,KC
36.21,36.35,36.2,36.335,13892,2020-09-14 16:25:00,KC
36.385,36.52,36.335,36.485,9800,2020-09-14 16:30:00,KC
36.48,36.48,36.3,36.33,10350,2020-09-14 16:35:00,KC
36.31,36.5,36.3,36.5,7503,2020-09-14 16:40:00,KC
36.475,36.5499,36.45,36.475,12300,2020-09-14 16:45:00,KC
36.475,36.515,36.445,36.485,18716,2020-09-14 16:50:00,KC
36.485,36.52,36.45,36.485,8625,2020-09-14 16:55:00,KC
36.5,36.54,36.48,36.525,27485,2020-09-14 17:00:00,KC
36.54,36.59,36.47,36.4903,26964,2020-09-14 17:05:00,KC
36.5,36.5,36.36,36.5,18841,2020-09-14 17:10:00,KC
36.48,36.54,36.17,36.29,39396,2020-09-14 17:15:00,KC
36.255,36.26,36.2,36.255,9948,2020-09-14 17:20:00,KC
36.255,36.4,36.255,36.335,9950,2020-09-14 17:25:00,KC
36.36,36.41,36.31,36.36,13790,2020-09-14 17:30:00,KC
36.36,36.46,35.9,35.92,72228,2020-09-14 17:35:00,KC
35.98,36.005,35.945,35.95,8749,2020-09-14 17:40:00,KC
35.96,35.975,35.78,35.84,14544,2020-09-14 17:45:00,KC
35.84,36.0,35.81,35.92,7194,2020-09-14 17:50:00,KC
35.925,36.0,35.85,35.925,7500,2020-09-14 17:55:00,KC
35.915,35.92,35.86,35.91,4994,2020-09-14 18:00:00,KC
35.915,35.95,35.86,35.865,10627,2020-09-14 18:05:00,KC
35.86,35.86,35.66,35.705,11289,2020-09-14 18:10:00,KC
35.68,35.7,35.62,35.68,10550,2020-09-14 18:15:00,KC
35.65,35.72,35.6301,35.71,9399,2020-09-14 18:20:00,KC
35.73,35.85,35.72,35.81,12450,2020-09-14 18:25:00,KC
35.84,35.89,35.81,35.85,7295,2020-09-14 18:30:00,KC
35.85,35.89,35.81,35.89,6251,2020-09-14 18:35:00,KC
35.89,36.025,35.84,36.025,8030,2020-09-14 18:40:00,KC
