open,high,low,close,volume,datetime,symbol
10.8,10.8,10.8,10.8,400,2020-09-14 08:05:00,SPWR
10.76,10.76,10.76,10.76,1200,2020-09-14 11:00:00,SPWR
10.622,10.622,10.622,10.622,200,2020-09-14 12:10:00,SPWR
10.651,10.651,10.65,10.65,1100,2020-09-14 12:20:00,SPWR
10.6164,10.6164,10.6164,10.6164,110,2020-09-14 12:30:00,SPWR
10.75,10.75,10.74,10.74,1100,2020-09-14 12:40:00,SPWR
10.74,10.74,10.74,10.74,150,2020-09-14 12:50:00,SPWR
10.6815,10.6815,10.6815,10.6815,200,2020-09-14 12:55:00,SPWR
10.6841,10.6841,10.68,10.68,261,2020-09-14 13:00:00,SPWR
10.6802,10.6802,10.6801,10.6801,1380,2020-09-14 13:05:00,SPWR
10.68,10.68,10.68,10.68,100,2020-09-14 13:10:00,SPWR
10.7075,10.7075,10.7,10.707,307,2020-09-14 13:20:00,SPWR
10.75,10.92,10.51,10.51,142403,2020-09-14 13:30:00,SPWR
10.51,10.53,10.35,10.4273,178934,2020-09-14 13:35:00,SPWR
10.42,10.54,10.39,10.535,109085,2020-09-14 13:40:00,SPWR
10.55,10.64,10.475,10.61,127676,2020-09-14 13:45:00,SPWR
10.615,10.63,10.4304,10.4304,80518,2020-09-14 13:50:00,SPWR
10.43,10.49,10.4101,10.48,50911,2020-09-14 13:55:00,SPWR
10.47,10.5456,10.45,10.48,51166,2020-09-14 14:00:00,SPWR
10.48,10.48,10.42,10.4775,74552,2020-09-14 14:05:00,SPWR
10.48,10.57,10.4701,10.57,58927,2020-09-14 14:10:00,SPWR
10.57,10.605,10.465,10.49,62663,2020-09-14 14:15:00,SPWR
10.49,10.505,10.45,10.46,26130,2020-09-14 14:20:00,SPWR
10.46,10.5848,10.46,10.4925,79079,2020-09-14 14:25:00,SPWR
10.5,10.57,10.49,10.53,61693,2020-09-14 14:30:00,SPWR
10.54,10.5999,10.54,10.56,33786,2020-09-14 14:35:00,SPWR
10.555,10.59,10.49,10.57,25629,2020-09-14 14:40:00,SPWR
10.58,10.605,10.56,10.56,51269,2020-09-14 14:45:00,SPWR
10.55,10.5851,10.54,10.5851,24126,2020-09-14 14:50:00,SPWR
10.585,10.62,10.56,10.595,28197,2020-09-14 14:55:00,SPWR
10.59,10.6,10.56,10.57,17856,2020-09-14 15:00:00,SPWR
10.56,10.61,10.56,10.58,45188,2020-09-14 15:05:00,SPWR
10.575,10.59,10.53,10.55,37992,2020-09-14 15:10:00,SPWR
10.555,10.65,10.555,10.64,38217,2020-09-14 15:15:00,SPWR
10.64,10.645,10.6119,10.625,27066,2020-09-14 15:20:00,SPWR
10.62,10.62,10.56,10.575,29727,2020-09-14 15:25:00,SPWR
10.58,10.58,10.5,10.54,60207,2020-09-14 15:30:00,SPWR
10.5399,10.6,10.535,10.595,43877,2020-09-14 15:35:00,SPWR
10.5998,10.62,10.53,10.55,85488,2020-09-14 15:40:00,SPWR
10.56,10.6,10.5457,10.55,34253,2020-09-14 15:45:00,SPWR
10.557,10.68,10.557,10.67,78261,2020-09-14 15:50:00,SPWR
10.665,10.69,10.66,10.675,40134,2020-09-14 15:55:00,SPWR
10.67,10.74,10.665,10.71,30713,2020-09-14 16:00:00,SPWR
10.715,10.72,10.645,10.69,41284,2020-09-14 16:05:00,SPWR
10.7,10.71,10.6501,10.6518,38901,2020-09-14 16:10:00,SPWR
10.65,10.66,10.61,10.615,22508,2020-09-14 16:15:00,SPWR
10.61,10.63,10.595,10.6218,35637,2020-09-14 16:20:00,SPWR
10.625,10.6301,10.57,10.58,29301,2020-09-14 16:25:00,SPWR
10.575,10.59,10.53,10.57,32158,2020-09-14 16:30:00,SPWR
10.57,10.59,10.56,10.58,25401,2020-09-14 16:35:00,SPWR
10.58,10.64,10.57,10.63,33722,2020-09-14 16:40:00,SPWR
10.63,10.63,10.58,10.58,22708,2020-09-14 16:45:00,SPWR
10.58,10.6,10.57,10.58,17207,2020-09-14 16:50:00,SPWR
10.575,10.615,10.57,10.615,16678,2020-09-14 16:55:00,SPWR
10.615,10.66,10.615,10.655,37301,2020-09-14 17:00:00,SPWR
10.655,10.67,10.64,10.65,40440,2020-09-14 17:05:00,SPWR
10.66,10.67,10.64,10.665,24719,2020-09-14 17:10:00,SPWR
10.66,10.66,10.592,10.605,23450,2020-09-14 17:15:00,SPWR
10.605,10.62,10.5718,10.5818,17933,2020-09-14 17:20:00,SPWR
10.58,10.6051,10.575,10.6,16038,2020-09-14 17:25:00,SPWR
10.6009,10.6009,10.565,10.5991,20059,2020-09-14 17:30:00,SPWR
10.6,10.66,10.595,10.6503,12957,2020-09-14 17:35:00,SPWR
10.6567,10.66,10.63,10.655,20855,2020-09-14 17:40:00,SPWR
10.655,10.76,10.65,10.76,74266,2020-09-14 17:45:00,SPWR
10.75,10.7599,10.73,10.755,51174,2020-09-14 17:50:00,SPWR
10.755,10.76,10.72,10.76,43536,2020-09-14 17:55:00,SPWR
10.7599,10.77,10.7201,10.77,27610,2020-09-14 18:00:00,SPWR
10.77,10.81,10.76,10.795,19236,2020-09-14 18:05:00,SPWR
10.8,10.81,10.77,10.79,30680,2020-09-14 18:10:00,SPWR
10.78,10.79,10.77,10.7802,14052,2020-09-14 18:15:00,SPWR
10.79,10.815,10.785,10.7901,15218,2020-09-14 18:20:00,SPWR
10.79,10.79,10.7501,10.76,26935,2020-09-14 18:25:00,SPWR
10.765,10.8,10.765,10.79,12749,2020-09-14 18:30:00,SPWR
10.785,10.7853,10.7601,10.775,24315,2020-09-14 18:35:00,SPWR
10.77,10.81,10.76,10.8067,36480,2020-09-14 18:40:00,SPWR
10.8001,10.86,10.78,10.83,58097,2020-09-14 18:45:00,SPWR
10.825,10.86,10.81,10.83,48366,2020-09-14 18:50:00,SPWR
10.82,10.87,10.81,10.865,29878,2020-09-14 18:55:00,SPWR
10.86,10.9,10.85,10.89,61490,2020-09-14 19:00:00,SPWR
10.89,10.895,10.86,10.875,26272,2020-09-14 19:05:00,SPWR
10.87,10.87,10.845,10.866,42983,2020-09-14 19:10:00,SPWR
10.86,10.9,10.84,10.885,31864,2020-09-14 19:15:00,SPWR
10.88,10.885,10.83,10.845,25105,2020-09-14 19:20:00,SPWR
10.84,10.87,10.835,10.855,32305,2020-09-14 19:25:00,SPWR
10.85,10.88,10.84,10.88,47920,2020-09-14 19:30:00,SPWR
10.88,10.96,10.8768,10.92,78221,2020-09-14 19:35:00,SPWR
10.9285,10.95,10.92,10.935,49867,2020-09-14 19:40:00,SPWR
10.94,10.96,10.93,10.96,114977,2020-09-14 19:45:00,SPWR
10.95,10.96,10.9201,10.945,129120,2020-09-14 19:50:00,SPWR
10.9419,10.99,10.94,10.97,282039,2020-09-14 19:55:00,SPWR
10.97,11.0,10.97,10.9998,162907,2020-09-14 20:00:00,SPWR
11.0,11.0,11.0,11.0,150,2020-09-14 20:20:00,SPWR
10.96,10.96,10.96,10.96,1000,2020-09-14 20:40:00,SPWR
10.9,10.9,10.9,10.9,111,2020-09-14 21:25:00,SPWR
10.9,10.9,10.9,10.9,130,2020-09-14 21:35:00,SPWR
10.91,10.91,10.91,10.91,100,2020-09-14 22:05:00,SPWR
10.9,10.95,10.9,10.95,2044,2020-09-14 22:15:00,SPWR
10.89,10.89,10.89,10.89,125,2020-09-14 22:50:00,SPWR
11.0,11.0,10.9999,11.0,1129,2020-09-14 22:55:00,SPWR
11.1599,11.16,11.05,11.16,420,2020-09-15 12:35:00,SPWR
11.05,11.05,11.05,11.05,970,2020-09-15 12:40:00,SPWR
11.1,11.15,11.1,11.15,1100,2020-09-15 12:45:00,SPWR
11.14,11.14,11.14,11.14,1216,2020-09-15 12:55:00,SPWR
11.13,11.13,11.13,11.13,1000,2020-09-15 13:00:00,SPWR
11.1,11.13,11.1,11.13,800,2020-09-15 13:05:00,SPWR
11.1284,11.1284,11.1284,11.1284,180,2020-09-15 13:15:00,SPWR
11.1,11.1,11.1,11.1,160,2020-09-15 13:20:00,SPWR
11.12,11.12,11.12,11.12,2000,2020-09-15 13:25:00,SPWR
11.1,11.17,10.95,11.14,195005,2020-09-15 13:30:00,SPWR
11.14,11.15,11.03,11.13,173577,2020-09-15 13:35:00,SPWR
11.1213,11.165,11.03,11.08,131597,2020-09-15 13:40:00,SPWR
11.05,11.24,11.04,11.14,96346,2020-09-15 13:45:00,SPWR
11.1393,11.19,11.06,11.08,113962,2020-09-15 13:50:00,SPWR
11.06,11.08,11.01,11.0298,38494,2020-09-15 13:55:00,SPWR
11.02,11.03,10.9,10.92,82989,2020-09-15 14:00:00,SPWR
10.93,11.03,10.85,10.99,63266,2020-09-15 14:05:00,SPWR
10.9899,11.055,10.985,10.985,37451,2020-09-15 14:10:00,SPWR
10.99,11.05,10.99,11.01,35252,2020-09-15 14:15:00,SPWR
11.0,11.06,10.97,11.025,33495,2020-09-15 14:20:00,SPWR
11.03,11.12,11.02,11.11,62217,2020-09-15 14:25:00,SPWR
11.1011,11.12,11.06,11.12,58661,2020-09-15 14:30:00,SPWR
11.1162,11.135,11.09,11.095,46697,2020-09-15 14:35:00,SPWR
11.09,11.11,11.04,11.08,60368,2020-09-15 14:40:00,SPWR
11.08,11.1,11.065,11.08,38077,2020-09-15 14:45:00,SPWR
11.0818,11.11,11.07,11.1,39149,2020-09-15 14:50:00,SPWR
11.11,11.115,11.09,11.1018,20899,2020-09-15 14:55:00,SPWR
11.105,11.1399,11.1,11.115,32091,2020-09-15 15:00:00,SPWR
11.12,11.19,11.11,11.18,72101,2020-09-15 15:05:00,SPWR
11.18,11.23,11.17,11.215,60121,2020-09-15 15:10:00,SPWR
11.215,11.23,11.15,11.205,56027,2020-09-15 15:15:00,SPWR
11.2094,11.21,11.15,11.175,131793,2020-09-15 15:20:00,SPWR
11.175,11.22,11.16,11.1835,58436,2020-09-15 15:25:00,SPWR
11.185,11.1999,11.16,11.18,41653,2020-09-15 15:30:00,SPWR
11.185,11.225,11.155,11.225,49097,2020-09-15 15:35:00,SPWR
11.225,11.24,11.1301,11.15,101783,2020-09-15 15:40:00,SPWR
11.155,11.16,11.11,11.11,17614,2020-09-15 15:45:00,SPWR
11.11,11.115,11.08,11.095,13674,2020-09-15 15:50:00,SPWR
11.0911,11.1,11.05,11.07,31245,2020-09-15 15:55:00,SPWR
11.07,11.115,11.04,11.1,30714,2020-09-15 16:00:00,SPWR
11.1,11.12,11.09,11.09,12534,2020-09-15 16:05:00,SPWR
11.09,11.12,11.085,11.1067,17416,2020-09-15 16:10:00,SPWR
11.1001,11.13,11.09,11.12,24918,2020-09-15 16:15:00,SPWR
11.13,11.13,11.085,11.09,20003,2020-09-15 16:20:00,SPWR
11.09,11.1,11.07,11.09,18876,2020-09-15 16:25:00,SPWR
11.09,11.095,11.05,11.07,18628,2020-09-15 16:30:00,SPWR
11.07,11.085,11.04,11.06,25181,2020-09-15 16:35:00,SPWR
11.06,11.085,11.05,11.07,13129,2020-09-15 16:40:00,SPWR
11.075,11.09,11.045,11.0598,15991,2020-09-15 16:45:00,SPWR
11.05,11.07,11.04,11.07,21871,2020-09-15 16:50:00,SPWR
11.0648,11.09,11.05,11.08,21119,2020-09-15 16:55:00,SPWR
11.08,11.085,11.0101,11.0101,12538,2020-09-15 17:00:00,SPWR
11.02,11.03,11.01,11.015,33991,2020-09-15 17:05:00,SPWR
11.015,11.04,11.0118,11.035,14518,2020-09-15 17:10:00,SPWR
11.0318,11.04,10.99,11.0,44172,2020-09-15 17:15:00,SPWR
11.005,11.015,10.98,11.0001,21935,2020-09-15 17:20:00,SPWR
11.005,11.05,11.0,11.0418,10326,2020-09-15 17:25:00,SPWR
11.05,11.07,11.03,11.06,15305,2020-09-15 17:30:00,SPWR
11.07,11.1,11.07,11.09,15972,2020-09-15 17:35:00,SPWR
11.0918,11.125,11.075,11.1189,20316,2020-09-15 17:40:00,SPWR
11.12,11.14,11.11,11.13,22600,2020-09-15 17:45:00,SPWR
11.13,11.13,11.1,11.125,27825,2020-09-15 17:50:00,SPWR
