open,high,low,close,volume,datetime,symbol
59.35,59.35,59.35,59.35,100,2021-06-01 11:05:00,BBIO
60.0,60.0,60.0,60.0,100,2021-06-01 11:35:00,BBIO
60.0,60.0,60.0,60.0,102,2021-06-01 11:45:00,BBIO
60.5,60.5,60.5,60.5,100,2021-06-01 13:25:00,BBIO
59.72,59.99,59.005,59.4,5969,2021-06-01 13:30:00,BBIO
59.3,59.3,59.0,59.155,1900,2021-06-01 13:35:00,BBIO
59.25,59.67,59.25,59.67,1426,2021-06-01 13:40:00,BBIO
59.435,59.49,58.93,58.93,1000,2021-06-01 13:45:00,BBIO
58.93,59.23,58.88,59.04,2460,2021-06-01 13:50:00,BBIO
58.82,58.9,58.6,58.82,3137,2021-06-01 13:55:00,BBIO
58.87,59.57,58.7148,59.51,6256,2021-06-01 14:00:00,BBIO
59.47,59.71,59.43,59.66,6196,2021-06-01 14:05:00,BBIO
59.585,59.585,59.2,59.23,4098,2021-06-01 14:10:00,BBIO
59.05,59.48,59.02,59.47,7553,2021-06-01 14:15:00,BBIO
59.3,59.365,59.08,59.23,5321,2021-06-01 14:20:00,BBIO
59.19,59.43,59.19,59.31,2000,2021-06-01 14:25:00,BBIO
59.36,59.895,59.36,59.89,5087,2021-06-01 14:30:00,BBIO
59.94,60.0003,59.68,59.8,4890,2021-06-01 14:35:00,BBIO
59.8,59.88,59.6,59.71,4980,2021-06-01 14:40:00,BBIO
59.6,59.6,59.41,59.44,4420,2021-06-01 14:45:00,BBIO
59.455,59.71,59.37,59.71,2217,2021-06-01 14:50:00,BBIO
59.62,59.67,59.37,59.37,2680,2021-06-01 14:55:00,BBIO
59.425,59.56,59.42,59.45,600,2021-06-01 15:00:00,BBIO
59.44,59.56,59.415,59.54,4040,2021-06-01 15:05:00,BBIO
59.56,59.68,59.48,59.59,2499,2021-06-01 15:10:00,BBIO
59.55,59.72,59.505,59.665,3281,2021-06-01 15:15:00,BBIO
59.685,59.685,59.58,59.58,910,2021-06-01 15:20:00,BBIO
59.53,59.805,59.51,59.74,3250,2021-06-01 15:25:00,BBIO
59.7899,59.7899,59.555,59.59,2665,2021-06-01 15:30:00,BBIO
59.66,59.81,59.59,59.81,2400,2021-06-01 15:35:00,BBIO
59.77,59.86,59.66,59.66,5015,2021-06-01 15:40:00,BBIO
59.65,59.65,59.43,59.47,2961,2021-06-01 15:45:00,BBIO
59.47,59.6,59.47,59.57,800,2021-06-01 15:50:00,BBIO
59.52,59.65,59.45,59.485,2800,2021-06-01 15:55:00,BBIO
59.45,59.73,59.45,59.62,6405,2021-06-01 16:00:00,BBIO
59.69,59.81,59.65,59.65,37075,2021-06-01 16:05:00,BBIO
59.645,59.645,59.46,59.6,4385,2021-06-01 16:10:00,BBIO
59.62,59.745,59.62,59.7,2383,2021-06-01 16:15:00,BBIO
59.64,59.66,59.42,59.42,3108,2021-06-01 16:20:00,BBIO
59.43,59.71,59.43,59.64,2000,2021-06-01 16:25:00,BBIO
59.58,59.635,59.5,59.57,3250,2021-06-01 16:30:00,BBIO
59.57,59.64,59.54,59.595,3901,2021-06-01 16:35:00,BBIO
59.595,59.85,59.59,59.85,2550,2021-06-01 16:40:00,BBIO
59.82,60.13,59.78,60.07,6204,2021-06-01 16:45:00,BBIO
59.96,59.98,59.82,59.95,3100,2021-06-01 16:50:00,BBIO
59.91,59.915,59.83,59.88,2400,2021-06-01 16:55:00,BBIO
59.9,60.0,59.865,59.95,3000,2021-06-01 17:00:00,BBIO
59.88,59.94,59.77,59.94,6600,2021-06-01 17:05:00,BBIO
59.87,60.02,59.87,59.975,1300,2021-06-01 17:10:00,BBIO
59.98,60.0,59.86,59.86,3840,2021-06-01 17:15:00,BBIO
59.84,59.91,59.8,59.87,2840,2021-06-01 17:20:00,BBIO
59.865,59.89,59.79,59.79,1933,2021-06-01 17:25:00,BBIO
59.82,59.85,59.8,59.81,2800,2021-06-01 17:30:00,BBIO
59.83,59.83,59.65,59.68,3098,2021-06-01 17:35:00,BBIO
59.68,59.76,59.62,59.705,2100,2021-06-01 17:40:00,BBIO
59.77,59.94,59.77,59.925,900,2021-06-01 17:45:00,BBIO
59.89,60.0,59.81,59.83,5202,2021-06-01 17:50:00,BBIO
59.87,60.0,59.87,60.0,2504,2021-06-01 17:55:00,BBIO
59.95,60.12,59.93,60.08,3900,2021-06-01 18:00:00,BBIO
60.1,60.295,60.02,60.295,2500,2021-06-01 18:05:00,BBIO
60.295,60.3,60.14,60.18,3932,2021-06-01 18:10:00,BBIO
60.17,60.23,60.13,60.151,3105,2021-06-01 18:15:00,BBIO
60.26,60.33,60.13,60.24,6007,2021-06-01 18:20:00,BBIO
60.23,60.33,60.19,60.31,3400,2021-06-01 18:25:00,BBIO
60.27,60.4,60.26,60.26,2339,2021-06-01 18:30:00,BBIO
60.275,60.46,60.275,60.46,6016,2021-06-01 18:35:00,BBIO
60.44,60.65,60.44,60.51,4978,2021-06-01 18:40:00,BBIO
60.47,60.6,60.45,60.56,3010,2021-06-01 18:45:00,BBIO
60.62,60.68,60.24,60.29,5500,2021-06-01 18:50:00,BBIO
