open,high,low,close,volume,datetime,symbol
3.23,3.23,3.19,3.19,511,2021-06-01 11:00:00,CEMI
3.19,3.19,3.19,3.19,165,2021-06-01 11:05:00,CEMI
3.21,3.21,3.21,3.21,969,2021-06-01 13:10:00,CEMI
3.21,3.21,3.21,3.21,100,2021-06-01 13:20:00,CEMI
3.2,3.21,3.2,3.2024,6720,2021-06-01 13:30:00,CEMI
3.205,3.22,3.195,3.22,11137,2021-06-01 13:35:00,CEMI
3.23,3.23,3.22,3.23,1050,2021-06-01 13:40:00,CEMI
3.24,3.25,3.22,3.2287,2736,2021-06-01 13:45:00,CEMI
3.219,3.22,3.21,3.2101,3373,2021-06-01 13:50:00,CEMI
3.21,3.23,3.21,3.23,4240,2021-06-01 13:55:00,CEMI
3.24,3.26,3.24,3.26,6960,2021-06-01 14:00:00,CEMI
3.25,3.2839,3.24,3.282,4298,2021-06-01 14:05:00,CEMI
3.275,3.275,3.26,3.26,1100,2021-06-01 14:10:00,CEMI
3.23,3.25,3.22,3.2201,1600,2021-06-01 14:15:00,CEMI
3.22,3.22,3.21,3.21,2100,2021-06-01 14:20:00,CEMI
3.21,3.24,3.21,3.24,3300,2021-06-01 14:25:00,CEMI
3.2318,3.28,3.23,3.27,14061,2021-06-01 14:30:00,CEMI
3.25,3.25,3.25,3.25,200,2021-06-01 14:35:00,CEMI
3.23,3.23,3.23,3.23,100,2021-06-01 14:40:00,CEMI
3.23,3.23,3.23,3.23,2449,2021-06-01 14:45:00,CEMI
3.22,3.24,3.22,3.22,2613,2021-06-01 14:50:00,CEMI
3.22,3.2241,3.2,3.2,16239,2021-06-01 14:55:00,CEMI
3.23,3.26,3.21,3.24,5668,2021-06-01 15:00:00,CEMI
3.26,3.28,3.231,3.28,3200,2021-06-01 15:05:00,CEMI
3.28,3.29,3.28,3.28,14247,2021-06-01 15:10:00,CEMI
3.26,3.2603,3.26,3.2603,1375,2021-06-01 15:15:00,CEMI
3.2655,3.28,3.2655,3.28,900,2021-06-01 15:20:00,CEMI
3.26,3.26,3.26,3.26,100,2021-06-01 15:25:00,CEMI
3.27,3.28,3.22,3.22,4390,2021-06-01 15:30:00,CEMI
3.22,3.2435,3.22,3.2435,1578,2021-06-01 15:35:00,CEMI
3.2226,3.24,3.22,3.24,1010,2021-06-01 15:40:00,CEMI
3.22,3.24,3.2,3.24,5685,2021-06-01 15:45:00,CEMI
3.21,3.21,3.21,3.21,300,2021-06-01 15:50:00,CEMI
3.21,3.225,3.21,3.225,260,2021-06-01 15:55:00,CEMI
3.225,3.225,3.21,3.21,2814,2021-06-01 16:00:00,CEMI
3.21,3.22,3.21,3.22,1600,2021-06-01 16:05:00,CEMI
