open,high,low,close,volume,datetime,symbol
27.9,27.9,27.75,27.75,1388,2021-06-01 08:00:00,RIOT
27.7,27.7,27.58,27.7,800,2021-06-01 08:05:00,RIOT
27.66,27.68,27.66,27.67,2100,2021-06-01 08:10:00,RIOT
27.67,27.67,27.38,27.38,4712,2021-06-01 08:15:00,RIOT
27.57,27.57,27.57,27.57,100,2021-06-01 08:20:00,RIOT
27.37,27.37,27.37,27.37,100,2021-06-01 08:25:00,RIOT
27.33,27.33,27.32,27.32,350,2021-06-01 08:30:00,RIOT
27.26,27.26,27.26,27.26,700,2021-06-01 08:35:00,RIOT
27.3,27.3,27.3,27.3,137,2021-06-01 08:45:00,RIOT
27.3,27.3,27.3,27.3,200,2021-06-01 08:50:00,RIOT
27.31,27.31,27.31,27.31,100,2021-06-01 08:55:00,RIOT
27.44,27.5,27.44,27.5,200,2021-06-01 09:15:00,RIOT
27.58,27.58,27.58,27.58,298,2021-06-01 09:20:00,RIOT
27.55,27.55,27.55,27.55,100,2021-06-01 09:35:00,RIOT
27.49,27.56,27.49,27.56,1926,2021-06-01 10:20:00,RIOT
27.59,27.59,27.59,27.59,190,2021-06-01 10:25:00,RIOT
27.59,27.63,27.59,27.63,1267,2021-06-01 10:30:00,RIOT
27.67,27.67,27.67,27.67,200,2021-06-01 10:35:00,RIOT
27.67,27.68,27.63,27.68,4700,2021-06-01 10:40:00,RIOT
27.7,27.7,27.63,27.63,683,2021-06-01 10:45:00,RIOT
27.53,27.53,27.53,27.53,200,2021-06-01 10:50:00,RIOT
27.77,27.77,27.5,27.5,6078,2021-06-01 11:00:00,RIOT
27.5,27.5,27.35,27.35,2578,2021-06-01 11:05:00,RIOT
27.35,27.45,27.3,27.37,1221,2021-06-01 11:10:00,RIOT
27.42,27.5,27.35,27.5,5939,2021-06-01 11:15:00,RIOT
27.48,27.59,27.45,27.58,1400,2021-06-01 11:20:00,RIOT
27.51,27.51,27.45,27.5,1862,2021-06-01 11:25:00,RIOT
27.5,27.5,27.5,27.5,500,2021-06-01 11:30:00,RIOT
27.51,27.52,27.49,27.51,8116,2021-06-01 11:35:00,RIOT
27.47,27.5,27.47,27.49,1871,2021-06-01 11:40:00,RIOT
27.46,27.47,27.42,27.42,4307,2021-06-01 11:45:00,RIOT
27.42,27.42,27.42,27.42,300,2021-06-01 11:50:00,RIOT
27.45,27.45,27.44,27.45,735,2021-06-01 11:55:00,RIOT
27.42,27.42,27.33,27.4,6147,2021-06-01 12:00:00,RIOT
27.42,27.44,27.32,27.4,5084,2021-06-01 12:05:00,RIOT
27.48,27.48,27.31,27.32,8601,2021-06-01 12:10:00,RIOT
27.305,27.4,27.25,27.3399,9375,2021-06-01 12:15:00,RIOT
27.29,27.34,27.25,27.26,5154,2021-06-01 12:20:00,RIOT
27.3,27.3,27.2,27.24,4390,2021-06-01 12:25:00,RIOT
27.29,27.4,27.29,27.4,3285,2021-06-01 12:30:00,RIOT
27.4,27.4,27.27,27.2901,13601,2021-06-01 12:35:00,RIOT
27.3,27.4,27.3,27.37,4405,2021-06-01 12:40:00,RIOT
27.3025,27.37,27.27,27.28,7303,2021-06-01 12:45:00,RIOT
27.25,27.3,27.25,27.27,8439,2021-06-01 12:50:00,RIOT
27.27,27.35,27.25,27.31,4770,2021-06-01 12:55:00,RIOT
27.31,27.34,27.0642,27.0642,17125,2021-06-01 13:00:00,RIOT
27.06,27.1,26.92,26.93,17120,2021-06-01 13:05:00,RIOT
26.9201,27.02,26.92,26.98,6775,2021-06-01 13:10:00,RIOT
27.14,27.14,27.04,27.08,5586,2021-06-01 13:15:00,RIOT
27.1,27.22,27.0,27.04,12693,2021-06-01 13:20:00,RIOT
27.02,27.13,26.98,27.1,14253,2021-06-01 13:25:00,RIOT
27.1,28.1489,27.06,28.05,684371,2021-06-01 13:30:00,RIOT
28.075,28.54,27.95,28.38,547597,2021-06-01 13:35:00,RIOT
28.4,28.7196,28.3901,28.5108,415756,2021-06-01 13:40:00,RIOT
28.53,28.56,28.04,28.2,395107,2021-06-01 13:45:00,RIOT
28.175,28.62,28.14,28.38,296155,2021-06-01 13:50:00,RIOT
28.419,28.73,28.3558,28.6958,232320,2021-06-01 13:55:00,RIOT
28.69,28.7131,28.3101,28.36,219680,2021-06-01 14:00:00,RIOT
28.31,28.61,28.1801,28.6,212869,2021-06-01 14:05:00,RIOT
28.53,28.86,28.43,28.45,324539,2021-06-01 14:10:00,RIOT
28.47,28.56,28.16,28.51,302342,2021-06-01 14:15:00,RIOT
28.5398,28.58,28.26,28.58,225833,2021-06-01 14:20:00,RIOT
28.585,28.6,28.29,28.43,208090,2021-06-01 14:25:00,RIOT
28.4394,28.96,28.36,28.935,225904,2021-06-01 14:30:00,RIOT
28.93,29.34,28.92,29.1499,500189,2021-06-01 14:35:00,RIOT
29.14,29.5,29.13,29.39,301344,2021-06-01 14:40:00,RIOT
29.37,29.38,29.05,29.06,226878,2021-06-01 14:45:00,RIOT
29.0501,29.27,29.05,29.11,263769,2021-06-01 14:50:00,RIOT
29.14,29.23,29.03,29.1,234431,2021-06-01 14:55:00,RIOT
29.06,29.29,29.03,29.0466,175899,2021-06-01 15:00:00,RIOT
29.09,29.09,28.66,28.6601,212559,2021-06-01 15:05:00,RIOT
28.6645,28.88,28.6,28.65,170389,2021-06-01 15:10:00,RIOT
28.64,28.7,28.51,28.5316,226320,2021-06-01 15:15:00,RIOT
28.54,28.5415,28.38,28.53,137756,2021-06-01 15:20:00,RIOT
28.5001,28.69,28.48,28.52,117388,2021-06-01 15:25:00,RIOT
28.5537,28.63,28.45,28.59,96020,2021-06-01 15:30:00,RIOT
28.59,28.66,28.5,28.59,167507,2021-06-01 15:35:00,RIOT
28.6069,28.75,28.54,28.66,86069,2021-06-01 15:40:00,RIOT
28.62,28.64,28.47,28.53,88208,2021-06-01 15:45:00,RIOT
28.5799,28.58,28.41,28.47,65382,2021-06-01 15:50:00,RIOT
28.46,28.5501,28.42,28.53,94640,2021-06-01 15:55:00,RIOT
28.5447,28.63,28.31,28.5633,183260,2021-06-01 16:00:00,RIOT
28.5232,28.55,28.33,28.41,74298,2021-06-01 16:05:00,RIOT
28.4067,28.6,28.39,28.59,78217,2021-06-01 16:10:00,RIOT
28.5748,28.74,28.5701,28.725,108194,2021-06-01 16:15:00,RIOT
28.75,28.78,28.61,28.6712,63366,2021-06-01 16:20:00,RIOT
28.68,28.88,28.6461,28.85,72836,2021-06-01 16:25:00,RIOT
28.82,28.88,28.7,28.72,160993,2021-06-01 16:30:00,RIOT
28.73,28.94,28.7,28.85,154553,2021-06-01 16:35:00,RIOT
28.86,28.96,28.8501,28.915,66416,2021-06-01 16:40:00,RIOT
28.915,28.95,28.74,28.74,88025,2021-06-01 16:45:00,RIOT
28.77,28.785,28.62,28.6606,52317,2021-06-01 16:50:00,RIOT
28.61,28.78,28.59,28.7253,45851,2021-06-01 16:55:00,RIOT
28.73,29.01,28.7,28.91,203811,2021-06-01 17:00:00,RIOT
28.9274,29.09,28.84,29.08,63061,2021-06-01 17:05:00,RIOT
29.065,29.0744,28.94,29.0028,70577,2021-06-01 17:10:00,RIOT
29.03,29.23,29.03,29.2149,106095,2021-06-01 17:15:00,RIOT
29.1801,29.23,29.09,29.2198,99930,2021-06-01 17:20:00,RIOT
29.2,29.36,29.17,29.33,133488,2021-06-01 17:25:00,RIOT
29.34,29.39,29.32,29.365,111332,2021-06-01 17:30:00,RIOT
29.37,29.39,29.28,29.35,84936,2021-06-01 17:35:00,RIOT
29.3586,29.39,29.15,29.2945,107948,2021-06-01 17:40:00,RIOT
29.3,29.3644,29.28,29.35,74736,2021-06-01 17:45:00,RIOT
29.33,29.45,29.29,29.355,119420,2021-06-01 17:50:00,RIOT
29.35,29.45,29.34,29.39,67876,2021-06-01 17:55:00,RIOT
29.4,29.4,29.3101,29.35,64839,2021-06-01 18:00:00,RIOT
29.355,29.4,29.27,29.38,81200,2021-06-01 18:05:00,RIOT
29.385,29.57,29.385,29.56,166532,2021-06-01 18:10:00,RIOT
29.56,29.68,29.51,29.64,249272,2021-06-01 18:15:00,RIOT
29.67,29.75,29.58,29.74,118835,2021-06-01 18:20:00,RIOT
29.75,29.7884,29.6731,29.76,106970,2021-06-01 18:25:00,RIOT
29.7588,29.84,29.73,29.73,130520,2021-06-01 18:30:00,RIOT
29.74,29.805,29.6717,29.7694,71784,2021-06-01 18:35:00,RIOT
29.75,29.87,29.72,29.785,147584,2021-06-01 18:40:00,RIOT
29.77,29.87,29.735,29.795,104312,2021-06-01 18:45:00,RIOT
29.78,29.785,29.45,29.47,167730,2021-06-01 18:50:00,RIOT
29.4601,29.48,29.38,29.44,104110,2021-06-01 18:55:00,RIOT
29.4459,29.49,29.32,29.355,107099,2021-06-01 19:00:00,RIOT
29.35,29.37,29.28,29.37,89995,2021-06-01 19:05:00,RIOT
29.33,29.5,29.33,29.485,58978,2021-06-01 19:10:00,RIOT
29.485,29.49,29.3,29.315,98564,2021-06-01 19:15:00,RIOT
29.315,29.34,29.22,29.28,80430,2021-06-01 19:20:00,RIOT
29.2801,29.43,29.27,29.4195,92340,2021-06-01 19:25:00,RIOT
29.41,29.45,29.32,29.32,80307,2021-06-01 19:30:00,RIOT
29.32,29.37,29.2,29.25,97932,2021-06-01 19:35:00,RIOT
29.24,29.25,29.03,29.165,162773,2021-06-01 19:40:00,RIOT
29.16,29.29,29.1,29.26,99198,2021-06-01 19:45:00,RIOT
29.25,29.25,29.07,29.18,114936,2021-06-01 19:50:00,RIOT
29.17,29.26,29.1,29.2,307989,2021-06-01 19:55:00,RIOT
29.23,29.24,29.2,29.2,125624,2021-06-01 20:00:00,RIOT
29.17,29.17,29.09,29.1,2096,2021-06-01 20:05:00,RIOT
29.11,29.11,29.01,29.02,4073,2021-06-01 20:10:00,RIOT
29.18,29.18,29.1765,29.18,2270,2021-06-01 20:15:00,RIOT
29.1,29.1,29.1,29.1,200,2021-06-01 20:20:00,RIOT
29.16,29.16,29.03,29.03,400,2021-06-01 20:25:00,RIOT
29.07,29.07,29.03,29.0301,765,2021-06-01 20:30:00,RIOT
29.16,29.16,29.1569,29.1569,673,2021-06-01 20:35:00,RIOT
29.14,29.23,29.14,29.19,2519,2021-06-01 20:40:00,RIOT
29.16,29.2,29.16,29.2,2570,2021-06-01 20:45:00,RIOT
29.17,29.17,29.17,29.17,170,2021-06-01 20:50:00,RIOT
29.18,29.18,29.11,29.12,17846,2021-06-01 20:55:00,RIOT
29.16,29.16,29.16,29.16,175,2021-06-01 21:00:00,RIOT
29.12,29.12,29.09,29.09,1433,2021-06-01 21:05:00,RIOT
29.11,29.23,29.11,29.23,3191,2021-06-01 21:10:00,RIOT
29.18,29.18,29.18,29.18,792,2021-06-01 21:20:00,RIOT
29.25,29.25,29.1,29.1,1471,2021-06-01 21:25:00,RIOT
29.24,29.24,29.24,29.24,100,2021-06-01 21:30:00,RIOT
29.24,29.24,29.1,29.1,3273,2021-06-01 21:35:00,RIOT
29.07,29.22,29.07,29.22,3185,2021-06-01 21:40:00,RIOT
29.23,29.23,29.19,29.19,550,2021-06-01 21:45:00,RIOT
